"","F-Value","Pr(>F)","2-1","3-1","4-1","3-2","4-2","4-3","diff 2-1","diff 3-1","diff 4-1","diff 3-2","diff 4-2","diff 4-3"
"Magohb;Magoh",1.321404328502,0.313075615585399,0.262999328507627,0.892234272670888,0.925679037730463,0.619259330027468,0.564878610444984,0.999689827731334,-1.8855943675,-0.687539102499997,-0.596672294999998,1.198055265,1.2889220725,0.0908668074999994
"Tap1",8.88516493585429,0.00224777878996277,0.00504239817441809,0.00279062529024776,0.0575750009789318,0.984790269405761,0.52319032058456,0.343316179969667,1.569601295,1.69712114,1.0572574125,0.127519844999998,-0.512343882500002,-0.6398637275
"Rab11b;Rab11a",1.41844930578559,0.285627924210453,0.285395357416273,0.382138032543668,0.70304430234454,0.996157525473575,0.855632847677813,0.937153199810403,0.699204922499998,0.61837053,0.40413809,-0.0808343924999981,-0.295066832499998,-0.21423244
"Tapbp",3.90639848809306,0.0369539858210521,0.0802570365968129,0.0565347687565464,0.781611002492909,0.996743650634107,0.343718726748252,0.258498251749512,2.4067215925,2.590720655,0.845324755,0.1839990625,-1.5613968375,-1.7453959
"Psmb8",4.18838724019099,0.0303434742827695,0.0224595643372545,0.690718691757841,0.727140099233286,0.148166376412578,0.133711158343626,0.999899529966355,0.86413336,0.279718402499999,0.263544084999999,-0.584414957500002,-0.600589275000001,-0.0161743174999991
"Mtco2;COX2",1.46818838663297,0.272589792239631,0.798132092425734,0.868816053525962,0.70965596123277,0.375737586273617,0.998375994761756,0.302426460133374,0.289903642500008,-0.242547512499996,0.341558935000005,-0.532451155000004,0.0516552924999978,0.584106447500002
"mt-Nd1;ND1;Mtnd1",0.366754735099554,0.778331662210746,0.995814775378898,0.752984647475851,0.970250275972156,0.864336405626398,0.996227617635363,0.942423714392453,0.128842832500002,0.574436665000002,0.253236055000002,0.4455938325,0.1243932225,-0.32120061
"Cdv3",8.99800786448725,0.002136576458848,0.0455717663279392,0.849151833861055,0.266593226670396,0.0110835046685615,0.001641233608209,0.683662707847466,-0.809622765,0.216628547500001,0.51714277,1.0262513125,1.326765535,0.300514222499999
"Tceb1",1.12281966470935,0.378558853808977,0.999999732760179,0.921516763383676,0.657490568710796,0.924442665100327,0.652323747984701,0.322566468102563,0.0063996299999971,0.451365469999999,-0.8406956225,0.444965840000002,-0.847095252499997,-1.2920610925
"Ktn1",0.407103636925048,0.750717778517919,0.993259157121803,0.750420495208065,0.884729963950506,0.879077310393968,0.965748620411408,0.992168841732574,0.150814054999996,0.574606177499996,0.415880912499995,0.4237921225,0.265066857499999,-0.158725265000001
"Hdlbp",0.215558573097794,0.883708622269501,0.867413070924521,0.982035861410086,0.938002038421377,0.977548191365963,0.997275513091765,0.996781073698625,0.326250552500003,0.156781197500003,0.243899822500001,-0.169469355,-0.0823507300000017,0.0871186249999987
"Fam134a",2.43426838075925,0.115340250056788,0.859032327046171,0.999988584328884,0.146717510396065,0.844948447062578,0.446940156905538,0.139618537314073,-0.462427857499996,0.0182557075000034,-1.36618209,0.480683565,-0.903754232500001,-1.3844377975
"Rpe",1.23778824268871,0.339030379145611,0.792473319509711,0.944781152450559,0.811927029653519,0.98121794706213,0.3150572760845,0.502170166478968,1.0686202075,0.6356132025,-1.0244383825,-0.433007005,-2.09305859,-1.660051585
"Bzw1",1.62036470346394,0.236606790837848,0.971873569760699,0.41424591321689,0.844611006096177,0.230014466813441,0.609013464690079,0.861200673737994,0.351161955000002,-1.3020563125,-0.665952920000001,-1.6532182675,-1.017114875,0.636103392499999
"Casp8",1.04705134684666,0.407260585900941,0.552778629106616,0.668605752902809,0.999999963414296,0.997042157565139,0.555413035804729,0.671257294494121,0.766345979999997,0.653019429999997,0.00260472249999921,-0.11332655,-0.763741257499998,-0.650414707499998
"Dap",0.950160148185266,0.447302676997478,0.99859291003158,0.848246179297568,0.462888890339757,0.911573476044538,0.549566059157993,0.896195991692082,-0.176812170000005,-0.923952340000007,-1.71854472,-0.747140170000002,-1.54173255,-0.794592379999997
"Mapkapk2",0.230506079014851,0.873373916918621,0.858467473747536,0.944776017749792,0.991346130876377,0.994991297202653,0.957225672070552,0.993273662216476,0.367760179999998,0.256658309999999,0.133843657499998,-0.111101869999999,-0.2339165225,-0.122814652500001
"Stat1",3.32209744750727,0.0567326844780472,0.0477293142660745,0.174267280150732,0.588407638899248,0.861741560284586,0.360450045040993,0.789949844853028,1.8064081725,1.335675005,0.775198702499997,-0.470733167499997,-1.03120947,-0.560476302500001
"Prrc2c",1.14363564675273,0.371052993900775,0.901086296887936,0.714792689942486,0.934755137485465,0.341271832020034,0.597985102374031,0.961521268524617,0.332627057500002,-0.518825294999997,-0.284271004999997,-0.851452352499999,-0.616898062499999,0.23455429
"Spata5;Katnal2",1.00555181013559,0.423937249877378,0.573545331589277,0.999286702967567,0.998004539715946,0.503092442557531,0.474952745941679,0.999949681938362,-1.20458221499999,0.113486765000005,0.160285950000006,1.31806898,1.364868165,0.0467991850000011
"S100a13",2.14096241426949,0.148282824197931,0.254498004274864,0.99997273771656,0.990597083023074,0.270117396850102,0.162976122447961,0.986210381758804,1.9918038875,0.0421340524999998,-0.299419400000001,-1.949669835,-2.2912232875,-0.341553452500001
"Tuba4a",1.10202135222022,0.386219000593133,0.799498783758111,0.372310429080007,0.988971183841475,0.864574892027582,0.930317268171148,0.537680235848271,1.4745376125,2.7276780625,0.504478690000003,1.25314045,-0.970058922499998,-2.2231993725
