X,BV2_control_1_cell,BV2_TGFB_1_cell,BV2_IL10_1_cell,BV2_LPS_1_cell,BV2_control_2_cell,BV2_TGFB_2_cell,BV2_IL10_2_cell,BV2_LPS_2_cell,BV2_control_3_cell,BV2_TGFB_3_cell,BV2_IL10_3_cell,BV2_LPS_3_cell,BV2_control_4_cell,BV2_TGFB_4_cell,BV2_IL10_4_cell,BV2_LPS_4_cell
Tap1,14.69243622,15.86582947,16.38773155,16.07969284,14.56366444,15.96052265,16.08306313,16.64329338,13.69915295,15.72184658,16.71986961,16.69859695,15.59959316,15.23567772,15.64258766,15.92174816
Tapbp,16.37853241,15.60652065,19.1331768,18.91619492,16.53301048,19.51610756,17.94569588,19.45324326,16.78123093,18.0364418,18.86154175,17.74753761,14.83313751,14.74814034,18.21238327,18.77181816
Psmb8,17.24859428,17.60161209,18.32294083,17.82476044,17.88952827,18.119133,18.06513214,18.28906441,17.73423386,18.2056694,19.06052208,17.49856949,17.8895874,17.88970566,18.7698822,18.26842308
Cdv3,18.18954468,19.04222488,17.62663651,18.51729965,18.51941299,18.80901527,17.30438614,17.97157669,18.61590195,19.11184311,17.56257057,19.53859901,18.47151566,18.9018631,18.064291,18.63541412
Gapdh,23.50178909,23.85490799,23.77966499,23.6866703,23.28883934,23.68720436,24.06652832,23.74077797,23.57207298,23.87408257,24.6296196,23.95943069,23.6408596,23.61436653,23.78895187,23.97211075
Atp6v1h,17.20438004,17.76849365,18.95951462,18.55681992,17.88160324,18.14320374,18.77696609,18.18466187,17.64061165,17.89474678,19.01767349,17.73714256,17.35913277,17.53958321,18.67741776,18.02512932
Vamp4,16.04891205,13.25852013,16.38769722,13.7706337,16.37909126,12.96720028,15.97716808,16.42377281,16.52406693,14.2379837,17.5357151,14.31006908,16.16923904,17.03981781,16.3550415,14.69940376
Eif4e,18.0237751,17.73562241,17.87747574,17.14220619,17.68503571,17.14250565,18.70401192,18.20079231,17.62421036,17.73489571,17.98403931,17.72480774,18.17489624,17.20457077,18.4774971,17.60754776
Stap1,14.80624771,13.9356184,14.89315891,17.61525536,15.40597248,14.01975441,15.73526478,17.51722336,15.29483604,13.47848797,14.93465805,16.14266586,14.86466885,14.61073685,14.97025871,15.63168907
Gng12,16.92404747,12.61316872,18.17942238,18.2421875,18.32025337,14.3301897,14.0595932,18.29849243,17.33402824,13.49643993,19.11227608,14.563447,13.93568707,13.53857899,17.86465836,17.57666206
Irg1,11.36342335,13.33273602,9.63877964,20.4623394,14.35140228,15.52787399,14.20944309,21.07913589,8.791032791,14.03725433,10.12631702,19.82621956,14.57058907,14.31502342,13.99026108,20.86317635
Scly,16.1494503,15.93479633,15.78586102,14.22032452,16.00092506,14.12144852,15.73131943,16.12011719,16.54079437,14.31070328,17.67638397,15.40464306,16.52845383,14.26222801,16.00110054,16.24876213
Pck2,18.64804077,17.98470688,18.4468174,17.4258709,18.62513733,18.4522171,18.09702301,17.67521286,17.98036194,18.12711716,18.61561584,17.24125671,17.51190758,18.50206947,17.53693008,17.17562675
Lrp1,17.57348442,18.85489273,17.83805847,17.56271935,17.81521988,18.66684723,18.00256157,17.80322266,16.57850456,18.94125938,16.21015739,17.87135124,17.12615967,18.53149605,17.92404747,17.40806389
Dab2,18.76926994,18.14330292,19.29732895,16.39062309,18.99178123,18.28906441,19.45851898,16.74464989,18.11446381,18.52405167,19.77571297,16.47370529,17.71940231,18.45907974,18.99382782,15.83145523
Arsb,13.61179066,17.04740143,16.52897263,16.10744095,13.97693539,17.59732437,14.63503742,15.23866558,13.18889141,16.98726463,14.11455631,14.27437592,13.06547546,17.08638573,15.92369843,15.36929035
Kctd12,14.68628883,14.93244553,16.19767761,17.75303459,14.96285057,16.50458717,15.652565,17.67037964,13.74688911,15.61442184,14.47801113,16.32085419,15.5211401,15.17383289,16.23365784,16.6132431
Ptov1,20.06104851,14.49542332,19.17111397,19.7369442,20.7274189,13.87841797,19.65862656,20.7164917,19.93344307,13.86170959,19.55657768,18.85750771,19.23745728,20.06131363,14.71072197,19.34230042
Rnf213,13.59245682,13.85603619,17.222229,17.14270592,14.68967056,14.38127232,16.9058342,19.12744522,15.42564201,13.98459625,15.66030216,16.02252007,14.01463032,14.35486889,15.00435257,15.95358276
Ftl1;Ftl2,15.9818573,18.35913277,17.46084023,15.78943157,14.79423809,16.58028793,17.70576668,15.64410973,16.0237751,18.77635574,18.62667084,16.60782242,16.67906761,17.72873116,17.31690025,15.35576439
Ampd3,17.11816978,13.15075302,16.67120934,18.68332291,17.20667076,17.82444954,17.006567,17.95685196,14.03780365,13.82689285,17.50966644,19.78238487,15.27455997,13.99602032,14.60064507,18.94005585
Cep295,14.39241219,21.5945034,14.27024555,18.69149208,13.97247982,18.59768867,18.17206573,18.22703362,13.93323421,18.90059471,13.37656975,19.10697174,18.54898071,18.52733994,18.02950287,18.55491066
Atp6v1b2,19.682827,19.80969048,20.0664463,20.27889442,19.92276955,20.0891304,20.51354599,19.75274086,20.06289482,19.62615395,20.53611374,19.75104141,19.52196503,19.84877968,20.14058495,19.71362495
Lrpap1,18.46702385,20.19808578,19.97323227,18.61446571,18.13265038,19.89591599,20.41689301,18.64406776,18.72863197,19.95659828,18.47532272,16.90794754,19.73385239,20.01209068,19.55146027,19.05618858
Cd63,13.96745491,18.10169792,16.36502457,16.26202202,13.88763142,16.43965149,13.74142742,14.748703,15.74522781,16.54978561,14.49934673,16.54632187,14.30331612,17.75094223,14.47228622,16.44787407
Tbca,17.12646294,17.8024025,19.14514542,17.21086121,17.85671806,17.74969864,17.78711128,17.49513626,17.97907829,17.88833809,18.55172348,17.60956764,18.06134033,18.3502655,18.02593994,16.86701393
Rbmxl1;Rbmx,18.05377769,17.10819817,17.75948524,17.53897667,17.5478878,17.56584549,18.13144493,17.25902557,17.69288826,16.98370552,18.41365242,16.95503616,17.13931084,18.10814667,17.78391838,16.60120583
Mapk1ip1l,17.27239227,17.84033585,16.45491028,17.16526031,17.64357376,17.81378174,15.79373074,13.66770744,17.27421379,18.09774399,17.8634491,14.26620007,18.33533859,17.53609467,13.90682507,13.17283344
Oxr1,16.03943253,16.54925919,16.32044792,15.24265289,16.55352402,15.80377769,14.84288025,15.80130386,16.74609375,16.18483734,17.18466187,13.80951023,15.7827425,16.41370964,16.04748535,13.24944592
Tmem173,15.11821079,15.70314693,17.76668358,13.71599007,14.83026791,15.66943836,15.04401016,15.68718433,14.87891293,16.20049667,17.67348862,15.05216885,14.06819057,16.08214951,17.06128693,13.86849117
Khsrp,19.07122231,18.58999443,18.90254021,17.904953,18.92027092,18.00826454,19.44414902,18.6745224,19.61264801,18.84717369,19.07006836,18.07059288,18.3150425,18.31406975,18.48199654,18.13831139
H2-D1;H-2D;H2-L,16.20187569,17.47903824,18.68435097,18.91855431,16.38825226,17.92067909,19.18248177,19.15731239,16.8181572,18.3246994,16.50661659,18.27480507,16.0551548,16.82426262,17.92526436,19.47581673
Scyl1,15.86944962,15.12238312,15.96578407,16.73753738,16.11492157,15.58405209,14.07468796,16.18169594,15.3690176,15.34886646,14.34645748,16.0633316,15.85946178,15.17994785,15.35300922,15.95848465
Nedd4,15.19433403,13.7345953,15.56736183,17.04014015,14.60458469,15.81162548,14.98547077,16.86809921,15.44621086,15.98777485,13.69295311,17.01965523,16.77840996,14.79872513,15.54348469,16.29000092
Actn1,18.04094315,18.82192993,18.44240952,18.0414772,18.43607712,19.62948418,18.25086212,18.40528297,18.57004166,19.06205177,19.62825775,17.582407,17.86749649,19.14502144,18.68335724,18.3662796
Srrm1,21.33090401,21.17029381,21.03429413,20.92404747,21.5553894,13.67022324,19.9791069,21.34824562,21.93617821,13.08025074,19.55033302,20.68611336,21.12533951,13.51938343,20.90602493,20.50813866
Rpn2,18.2662735,18.78084755,18.73836327,18.95318985,18.34412193,18.52959061,18.67961693,19.42425156,18.64733887,18.99686432,19.45713615,18.55472374,17.33995438,18.62731361,18.82401466,19.25471878
Eftud2,21.30635834,20.09854126,21.57888222,19.26049614,21.77080345,20.20943451,21.12047577,20.66049004,20.85999489,21.13614845,21.37766647,20.44728088,20.30874825,20.16570282,21.00689507,20.26956558
Hnrnpa3;Gm6793,19.40251732,19.59983253,19.43010521,19.00014305,19.16582489,19.35276794,20.21347427,19.29450417,19.71500015,19.52668953,20.53630447,18.33053207,19.3357296,19.62388802,19.93732834,18.93784523
Asph;ASPH,16.3990612,16.93755722,17.64624977,16.61712265,16.67934227,17.58827591,18.61255836,16.32291412,17.05377769,16.26330566,18.21086121,16.16518211,16.07481003,17.07326317,17.46690559,16.62513733
Gpd2,15.61637688,16.06065369,16.56316566,17.72420692,16.7410984,17.01595879,16.31282997,17.6067524,16.35511017,16.79880142,17.35130119,17.00371552,15.66566944,16.77892494,16.34057999,17.05441284
Srp14,15.50878525,13.95328712,16.71612358,15.10537624,15.14461803,15.58346462,16.64329338,16.26972961,15.21545696,14.80292034,15.56146717,14.98013973,14.84293938,15.34897041,16.05008316,15.31833076
Rrbp1,17.25266457,15.94729424,17.77545547,15.62636471,17.08399773,16.15531158,16.97768211,16.50801086,15.96045494,15.49247932,17.62699318,15.41979599,16.07854652,17.15115547,17.14380264,14.77951431
Pdhx,16.4352951,16.81615829,15.48331165,13.98259926,16.71290398,16.38919449,14.37382317,14.64695549,16.96882439,15.98457432,17.02583122,14.5111351,14.12682247,16.51165962,15.04557514,14.08655262
Manf,16.33054924,14.20082188,17.08275223,15.01741695,16.15900421,14.82818604,16.4310894,14.88696384,16.68263817,15.24803829,17.76758957,14.36315727,15.50537777,16.29644966,16.00290298,14.38801765
Aifm1;Pdcd8,17.36084747,17.65557289,17.98859596,17.30402946,17.88446808,17.23125839,18.28297043,18.17421341,17.79911804,17.35664177,18.56803703,18.18867493,17.097332,17.40648651,17.8900032,17.41641808
Clta,18.95872307,19.55771828,19.00769043,19.76883316,19.67324638,19.4472599,17.20905304,18.82258415,19.40409851,20.70607185,18.60649872,19.85782623,19.03606606,19.70959282,19.07770157,19.35324097
Dip2b,17.8945694,18.00201225,18.48176003,14.42419624,18.653965,18.00935936,14.44890118,14.28864098,19.02666855,19.36161804,19.08243942,18.04564285,18.86930466,19.07308006,18.29934311,15.70525455
Xdh,17.62563705,16.35710526,18.19873238,17.26590729,17.77879524,16.44763184,17.94615173,17.12565613,17.87261391,16.70833015,19.10310936,17.72986031,17.13620949,17.44483757,18.10697174,16.99964714
AI607873,15.05176163,13.31842899,16.4101696,13.89747429,14.28722668,14.38421535,16.67824173,15.65043449,16.13835144,12.61850739,16.68222618,15.62265205,13.58010674,14.14341259,16.61769676,15.38549137
Epb41l2;Epb4.1l2,16.93606186,18.31614876,17.49075699,16.49139977,16.86387253,18.07785797,18.09114647,16.7868576,17.18833733,18.48750305,18.70920563,15.74043941,17.57916832,18.60837746,17.64322281,16.21505928
Flna,19.79759789,18.86613846,19.39577675,20.33298111,19.82287979,19.48260689,19.3534565,20.22211075,19.80423164,19.31243134,20.52430153,20.54018784,19.18548584,19.47119904,19.57951927,20.07300186
