"","BV2_control_1_cell","BV2_TGFB_1_cell","BV2_IL10_1_cell","BV2_LPS_1_cell","BV2_control_2_cell","BV2_TGFB_2_cell","BV2_IL10_2_cell","BV2_LPS_2_cell","BV2_control_3_cell","BV2_TGFB_3_cell","BV2_IL10_3_cell","BV2_LPS_3_cell","BV2_control_4_cell","BV2_TGFB_4_cell","BV2_IL10_4_cell","BV2_LPS_4_cell"
"Magohb;Magoh",16.88738632,16.18914986,16.60000038,16.30951118,16.9524231,15.51892948,13.90767956,17.43835258,16.78749466,15.53296471,12.76190472,13.43775368,16.41073227,17.41030312,16.22607422,17.1022625
"Tap1",14.69243622,15.86582947,16.38773155,16.07969284,14.56366444,15.96052265,16.08306313,16.64329338,13.69915295,15.72184658,16.71986961,16.69859695,15.59959316,15.23567772,15.64258766,15.92174816
"Rab11b;Rab11a",18.23041534,18.20371056,18.67221069,18.23990631,18.01933098,18.47203255,18.44697762,19.16425323,18.38173676,18.48813057,18.57861519,17.63651085,16.75629616,17.84045792,18.48679543,18.82059097
"Tapbp",16.37853241,15.60652065,19.1331768,18.91619492,16.53301048,19.51610756,17.94569588,19.45324326,16.78123093,18.0364418,18.86154175,17.74753761,14.83313751,14.74814034,18.21238327,18.77181816
"Psmb8",17.24859428,17.60161209,18.32294083,17.82476044,17.88952827,18.119133,18.06513214,18.28906441,17.73423386,18.2056694,19.06052208,17.49856949,17.8895874,17.88970566,18.7698822,18.26842308
"Mtco2;COX2",20.52840805,20.25188065,21.23139954,19.96282196,20.14307976,20.62667084,19.74802971,20.29905128,20.72982597,20.6145916,20.63732529,19.63751984,19.46195984,20.73636627,20.40613365,19.99369049
"mt-Nd1;ND1;Mtnd1",13.81908131,14.63333607,14.47617722,15.41316509,16.14646912,15.7639389,15.39904404,16.74215126,14.80397987,16.27399635,15.94033623,15.53089428,15.55970573,14.67090893,15.02904987,14.94077206
"Cdv3",18.18954468,19.04222488,17.62663651,18.51729965,18.51941299,18.80901527,17.30438614,17.97157669,18.61590195,19.11184311,17.56257057,19.53859901,18.47151566,18.9018631,18.064291,18.63541412
"Tceb1",17.03284264,17.44701958,16.91017342,16.79322243,16.51743889,17.10635757,17.60110283,16.60870171,16.90970612,13.4294138,16.55848122,17.78711128,16.72813225,15.84254646,16.14396095,17.80454636
"Ktn1",15.21913052,15.04118824,15.09807301,15.36355305,15.95324135,15.168437,15.55892849,16.63693619,15.46696854,15.52227497,15.69065285,15.26169109,13.23238564,15.80334949,14.12732792,14.90797043
"Hdlbp",16.99125671,17.17484856,16.652565,16.81440735,17.14130974,17.22354889,16.40788269,17.48274422,17.08845711,16.90536308,18.74149323,16.96285057,16.19972992,17.09259224,16.92381477,16.78787613
"Fam134a",14.97933578,13.66054535,15.48837376,13.22116089,15.09440804,14.35999489,14.22985172,16.12090683,15.56167603,13.26002407,14.39504528,16.14274597,15.54427052,14.4343977,15.21670818,15.76789951
"Rpe",16.6580162,16.99391174,16.79004288,18.05282211,17.22345543,13.98698997,16.76136971,17.86942482,17.33245659,12.6075573,18.37296677,14.92585087,14.01889229,17.54660797,17.58292198,16.92717552
"Bzw1",17.14758301,15.61151505,17.11715698,15.00654507,16.95764542,15.33263111,17.1515522,17.71256638,16.3110218,14.96172142,15.82766533,13.89775085,15.25148201,17.09805298,16.97600555,13.84264469
"Casp8",15.18029785,15.15833378,15.62019157,17.81202698,15.38174534,15.39208221,15.63566113,15.71770287,16.27025795,16.68510437,17.41204071,15.86326694,15.76787376,15.37507343,16.99766541,15.81925583
"Dap",16.31463623,13.46917915,14.86772537,17.33123207,16.48230362,16.53941727,16.09459305,15.07330513,17.23444366,16.81440735,18.14648819,17.71859932,16.919981,13.25418186,17.13530922,13.13241863
"Mapkapk2",16.30335236,16.76564789,16.84854889,16.70563316,16.26457024,16.17747879,15.67123699,17.55374908,16.55044556,15.94539833,17.36768723,15.13675117,15.93514156,16.70035934,16.63707733,16.68400955
"Stat1",15.20143509,15.49962807,17.95372963,16.02158737,13.49669456,16.01661301,16.90324593,17.50175858,16.09514999,15.66558552,16.37259293,15.98530865,14.86355686,15.57580471,15.6529007,15.49088192
"Prrc2c",15.39693928,14.89931011,14.89855385,14.91232777,15.56872845,14.79826927,16.81415749,15.70284939,15.51960564,15.36094952,15.00220013,15.37741375,15.19525719,15.48491764,16.29612732,13.61263847
"Spata5;Katnal2",18.810709,18.79702759,18.15313721,18.34169197,17.66400337,18.41683006,18.80057144,17.98904037,18.8889637,18.61568642,13.73547363,19.43371582,18.87972069,19.05499649,18.73588562,18.93289566
"S100a13",13.98907089,13.38559246,15.37856579,14.67791176,13.16365337,15.12020397,13.45963669,15.20401955,14.35411167,12.61415768,15.58448982,12.30762768,13.81568336,13.00488758,18.86704254,13.30149651
"Tuba4a",13.92241573,14.67032146,16.93375969,18.61780548,14.59406185,17.89823532,20.22552681,16.95048714,13.7974577,17.52962875,13.09219742,19.3638649,18.84211731,13.07578182,16.80271912,17.13460732
"Macf1",14.83387852,15.02184772,14.67997456,15.15801811,14.64018822,15.61194706,14.14274502,15.11914349,15.2766695,15.7807188,15.71440697,14.49153996,15.22671318,16.16254807,15.0104847,14.71096802
"Gapdh",23.50178909,23.85490799,23.77966499,23.6866703,23.28883934,23.68720436,24.06652832,23.74077797,23.57207298,23.87408257,24.6296196,23.95943069,23.6408596,23.61436653,23.78895187,23.97211075
"Atg7",16.88452911,16.412817,17.79480934,17.14180756,16.56297302,16.50433731,17.62763405,17.35388756,16.81252861,16.74044037,17.80353928,15.96040916,16.11636353,16.89982986,16.55859947,16.68318748
"Tmco1",17.56985474,17.22872543,18.76198578,17.52083397,17.65277481,16.55331421,18.14355278,19.17560387,18.42701721,17.19940376,13.85048389,15.02559185,16.27848625,18.78411102,18.40132904,17.66219521
"Adrm1;Gm9774",15.70157719,15.79398441,15.51619244,16.04249382,16.21750259,15.74041367,16.08366585,16.42893219,16.44415665,16.2898922,16.58681107,16.49337006,16.33826637,16.30477905,16.43410683,15.89142799
"Naa15;Naa16",16.18336487,15.25819778,15.81855679,15.68420029,16.99788475,15.31125164,13.88633156,16.89994621,15.45535946,16.07888031,16.32340622,16.41119576,15.78680611,15.62019157,15.48129463,16.02342987
"Cnih4",14.24183178,15.0537138,16.29329109,14.51606941,16.94615173,13.65814781,14.34124088,17.552248,16.81840706,12.71082592,16.44273376,13.16522789,14.914814,14.73126602,13.62717247,15.27324963
"Rab3gap2",14.47078609,14.460392,14.82550526,14.73296261,14.33594894,15.05023098,14.57319355,14.6227951,14.77705002,15.31829548,15.15766239,15.16659451,15.32154083,14.85008907,14.89690018,14.86452484
"Rcor3;Rcor1",15.42583847,14.98361683,15.85096836,16.6504631,15.63117695,17.10931969,14.38937283,15.9856863,16.02526855,16.58502197,16.58449364,15.81643391,14.88437176,16.04300499,16.75551414,16.14288521
"Fnbp1",14.96405792,16.1891098,17.25275803,13.3788271,12.11452484,17.00008774,14.09898472,16.6718998,16.09975815,16.31270599,16.84708214,14.89615726,16.19269753,17.43688965,16.3578434,14.60930634
"Atp6v1h",17.20438004,17.76849365,18.95951462,18.55681992,17.88160324,18.14320374,18.77696609,18.18466187,17.64061165,17.89474678,19.01767349,17.73714256,17.35913277,17.53958321,18.67741776,18.02512932
"Fpgs",20.29401016,13.94977665,14.23895645,20.45040512,19.98328781,20.26487732,19.23118782,19.46889496,20.30619049,20.5731144,20.346138,20.5859127,20.60023308,13.01214409,20.05152321,20.35153961
"Osbpl9",14.78958416,14.77355099,16.59127426,15.55107689,13.95409203,14.93822765,16.46264648,17.07504082,13.35429192,15.4306488,14.55885601,15.87785912,15.57352924,15.45468521,17.12857819,12.62212753
"Cept1",16.55280495,16.49810219,16.93985558,16.30659485,16.33430862,16.75564384,17.00820923,17.42546272,16.27559662,13.19463539,14.20455647,14.63994408,15.83152962,16.88750648,16.31144714,16.32124138
"Vamp4",16.04891205,13.25852013,16.38769722,13.7706337,16.37909126,12.96720028,15.97716808,16.42377281,16.52406693,14.2379837,17.5357151,14.31006908,16.16923904,17.03981781,16.3550415,14.69940376
"Kpna4",17.38936234,17.2114315,17.14081001,17.82656097,17.21190643,16.71504974,15.84365082,17.40440941,16.88321686,16.60527611,18.34948921,17.58460999,16.86821938,17.16201782,16.48551559,17.29607391
"Rps27;Rps27l",17.95787239,18.00377083,17.60458183,18.39234352,17.95463943,17.76363945,17.70144272,17.82513237,18.09104347,18.11069679,17.56301689,17.35207748,16.82351685,18.40011978,17.72912979,18.65189934
"Ube2d3;Ube2d2",17.35388756,17.32544518,16.43135071,17.5140667,17.03241158,16.85647392,16.46959496,18.09954262,16.43265533,17.13109398,14.43162823,16.79740906,17.71216393,17.69649124,17.48620605,17.65794563
