"","Norm_BV2_control_1_cell","Norm_BV2_TGFB_1_cell","Norm_BV2_IL10_1_cell","Norm_BV2_LPS_1_cell","Norm_BV2_control_2_cell","Norm_BV2_TGFB_2_cell","Norm_BV2_IL10_2_cell","Norm_BV2_LPS_2_cell","Norm_BV2_control_3_cell","Norm_BV2_TGFB_3_cell","Norm_BV2_IL10_3_cell","Norm_BV2_LPS_3_cell","Norm_BV2_control_4_cell","Norm_BV2_TGFB_4_cell","Norm_BV2_IL10_4_cell","Norm_BV2_LPS_4_cell"
"Rab11b;Rab11a",17.040802,17.58403778,18.88472939,18.77541733,17.10077667,15.24464703,18.07403183,18.15258217,18.61990166,16.14346886,15.18991947,16.18185997,18.81365776,12.92827415,15.91290474,18.94544983
"env;Mela;Fv4;F630007L15Rik",21.14309692,15.93380356,16.95815849,14.10713863,19.75344658,17.76306534,17.21115303,17.86314964,15.95316124,16.48593903,16.64182091,12.53363419,18.55584526,16.84588432,13.78048325,16.0418911
"Tceb1",14.71286678,17.89873314,18.14214134,17.65477943,17.07514381,18.62064743,14.23920727,15.4250555,17.78955841,11.87255001,14.5795145,17.28182983,14.26028252,14.38571548,18.94379997,17.45244217
"Spata5;Katnal2",16.89819336,17.95152092,17.3051815,19.58266068,16.83282471,13.86201286,14.2582407,17.57715416,17.38908577,15.75169086,17.18782616,15.88376617,18.32604027,16.69983101,17.26166916,15.06509876
"Tuba4a",18.58497238,16.23331642,18.29041481,15.79519081,20.08208084,18.59331322,14.71184063,16.65553474,18.37427521,16.66511154,15.07306671,13.16799736,14.6065197,17.58011818,15.62314701,14.58530617
"Gapdh",22.48735619,23.93109322,23.51290894,23.99911499,21.97564507,22.35693359,22.76592827,23.42485619,23.95868492,21.09528351,23.10116386,21.8869915,23.19714928,22.03239059,23.81620789,22.40896034
"S100a4",19.61000443,20.08534622,14.68175888,20.18751907,17.05962944,15.59934425,18.14414978,18.97927856,20.2411232,17.04487801,15.51937485,16.35869789,19.01467323,14.70204163,15.29048824,14.40712547
"A0A0J9YVA2",13.81757832,14.4926033,18.04403687,14.27586651,13.88301754,15.68250942,15.51646519,18.67893791,18.50322914,16.391325,18.4051857,16.38164139,18.56304932,17.66571617,18.52033043,14.82854176
"Arl8b",16.38103676,17.73401451,18.12935448,18.39962006,16.60411835,14.09821415,14.28316402,16.78944778,17.76747322,13.56767082,15.71542931,13.49646091,16.48672295,14.36912537,15.23810673,14.83721638
"Tmsb10",13.73273468,17.68185997,17.47330284,19.99232292,15.38801861,13.73681164,16.72792053,17.93751526,18.54321098,10.976408,17.22234917,16.16562462,16.96931839,13.58151722,16.15376854,15.33355427
"Lrp1",18.30415535,18.67700005,18.69959831,18.11421776,18.57244301,18.69775772,19.86794662,18.19590187,18.74340439,18.77861023,15.29843426,16.04090309,19.9368763,18.76337051,15.57896614,18.31831741
"Pdia4",13.04746151,17.98597527,16.22890282,19.47056961,12.57923126,13.25757885,15.65855217,16.3273983,18.39589691,13.40097618,16.51917267,13.34197998,15.54410553,13.12368584,15.06886864,16.65331078
"Dab2",15.54354,17.07108307,17.64944839,18.15399933,13.19003868,14.67992783,15.7206831,15.10206223,17.42362022,14.26394558,13.68423557,13.92630482,17.66871262,15.47218037,14.9458828,14.60939026
"Igsf8",20.81427765,22.65433121,22.70449829,15.85383511,20.26254272,21.80222321,19.70105171,20.8905468,17.34463692,24.09333992,19.6457901,18.85023499,22.24114418,22.26084709,20.61011887,20.46505356
"Cyfip1;Cyfip2",21.89985085,23.17479897,22.11379051,23.20416451,21.84729195,21.62521172,21.746912,22.58835983,23.07091522,20.13582039,22.62171745,20.15968704,22.65120316,21.9436245,22.92728043,20.48912239
"Cd68",16.8358078,18.0246048,18.30950928,18.64041901,15.71174717,15.30488777,15.84727955,15.89788342,19.59822655,15.63170147,15.12170124,14.02856064,14.60954285,13.83761978,17.35945892,16.46264458
"Fasn",18.11690712,18.12362671,16.17396545,19.11720276,19.96135902,18.17526436,16.27396584,17.8985424,18.74764633,15.27800751,17.22132874,17.22371674,18.11295128,16.64440536,17.4925251,19.12808037
