"","F-Value","FDR (BH)","LPS-Control","diff LPS-Control"
"Rab11b;Rab11a",0.0159535067360204,0.989572428847272,0.903615043692087,0.120042802500002
"env;Mela;Fv4;F630007L15Rik",12.0656444514656,0.989572428847272,0.013246070677928,-3.71493410999999
"Tceb1",0.605229147489455,0.989572428847272,0.466150144187886,0.994063852499998
"Spata5;Katnal2",0.101361285119558,0.989572428847272,0.760992551963336,-0.334366084999999
"Tuba4a",9.90421659205511,0.989572428847272,0.019887871718702,-2.8609547625
"Gapdh",0.00150442160902387,0.992582192209888,0.970318666403311,0.0252718900000062
"S100a4",1.65218716328342,0.989572428847272,0.246043057896546,-1.49820232750002
"A0A0J9YVA2",0.0117610327719148,0.989572428847272,0.917175906155425,-0.1504716875
"Arl8b",0.78953065752946,0.989572428847272,0.408448966472565,-0.929151537499997
"Tmsb10",0.618555099491692,0.989572428847272,0.461508668728593,1.1989336025
"Lrp1",3.91547596574996,0.989572428847272,0.095187890724178,-1.22188473
"Pdia4",0.759033016977395,0.989572428847272,0.417123744813498,1.556640865
"Dab2",0.164883201918571,0.989572428847272,0.69878485135265,-0.508538720000026
"Igsf8",0.755338163238944,0.989572428847272,0.41819585943958,-1.15073275249997
"Cyfip1;Cyfip2",0.968169772949298,0.989572428847272,0.363135314461139,-0.756981852499997
"Cd68",0.111132385454781,0.989572428847272,0.750199974224856,-0.431454180000003
"Fasn",0.459370247675457,0.989572428847272,0.523180531005677,-0.392830369999999
"Ptov1",0.00107330308858653,0.993497631597098,0.974927582408367,0.0818517224999979
"Psmc4",2.4694651650367,0.989572428847272,0.16713506284251,-1.18631029
"Cd81",0.218338324691719,0.989572428847272,0.656796361590549,-0.616903542499998
"Rpl9",0.414736935008527,0.989572428847272,0.543392662988458,0.539789677499996
"Taldo1",0.00818016129647459,0.989572428847272,0.930877964528906,-0.0959427350000013
"Ldha",0.103200641382886,0.989572428847272,0.758917755314513,0.2874012025
"Rpl18a",1.28960050706405,0.989572428847272,0.299438485719542,-0.747636317499996
"Rps25",6.46067429993532,0.989572428847272,0.0439748856879272,2.46903658
"A0A1L1SQX6",0.00829284655861826,0.989572428847272,0.930405021661546,0.0823283175
"Cep295",0.657138818273065,0.989572428847272,0.448523215120429,1.0338606825
"Atp6v1b2",0.104712781227558,0.989572428847272,0.757227494284956,0.373749017500003
"Uba1",0.0467393773186784,0.989572428847272,0.836000106519519,-0.166162494999995
"Hist1h3b;Hist1h3e;H3f3a",0.031763339131198,0.989572428847272,0.864413244325949,0.254297017500001
"Cd63",0.00804826989824447,0.989572428847272,0.931435712766514,0.0684599874999989
"Tbca",1.35704867199545,0.989572428847272,0.288265424998114,1.209762335
"Rps24",0.0808248161421897,0.989572428847272,0.785739377246206,-0.441653249999995
"Anxa7",0.501746715045797,0.989572428847272,0.505307941911578,0.5507803
"Rpl36a",2.19848657983056,0.989572428847272,0.188665498853592,-0.940690517499995
"Rpl30",1.01459874750714,0.989572428847272,0.35268368394062,-1.1110396375
"Ube2l3",0.911247472447013,0.989572428847272,0.376644121716187,1.313685895
"env",12.52436618192,0.989572428847272,0.0122340172684778,-3.855929855
"Rpl10a",0.0607175006599055,0.989572428847272,0.813579068336719,0.191158057499997
"Khsrp",0.252594334968305,0.989572428847272,0.633164212333372,0.73602915
"Cdo1",3.02246333156498,0.989572428847272,0.132781195558789,-1.6849463025
"Colec12",1.78805426551334,0.989572428847272,0.229624438402611,1.1629745975
"H2-D1;H-2D;H2-L",0.810162090616534,0.989572428847272,0.402750986864784,0.680411817500001
"Add3",0.000207840573165796,0.995699764956928,0.988964976516939,-0.0208682974999945
"Fau;fau",0.375133121883142,0.989572428847272,0.562697210186531,1.087320805
"Actr1a",0.357566864048415,0.989572428847272,0.571724994208778,0.483195305000002
"Nars",2.36439580460875,0.989572428847272,0.175047957514066,1.6659421925
"Hist1h2bh;Hist1h2bj;Hist1h2bc;Hist1h2bm;Hist1h2bb;Hist2h2bb;Hist1h2bp;Hist1h2bk;Hist1h2bf;LOC665622;Hist1h2br;Hist2h2be;Hist3h2bb;Hist3h2ba",1.25223642795775,0.989572428847272,0.305914187350699,-0.4488501525
"Ddx5",0.755129304173303,0.989572428847272,0.418256602453787,-0.5910861475
"Rpl19",0.362192582407584,0.989572428847272,0.569318098059559,0.978752614999998
"Eftud2",0.216957723018909,0.989572428847272,0.657796189467174,0.836831807500005
"Hnrnpa3;Gm6793",0.187848218462475,0.989572428847272,0.679862098407086,0.418646577499999
"Cd44",0.0374629205777627,0.989572428847272,0.852911767963293,-0.158772470000002
"Set;BC085271",0.203376614998319,0.989572428847272,0.667848902530399,0.770369055000003
"Zdbf2",1.0989105003865,0.989572428847272,0.334884666277731,-1.411254885
"Clta",8.60905692304421,0.989572428847272,0.026146672215881,-1.2239489575
"Rpsa",0.258490821441756,0.989572428847272,0.62930616004288,-0.525185109999995
"Dip2b",0.228125016212302,0.989572428847272,0.649819529130303,0.513832567499996
"Epb41l2;Epb4.1l2",4.39111066941462,0.989572428847272,0.0809802519617512,2.68163109
"Flna",1.43643860897691,0.989572428847272,0.275902948246081,-0.897823334999998
"Anxa1",0.490691672365622,0.989572428847272,0.509856212443459,0.889665125000001
"Nap1l4",0.28178713339991,0.989572428847272,0.614597478970924,-0.239270922499998
"Hnrnpa2b1",0.549436323807998,0.989572428847272,0.486535357004301,-0.815026997499999
"Ddx3x;D1Pas1",0.0683373602522737,0.989572428847272,0.802515128924442,-0.301138160000001
"Rap1a;Gm9392",0.0647842143529739,0.989572428847272,0.807587028766286,0.242091655000003
"Rps19",0.0853626104012067,0.989572428847272,0.779996980482042,0.356229302499997
"Mov10",0.741748952590748,0.989572428847272,0.422179530494012,-1.2614398025
"Qdpr",3.86133495515751,0.989572428847272,0.0970165790260433,1.84204698
"Rps5",0.354094170217452,0.989572428847272,0.57354624001609,0.724035025000006
"Acsl1",0.570698893480315,0.989572428847272,0.478577945869273,0.984258412500004
"Eif4g1",0.047342611156627,0.989572428847272,0.834964309642403,-0.194037199999997
"Usp14",0.507104829051675,0.989572428847272,0.503131188388603,-0.575291389999997
"Cadm1",0.00533786051718826,0.989572428847272,0.944132555930594,-0.117182730000003
"Psap",0.00513817951713111,0.989572428847272,0.945185347044837,0.0765871975000039
"Gm20390;Nme2;Nme1",0.450304873119145,0.989572428847272,0.527164277871964,0.859460827500001
"44811",0.047567460429214,0.989572428847272,0.834580008734775,0.130907535000006
"Apob",0.963814923980406,0.989572428847272,0.364141021227414,-1.237409595
"Psmd13",0.198394347816692,0.989572428847272,0.67164030224375,-0.319424865000002
"Itgam",0.648861857648074,0.989572428847272,0.451253961866405,-0.883011342499998
"Ahnak",0.507617093338513,0.989572428847272,0.502924010471512,1.373022795
"Dst",3.70658612243784,0.989572428847272,0.1025172119116,4.442988635
"Nop2",0.613681176573319,0.989572428847272,0.463196626898691,0.459825752500002
"Dhx9",1.56970182972498,0.989572428847272,0.256865636553128,-1.25236368
"Spock2",0.463636523530622,0.989572428847272,0.521326057346528,1.3898911475
"Rps12",4.24714718262656,0.989572428847272,0.0849551745214942,1.8224115325
"Ahnak2",0.580582859336613,0.989572428847272,0.474959655399714,1.0142476575
"Copa",2.88507037107812,0.989572428847272,0.140320353799372,-0.991554022499997
"Atp5j2",0.510658859914113,0.989572428847272,0.501697131516852,1.07526827
"Spp1",1.91755432873334,0.989572428847272,0.215420447374127,-1.2920994775
"Serpinb6;Serpinb6a",0.224972819035553,0.989572428847272,0.652045885276086,0.677254439999999
"Dnm2",6.93300445711211,0.989572428847272,0.038899964150658,-1.6881945125
"St13",0.0673249361069569,0.989572428847272,0.803945533603435,-0.245528937499998
"Vdac2",0.793041886061574,0.989572428847272,0.407469734317271,1.638697145
"Olfr112;Olfr113",0.557304690004526,0.989572428847272,0.48356246388939,-1.22318721
"Prps1;Prps2;Prps1l3;Prps1l1",2.79719985416237,0.989572428847272,0.145458480085702,-0.944349047499998
"Pabpn1",0.12496792702739,0.989572428847272,0.735797164880123,0.700708152500006
"Rps28",0.110708568481648,0.989572428847272,0.750656772560115,-0.392647737499999
"Bicc1",0.0808566316351878,0.989572428847272,0.785698509951276,0.368573669999996
"Ctsa",0.347215579444429,0.989572428847272,0.577190645333053,1.08380532250001
"gag-pro-pol;gag-pol;gag",5.76271516412465,0.989572428847272,0.0532538231279656,-2.973292825
"Hnrnpl",0.0839766604089438,0.989572428847272,0.781732714274738,0.427836179999979
"Esd",1.0955884789805,0.989572428847272,0.335558976563049,1.1034894
"Srsf1",0.0149750370153648,0.989572428847272,0.906599880989637,-0.213132857500021
"Rpl10;Rpl10l",3.64553225131483,0.989572428847272,0.10480556958931,-2.533462765
"Adssl1",0.00290822653953054,0.989572428847272,0.958743320981817,0.0713682149999997
"Bsg",0.00994572490541064,0.989572428847272,0.923808757510196,0.0649557100000067
"Prdx6",0.14132780532499,0.989572428847272,0.719898013085019,0.499573707500005
"Prdx4",0.0564362390440983,0.989572428847272,0.820124111038146,0.303868292499999
"Sdcbp",0.554043011359414,0.989572428847272,0.484790740705287,-1.12684202
"Atox1",2.805489543537,0.989572428847272,0.14496262022749,2.4893484075
"Psmb1",0.0225822844007207,0.989572428847272,0.885472948106881,0.138207199999997
"Gsto1",0.608513652651666,0.989572428847272,0.464998384717817,1.04343343
"Rpl21",0.861747187567914,0.989572428847272,0.389068714012959,-1.155233145
"Anp32a",0.0584809791373149,0.989572428847272,0.816966293918681,-0.345306395000001
"Exoc4",0.651259153503016,0.989572428847272,0.450460035018481,0.550398110000001
"Anxa3",1.08518382914138,0.989572428847272,0.337684767053736,1.14593506
"Hnrnph1",0.287250654160258,0.989572428847272,0.611264011511308,-0.745424512499994
"Eif6",0.200305334509813,0.989572428847272,0.670179253527547,0.345217230000003
"Rpl35a",1.21314907866626,0.989572428847272,0.312920936877388,-1.3395142575
"Ncf2",0.152137987861032,0.989572428847272,0.709970924335167,-0.386979582499997
"Eif3d",1.55935655429396,0.989572428847272,0.258272462235144,-1.115882395
"Eef1b;Eef1b2",0.310094576066056,0.989572428847272,0.597764217919367,0.727052210000004
"Rps14;rps14",1.44167653924574,0.989572428847272,0.275115479331584,-1.68300486
"Wdr1",0.0107123405119257,0.989572428847272,0.920938608841601,0.115314009999999
"Tom1",0.0158743789158282,0.989572428847272,0.903852897451324,0.2800581475
"Idh1",0.928431545192906,0.989572428847272,0.372481485524067,1.372217175
"Gnpda1",0.178213935193027,0.989572428847272,0.687621362241918,0.973884342500007
"Lgmn",0.266071972535072,0.989572428847272,0.624428333152003,0.854397777500004
