"","F-Value","Pr(>F)","IL10-Control","LPS-Control","TGFB-Control","LPS-IL10","TGFB-IL10","TGFB-LPS","diff IL10-Control","diff LPS-Control","diff TGFB-Control","diff LPS-IL10","diff TGFB-IL10","diff TGFB-LPS"
"Rab11b;Rab11a",2.94107745008834,0.0762330531219067,0.800129483569823,0.999272863074552,0.109534039487762,0.733494839105882,0.416904837145786,0.089121556226998,-0.878388165,0.120042802499999,-2.4186775675,0.998430967499999,-1.5402894025,-2.53872037
"env;Mela;Fv4;F630007L15Rik",4.9389223914984,0.0184686096810762,0.0779799370809126,0.0134086140495047,0.208369747675241,0.744928665005804,0.926787756767403,0.40238529671994,-2.70348358,-3.71493411,-2.0942144375,-1.01145053,0.609269142500001,1.6207196725
"Tceb1",0.280063485514706,0.838771915142419,0.985080525510554,0.908037227072229,0.997902357337839,0.988140386336121,0.951815770763163,0.833195682164692,0.516702890000001,0.994063852500002,-0.265051364999998,0.477360962500001,-0.781754254999999,-1.2591152175
"Spata5;Katnal2",0.856155030721589,0.489993542573344,0.76147166026098,0.97999354177772,0.47603606456823,0.93005426832096,0.957398307465333,0.695839558581175,-0.858306647500001,-0.334366085000003,-1.295272115,0.523940562499998,-0.436965467499999,-0.960906029999997
"Tuba4a",3.46122261439302,0.0510948824737541,0.232974198909578,0.0550567468430617,0.911522663216804,0.810383962241011,0.540964417629,0.163166489457011,-1.9873447425,-2.8609547625,-0.643997192499999,-0.873610019999997,1.34334755,2.21695757
"Gapdh",0.965190821825596,0.440834654564109,0.893851563617144,0.999965144340797,0.76195962478774,0.910638036885191,0.372151141774372,0.737251696263541,0.394343374999998,0.0252718899999991,-0.550783637499997,-0.369071484999999,-0.945127012499995,-0.576055527499996
"S100a4",2.33513089679571,0.125440926768934,0.0977511939476573,0.606166308230722,0.329071079576729,0.569145909766873,0.855375003033766,0.951692543133166,-3.07241463750003,-1.49820232750003,-2.12345504750001,1.57421231,0.948959590000026,-0.625252719999974
"A0A0J9YVA2",0.94034322780913,0.451579328229243,0.590980929472841,0.99907375375794,0.999349360940026,0.513588114762648,0.522078656024502,0.999998701966919,1.4297859675,-0.150471687500001,-0.133680107500002,-1.580257655,-1.563466075,0.0167915799999996
"Arl8b",1.67665425946459,0.224658679553127,0.660159619178193,0.687349257168682,0.167086708903594,0.999960402576372,0.70787110915011,0.680935051614976,-0.968324185000007,-0.929151537500008,-1.8675816075,0.0391726474999992,-0.899257422499996,-0.938430069999995
"Tmsb10",2.5007018201813,0.109090743786614,0.944005850086043,0.804852785604559,0.401635299442014,0.98485649718994,0.184501341982959,0.105838238349071,0.736014604999994,1.1989336025,-2.1641714575,0.462918997500001,-2.9001860625,-3.36310506
"Lrp1",1.86288479932342,0.1896820646586,0.263676999044519,0.440432309459968,0.996872236307709,0.979191510385996,0.348770707631335,0.552879368572943,-1.52798342999999,-1.22188472999999,-0.16003513499999,0.3060987,1.367948295,1.061849595
"Pdia4",0.83388335292366,0.50069003339232,0.898180408544886,0.694890144542462,0.988264415819135,0.975640114068982,0.746603023098419,0.510928551998222,0.977200272499996,1.556640865,-0.449619767500002,0.579440592500003,-1.42682004,-2.0062606325
"Dab2",0.155188245021867,0.924327194538585,0.961571590922923,0.948165790256328,0.924391343719734,0.999936399903749,0.999058753190079,0.999801958576752,-0.456415415000031,-0.508538720000029,-0.58469366750003,-0.0521233049999985,-0.128278252499999,-0.076154947500001
"Igsf8",3.41010485287302,0.0530877815415624,0.973349267961789,0.765729441300432,0.192604479701605,0.523311711316347,0.352751535425676,0.0381117540134248,0.499714375000025,-1.15073275249998,2.53703499,-1.6504471275,2.03732061499997,3.68776774249997
"Cyfip1;Cyfip2",0.71190431153725,0.563400629435405,0.999995938534232,0.685421475573218,0.775527136076475,0.698047154761705,0.7871188598679,0.998402791376879,-0.0148901975000122,-0.756981852500012,-0.647451400000008,-0.742091654999999,-0.632561202499996,0.109530452500003
"Cd68",0.404465831481472,0.752508311507847,0.999991112255025,0.973948833841738,0.772207414510374,0.978686923002015,0.787291422633096,0.946662446026005,-0.0293438449999961,-0.431454179999996,-0.989127637499998,-0.402110335,-0.959783792500001,-0.557673457500002
"Fasn",4.41456762619794,0.0260181938348917,0.044782232619944,0.926065389455127,0.0906122759102855,0.125873678559956,0.975161445423227,0.238781276669773,-1.944269655,-0.392830369999995,-1.6793899525,1.551439285,0.2648797025,-1.2865595825
"Ptov1",1.05840515125225,0.402818125439589,0.46130232515441,0.999980374786,0.901803358623844,0.441460091885354,0.840021868710849,0.887405763881302,-3.32323837,0.0818517225000015,-1.5010087475,3.4050900925,1.8222296225,-1.58286047
"Psmc4",9.04775609700939,0.00208959490026782,0.0280668716595253,0.454483940934327,0.00180000045301754,0.329853440270317,0.416320898320774,0.0247039204521213,-2.570101735,-1.18631029,-3.81316614,1.383791445,-1.243064405,-2.62685585
"Cd81",1.15121580724616,0.36835908699154,0.804026116842359,0.967400703412947,0.817946881040393,0.968900947913884,0.330195426266894,0.563183222028799,-1.2235715375,-0.616903542500005,1.18585252999999,0.606667994999999,2.4094240675,1.8027560725
"Rpl9",1.36146780946753,0.301410328177208,0.99163134599118,0.908555803856316,0.6138276372987,0.980371908207121,0.453417744824362,0.276092119806173,0.230501652499999,0.5397896775,-1.0096471325,0.309288025000001,-1.240148785,-1.54943681
"Taldo1",0.0510639816470991,0.984015595839633,0.986075591955892,0.999763336962625,1,0.994056894370504,0.986076580197879,0.999763405620555,-0.379369739999998,-0.0959427349999977,-9.29999999854658e-06,0.283427005,0.379360439999999,0.0959334349999992
"Ldha",0.572663581208563,0.643725262693649,0.897518665703301,0.976989010149474,0.947163581953716,0.990923312354954,0.61795411395718,0.782691536324588,0.495716097499997,0.287401202499996,-0.386697765000001,-0.208314895000001,-0.882413862499998,-0.674098967499997
"Rpl18a",4.69413756845008,0.0216226813833985,0.223061739416978,0.874975542883501,0.0202905795250731,0.578342903854318,0.504047556270161,0.0744847443956477,-2.04659748,-0.7476363175,-3.4752588275,1.2989611625,-1.4286613475,-2.72762251
"Rps25",4.02033040260502,0.0341003660397571,0.946541720653083,0.110267027128782,0.836367439512579,0.256504116363873,0.534159234811083,0.0263306681168283,0.536551239999998,2.46903658,-0.8255171775,1.93248534,-1.3620684175,-3.2945537575
"A0A1L1SQX6",8.0203743609014,0.00336524172480522,0.0823411177942296,0.999659975698358,0.0093030104991132,0.0699529232324274,0.606150822260029,0.00786792429658656,-2.285612585,0.0823283175,-3.357436655,2.3679409025,-1.07182407,-3.4397649725
"Cep295",1.10514652315454,0.385057608854771,0.422525586344068,0.701610234661786,0.99628619907646,0.958978999934132,0.540141237348444,0.817375291665985,1.50194025,1.0338606825,0.203949452499998,-0.468079567499998,-1.2979907975,-0.82991123
"Atp6v1b2",1.40259522658062,0.289926340954195,0.92092295347773,0.976930374077711,0.456753866480831,0.735229825352527,0.80967309428862,0.269936602546015,-0.583404065000003,0.373749017499996,-1.4105289,0.9571530825,-0.827124834999999,-1.7842779175
"Uba1",5.7968106018921,0.0109461223639155,0.25787728926144,0.996744926619884,0.0155201814472694,0.342945625177748,0.372414716322712,0.0222613888335177,-1.5777575975,-0.166162494999995,-2.93843984499999,1.4115951025,-1.3606822475,-2.77227735
"Hist1h3b;Hist1h3e;H3f3a",0.0982031971619573,0.959510445731986,0.992459183552048,0.996473083839696,0.99631714449864,0.999908370991029,0.960259520211827,0.972913154906669,0.329136130000006,0.254297017500004,-0.258044004999995,-0.0748391125000012,-0.587180135000001,-0.512341022499999
"Cd63",0.523362210614022,0.674367806988138,0.999098999549379,0.999913529665342,0.706437599556276,0.999854761803856,0.779985512090931,0.7407113373746,0.149857759999993,0.0684599874999918,1.21389627749999,-0.0813977725000008,1.0640385175,1.14543629
"Tbca",1.14452566716057,0.370735608751028,0.986042261593522,0.531413885691658,0.981274511023398,0.726554799965945,0.890318295928947,0.33806964609743,0.2953500775,1.209762335,-0.327032085000003,0.9144122575,-0.622382162500003,-1.53679442
"Rps24",0.969295012037441,0.43908522456357,0.999878265956006,0.988084640728199,0.50327932538095,0.979163667741765,0.465641862966934,0.688013703374936,0.0943939699999952,-0.441653250000005,-1.97927165,-0.53604722,-2.07366562,-1.5376184
"Anxa7",3.87136128484604,0.0378864027518928,0.182872070850989,0.910322113041631,0.292973243450767,0.0620720082513183,0.988069180992019,0.106372306547626,-1.8250916,0.550780299999996,-1.5574965475,2.3758719,0.267595052500003,-2.1082768475
"Rpl36a",0.673302634536652,0.58473171316806,0.775368344827317,0.66495153425295,0.999180280654412,0.997138251287145,0.840311258350311,0.738636389944562,-0.780131817500003,-0.940690517500002,-0.105476380000002,-0.160558699999999,0.6746554375,0.8352141375
"Rpl30",1.64109106499864,0.232127029326477,0.969632415962037,0.680424070213427,0.214237554037365,0.901209364142194,0.396169620685476,0.777953430437653,-0.437039852500003,-1.1110396375,-2.0494995125,-0.673999784999999,-1.61245966,-0.938459874999999
"Ube2l3",0.728798403775504,0.55429170555559,0.594090987572216,0.727000091353499,0.990137678187501,0.99546850006066,0.765392121219959,0.876716242559404,1.6027939325,1.313685895,0.376806974999997,-0.2891080375,-1.2259869575,-0.936878920000002
"env",5.6106012952112,0.0122171332091084,0.207389533948435,0.00747110941339679,0.103157100100586,0.256884657063797,0.97031773722384,0.45825096927339,-1.99686575250001,-3.85592985500001,-2.41491055750001,-1.8590641025,-0.418044805000001,1.4410192975
"Rpl10a",0.152842414235956,0.925852415164353,0.994102528569142,0.989717875571216,0.990401998166039,0.943136578988144,0.999964134519262,0.929657631672036,-0.158111332500006,0.191158057499994,-0.186698197500004,0.34926939,-0.0285868649999976,-0.377856254999998
"Khsrp",0.194947287254599,0.897817441629189,0.87296734566261,0.969774701815957,0.962288104321969,0.98894797790407,0.992300068394087,0.999981775479269,1.2544939525,0.73602915,0.796377902500002,-0.518464802500002,-0.458116050000001,0.0603487525000013
"Cdo1",4.74828583305665,0.0208743639749174,0.0944275973872907,0.583774140843356,0.0186496861720151,0.579375071191281,0.784868069920011,0.167535408474293,-3.37975931499999,-1.68494630249999,-4.60316991749999,1.6948130125,-1.2234106025,-2.918223615
"Colec12",0.838185791990072,0.498605911499748,0.991210232321754,0.666685406100235,0.914539794167824,0.500369856539772,0.786846704064147,0.9565375638732,-0.291278602499998,1.1629745975,0.653695105000001,1.4542532,0.944973707499999,-0.509279492499999
"H2-D1;H-2D;H2-L",3.80797804921272,0.0396431559139579,0.175675327328093,0.793858556890589,0.597027378056526,0.037687905450321,0.784927932589544,0.1804076153097,-1.6309366225,0.680411817499998,-0.937855480000003,2.31134844,0.693081142499999,-1.6182672975
"Add3",0.413047488736014,0.746691352211448,0.84484851954363,0.999998548627753,0.99695643240245,0.837550322298262,0.741740281407047,0.997604990812602,1.0931642075,-0.0208682975000016,-0.268786667499999,-1.114032505,-1.361950875,-0.247918369999997
"Fau;fau",0.347820336788429,0.791435037680402,0.8788211185556,0.875499090654136,0.999962223784235,0.999999807146298,0.897265579249631,0.894196708863832,1.0757472525,1.087320805,0.0672364250000044,0.0115735524999998,-1.0085108275,-1.02008438
"Actr1a",5.09671824113386,0.0167182313538198,0.33364373523409,0.930702556729261,0.0591685446869078,0.137141757547915,0.694870606578326,0.0208959373947869,-1.42891573749999,0.483195305000006,-2.31954216999999,1.9121110425,-0.8906264325,-2.802737475
"Nars",2.75181528654643,0.0887242722041778,0.893091399757371,0.291235684468073,0.957405473395496,0.097862006737687,0.996793588180599,0.136747670427417,-0.628930332500001,1.6659421925,-0.446356295000001,2.294872525,0.1825740375,-2.1122984875
"Hist1h2bh;Hist1h2bj;Hist1h2bc;Hist1h2bm;Hist1h2bb;Hist2h2bb;Hist1h2bp;Hist1h2bk;Hist1h2bf;LOC665622;Hist1h2br;Hist2h2be;Hist3h2bb;Hist3h2ba",3.378874253668,0.0543494276493808,0.832252248980919,0.860781294355936,0.0453145498918698,0.999909334378613,0.183731002722021,0.166872268598511,-0.484398362500002,-0.448850152500004,-1.73483991,0.0355482099999982,-1.2504415475,-1.2859897575
"Ddx5",1.42181073124002,0.284725560654273,0.45362213714605,0.868313203261814,0.278204828761761,0.870885519681207,0.981103960835633,0.676080650353983,-1.1775386325,-0.591086147499997,-1.4674201025,0.586452485000002,-0.289881469999997,-0.876333955
