"","Norm_BV2_control_1_cell","Norm_BV2_TGFB_1_cell","Norm_BV2_IL10_1_cell","Norm_BV2_LPS_1_cell","Norm_BV2_control_2_cell","Norm_BV2_TGFB_2_cell","Norm_BV2_IL10_2_cell","Norm_BV2_LPS_2_cell","Norm_BV2_control_3_cell","Norm_BV2_TGFB_3_cell","Norm_BV2_IL10_3_cell","Norm_BV2_LPS_3_cell","Norm_BV2_control_4_cell","Norm_BV2_TGFB_4_cell","Norm_BV2_IL10_4_cell","Norm_BV2_LPS_4_cell"
"Rab11b;Rab11a",17.040802,17.58403778,18.88472939,18.77541733,17.9900883618779,16.1339587218779,18.9633435218779,19.0418938618779,20.287955056241,17.811522256241,16.857972866241,17.849913366241,20.1602117836017,14.2748281736017,17.2594587636017,20.2920038536017
"env;Mela;Fv4;F630007L15Rik",21.14309692,15.93380356,16.95815849,14.10713863,18.533781016027,16.543399776027,15.991487466027,16.643484076027,17.5088534295753,18.0416312195753,18.1975130995753,14.0893263795753,19.2351871786825,17.5252262386825,14.4598251686825,16.7212330186825
"Tceb1",14.71286678,17.89873314,18.14214134,17.65477943,17.9686622325141,19.5141658525141,15.1327256925141,16.3185739225141,19.4641215051515,13.5471131051515,16.2540775951515,18.9563929251515,15.0646243035778,15.1900572635778,19.7481417535778,18.2567839535778
"Spata5;Katnal2",16.89819336,17.95152092,17.3051815,19.58266068,19.0669146278721,16.0961027778721,16.4923306178721,19.8112440778721,18.77622497956,17.13883006956,18.57496536956,17.27090537956,19.4658312043002,17.8396219443002,18.4014600943002,16.2048896943002
"Tuba4a",18.58497238,16.23331642,18.29041481,15.79519081,19.7580280073042,18.2692603873042,14.3877877973042,16.3314819073042,19.8635068298859,18.1543431598859,16.5622983298859,14.6572289798859,16.3337629806981,19.3073614606981,17.3503902906981,16.3125494506981
"Gapdh",22.48735619,23.93109322,23.51290894,23.99911499,22.816297174864,23.197585694864,23.606580374864,24.265508294864,24.921738212774,22.058336802774,24.064217152774,22.850044792774,23.8036579297018,22.6388992397018,24.4227165397018,23.0154689897018
"S100a4",19.61000443,20.08534622,14.68175888,20.18751907,18.2338679821379,16.7735827921379,19.3183883221379,20.1535171021379,21.8041635290474,18.6079183390474,17.0824151790473,17.9217382190473,21.9742718037925,17.6616402037925,18.2500868137925,17.3667240437925
"A0A0J9YVA2",13.81757832,14.4926033,18.04403687,14.27586651,13.0054574661273,14.8049493461273,14.6389051161273,17.8013778361273,16.177930602951,14.066026462951,16.079887162951,14.056342852951,16.2970223528947,15.3996892028947,16.2543034628947,12.5625147928947
"Arl8b",16.38103676,17.73401451,18.12935448,18.39962006,18.8141107477163,16.3082065477163,16.4931564177163,18.9994401777163,20.3773621088079,16.1775597088079,18.3253181988079,16.1063497988079,18.9754186668468,16.8578210868468,17.7268024468468,17.3259120968468
"Tmsb10",13.73273468,17.68185997,17.47330284,19.99232292,16.6096988382857,14.9584918682857,17.9496007582857,19.1591954882857,19.9865956601724,12.4197926801724,18.6657338501724,17.6090093001724,18.7324934895202,15.3446923195202,17.9169436395202,17.0967293695202
"Lrp1",18.30415535,18.67700005,18.69959831,18.11421776,18.2014731186705,18.3267878286705,19.4969767286705,17.8249319786705,20.0371588952,20.0723647352,16.5921887652,17.3346575952,20.2760450933446,19.1025393033446,15.9181349333446,18.6574862033446
"Pdia4",13.04746151,17.98597527,16.22890282,19.47056961,14.7823970684195,15.4607446584195,17.8617179784195,18.5305641084195,19.7501282739967,14.7552075439967,17.8734040339967,14.6962113439967,17.0441306221157,14.6237109321157,16.5688937321157,18.1533358721157
"Dab2",15.54354,17.07108307,17.64944839,18.15399933,15.637564820686,17.127453970686,18.168209240686,17.549588370686,19.9147723195125,16.7550976795124,16.1753876695124,16.4174569195124,19.285794735,17.089262485,16.562964915,16.226472375
"Igsf8",20.81427765,22.65433121,22.70449829,15.85383511,20.161099279557,21.700779769557,19.599608269557,20.789103359557,17.969619967331,24.718322967331,20.270773147331,19.475218037331,21.5417720226808,21.5614749326808,19.9107467126809,19.7656814026809
"Cyfip1;Cyfip2",21.89985085,23.17479897,22.11379051,23.20416451,22.5000218806552,22.2779416506552,22.3996419306552,23.2410897606552,24.1531627067043,21.2180678767043,23.7039649367043,21.2419345267043,23.242146038152,22.534567378152,23.518223308152,21.080065268152
"Cd68",16.8358078,18.0246048,18.30950928,18.64041901,17.9862098918993,17.5793504918993,18.1217422718993,18.1723461418993,21.6712676015122,17.7047425215122,17.1947422915122,16.1016016915122,16.9350444089331,16.1631213389331,19.6849604789331,18.7881461389331
"Fasn",18.11690712,18.12362671,16.17396545,19.11720276,19.8097500476856,18.0236553876856,16.1223568676856,17.7469334276856,19.5171542609952,16.0475154409952,17.9908366709952,17.9932246709952,18.1513862625,16.6828403425,17.5309600825,19.1665153525
"Ptov1",23.66830444,14.39368248,14.64378357,15.77353668,15.5996969283416,18.2376077683416,17.2949750983416,16.5928991383416,16.6687985768471,17.3542062168471,10.1970979068471,23.1498795868471,16.6729263724209,16.6201948624209,17.1809162624209,17.4208178024209
"Psmc4",18.14767265,16.03812027,14.52534771,19.21851158,19.3107292118421,14.3606483418421,17.0214187618421,17.0393173218421,20.2377816219767,14.0516568219767,16.4340382619767,17.4765587819767,17.844316638643,15.837410128643,17.279288448643,17.060871278643
"Cd81",19.11264992,19.64870262,20.65773773,15.41747761,16.5754130499254,19.9438784799254,19.0326159699254,19.3606017299254,19.4974573116619,21.6284769116619,15.8006218016619,18.3798044216619,20.5021756852761,19.2100480752761,15.3024343152761,20.0621980352761
"Rpl9",17.91190529,19.18685341,17.58915138,20.05571365,18.8821496766929,16.4790038866929,18.7564744766929,20.1341810066929,20.4686375671325,17.0405407971325,19.5370999471325,17.8705903171325,17.5921222424212,18.1098281524212,19.8940955824212,18.9534885124212
"Taldo1",15.04061604,18.9010601,15.4939146,17.95707703,17.5952011231712,17.0440384031712,15.2851329931712,17.4328781231712,19.1202018775807,15.4921749175807,16.2632654175807,16.8739984575807,16.1502689124767,16.4689773324767,19.3464959824767,15.2585634024767
"Ldha",20.43544006,22.33732605,22.89564896,22.34601212,20.721454924527,22.127373054527,21.976599044527,23.159164734527,23.7950122908772,20.5597427508772,22.6649864308772,21.3213451508772,22.7626386822483,21.1433130422483,22.1601759122483,22.0376287622483
"Rpl18a",20.42843056,20.67104721,17.94434738,19.82956886,21.59600077,15.94861327,19.50486766,20.94875346,22.7442923478358,17.2862902578358,18.1420803978358,20.6629324878358,20.0262429997222,16.9879806297222,21.0172813197222,20.3631665997222
"Rps25",17.87955093,19.79528236,17.70945549,19.02732086,17.5905867904767,17.1846591304767,18.9649764404767,20.2782527304767,19.2149750332376,16.0534836432376,18.9076382332376,19.4877792932376,17.1140191278597,15.4636380378597,18.3632666778597,22.8819253178597
"A0A1L1SQX6",18.5045681,18.55255318,17.4448719,19.25474358,20.4392699001987,16.3019408001987,17.5856674901987,19.2415522301987,21.7909756734844,15.0197573734844,16.8477679334844,20.0861321434844,18.4725410164167,15.9033567164167,18.1865970264167,20.9542400064167
"Cep295",18.16026497,19.23127747,18.96123314,18.95975304,15.1678080051679,18.1888823051679,20.2372927151679,21.2618326651679,19.8434370585714,17.7810972785714,19.7244432985714,17.9211996585714,19.259688965,18.045739755,19.515990845,18.423856365
"Atp6v1b2",16.12422752,18.80063438,18.11510658,20.40702629,18.9895705155569,16.9794815855569,17.7165106655569,19.6419428755569,21.1160368647293,16.1690878647293,18.0052084647293,18.6742720347293,18.9774502274903,17.6159656974903,19.0368431574903,17.9790399974903
"Uba1",18.83359718,18.20957375,17.53671074,19.85837173,20.6176191075622,16.5821853375622,17.5251241475622,19.6017614075622,20.8926254145902,15.1649566445902,19.8053222445902,18.2383914745902,18.6663191400306,17.2996857300306,17.8319733200306,20.6469862500306
"Hist1h3b;Hist1h3e;H3f3a",22.84949875,21.72862434,21.36042213,21.97812653,22.3890181938134,21.7296363338134,21.7210151138134,22.0664855438134,24.3363078724684,20.5677112224684,20.8771785324684,22.0501197424684,17.7357981600995,22.2524750600995,24.6685517200995,22.2330792300995
"Cd63",18.78532982,20.48818588,21.61006737,18.57669258,18.181268522451,20.231788472451,20.376630612451,20.451860262451,19.9718172992491,23.2948687592491,16.7240212392491,19.8433134992491,21.1339491282055,18.9131067682055,19.9610765882055,19.4743383782055
"Tbca",16.84485435,17.69232941,18.08185005,18.36214447,15.2431399711009,16.1650512111009,18.9740865111009,20.0932462111009,19.4955276660428,17.6641983260428,16.2753490660428,17.7791217960428,18.1626593115,16.9164740115,17.5962959815,18.3507181615
"Rps24",16.14134979,18.28409767,18.02523041,19.41394043,18.8602673799742,16.2398783999742,16.4008490899742,20.2311265299742,21.5673069194366,14.6342214794366,20.0560726394366,15.6409458394366,17.660321272963,17.153961212963,20.124669102963,17.176619562963
"Anxa7",16.56818199,17.86295891,16.01905251,18.24681664,17.8607789269737,16.7887440869737,15.9293118669737,17.9739304769737,19.8963603729354,13.8170356529354,16.5665597629354,18.2191428929354,17.1298967874317,16.7564932374317,15.6399275374317,19.2184492674317
