"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dnah7c|ENSMUSG00000101337",995.168687434611,-0.474646470893406,0.0924316597918763,-5.13510708302916,2.81983420958697e-07,0.000275341144820559
"Dcaf6|ENSMUSG00000026571",2778.12638340562,-0.209759551326328,0.0604801453686212,-3.46823821351391,0.000523882674911807,0.0434328391238203
"Fam178b|ENSMUSG00000046337",1475.55507871019,-0.259668284473533,0.0702793080566684,-3.69480422693055,0.000220056273143234,0.0254454543208256
"Kcnj10|ENSMUSG00000044708",10849.247163158,-0.203518826999365,0.0539361770897009,-3.77332688338096,0.000161085007504417,0.0207178717914373
"Cd244a|ENSMUSG00000004709",4627.50661710142,-0.178911913908754,0.0507498983373243,-3.52536497156236,0.000422899709550813,0.0387129442451306
"Mrc1|ENSMUSG00000026712",8300.9370132023,-0.302002327933259,0.0685473846485102,-4.40574544866786,1.05420704140268e-05,0.00280738529692325
"Cnbd2|ENSMUSG00000038085",6790.10454923033,-0.172783589939685,0.0490030161537962,-3.52597867440248,0.000421920942134816,0.0387129442451306
"Pip4k2a|ENSMUSG00000026737",842.862549750531,-0.349377647686513,0.0795938397155,-4.38950613433562,1.1360837388621e-05,0.00293644232268239
"|ENSMUSG00002076785",1500.20884857457,-0.27050030417202,0.0759663921851546,-3.56078913834322,0.000369741919873989,0.0353183912157893
"Garnl3|ENSMUSG00000038860",4597.87616247043,-0.228957427601369,0.0671007178840626,-3.41214572393942,0.00064453647277167,0.0475982060732557
"Cutal|ENSMUSG00000026870",11499.6118752802,-0.223186552310332,0.0652679273015279,-3.41954404771035,0.000627261762965347,0.0475204859736161
"Gm42814|ENSMUSG00000106568",187.301009525673,-0.531230909449588,0.155888715913886,-3.4077572987582,0.000654991241725598,0.0479671919357046
"Gm40123|ENSMUSG00000105961",1290.19027760627,-0.275809374230757,0.0770682998916531,-3.57876551861797,0.000345221024184231,0.0337089151170113
"1700013F07Rik|ENSMUSG00000027886",12981.7019464951,-0.172286573084012,0.0477146093548781,-3.61077195042358,0.000305287008323004,0.0309687884180571
"Rnf207|ENSMUSG00000058498",1595.41300477616,-0.265975847897334,0.0682839094753587,-3.89514674746787,9.8139295035599e-05,0.0163081547955705
"Klf4|ENSMUSG00000003032",3302.16693443906,-0.273047023326126,0.0607247196697604,-4.49647235608561,6.90901573905306e-06,0.00202388101049328
"Dnaja1|ENSMUSG00000028410",6617.37314263337,-0.226555676583784,0.0474058198437266,-4.77906884282617,1.76108891816551e-06,0.000859802745157693
"Tesk1|ENSMUSG00000028458",1196.04611886252,-0.250414816589833,0.0726880671193928,-3.44506088156833,0.000570930782645704,0.0460306396136738
"Cd72|ENSMUSG00000028459",1788.35866966311,-0.440483072395035,0.0944039300561072,-4.66593998929115,3.07209358815127e-06,0.00109308652911833
"Frmpd1|ENSMUSG00000035615",76.1627558839414,-1.29481874144259,0.295911506335751,-4.37569582026811,1.21045717544406e-05,0.00303928504508639
"Fbxl18|ENSMUSG00000066640",2533.86984951189,-0.221177091452989,0.0640970539709167,-3.45065923861875,0.000559219159049251,0.0455038700900446
"2010310C07Rik|ENSMUSG00000101268",2895.42805909827,-0.399508889729476,0.069934280359445,-5.71263317040082,1.11241301814718e-08,1.62931426724623e-05
