"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dnah7c|ENSMUSG00000101337",995.168687434611,-0.474646470893406,0.0924316597918763,-5.13510708302916,2.81983420958697e-07,0.000118513603494355
"Col19a1|ENSMUSG00000026141",1145.8072591021,-0.244793977793739,0.0830576588567457,-2.94727760405514,0.00320585260852599,0.0693501351050254
"Dcaf6|ENSMUSG00000026571",2778.12638340562,-0.209759551326328,0.0604801453686212,-3.46823821351391,0.000523882674911807,0.0202797740735597
"Fam178b|ENSMUSG00000046337",1475.55507871019,-0.259668284473533,0.0702793080566684,-3.69480422693055,0.000220056273143234,0.0113579922032876
"Rgs20|ENSMUSG00000002459",2691.98261702571,-0.190162910396841,0.059053310313328,-3.22019052594792,0.00128105425775386,0.0380693093566853
"Kcnj10|ENSMUSG00000044708",10849.247163158,-0.203518826999365,0.0539361770897009,-3.77332688338096,0.000161085007504417,0.0092923939623136
"Speg|ENSMUSG00000026207",4535.68276549998,-0.149478183820276,0.0539613354833411,-2.77009793181309,0.00560394404831751,0.0947517436215524
"|ENSMUSG00000120654",2441.64306780786,-0.21220057811959,0.0633968242194802,-3.34717993735697,0.00081638200301746,0.0269864702570491
"Cd244a|ENSMUSG00000004709",4627.50661710142,-0.178911913908754,0.0507498983373243,-3.52536497156236,0.000422899709550813,0.018031462978239
"Mrc1|ENSMUSG00000026712",8300.9370132023,-0.302002327933259,0.0685473846485102,-4.40574544866786,1.05420704140268e-05,0.0011928758137718
"Cnbd2|ENSMUSG00000038085",6790.10454923033,-0.172783589939685,0.0490030161537962,-3.52597867440248,0.000421920942134816,0.018031462978239
"Pip4k2a|ENSMUSG00000026737",842.862549750531,-0.349377647686513,0.0795938397155,-4.38950613433562,1.1360837388621e-05,0.00123791050360455
"|ENSMUSG00002076785",1500.20884857457,-0.27050030417202,0.0759663921851546,-3.56078913834322,0.000369741919873989,0.0167350881272196
"Garnl3|ENSMUSG00000038860",4597.87616247043,-0.228957427601369,0.0671007178840626,-3.41214572393942,0.00064453647277167,0.0223085447399324
"Cutal|ENSMUSG00000026870",11499.6118752802,-0.223186552310332,0.0652679273015279,-3.41954404771035,0.000627261762965347,0.0222337844173982
"Morrbid|ENSMUSG00000074813",1913.98520078329,-0.185838187392603,0.0683385932357212,-2.71937390855543,0.00654056265159285,0.098550289545645
"Upf3b|ENSMUSG00000036572",9382.10908297592,-0.150920523759144,0.052009862871947,-2.90176738459635,0.00371063961295042,0.0761637130083409
"Slc38a5|ENSMUSG00000031170",7565.83871368371,-0.169092815632944,0.050493138438105,-3.34882760041188,0.000811542759470635,0.0269864702570491
"Gm35507|ENSMUSG00000105102",1554.12379698223,-0.224066764586119,0.0780342936709327,-2.87138838638047,0.00408673072271305,0.0816848036689392
"Ssx2ip|ENSMUSG00000036825",8419.00288769731,-0.132879939438347,0.0478754034693627,-2.77553670170909,0.00551106787398901,0.0937200097414779
"Gm40123|ENSMUSG00000105961",1290.19027760627,-0.275809374230757,0.0770682998916531,-3.57876551861797,0.000345221024184231,0.0161212738595239
"1700013F07Rik|ENSMUSG00000027886",12981.7019464951,-0.172286573084012,0.0477146093548781,-3.61077195042358,0.000305287008323004,0.014548037042366
"Tpm3|ENSMUSG00000027940",10359.8103371621,-0.152646253229671,0.048257636333733,-3.16315229726593,0.00156070661541014,0.0445786297333654
"Nup210l|ENSMUSG00000027939",11059.0645346132,-0.139808803767908,0.0507774094055255,-2.75336621944117,0.00589858722731285,0.0974923799031147
"Zfp933|ENSMUSG00000059423",3355.28230043177,-0.181545014913425,0.0635944798985282,-2.85472914006215,0.00430735470289724,0.0839221028869118
"Rnf207|ENSMUSG00000058498",1595.41300477616,-0.265975847897334,0.0682839094753587,-3.89514674746787,9.8139295035599e-05,0.00737040264014194
"Faah|ENSMUSG00000034171",2892.04955016388,-0.169189802021591,0.0573719367721941,-2.94899931116829,0.00318804686634055,0.0693501351050254
"Id3|ENSMUSG00000007872",5021.90600271824,-0.199633394980417,0.0617793205141514,-3.23139512249392,0.00123187521590043,0.0369813967875415
"Klf4|ENSMUSG00000003032",3302.16693443906,-0.273047023326126,0.0607247196697604,-4.49647235608561,6.90901573905306e-06,0.000846930179345587
"Snx30|ENSMUSG00000028385",4803.5740863822,-0.142007375219102,0.0504696736503075,-2.81371693034986,0.00489723311285242,0.0879196542529653
"Aco1|ENSMUSG00000028405",3906.40287871278,-0.162284979123144,0.0522432874631295,-3.10633168400201,0.00189424112279442,0.0494156905424078
"Dnaja1|ENSMUSG00000028410",6617.37314263337,-0.226555676583784,0.0474058198437266,-4.77906884282617,1.76108891816551e-06,0.000345408239816195
"Pdp1|ENSMUSG00000049225",1248.79208694003,-0.198726967236788,0.0708804987519321,-2.80369030602188,0.00505214070552837,0.0889339348133838
"Osgin2|ENSMUSG00000041153",2541.26055624215,-0.180330647971157,0.059717786887489,-3.0197141818217,0.00253013327960118,0.0600294524886022
"Tesk1|ENSMUSG00000028458",1196.04611886252,-0.250414816589833,0.0726880671193928,-3.44506088156833,0.000570930782645704,0.021534337981329
"Cd72|ENSMUSG00000028459",1788.35866966311,-0.440483072395035,0.0944039300561072,-4.66593998929115,3.07209358815127e-06,0.000432471835484954
"Creb3|ENSMUSG00000028466",1708.84219822021,-0.246057013599412,0.0756096177268144,-3.25430839352266,0.0011366881010081,0.0348347540954772
"Alg2|ENSMUSG00000039740",1898.33021784206,-0.183629577607533,0.0659653366010124,-2.78372834990907,0.00537380205004325,0.0924545358551301
"Atp5j2|ENSMUSG00000038690",17232.9004153704,-0.153115382432229,0.0501666510470769,-3.0521348193752,0.00227220020829082,0.0557067751065966
"Fbxl18|ENSMUSG00000066640",2533.86984951189,-0.221177091452989,0.0640970539709167,-3.45065923861875,0.000559219159049251,0.0213665294275701
"Mrps17|ENSMUSG00000034211",3438.11264869881,-0.15439997112777,0.0545820919010838,-2.82876609800117,0.00467278367942342,0.0879196542529653
"Srrt|ENSMUSG00000037364",1774.21091042101,-0.196695831498181,0.0697751892852113,-2.8189938789585,0.00481744367786718,0.0879196542529653
"Zdhhc4|ENSMUSG00000001844",1155.40659467673,-0.214198579907162,0.0722571494778536,-2.96439288644805,0.00303280804916381,0.0670866261702251
"4933404O12Rik|ENSMUSG00000097908",2829.36095842971,-0.166070572040675,0.0610796420868925,-2.71891855234551,0.00654957333197531,0.098550289545645
"2010310C07Rik|ENSMUSG00000101268",2895.42805909827,-0.399508889729476,0.069934280359445,-5.71263317040082,1.11241301814718e-08,6.54543819877799e-06
"Casc1|ENSMUSG00000043541",717.86594945955,-0.267721383570887,0.0969685055343113,-2.7609106904938,0.00576404362363383,0.0963906447549011
"Igf2bp3|ENSMUSG00000029814",6362.0874440728,-0.175008019854683,0.0512703531616416,-3.4134350372608,0.000641494502745436,0.0223085447399324
"Bmt2|ENSMUSG00000042742",3621.57898170669,-0.210331911364499,0.0582690136662108,-3.60967001379787,0.00030658677655564,0.014548037042366
"Tfec|ENSMUSG00000029553",1582.60287563179,-0.220384203614451,0.0708451970200445,-3.11078538679336,0.00186590495959837,0.0494156905424078
"Capza2|ENSMUSG00000015733",9374.24347597071,-0.133762937518151,0.0475232231910169,-2.81468571650745,0.00488249571584299,0.0879196542529653
"Crhr2|ENSMUSG00000003476",8100.33341394423,-0.160188731199119,0.04679424831234,-3.42325685263495,0.000618755802145477,0.0221997508525853
