"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sp100|ENSMUSG00000026222",1570.09671160435,0.203393336789728,0.069822369399761,2.91301109570229,0.00357961881848606,0.0752231325998999
"Dyrk3|ENSMUSG00000016526",8259.12656394578,0.242439046352381,0.0494806203354006,4.89967677666582,9.59944460412039e-07,0.000282415660253222
"Dst|ENSMUSG00000026131",10079.600148344,0.294777114891327,0.0592063570037168,4.97880852342969,6.39768965854621e-07,0.000235275037193037
"H2al1o|ENSMUSG00000061065",1336.46682884536,0.668614797732121,0.174701242853411,3.82718970289836,0.000129614622240226,0.00847391596957213
"Gm52997|ENSMUSG00000118573",914.065792780309,0.678509437968374,0.192757005706217,3.52002478707569,0.000431506470724116,0.0181356005267193
"Cgn|ENSMUSG00000068876",715.55879529343,0.711007394093829,0.204428380720178,3.47802683555498,0.000505119352654685,0.0202797740735597
"Gm3513|ENSMUSG00000089746",2438.03518507824,0.233316084050367,0.0599630257608491,3.89099917974292,9.98322704732998e-05,0.00737040264014194
"4930589L23Rik|ENSMUSG00000068957",699.533378671831,0.276172130204718,0.0939748593513463,2.93878737474016,0.00329499035000569,0.0697400115806959
"4932438A13Rik|ENSMUSG00000037270",952.489187968138,0.313436194744586,0.093016276723597,3.36969190538532,0.000752522709281615,0.0254473771345576
"Slc7a11|ENSMUSG00000027737",699.741102588141,0.490193043353594,0.121228374736186,4.04355040163113,5.26478320609385e-05,0.00469363399767518
"Man1a2|ENSMUSG00000008763",4947.56754441621,0.224429469533703,0.0517799892659883,4.33428961100847,1.46231561179906e-05,0.0015364759035403
"Gnai3|ENSMUSG00000000001",12244.4703910749,0.233730006289574,0.065878594067606,3.54789001795811,0.000388330339375544,0.0173093441143381
"She|ENSMUSG00000046280",1452.22114110455,0.227592347447847,0.0728641758173289,3.12351501811292,0.00178704745090445,0.0488943098929884
"Ahdc1|ENSMUSG00000037692",815.986566842143,0.274119743499026,0.092117164938211,2.97577268778187,0.00292251397297277,0.0651366371854993
"Tmem245|ENSMUSG00000055296",3175.38682409856,0.18061521767078,0.0661299617835958,2.73121612049053,0.00631010768873222,0.098550289545645
"Col15a1|ENSMUSG00000028339",812.989222463175,0.374969130244175,0.0963910045141034,3.89008426807412,0.000100209417269095,0.00737040264014194
"Tmem38b|ENSMUSG00000028420",3346.64185380064,0.411899786873216,0.0590803425857631,6.9718584701043,3.1278114000506e-12,4.60101056947443e-09
"Ddx54|ENSMUSG00000029599",1444.78400020664,0.484493913497601,0.102937443885097,4.70668296405741,2.51780011040966e-06,0.000399173322609437
"Fam20c|ENSMUSG00000025854",1833.280889246,0.296546977384076,0.0807357859161314,3.67305494111533,0.000239667927811141,0.0119508990444132
"Zan|ENSMUSG00000079173",2410.54579133796,0.364360844937494,0.0659942849011037,5.52109694776615,3.36889828006262e-08,1.65188312332404e-05
"Gm19253|ENSMUSG00000107758",1290.54444439089,0.270186905772131,0.0870012452629922,3.10555216716031,0.00189924116092127,0.0494156905424078
"Zfp60|ENSMUSG00000037640",721.291112973381,0.250865723735952,0.0895305386558221,2.80201289417394,0.00507848438091383,0.0889339348133838
"Bag3|ENSMUSG00000030847",7178.1356010196,0.164929476029269,0.0552023376463655,2.98772630039387,0.00281061130855217,0.0636062959212345
"Tmc7|ENSMUSG00000042246",2332.23822852149,0.307944407085476,0.0661482038548845,4.65537065467479,3.23398381395955e-06,0.000432471835484954
"Slc25a22|ENSMUSG00000019082",1247.73393607755,0.296906912830388,0.085463303478024,3.47408654647587,0.00051259566843117,0.0202797740735597
"LOC102637012|ENSMUSG00000111473",4231.36059121904,1.93071503848352,0.519986042274281,3.71301319942952,0.000204806201177716,0.010759640069015
"Gm32816|ENSMUSG00000108668",1796.733820092,0.200019476447253,0.0688579140052902,2.90481463658463,0.00367470655695524,0.0761337090884669
"Gm34589|ENSMUSG00000115816",1877.22972986007,0.923418381850129,0.23927377860459,3.8592543956775,0.000113733495768726,0.00760463510344524
"Styx|ENSMUSG00000053205",966.514121240812,0.415218421005244,0.097880467589225,4.24209682720143,2.21441109600747e-05,0.00217159914815133
