"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Npl|ENSMUSG00000042684",71.3452820681808,0.937419280087037,0.259299697525803,3.61519619587583,0.00030012024447031,0.0309687884180571
"Dyrk3|ENSMUSG00000016526",8259.12656394578,0.242439046352381,0.0494806203354006,4.89967677666582,9.59944460412039e-07,0.000648922455238539
"Gm38262|ENSMUSG00000102733",157.898926611554,0.665487798848475,0.181484865072001,3.6669052187049,0.000245503741030494,0.0269685859521998
"Bend6|ENSMUSG00000042182",240.414768844618,0.78356222454031,0.159146952618285,4.92351384458921,8.50038599721472e-07,0.000625421964827985
"Dst|ENSMUSG00000026131",10079.600148344,0.294777114891327,0.0592063570037168,4.97880852342969,6.39768965854621e-07,0.000562228967193041
"Gm26788|ENSMUSG00000096992",462.97190220923,0.39559064744097,0.104906542988299,3.77088631626241,0.000162668770324212,0.0207178717914373
"Slc12a1|ENSMUSG00000027202",138.197754343676,0.698845302926957,0.181781741420858,3.84441967309028,0.000120838057544441,0.0179987262661109
"F830045P16Rik|ENSMUSG00000043727",546.052956498002,0.917864902388626,0.132967089411839,6.90294798847346,5.09342828126564e-12,1.49203492452542e-08
"Prex1|ENSMUSG00000039621",129.894461520322,0.72606796156628,0.189477975333071,3.83193856853269,0.000127137489326737,0.018621404270056
"Gm14097|ENSMUSG00000084839",302.336103907879,0.427564105854811,0.125247439781214,3.41375525600917,0.000640741060467265,0.0475982060732557
"Ralgapa2|ENSMUSG00000037110",404.019891573348,0.409571519426867,0.111019360428619,3.68919004618303,0.00022496912578573,0.0255834938954289
"H2al1o|ENSMUSG00000061065",1336.46682884536,0.668614797732121,0.174701242853411,3.82718970289836,0.000129614622240226,0.0186730049220837
"Gm52997|ENSMUSG00000118573",914.065792780309,0.678509437968374,0.192757005706217,3.52002478707569,0.000431506470724116,0.0390935965435416
"Cgn|ENSMUSG00000068876",715.55879529343,0.711007394093829,0.204428380720178,3.47802683555498,0.000505119352654685,0.0434119947031089
"Gm3513|ENSMUSG00000089746",2438.03518507824,0.233316084050367,0.0599630257608491,3.89099917974292,9.98322704732998e-05,0.0163081547955705
"Slc7a11|ENSMUSG00000027737",699.741102588141,0.490193043353594,0.121228374736186,4.04355040163113,5.26478320609385e-05,0.0098440244287559
"Man1a2|ENSMUSG00000008763",4947.56754441621,0.224429469533703,0.0517799892659883,4.33428961100847,1.46231561179906e-05,0.00347319718824057
"Gnai3|ENSMUSG00000000001",12244.4703910749,0.233730006289574,0.065878594067606,3.54789001795811,0.000388330339375544,0.0366951292734653
"Aqp3|ENSMUSG00000028435",443.321104581646,0.490624274952364,0.134444350189455,3.649274024985,0.000262982461257392,0.0281840227991459
"Col15a1|ENSMUSG00000028339",812.989222463175,0.374969130244175,0.0963910045141034,3.89008426807412,0.000100209417269095,0.0163081547955705
"Tmem38b|ENSMUSG00000028420",3346.64185380064,0.411899786873216,0.0590803425857631,6.9718584701043,3.1278114000506e-12,1.37436032918223e-08
"Git2|ENSMUSG00000041890",565.357677447975,0.545794775381487,0.1158455425966,4.71140074229759,2.46019915052085e-06,0.00098499642394619
"4930515G01Rik|ENSMUSG00000092183",157.279611256141,0.773383938164278,0.188366551678261,4.10573921576721,4.03023961634861e-05,0.00787061016632703
"Ddx54|ENSMUSG00000029599",1444.78400020664,0.484493913497601,0.102937443885097,4.70668296405741,2.51780011040966e-06,0.00098499642394619
"Cfap73|ENSMUSG00000094282",512.627725820274,0.470292920328635,0.137043820188378,3.43169739198878,0.000599816441530355,0.0469530108911552
"Fam20c|ENSMUSG00000025854",1833.280889246,0.296546977384076,0.0807357859161314,3.67305494111533,0.000239667927811141,0.0266607816405608
"Zan|ENSMUSG00000079173",2410.54579133796,0.364360844937494,0.0659942849011037,5.52109694776615,3.36889828006262e-08,4.22941115502719e-05
"Denr|ENSMUSG00000023106",103.469744270655,0.761875342554778,0.211317979716855,3.60535030467173,0.00031173214284915,0.0311307053563447
