"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tnnt2|ENSMUSG00000026414",1080.14674248979,-0.47217898058791,0.0992093810114184,-4.75941867365915,1.94151333893518e-06,0.00165328685870962
"Pck1|ENSMUSG00000027513",257.229273568764,-0.971410063757651,0.161141778075117,-6.02829430928102,1.65699106762738e-09,5.17367844348855e-06
"|ENSMUSG00000120226",980.231926434476,-0.626915588706121,0.108578025930663,-5.77387167737293,7.74704450096723e-09,1.4513313168112e-05
"|ENSMUSG00000121034",1424.88910228609,-0.491005042534803,0.0982869793000154,-4.99562654210826,5.86450537501758e-07,0.000610364687197663
"4931422A03Rik|ENSMUSG00000046085",261.975420264657,-0.971972854757346,0.208843598257242,-4.65407061968029,3.25445257226352e-06,0.0025403714370327
"Ptp4a2|ENSMUSG00000028788",903.284054470925,-0.434636228401898,0.102514539431027,-4.23975204701891,2.23766817646468e-05,0.0128845554379066
"Gm17112|ENSMUSG00000090873",773.984260208059,-0.790685231361813,0.106097480571376,-7.45244116169079,9.16287265055525e-14,8.5828628117751e-10
"Mboat7|ENSMUSG00000035596",1427.51238246841,-0.436656647753211,0.0887011446228285,-4.92278481422021,8.53212560200949e-07,0.000799204205140229
"Lmnb2|ENSMUSG00000062075",392.564679623389,-0.740368645962095,0.139432781461204,-5.30986069562199,1.09709057371308e-07,0.000167798671348148
"Lats1|ENSMUSG00000040021",90.901765683451,-1.03143147797466,0.262042639985112,-3.93612077039546,8.28093113489991e-05,0.0408249904950565
"Pcnx2|ENSMUSG00000060212",630.060349752976,-0.583089926703135,0.13785096514604,-4.22985741220893,2.33839481631698e-05,0.0128845554379066
"Rhbdf2|ENSMUSG00000020806",75.0674028458634,-1.43276123862822,0.355787120133631,-4.02701828579429,5.64886409859139e-05,0.0293960611175031
"Pno1|ENSMUSG00000020116",60.6429086676921,-2.19648784449119,0.322912385282128,-6.80211705900386,1.03092773306966e-11,4.82835003783176e-08
"Socs7|ENSMUSG00000038485",110.591584767421,-1.04358897348709,0.236586519788884,-4.41102466200666,1.02882598161322e-05,0.00741308689982385
"Slc25a29|ENSMUSG00000021265",234.599787343754,-0.989950453604009,0.187297317448981,-5.28544918361505,1.25396679773357e-07,0.000167798671348148
"Scx|ENSMUSG00000034161",541.343958366212,-0.722702495696547,0.143314484681804,-5.04277357101161,4.58832081879004e-07,0.000537235013870079
"Tmem50b|ENSMUSG00000022964",702.42252681376,-0.588748638790479,0.134220839496271,-4.38641749671695,1.15232844394197e-05,0.00770990038171746
"Tagap|ENSMUSG00000033450",114.107582497296,-1.69691479578407,0.290625483723521,-5.83883689084329,5.25665006479498e-09,1.23097602892336e-05
"2300002M23Rik|ENSMUSG00000039269",21.2083335512145,-2.32574724006581,0.599787947728793,-3.87761582884864,0.000105485110801909,0.0494039516440741
"Kcnip2|ENSMUSG00000025221",780.245295899535,-0.607027080676536,0.143324985374006,-4.23531932755828,2.2822714348265e-05,0.0128845554379066
