"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pcmtd1|ENSMUSG00000051285",12.467737276537,0.109731634925887,0.628787925543351,0.17451294859243,0.86146235540296,NA
"Gm18984|ENSMUSG00000103498",8.29711142605087,0.0720086124592321,0.711736334916242,0.101173157708333,0.919413004408138,NA
"Uxs1|ENSMUSG00000057363",37.7503273948656,-0.0182672864070964,0.37609978697674,-0.0485703184092101,0.961261724514732,0.999281016435284
"Gmppa|ENSMUSG00000033021",741.124336147174,-0.105691744183284,0.099244862901155,-1.06495934493406,0.286894327740341,0.999281016435284
"Asic4|ENSMUSG00000033007",956.918356850737,0.113158102253835,0.100227441562222,1.12901317733014,0.258892274897655,0.999281016435284
"Gm18300|ENSMUSG00000103411",5.03081803932059,-0.0924895558010979,0.946590617267341,-0.0977080842699463,0.922164095958223,NA
"Rrs1|ENSMUSG00000061024",14.0250302838233,0.699853890865687,0.588579718001558,1.18905539803843,0.234417868032987,NA
"Gm28867|ENSMUSG00000099936",5.80279996589746,-0.963181368652357,1.04261059429628,-0.923816978190664,0.355581613960005,NA
"Vxn|ENSMUSG00000067879",14.3197224474588,0.872428042058824,0.641588463820767,1.35979384177728,0.173895171723363,NA
"Mybl1|ENSMUSG00000025912",553.250342336346,0.105369482060973,0.108332961204434,0.97264471394012,0.330729911451273,0.999281016435284
"Vcpip1|ENSMUSG00000045210",5.08207000575225,-0.2794301286833,1.02884305237866,-0.271596457824411,0.785932323359555,NA
"Tpp2|ENSMUSG00000041763",1580.52194904973,0.138528274540422,0.0774770708466639,1.78799060194964,0.0737775240885455,0.999281016435284
"Sdccag8|ENSMUSG00000026504",34.9660142326897,0.305065303679292,0.403560820955171,0.755933896053751,0.449688829972237,0.999281016435284
"Gm15423|ENSMUSG00000087082",1703.13907711885,-0.0201257605024306,0.0906754199325335,-0.22195387148364,0.824349792875085,0.999281016435284
"Gm8251|ENSMUSG00000091844",1663.4587701919,-0.00946532162966595,0.109141340577952,-0.086725356125762,0.930889821075191,0.999281016435284
"Niban1|ENSMUSG00000026483",26.6503354984905,0.136764433457231,0.445562566593384,0.306947763818859,0.758883132465573,0.999281016435284
"Gm37960|ENSMUSG00000104391",21.6683932095606,-0.0690382962647548,0.492799341229309,-0.140094132619041,0.888585616368327,0.999281016435284
"Gm38328|ENSMUSG00000103633",63.6601523302437,0.234459510703413,0.272812764661001,0.859415471247302,0.390111337066827,0.999281016435284
