Geneid,control cells_1,control cells_2,control cells_3,LPS cells_1,LPS cells_2,LPS cells_3,IL-10 cells_1,IL-10 cells_2,IL-10 cells_3,TGFB cells_1,TGFB cells_2,TGFB cells_3
Gnai3,4499,5973,5861,9265,4525,6341,7253,7364,7855,5462,4345,7551
Cdc45,691,1007,756,2595,1964,2140,977,852,1031,847,695,1079
Narf,999,1432,1243,1633,849,981,1564,1230,1472,1288,1017,1331
Cav2,402,470,492,722,354,634,411,424,514,689,516,986
Klf6,1660,1734,1934,2389,1513,1548,1996,2067,1827,1309,844,1471
Scmh1,862,989,966,944,689,737,896,826,887,973,726,1112
Cox5a,1531,1904,1647,3680,2484,3078,2396,2221,2149,2091,1790,2419
Wnt9a,145,112,100,85,54,48,66,79,95,87,57,59
Fer,545,555,596,894,558,678,694,615,492,697,478,890
Xpo6,3642,4676,4091,6581,4391,4576,4636,4493,3934,3898,3301,4369
Tfe3,3410,4640,3863,5121,3211,4109,4097,4416,4169,4525,3693,5055
Brat1,2274,3139,2936,1997,1464,1603,2721,2613,2713,3522,2819,3357
Gna12,480,578,562,789,329,314,594,350,760,1383,489,669
Slc22a18,253,255,251,290,293,293,268,215,216,283,196,221
Pih1d2,13,21,12,45,46,28,26,24,4,21,8,33
Dlat,2988,3355,3540,5981,3502,4155,3811,3500,3467,3539,2731,3825
Sdhd,6188,7779,6563,12998,8862,9747,7736,6970,7438,7714,6348,9895
Ccnd2,0,1,0,14,0,6,0,0,0,0,0,4
Gpr107,4107,4903,4670,5366,3807,4342,5620,5056,5468,4468,3811,4480
Tspan32,1398,1908,1675,2201,1519,1857,1337,1286,1204,1580,1394,1547
Lhx2,72,66,55,42,26,29,96,140,100,39,21,59
Gmpr,1692,1997,1571,2047,1331,1562,1958,1716,1585,2415,2131,2523
Trim25,5902,6776,6462,11766,7949,8329,8945,7929,7268,5131,3946,5681
Dgke,110,164,196,328,226,281,228,203,184,112,116,211
Scpep1,12021,13902,13511,10418,7328,8175,15854,14874,14177,15997,13214,16224
Mnt,703,871,901,581,387,543,861,1004,919,759,620,761
Itgb2,16393,19421,18764,19609,13486,15331,16665,16590,16502,12532,10059,12390
Hddc2,316,431,378,851,443,548,370,325,322,439,360,488
Pemt,91,128,68,198,117,143,62,62,41,64,84,62
Cdh4,29,14,18,12,0,0,16,3,0,63,61,69
Ckmt1,4,0,0,0,0,0,0,0,0,0,0,0
Clec10a,787,1035,793,677,385,593,1154,1165,1195,324,285,432
Alox12,2,7,4,8,6,5,2,9,3,7,19,11
Arvcf,162,168,170,127,77,80,95,105,106,164,119,243
Comt,4144,5023,4069,5450,3937,4664,4651,4273,4126,5791,5104,6000
Rtca,802,1010,905,1844,1302,1206,1188,1020,862,851,728,891
Dbt,379,477,450,1064,549,613,473,395,567,431,391,615
Dazap2,12570,16616,14192,23804,14160,17742,20239,18722,19293,17750,13948,21194
Mcts1,602,792,769,1373,696,1067,1073,928,1154,827,668,968
Rem1,193,156,153,88,48,62,126,138,136,149,187,162
