"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tspan32",1463.47802386249,-0.477573032585915,0.0899334126012906,-5.31029590418391,1.09447388720108e-07,1.76893423836083e-06
"Itgb2",17333.71151666,-0.235122040659777,0.0576908861863836,-4.07554912400134,4.59058897048546e-05,0.000448299122413751
"Pemt",75.3204858602331,-0.895814318247731,0.335283732113241,-2.67180967177129,0.00754434256806795,0.034566753752704
"Arvcf",135.24041186997,-0.813492625985528,0.230985223223456,-3.52183838703201,0.000428565323657312,0.0031814766104548
"Zfp385a",2614.31143837167,-0.406075290691295,0.0870123790111004,-4.66686804000028,3.0582560115652e-06,3.86811561294712e-05
"Clcn4",902.130433031416,-0.537187176623296,0.11768519185889,-4.56461147012794,5.00420251761301e-06,6.06803650700688e-05
"Hk2",4064.7808072304,-0.700291872918929,0.0874488582014279,-8.00801619737436,1.16573554405987e-15,5.21807497621742e-14
"Icosl",315.19716362667,-0.581861297360706,0.167467476120167,-3.47447343711795,0.000511857039745781,0.00367517627643348
"Spg7",2120.73314520917,-0.270537916818035,0.0820953657520058,-3.29541033577069,0.000982780605160738,0.00640003313506784
"Serpinf1",156.384125881711,-1.76751228893009,0.255314349301947,-6.92288660532645,4.42531998861036e-12,1.36058622143622e-10
"Zfp512b",482.232087304546,-0.588674099261032,0.158765591796851,-3.7078191351075,0.00020905187571072,0.00172188207764184
"Smarcb1",1346.8058085789,-0.251281289919029,0.0956508540148035,-2.62706791807775,0.00861241420708937,0.0382382298921693
"Top1mt",380.272059881203,-0.533529247256632,0.148213938170271,-3.59972384408073,0.000318555309040195,0.0024667038431852
"S100a6",5663.90525619022,-0.361723474893583,0.0816489799820456,-4.43022650096946,9.41341647622776e-06,0.000107744246948915
"Icam2",69.4763020691235,-1.20800273685338,0.351554804279902,-3.43617189168487,0.000589996512330085,0.00414719673378083
"Mapk7",1562.0550852035,-0.319024391065008,0.0892570330471344,-3.57422132658766,0.000351271708715701,0.00268550009183857
"Epn2",238.607540381682,-0.645937010222305,0.19286368839382,-3.34918934508464,0.000810483872353732,0.0054247005597617
"Sec24b",2755.67747230899,-0.206330712270665,0.0744652998402385,-2.77083034263391,0.00559135515911145,0.0271364399318263
"N4bp3",495.889019604056,-0.555315466491838,0.155478728176303,-3.57164914458358,0.000354740439082642,0.00270514859214319
"Rmnd5b",2220.00227193816,-0.211157310373224,0.0764126973100184,-2.76337988065681,0.00572061440092575,0.0276856583607504
"Pcnt",550.983747225921,-0.530425279348148,0.150203168519781,-3.53138541999727,0.000413388917074277,0.00308593673310066
