"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Wnt9a",100.714855217186,-0.687857828306235,0.29877835684994,-2.30223445753706,0.0213219537576515,0.0769973865092151
"Tspan32",1463.47802386249,-0.477573032585915,0.0899334126012906,-5.31029590418391,1.09447388720108e-07,1.73455747465546e-06
"Itgb2",17333.71151666,-0.235122040659777,0.0576908861863836,-4.07554912400134,4.59058897048546e-05,0.000439587055754435
"Pemt",75.3204858602331,-0.895814318247731,0.335283732113241,-2.67180967177129,0.00754434256806795,0.0339466664257539
"Arvcf",135.24041186997,-0.813492625985528,0.230985223223456,-3.52183838703201,0.000428565323657312,0.00312157358199993
"Zfp385a",2614.31143837167,-0.406075290691295,0.0870123790111004,-4.66686804000028,3.0582560115652e-06,3.79294419417545e-05
"Clcn4",902.130433031416,-0.537187176623296,0.11768519185889,-4.56461147012794,5.00420251761301e-06,5.95011270145587e-05
"Hk2",4064.7808072304,-0.700291872918929,0.0874488582014279,-8.00801619737436,1.16573554405987e-15,5.11666898465236e-14
"Myo18a",3315.71270196136,-0.169117029223633,0.0738269755305764,-2.29072135230017,0.0219795348683328,0.078807278527302
"Abhd15",90.212663654831,-0.62024948801216,0.283082815731664,-2.19105312489225,0.0284479482894776,0.0967689211909714
"Icosl",315.19716362667,-0.581861297360706,0.167467476120167,-3.47447343711795,0.000511857039745781,0.00360590457534513
"Spg7",2120.73314520917,-0.270537916818035,0.0820953657520058,-3.29541033577069,0.000982780605160738,0.00628585623246632
"Serpinf1",156.384125881711,-1.76751228893009,0.255314349301947,-6.92288660532645,4.42531998861036e-12,1.3341451305122e-10
"Zfp512b",482.232087304546,-0.588674099261032,0.158765591796851,-3.7078191351075,0.00020905187571072,0.00168841970689454
"Smarcb1",1346.8058085789,-0.251281289919029,0.0956508540148035,-2.62706791807775,0.00861241420708937,0.0375505075860798
"Top1mt",380.272059881203,-0.533529247256632,0.148213938170271,-3.59972384408073,0.000318555309040195,0.00241876690278944
"S100a4",28.8942685023576,-1.36889262376663,0.572053173239554,-2.39294647386457,0.0167136791855028,0.064070912384166
"S100a6",5663.90525619022,-0.361723474893583,0.0816489799820456,-4.43022650096946,9.41341647622776e-06,0.000105650388150971
"Icam2",69.4763020691235,-1.20800273685338,0.351554804279902,-3.43617189168487,0.000589996512330085,0.0040713552431802
"Mapk7",1562.0550852035,-0.319024391065008,0.0892570330471344,-3.57422132658766,0.000351271708715701,0.0026349841580726
"Epn2",238.607540381682,-0.645937010222305,0.19286368839382,-3.34918934508464,0.000810483872353732,0.0053251992659324
"Sec24b",2755.67747230899,-0.206330712270665,0.0744652998402385,-2.77083034263391,0.00559135515911145,0.0266412955462586
