"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3",6393.93387780547,0.364317866019789,0.0793663022366943,4.59033438314012,4.42536478583911e-06,5.33710745928522e-05
"Cox5a",1952.76173538144,0.311588375861043,0.0780984701636642,3.98968603620627,6.61608109412926e-05,0.000608380603414207
"Lhx2",87.3357716359536,0.692210583560826,0.307265750635418,2.25280748709985,0.0242712899192839,0.0853906794031542
"Trim25",7144.52227467892,0.228922091443636,0.0699737567241099,3.27154210608161,0.00106962659457773,0.00677729786259426
"Clec10a",1010.06954443129,0.32928288610791,0.105318858150416,3.1265330054911,0.00176880648581184,0.0103285352017707
"Dazap2",16738.4245036403,0.32740448748859,0.0600393130428877,5.45316844739239,4.94801569571958e-08,8.28669805948384e-07
"Mcts1",875.030789212322,0.446450691423244,0.117080318043088,3.81320019355379,0.000137178906783417,0.00115773506246734
"Galnt1",769.643294587518,0.535543589465928,0.132283517277059,4.04845290244488,5.15573061364213e-05,0.000485823713928752
"Raf1",3084.81913893459,0.279781770331762,0.0785162436708703,3.56336163386229,0.000366135725349484,0.00273432290272065
"Pdgfb",1561.34900995617,0.302410102526662,0.0887920365444956,3.40582460201955,0.000659645439636086,0.00446072949930313
"Adora3",95.6333575485088,3.3529449011735,0.392731650988176,8.53749600455414,1.37161713153835e-17,6.98046701382471e-16
"Atp5f1",16259.7066903268,0.565079783936455,0.0601952447552797,9.38744889623348,6.14710502009383e-21,3.92318210660799e-19
"Cd52",2625.35801575937,0.487896053720879,0.0797304883075196,6.11931601170018,9.39778690607659e-10,2.09357867924616e-08
"Loxl3",62.3154894157953,0.92571558291983,0.420212804968503,2.20296852445802,0.0275969671824802,0.0944730042109435
"Chmp1a",8392.91756179806,0.153434785256765,0.063153181834061,2.42956539640274,0.0151169374834791,0.0589450729416902
"Kcnn3",49.6661871872186,5.13493601023466,0.663063555796365,7.74425915185069,9.61407451615806e-15,3.86099924531558e-13
"Tpd52l2",3790.3341890732,0.273111146141373,0.0699955213829594,3.90183744252904,9.5465261911831e-05,0.000838558010387959
"Slc7a7",109.607981096515,1.0337108702068,0.309156584188288,3.34364824517931,0.000826845038634857,0.00540431582649661
"Snapin",2559.05946464963,0.196990125861711,0.0724401126278186,2.7193514575799,0.00654100665458073,0.0303099158440481
"Lgals9",5416.30499563643,0.533292872467859,0.0680805572625491,7.83326244541806,4.75370575953481e-15,1.96936855799395e-13
"Mxd1",2458.53041239719,1.45780019583569,0.0915606302348556,15.9216924577341,4.48090261027785e-57,1.35656454152694e-54
"Calm1",10813.638097608,0.236345648197349,0.0774339391675386,3.05222297532847,0.00227153295257092,0.0126808461328628
"Gramd1a",1816.41533622778,0.448226228234751,0.0850687368817402,5.26898887493605,1.37177277231092e-07,2.14239697389882e-06
"Ube2c",1548.27799635051,0.274122905384032,0.123818591005822,2.21390748479073,0.0268351437552001,0.0922931961309782
"Npepps",3130.6494769413,0.17774520198014,0.0753628513410744,2.35852543815927,0.0183477022346216,0.0685759165192076
"Tubb6",4644.84865708496,0.627794715072331,0.0941809253674324,6.66583719179958,2.63160861947533e-11,7.38038075300361e-10
"Def8",2349.71970721918,0.238783044370887,0.0790621624327118,3.0201936934638,0.00252613079224816,0.0138403834172037
"Ell2",1176.85043984018,0.683946891133097,0.0980855678011519,6.97296153211507,3.10337505624702e-12,9.56698414859232e-11
"Ifrd1",3065.69209067261,0.401791473698412,0.112633611652176,3.56724309737296,0.000360756775957139,0.00269756507519059
"Stk38l",1232.47374134058,0.427051818015003,0.130779427265497,3.26543575655856,0.00109295794944532,0.00690130060048988
"Naglu",10291.8386025571,0.22900063945387,0.0663457338185984,3.45162569276874,0.000557220151621991,0.00387284041441169
"Folr1",254.575807137857,0.415309754973243,0.178781856092847,2.3229972215836,0.0201793016977738,0.0738323567231532
"X45176",2217.38283921452,0.341971550972036,0.0828298354070215,4.12860353146431,3.6497309700901e-05,0.000357316530380214
"Ssr4",3998.55457075693,0.358998413311207,0.0791108581723947,4.53791580074754,5.68129341058728e-06,6.70790312988041e-05
"Ccne1",744.080811997741,0.414940566483796,0.123443844905938,3.36137104932184,0.00077556561160265,0.0051329053678209
"Vrk3",1817.04383583878,0.210371433661925,0.0839478916509445,2.50597638040333,0.0122113776869281,0.0496315787778175
"Ppm1j",1998.97718824263,0.620099092561938,0.0933438495891662,6.64317033517663,3.07006690715495e-11,8.4890585416343e-10
"Rhoc",6862.19021680016,0.446920261954352,0.0737544656623281,6.05956884021774,1.36486905534201e-09,2.95146683817274e-08
"Braf",758.288196896993,0.326666645719944,0.122824249232303,2.65962664344974,0.00782273142501123,0.0349460018362636
"Gtf2f1",2961.85436220229,0.298895044606212,0.0804654063975975,3.71457820183378,0.000203542918871127,0.00164943805292478
"Alkbh7",767.114437445911,0.247921866769517,0.111277920214754,2.22795201681568,0.0258837149051092,0.0896740087689626
"Naa20",3515.35028240341,0.252780188682525,0.0725527186540166,3.48408982284953,0.000493813731597376,0.00351232453552423
"Ggct",125.554288583429,0.79821170730918,0.271119323964815,2.94413432298455,0.00323859407807577,0.016964543158758
"Tpra1",4383.73694000777,0.179183897533942,0.067886385024713,2.63946736107267,0.00830364186105995,0.0365007816282706
"Cd36",604.908922439622,0.367111644155451,0.140560111962129,2.6117768336323,0.00900730299660486,0.0389710529427728
"Relb",1008.36357228793,0.568005204522001,0.136258424505455,4.16858778885457,3.0649271162139e-05,0.000304097432446534
"Hbp1",3970.15579270957,0.144225766804801,0.0657629943577513,2.19311435273479,0.0282991411820407,0.0963182357844781
"Hmgn2",2055.82612611999,0.447166713339002,0.0837873941168272,5.33692112104006,9.45381421087168e-08,1.51453438789365e-06
"Fam32a",4219.37842757595,0.160462146095673,0.0660083431641624,2.43093733918763,0.015059818799269,0.0587805886158574
"Atp5d",8508.04235876651,0.210792246099956,0.0583321611723928,3.61365397515425,0.000301911925276621,0.00231172120735477
"Pafah1b2",2905.52442167111,0.343306827991847,0.0805998417062826,4.25939829066794,2.04977942557426e-05,0.000213920111390104
"Sri",2099.03738088,0.225770389608538,0.0854193617758917,2.64308214103583,0.00821551018536266,0.0362212579382289
"Mpnd",6165.3079456285,0.174108742322943,0.0746553052329599,2.33216838079546,0.0196918348654671,0.072566009443374
"Glg1",6028.78159843826,0.167555194369181,0.0713312325576043,2.34897377153647,0.0188252328332618,0.0699620787102054
"Pld3",16229.0048290363,0.291672840331306,0.0646588976597921,4.51094668928576,6.45389408473371e-06,7.54466608499514e-05
"Etv3",2672.89352670642,0.611627425023609,0.0829075288053167,7.37722416573085,1.61623756974745e-13,5.69639313015167e-12
"Nosip",1087.48010541002,0.226462992701922,0.0975188433655847,2.32224855101023,0.0202195560963324,0.0739338181571375
"Paf1",1680.18682668076,0.271959705151714,0.0914229000386407,2.97474380091605,0.00293233338226934,0.0157087387679011
"Pex19",3660.58396452458,0.268369714752727,0.0708460439909999,3.78806916568016,0.000151822588555473,0.00126772935153781
"Slc25a1",4654.88692642927,0.191735709715737,0.0707869820538208,2.70862952696522,0.00675617343619223,0.0310631385362623
"Man1a",2636.83299692193,0.368084547313828,0.0844894787733361,4.35657258936708,1.32114891907676e-05,0.000143239717975567
"Stat3",9101.2572056462,0.786772815131283,0.0648223748085191,12.1373648752511,6.69474855163617e-34,8.4994511988353e-32
"Etv1",772.504873919437,0.358467251009807,0.110248003967475,3.25146250371627,0.00114812918880849,0.00719530856277168
"Psap",197094.531699598,0.382900412618627,0.0594626905148515,6.43933884093242,1.1999504864225e-10,3.06662670848279e-09
"Clcn5",1854.79692484128,0.392054445929124,0.11278355920769,3.47616663885521,0.000508636136529685,0.00359608794251855
"Ppp1cc",4734.28230644774,0.445041240127311,0.0634015087307141,7.01941087896725,2.22805678165276e-12,6.95943556110427e-11
"Dnajb11",3170.95010426575,0.202328203522425,0.0708196539877709,2.85694990203373,0.00427733343443431,0.0212717286583364
"Gab2",4164.48852353361,0.286344255191953,0.0855347516404162,3.34769493919536,0.000814866555890243,0.00534804303801896
"Cd244a",285.079468321108,1.68363226242478,0.233310561658937,7.21627109571656,5.34324861062214e-13,1.76716348307047e-11
"Adgre1",22477.1305634718,0.377036197177454,0.0566245019922823,6.65853444907724,2.76571469734594e-11,7.71980932188263e-10
"Rab11a",3104.2804780605,0.314559568193077,0.0727587400562236,4.3233234653322,1.53696130516401e-05,0.000164672433122246
"Eif2b2",2583.09990774231,0.18540565009255,0.0741395404408249,2.5007661092873,0.0123924991695924,0.0502466475602257
"Thop1",2700.56183743401,0.172294356269976,0.0781316186791129,2.20518093932739,0.0274414001646947,0.0939949555394692
"Rasa4",1439.3515429013,0.597016210461686,0.0948167549609934,6.29652650217034,3.04389258734422e-10,7.202252460676e-09
"Cstb",16500.8023446806,0.246989977691474,0.0699375369374557,3.53157958525697,0.000413085536128771,0.00302749902239131
"Sh2b2",3467.71041210833,0.631803174014351,0.0763352618820092,8.27668836704751,1.26648098213347e-16,6.05398419273275e-15
"Plekha8",1507.92865467596,0.2553755871933,0.0938368117829898,2.72148618799934,0.00649891008614799,0.0301585077462975
"Spc25",531.698218602702,0.443338584926999,0.181879951466941,2.43753410615783,0.0147878191555116,0.0579680547042248
"Hmox1",41819.88843693,1.42915627737882,0.0639178817711463,22.3592559355426,9.81351241168231e-111,7.24175881529582e-108
"Por",12160.8063820066,0.155651347952265,0.0613285081646354,2.53799338367113,0.0111490092191929,0.0462368640151075
"Adcy9",380.328462169497,0.56679443686495,0.145233651181237,3.90263848808462,9.51497641598743e-05,0.00083775784148817
"Pcyt1a",5063.67551280929,0.487610375862388,0.0739372027113736,6.59492593689076,4.25468206787941e-11,1.15748919759106e-09
"Psmd4",9637.70838097966,0.144024409573395,0.0587971729694561,2.44951249013642,0.0143049748371646,0.0564312856339468
"Psmb4",7977.14781594941,0.202142559188889,0.0671184512628516,3.01172859899957,0.00259764731109854,0.0141534018468576
"Mmp8",79.4220197383164,3.84351865327174,0.452286488938842,8.49797362350893,1.92928934460127e-17,9.73466636397746e-16
"Slc30a4",1179.11518876971,0.349023814969668,0.102108882202011,3.4181533226381,0.000630475797034522,0.00430788642105706
"Sqor",4324.76628709325,0.387266806108464,0.0678585966277227,5.70696750822948,1.15006725484194e-08,2.16223631813994e-07
"Bloc1s6",2409.45450190675,0.583041404710273,0.0828787865585459,7.03486898059746,1.99448326964975e-12,6.2796970572679e-11
"Metap1",1778.23050542084,0.527972022289793,0.0897316914595931,5.88389691202404,4.00717483643841e-09,8.1433241469584e-08
"Tnfsf14",289.540078755446,2.16321945883578,0.184565727393266,11.7205913003906,9.99717581769025e-32,1.18036654879469e-29
"Reep5",2959.27824150199,0.248073529314227,0.0708491765166426,3.50143137169638,0.000462766139773724,0.00332555070743053
"Rcn1",647.756477655516,0.26709982262959,0.113823037243558,2.34662357548983,0.0189443829767585,0.0702942582673124
"Sra1",2435.57247750265,0.237673113359113,0.0893534391963873,2.6599212688024,0.00781589192604284,0.0349392820825724
"Clint1",4569.46283809102,0.162082785218944,0.0656486797445056,2.46894203889164,0.0135513166049119,0.0541639794022323
"Htra1",606.675799880732,0.532820382408309,0.130383395174534,4.086566250979,4.37804509932174e-05,0.000420598685823367
"Ccdc159",215.24126248876,0.486784307549514,0.183044668563906,2.65937441045744,0.00782859107791286,0.0349460018362636
"Atp6v1b2",58844.8370962796,0.144320447275492,0.0562511719243884,2.56564338729661,0.010298464650007,0.0435041045161477
"Tmbim1",5833.38972045133,0.344158061753838,0.0607423796627512,5.66586399256406,1.46285527799878e-08,2.68197706014466e-07
"Rps9",15056.6087474119,0.283808752830469,0.0572571534495444,4.95673877816096,7.16862534176478e-07,9.89941045733529e-06
"C330007P06Rik",1896.22514286785,0.494147522090245,0.0920128445315644,5.37041893016068,7.85539415347402e-08,1.2810585465479e-06
"Nsmf",192.572818334796,0.752739191399433,0.201604399672923,3.73374386977989,0.000188654350092577,0.0015414822917253
"Mvd",1724.9544641675,0.26591338292193,0.100029881403777,2.65833948006551,0.00785267484960252,0.0350005783122903
"Hfe",1536.00498955899,0.256673035112113,0.0839395695695343,3.05783120438197,0.00222945118468234,0.0124931799418815
"Cdc42",13953.6474758213,0.255868858433794,0.0673483641720403,3.79918445799487,0.0001451730163932,0.00121737059982565
"Tspan31",4057.80500302051,0.16966187827359,0.0677351712596579,2.50478259844068,0.0122526679798498,0.0497480229842113
