"","Geneid","control.cells_1","control.cells_2","control.cells_3","IL.10.cells_1","IL.10.cells_2","IL.10.cells_3"
"Gnai3","Gnai3",4499,5973,5861,7253,7364,7855
"Cdc45","Cdc45",691,1007,756,977,852,1031
"Narf","Narf",999,1432,1243,1564,1230,1472
"Cav2","Cav2",402,470,492,411,424,514
"Klf6","Klf6",1660,1734,1934,1996,2067,1827
"Scmh1","Scmh1",862,989,966,896,826,887
"Cox5a","Cox5a",1531,1904,1647,2396,2221,2149
"Wnt9a","Wnt9a",145,112,100,66,79,95
"Fer","Fer",545,555,596,694,615,492
"Xpo6","Xpo6",3642,4676,4091,4636,4493,3934
"Tfe3","Tfe3",3410,4640,3863,4097,4416,4169
"Brat1","Brat1",2274,3139,2936,2721,2613,2713
"Gna12","Gna12",480,578,562,594,350,760
"Slc22a18","Slc22a18",253,255,251,268,215,216
"Pih1d2","Pih1d2",13,21,12,26,24,4
"Dlat","Dlat",2988,3355,3540,3811,3500,3467
"Sdhd","Sdhd",6188,7779,6563,7736,6970,7438
"Ccnd2","Ccnd2",0,1,0,0,0,0
"Gpr107","Gpr107",4107,4903,4670,5620,5056,5468
"Tspan32","Tspan32",1398,1908,1675,1337,1286,1204
"Lhx2","Lhx2",72,66,55,96,140,100
"Gmpr","Gmpr",1692,1997,1571,1958,1716,1585
"Trim25","Trim25",5902,6776,6462,8945,7929,7268
"Dgke","Dgke",110,164,196,228,203,184
"Scpep1","Scpep1",12021,13902,13511,15854,14874,14177
"Mnt","Mnt",703,871,901,861,1004,919
"Itgb2","Itgb2",16393,19421,18764,16665,16590,16502
"Hddc2","Hddc2",316,431,378,370,325,322
"Pemt","Pemt",91,128,68,62,62,41
"Cdh4","Cdh4",29,14,18,16,3,0
"Ckmt1","Ckmt1",4,0,0,0,0,0
"Clec10a","Clec10a",787,1035,793,1154,1165,1195
"Alox12","Alox12",2,7,4,2,9,3
"Arvcf","Arvcf",162,168,170,95,105,106
"Comt","Comt",4144,5023,4069,4651,4273,4126
"Rtca","Rtca",802,1010,905,1188,1020,862
"Dbt","Dbt",379,477,450,473,395,567
"Dazap2","Dazap2",12570,16616,14192,20239,18722,19293
"Mcts1","Mcts1",602,792,769,1073,928,1154
