"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3",6393.93387780547,0.364317866019789,0.0793663022366943,4.59033438314012,4.42536478583911e-06,5.44288226621948e-05
"Cox5a",1952.76173538144,0.311588375861043,0.0780984701636642,3.98968603620627,6.61608109412926e-05,0.000620437947464256
"Trim25",7144.52227467892,0.228922091443636,0.0699737567241099,3.27154210608161,0.00106962659457773,0.00690050947518579
"Clec10a",1010.06954443129,0.32928288610791,0.105318858150416,3.1265330054911,0.00176880648581184,0.0105176290842767
"Dazap2",16738.4245036403,0.32740448748859,0.0600393130428877,5.45316844739239,4.94801569571958e-08,8.45093006980985e-07
"Mcts1",875.030789212322,0.446450691423244,0.117080318043088,3.81320019355379,0.000137178906783417,0.00118067992607514
"Galnt1",769.643294587518,0.535543589465928,0.132283517277059,4.04845290244488,5.15573061364213e-05,0.000495452133430685
"Raf1",3084.81913893459,0.279781770331762,0.0785162436708703,3.56336163386229,0.000366135725349484,0.00278675111816254
"Pdgfb",1561.34900995617,0.302410102526662,0.0887920365444956,3.40582460201955,0.000659645439636086,0.00454393062852295
"Adora3",95.6333575485088,3.3529449011735,0.392731650988176,8.53749600455414,1.37161713153835e-17,7.11881115554022e-16
"Atp5f1",16259.7066903268,0.565079783936455,0.0601952447552797,9.38744889623348,6.14710502009383e-21,4.0009346782135e-19
"Cd52",2625.35801575937,0.487896053720879,0.0797304883075196,6.11931601170018,9.39778690607659e-10,2.13507079502015e-08
"Kcnn3",49.6661871872186,5.13493601023466,0.663063555796365,7.74425915185069,9.61407451615806e-15,3.93751943024011e-13
"Tpd52l2",3790.3341890732,0.273111146141373,0.0699955213829594,3.90183744252904,9.5465261911831e-05,0.000855177183288
"Slc7a7",109.607981096515,1.0337108702068,0.309156584188288,3.34364824517931,0.000826845038634857,0.00550228766474754
"Snapin",2559.05946464963,0.196990125861711,0.0724401126278186,2.7193514575799,0.00654100665458073,0.030874269356255
"Lgals9",5416.30499563643,0.533292872467859,0.0680805572625491,7.83326244541806,4.75370575953481e-15,2.00839898423013e-13
"Mxd1",2458.53041239719,1.45780019583569,0.0915606302348556,15.9216924577341,4.48090261027785e-57,1.3834499571886e-54
"Calm1",10813.638097608,0.236345648197349,0.0774339391675386,3.05222297532847,0.00227153295257092,0.012913847158596
"Gramd1a",1816.41533622778,0.448226228234751,0.0850687368817402,5.26898887493605,1.37177277231092e-07,2.18485660732749e-06
"Tubb6",4644.84865708496,0.627794715072331,0.0941809253674324,6.66583719179958,2.63160861947533e-11,7.52665068577255e-10
"Def8",2349.71970721918,0.238783044370887,0.0790621624327118,3.0201936934638,0.00252613079224816,0.0140950606438647
"Ell2",1176.85043984018,0.683946891133097,0.0980855678011519,6.97296153211507,3.10337505624702e-12,9.75658983088e-11
"Ifrd1",3065.69209067261,0.401791473698412,0.112633611652176,3.56724309737296,0.000360756775957139,0.00274928629069615
"Stk38l",1232.47374134058,0.427051818015003,0.130779427265497,3.26543575655856,0.00109295794944532,0.00702680281702962
"Naglu",10291.8386025571,0.22900063945387,0.0663457338185984,3.45162569276874,0.000557220151621991,0.00394495142552384
"X45176",2217.38283921452,0.341971550972036,0.0828298354070215,4.12860353146431,3.6497309700901e-05,0.00036439809793412
"Ssr4",3998.55457075693,0.358998413311207,0.0791108581723947,4.53791580074754,5.68129341058728e-06,6.84084539568815e-05
"Ccne1",744.080811997741,0.414940566483796,0.123443844905938,3.36137104932184,0.00077556561160265,0.00522877129300532
"Ppm1j",1998.97718824263,0.620099092561938,0.0933438495891662,6.64317033517663,3.07006690715495e-11,8.65730108408729e-10
"Rhoc",6862.19021680016,0.446920261954352,0.0737544656623281,6.05956884021774,1.36486905534201e-09,3.00996122625883e-08
"Braf",758.288196896993,0.326666645719944,0.122824249232303,2.65962664344974,0.00782273142501123,0.0355847735632876
"Gtf2f1",2961.85436220229,0.298895044606212,0.0804654063975975,3.71457820183378,0.000203542918871127,0.00168212785595555
"Naa20",3515.35028240341,0.252780188682525,0.0725527186540166,3.48408982284953,0.000493813731597376,0.00357977793026129
"Ggct",125.554288583429,0.79821170730918,0.271119323964815,2.94413432298455,0.00323859407807577,0.0172777630899913
"Tpra1",4383.73694000777,0.179183897533942,0.067886385024713,2.63946736107267,0.00830364186105995,0.0371688296093022
"Cd36",604.908922439622,0.367111644155451,0.140560111962129,2.6117768336323,0.00900730299660486,0.0396852423778646
"Relb",1008.36357228793,0.568005204522001,0.136258424505455,4.16858778885457,3.0649271162139e-05,0.000310124263918753
"Hmgn2",2055.82612611999,0.447166713339002,0.0837873941168272,5.33692112104006,9.45381421087168e-08,1.54455056869886e-06
"Atp5d",8508.04235876651,0.210792246099956,0.0583321611723928,3.61365397515425,0.000301911925276621,0.00235753663570414
"Pafah1b2",2905.52442167111,0.343306827991847,0.0805998417062826,4.25939829066794,2.04977942557426e-05,0.000218159740937431
"Sri",2099.03738088,0.225770389608538,0.0854193617758917,2.64308214103583,0.00821551018536266,0.036884026152853
"Pld3",16229.0048290363,0.291672840331306,0.0646588976597921,4.51094668928576,6.45389408473371e-06,7.69419194794837e-05
"Etv3",2672.89352670642,0.611627425023609,0.0829075288053167,7.37722416573085,1.61623756974745e-13,5.80928853054597e-12
"Paf1",1680.18682668076,0.271959705151714,0.0914229000386407,2.97474380091605,0.00293233338226934,0.0159982901023584
"Pex19",3660.58396452458,0.268369714752727,0.0708460439909999,3.78806916568016,0.000151822588555473,0.00129285416463681
"Slc25a1",4654.88692642927,0.191735709715737,0.0707869820538208,2.70862952696522,0.00675617343619223,0.0316295040222359
"Man1a",2636.83299692193,0.368084547313828,0.0844894787733361,4.35657258936708,1.32114891907676e-05,0.000146078550363666
"Stat3",9101.2572056462,0.786772815131283,0.0648223748085191,12.1373648752511,6.69474855163617e-34,8.6678997107797e-32
"Etv1",772.504873919437,0.358467251009807,0.110248003967475,3.25146250371627,0.00114812918880849,0.00732624460118867
"Psap",197094.531699598,0.382900412618627,0.0594626905148515,6.43933884093242,1.1999504864225e-10,3.12740342143146e-09
"Clcn5",1854.79692484128,0.392054445929124,0.11278355920769,3.47616663885521,0.000508636136529685,0.00366516320763251
