"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3",6393.93387780547,0.364317866019789,0.0793663022366943,4.59033438314012,4.42536478583911e-06,5.44288226621948e-05
"Cdc45",876.158923939198,0.127101603474398,0.120452811133192,1.05519831607628,0.291334634152759,0.502499139433998
"Narf",1308.66805887955,0.118879006601995,0.106700849851061,1.11413364343333,0.265221857370953,0.475069407540267
"Cav2",450.583962284301,-0.115838769735197,0.148815631112703,-0.778404586057686,0.43633053601506,0.644724013272468
"Klf6",1860.49490054516,0.0376745476586186,0.0952469521613794,0.395545965552636,0.692440005795451,0.832666593011235
"Scmh1",901.471909978692,-0.214193371150804,0.100785214618377,-2.12524596947922,0.0335660940819795,0.111391993797716
"Cox5a",1952.76173538144,0.311588375861043,0.0780984701636642,3.98968603620627,6.61608109412926e-05,0.000620437947464256
"Wnt9a",100.714855217186,-0.687857828306235,0.29877835684994,-2.30223445753706,0.0213219537576515,0.0782124422705326
"Fer",579.837262640454,-0.0247632356271524,0.140118657365469,-0.176730466111753,0.85972010904242,0.931092807427576
"Xpo6",4213.21886025776,-0.0259754293812374,0.0736725208105877,-0.352579619856097,0.724403618586875,0.852098532799546
"Tfe3",4067.62081100475,-0.00471111685882716,0.0783956552587243,-0.0600941065328092,0.952080683787402,0.976903011883733
"Brat1",2714.60686552312,-0.149080568763861,0.0823655246677471,-1.80998748402605,0.0702977281145356,0.191677743063026
"Gna12",550.587663152021,-0.0287375733330006,0.198572250082791,-0.144720993598144,0.884931163162467,0.944354151013716
"Slc22a18",242.50832618297,-0.229927492814374,0.179379139392777,-1.28179616421792,0.199914160137169,0.399264621365343
"Pih1d2",16.377828001229,0.130582637143642,0.732291337164189,0.178320608911373,0.85847119462194,0.930431391391516
"Dlat",3422.47366181397,0.0197192476946301,0.0752979931997597,0.26188277876565,0.793411816950559,0.893761538879064
"Sdhd",7059.25106650471,0.00888528081571847,0.0643807874955833,0.138011372046793,0.890231429962542,0.947076956580258
"Gpr107",4929.89332003508,0.136515800054278,0.0658270391772555,2.07385599839415,0.0380926866241359,0.122509091784514
"Tspan32",1463.47802386249,-0.477573032585915,0.0899334126012906,-5.31029590418391,1.09447388720108e-07,1.76893423836083e-06
"Lhx2",87.3357716359536,0.692210583560826,0.307265750635418,2.25280748709985,0.0242712899192839,0.0867469878059061
"Gmpr",1742.93691522111,-0.105115465998671,0.09622603744458,-1.09238069851115,0.274665803201668,0.48524822735595
"Trim25",7144.52227467892,0.228922091443636,0.0699737567241099,3.27154210608161,0.00106962659457773,0.00690050947518579
"Dgke",178.412842874106,0.290567004820021,0.224523216138967,1.29415126781445,0.19561317578417,0.392949316527462
"Scpep1",13953.9316154629,0.0831680092233419,0.0583072952616068,1.42637398716906,0.153760418251213,0.332333368544759
"Mnt",870.589539225727,0.0715363550926848,0.117368648443308,0.609501396169172,0.542192147602704,0.730186759414535
"Itgb2",17333.71151666,-0.235122040659777,0.0576908861863836,-4.07554912400134,4.59058897048546e-05,0.000448299122413751
"Hddc2",354.810074782001,-0.244324517918686,0.147499584631688,-1.65644207425244,0.0976323265326741,0.243393549436838
"Pemt",75.3204858602331,-0.895814318247731,0.335283732113241,-2.67180967177129,0.00754434256806795,0.034566753752704
"Cdh4",13.7174860487119,-1.85549320855605,0.927273376555248,-2.00102068653052,0.0453901606300628,0.138857450240495
"Clec10a",1010.06954443129,0.32928288610791,0.105318858150416,3.1265330054911,0.00176880648581184,0.0105176290842767
"Arvcf",135.24041186997,-0.813492625985528,0.230985223223456,-3.52183838703201,0.000428565323657312,0.0031814766104548
"Comt",4356.65032791286,-0.122882443660886,0.0728117025942368,-1.68767436116255,0.0914737560614696,0.232223381137709
"Rtca",955.364004873715,0.0727550585540222,0.113773212711896,0.639474414230152,0.522514353046077,0.715848825239256
"Dbt",453.591422748422,0.037059634439502,0.154818255678453,0.239375093570828,0.810814741132559,0.904234537184139
"Dazap2",16738.4245036403,0.32740448748859,0.0600393130428877,5.45316844739239,4.94801569571958e-08,8.45093006980985e-07
"Mcts1",875.030789212322,0.446450691423244,0.117080318043088,3.81320019355379,0.000137178906783417,0.00118067992607514
"Rem1",151.337460595856,-0.442921221236573,0.235813691511664,-1.87826762049847,0.0603445637314975,0.170933791980523
"Trappc10",1373.10265041608,0.0582473273520362,0.0901007211789809,0.646469046971673,0.517975636685384,0.711655025254303
"Ccm2",2060.39450599765,0.0143544897052272,0.075961165200546,0.188971425956009,0.850115212056074,0.926021102620516
"Tbrg4",810.116065545157,-0.0341331363840614,0.104543745217845,-0.326496208003031,0.744048957831246,0.865529272654433
"Mx1",6.35157128079778,2.67815295461487,1.33343313214155,2.00846438419723,0.0445939670850574,0.136943626031924
"Ndufa9",4933.86923142771,0.0244401468043749,0.0642147196041469,0.380600381891204,0.703499797877048,0.838863246805063
"Lck",239.0525229868,-0.0508272763907506,0.202506500528735,-0.250990838605393,0.8018211922604,0.898950556425277
"Galnt1",769.643294587518,0.535543589465928,0.132283517277059,4.04845290244488,5.15573061364213e-05,0.000495452133430685
"Mkrn2",825.752141650044,0.139410794287648,0.10899917251154,1.27900782249414,0.200894301252055,0.400184562435842
"Raf1",3084.81913893459,0.279781770331762,0.0785162436708703,3.56336163386229,0.000366135725349484,0.00278675111816254
"Pdgfb",1561.34900995617,0.302410102526662,0.0887920365444956,3.40582460201955,0.000659645439636086,0.00454393062852295
"Acvrl1",2061.36296135406,0.0874808344646161,0.0848686855741214,1.03077871269979,0.302644602995659,0.514699397336909
"Grasp",55.480635832354,-0.0985423150675839,0.37020335769784,-0.266184282283075,0.790097287412844,0.892287531596057
"Acvr1b",127.362747199168,0.519570826894805,0.248356754180569,2.09203421348085,0.0364354552524203,0.118553933126795
"Tom1l2",1746.64611559017,-0.14800003073808,0.0907580767173026,-1.63070920067067,0.102951694273348,0.252423622158669
"Zfp385a",2614.31143837167,-0.406075290691295,0.0870123790111004,-4.66686804000028,3.0582560115652e-06,3.86811561294712e-05
"Itga5",14951.5162522158,0.163694107584736,0.087909524273451,1.86207477446414,0.0625925511183931,0.175682262940926
"Wdr77",2372.15868395223,0.0290719036322764,0.089883017214349,0.323441563637623,0.746360856419025,0.867296957357796
"Adora3",95.6333575485088,3.3529449011735,0.392731650988176,8.53749600455414,1.37161713153835e-17,7.11881115554022e-16
"Atp5f1",16259.7066903268,0.565079783936455,0.0601952447552797,9.38744889623348,6.14710502009383e-21,4.0009346782135e-19
"Hnrnpd",930.894398232146,0.0880447473933706,0.283688457389367,0.310357172102098,0.756289358905304,0.872994221529165
"Dynlt1c",170.402083314055,-0.119317237302154,0.229052092959798,-0.520917472354623,0.602424263206517,0.771269596307248
"C1d",541.965529934137,0.23728650136456,0.145425133557915,1.63167463257004,0.102748046735733,0.252194381328896
"Gm2a",16616.1446155015,-0.0334544871485204,0.0621041065438171,-0.538683977764286,0.590104931045489,0.763124634810304
"Krit1",432.481115697234,-0.233285388531295,0.151139453591383,-1.54351086356313,0.122706873717729,0.285014171766045
"Clcn4",902.130433031416,-0.537187176623296,0.11768519185889,-4.56461147012794,5.00420251761301e-06,6.06803650700688e-05
"Hk2",4064.7808072304,-0.700291872918929,0.0874488582014279,-8.00801619737436,1.16573554405987e-15,5.21807497621742e-14
"Myo18a",3315.71270196136,-0.169117029223633,0.0738269755305764,-2.29072135230017,0.0219795348683328,0.080053109301148
"Haao",122.205589282006,-0.218569534864828,0.254532984039379,-0.858708099029762,0.390501581021553,0.603210973326557
"Cd52",2625.35801575937,0.487896053720879,0.0797304883075196,6.11931601170018,9.39778690607659e-10,2.13507079502015e-08
"Abhd15",90.212663654831,-0.62024948801216,0.283082815731664,-2.19105312489225,0.0284479482894776,0.0983185262208954
"Loxl3",62.3154894157953,0.92571558291983,0.420212804968503,2.20296852445802,0.0275969671824802,0.0959835591693369
"Kat2b",162.738633635587,0.100501181998838,0.257232208681553,0.390702169506523,0.696017395046803,0.833822052906035
"Rab5b",1887.25728802238,-0.0281993141263363,0.0801410866998226,-0.351870872826568,0.724935104121265,0.852186233400776
"Dnmt3l",114.300245747454,-0.528633674556957,0.282674706196613,-1.87011311224029,0.0614681120052354,0.173293733705231
"Icosl",315.19716362667,-0.581861297360706,0.167467476120167,-3.47447343711795,0.000511857039745781,0.00367517627643348
"Spg7",2120.73314520917,-0.270537916818035,0.0820953657520058,-3.29541033577069,0.000982780605160738,0.00640003313506784
"Rpl13",30063.0741543135,-0.057743974213828,0.0662921083215875,-0.871053518673868,0.383724931861073,0.596822315630544
"Chmp1a",8392.91756179806,0.153434785256765,0.063153181834061,2.42956539640274,0.0151169374834791,0.0599746439006827
"Rpa1",2479.47578304676,-0.193751428930297,0.0920883540199754,-2.10397320043607,0.0353807848194157,0.115907079285908
"Serpinf1",156.384125881711,-1.76751228893009,0.255314349301947,-6.92288660532645,4.42531998861036e-12,1.36058622143622e-10
"Tubgcp3",1146.3782382332,-0.139428252342281,0.0976633272668795,-1.42764184104922,0.153394973972556,0.331841336975125
"Polr3d",562.819488340338,-0.0577875230201243,0.153934821469864,-0.375402540298119,0.707361115936405,0.841883482948528
"Ddx3x",4956.09853306294,0.0190137754577511,0.0780519461585878,0.24360411743121,0.807537439104813,0.902713850542057
"Il12rb1",384.044183145621,-0.0390282894428483,0.148193909755555,-0.263359604367178,0.792273422904088,0.893564006414503
"Kcnn3",49.6661871872186,5.13493601023466,0.663063555796365,7.74425915185069,9.61407451615806e-15,3.93751943024011e-13
"Usp32",429.915716930181,0.206120731712679,0.140832891088126,1.46358375603962,0.143307713567411,0.31755027218719
"Txnrd3",585.937034589323,0.124294016586716,0.129419191720838,0.960398646707845,0.33685461894931,0.55020461113426
"Zfp512b",482.232087304546,-0.588674099261032,0.158765591796851,-3.7078191351075,0.00020905187571072,0.00172188207764184
"Dnajc5",6344.49674260703,-0.125974818628909,0.070574679433325,-1.78498605506134,0.0742635788266533,0.199332980974528
"Tpd52l2",3790.3341890732,0.273111146141373,0.0699955213829594,3.90183744252904,9.5465261911831e-05,0.000855177183288
"Fmr1",535.264151945591,-0.0521205271437403,0.164875471344292,-0.31612056492565,0.751910997973297,0.87045335277785
"Il4",41.2319641481121,0.459085722315901,0.413338716093003,1.1106767995394,0.266707492059428,0.476330766426314
"Pxmp4",971.286021068894,0.172460910805821,0.110107620098283,1.56629405532406,0.117279792067717,0.275737349904659
"Dlg3",38.9947776092795,0.713640367614004,0.441399741197854,1.61676661992903,0.105928667302752,0.257622113308915
"Gnb1l",156.24607793172,-0.324715489434277,0.220986823969735,-1.46938846217704,0.141727454974347,0.315383530834616
"Smarcb1",1346.8058085789,-0.251281289919029,0.0956508540148035,-2.62706791807775,0.00861241420708937,0.0382382298921693
"Hip1r",58.0812894729808,-0.0949894692348341,0.402293460789063,-0.236119844077308,0.813339675888992,0.905624471738428
"Nsun5",773.513150195012,-0.135993519924665,0.114457650216926,-1.18815579095782,0.234772037359599,0.44185272595377
"Top1mt",380.272059881203,-0.533529247256632,0.148213938170271,-3.59972384408073,0.000318555309040195,0.0024667038431852
"Mmp14",8.4046765007958,-1.17774993980038,0.956254610911301,-1.23162798522665,0.218088082094893,0.421643962187638
"Slc7a7",109.607981096515,1.0337108702068,0.309156584188288,3.34364824517931,0.000826845038634857,0.00550228766474754
"Oxa1l",1696.96084336486,-0.170849181585048,0.085184445443969,-2.00563824410204,0.0448948584548799,0.1376920505999
"Heatr6",973.758030666554,-0.104571026330049,0.116301557392529,-0.899136939130674,0.368579724596847,0.5826803623477
"Ccl3",2757.71102825174,0.145930886329745,0.11093001075673,1.31552215071693,0.188334477917853,0.382998724642605
"Ilf2",2155.83222572596,-0.111278337635893,0.0938245528763419,-1.18602577070156,0.235612122489968,0.442936076019001
"Chtop",2854.65489013763,-0.00275762414833511,0.0807492456107801,-0.0341504632950647,0.972757168039775,0.985904961399399
"Snapin",2559.05946464963,0.196990125861711,0.0724401126278186,2.7193514575799,0.00654100665458073,0.030874269356255
"S100a4",28.8942685023576,-1.36889262376663,0.572053173239554,-2.39294647386457,0.0167136791855028,0.0651503435003687
"S100a3",11.7033447123808,-0.501691996394339,0.819700457500638,-0.612043084523896,0.540509252340291,0.728933998144373
"S100a6",5663.90525619022,-0.361723474893583,0.0816489799820456,-4.43022650096946,9.41341647622776e-06,0.000107744246948915
"Icam2",69.4763020691235,-1.20800273685338,0.351554804279902,-3.43617189168487,0.000589996512330085,0.00414719673378083
"Mapk7",1562.0550852035,-0.319024391065008,0.0892570330471344,-3.57422132658766,0.000351271708715701,0.00268550009183857
"Epn2",238.607540381682,-0.645937010222305,0.19286368839382,-3.34918934508464,0.000810483872353732,0.0054247005597617
"B9d1",47.6665535711147,-0.463978541723143,0.392751677336806,-1.18135343143361,0.237462349494204,0.444540446246845
"Sec24b",2755.67747230899,-0.206330712270665,0.0744652998402385,-2.77083034263391,0.00559135515911145,0.0271364399318263
"N4bp3",495.889019604056,-0.555315466491838,0.155478728176303,-3.57164914458358,0.000354740439082642,0.00270514859214319
"Rmnd5b",2220.00227193816,-0.211157310373224,0.0764126973100184,-2.76337988065681,0.00572061440092575,0.0276856583607504
"Nhp2",3719.39914795796,0.0472793203924866,0.0759741089037051,0.622308324174117,0.533739148665467,0.72426243211674
"Vps9d1",407.119347120539,-0.109523181799817,0.146696465038472,-0.746597280112333,0.455306690716412,0.661171139592789
"Zfp276",438.322120307228,-0.172534152857016,0.162168970898555,-1.06391593842539,0.287366782046344,0.497972725201777
"Mfsd10",1758.16295436113,-0.217346966635375,0.0913994119302491,-2.37799086498765,0.0174072571515105,0.0670722506756281
"Luzp1",544.216937260585,-0.237911081993522,0.166665135775158,-1.42747960385956,0.153441700088604,0.331882793383667
"Kctd10",986.018406963076,-0.139334187226143,0.102560297371728,-1.35855872883372,0.174286460681771,0.362449615383283
"Poldip2",4433.47457542133,-0.18390774943619,0.0745035403417787,-2.46844309132867,0.0135702227728676,0.0551651088481089
"Ift20",310.356716136643,-0.207620424294165,0.16826324806311,-1.23390239213909,0.217239278049138,0.420790764543949
"Lgals9",5416.30499563643,0.533292872467859,0.0680805572625491,7.83326244541806,4.75370575953481e-15,2.00839898423013e-13
"Araf",2991.01789047892,0.0877391459928207,0.0800971926246953,1.09540850456436,0.273337709900858,0.483582040099358
"Cfp",5280.63721758882,-0.120902744205187,0.0834309248620043,-1.44913584986815,0.147299648111885,0.323596982834375
"Uxt",381.779758295495,0.131854111424703,0.158509512937997,0.831837212674292,0.405500836046785,0.617117741005983
"Cnnm3",72.6240711345638,0.0329041739071732,0.3645299894519,0.0902646554722348,0.928076906308371,0.963931047536515
"Lman2l",1936.28628885451,-0.164510117192451,0.0870706458995964,-1.88938666404464,0.0588400365267213,0.167650941745918
"Mcm3ap",2306.12901088727,-0.0358322988038228,0.0795861799782896,-0.450232676246021,0.65254267723985,0.807004040243525
"Pcnt",550.983747225921,-0.530425279348148,0.150203168519781,-3.53138541999727,0.000413388917074277,0.00308593673310066
"Mxd1",2458.53041239719,1.45780019583569,0.0915606302348556,15.9216924577341,4.48090261027785e-57,1.3834499571886e-54
"Gmcl1",1120.45092168523,0.0829633639944912,0.102855935478836,0.806597729224506,0.419898282442668,0.630379652626374
"Snrnp27",751.210996037691,0.24924446333313,0.139504466970651,1.78664145131328,0.0739954576035956,0.198834926356817
"Oas1c",75.4068986578816,0.239043740360139,0.359393009754707,0.665131858082857,0.505966159630739,0.701310819592128
"Ocrl",22.7986371945769,-0.650321312464917,0.651038625789604,-0.998898201587015,0.317844007526101,0.530297865404155
"Calm1",10813.638097608,0.236345648197349,0.0774339391675386,3.05222297532847,0.00227153295257092,0.012913847158596
"Agpat3",2564.24074373916,0.0921509395851837,0.0805251213624275,1.14437504751382,0.252468131853075,0.461003446334348
"Sema6b",493.324182170413,0.281718932678128,0.151747154766758,1.85650223960471,0.0633820040950588,0.177360611505602
"Uhrf1",2154.63055406786,-0.0931236839505495,0.113343206836721,-0.821607986482159,0.41130004241459,0.622559875639733
"Dpp9",2519.89429566107,0.029951131655172,0.0717972087503006,0.417162897785307,0.676559261301638,0.822790633808002
"Lsr",24.6954348536772,-0.317800517522315,0.5902100573868,-0.538453239731971,0.590264179180032,0.763194975342287
"Gramd1a",1816.41533622778,0.448226228234751,0.0850687368817402,5.26898887493605,1.37177277231092e-07,2.18485660732749e-06
"Ckb",3169.4418854367,-0.320268721345269,0.0785430997922656,-4.07761753982629,4.54995298248796e-05,0.000444691427452415
"Sp1",711.606678175728,0.1745834887953,0.152713856010139,1.14320660453828,0.252952820776134,0.461345791421603
"Itgb7",1702.14212736514,-0.229984478122097,0.0946519501719267,-2.42979122674547,0.015107522293593,0.0599746439006827
"Myg1",1837.32539881808,-0.228220650493478,0.0870146357176927,-2.62278464549239,0.00872143806920829,0.0386794975290376
"Rarg",184.331470105353,-0.802010065383418,0.263919594146769,-3.03884244736073,0.00237489020151751,0.0133876652230675
"Pfdn5",2485.69452331976,0.164924784343642,0.079177823698877,2.08296687934833,0.037254242650044,0.120488406056723
"Rrp15",376.852627548785,-0.3149829987516,0.147089155283409,-2.14144270625999,0.0322383541208925,0.108092265773555
"Rnd2",228.4914284942,0.180985085874633,0.181346925310604,0.998004711492345,0.318277074002015,0.530652762123825
"Srr",358.90516655269,0.372605537455222,0.186500860888665,1.99787569708675,0.0457301380350786,0.139542978226148
"Acp5",1651.47179302899,-0.0967096992249833,0.0853733489124185,-1.1327855877388,0.25730430521854,0.46639908956973
"Fbxo9",206.03072531154,-0.202095005560224,0.220665559694387,-0.915842988095279,0.359749252789411,0.572602875457674
"Vps50",3051.2238325333,0.0980243163449673,0.0733386132379784,1.33659898949665,0.181353569062065,0.372368330487888
"Hars",2377.64532651704,-0.0636374864116212,0.082487699297529,-0.771478498655708,0.440423362146757,0.647728762493985
"Zmat2",936.563192024953,0.113190355735308,0.108074968214447,1.04733184386149,0.294946554159958,0.506481953599551
"Ube2c",1548.27799635051,0.274122905384032,0.123818591005822,2.21390748479073,0.0268351437552001,0.0937672565166468
"Smg5",976.992344458419,-0.61224232692366,0.104129257718588,-5.87963786871757,4.11165012994121e-09,8.50659436677356e-08
"Cct3",15655.1616004935,-0.0489221188006696,0.0722563669038532,-0.677063086575707,0.498365928304487,0.695667069639964
"Glmp",26063.5836263951,0.0193044478202836,0.0540988776224061,0.356836383095095,0.721214297168602,0.850195277286094
"Mef2d",8466.50483877295,0.125650433878368,0.068502207444892,1.83425379363796,0.0666163295980594,0.184143072702074
"Tmem79",17.4499540718483,0.482236326006082,0.637809327305995,0.756082273119102,0.449599869573952,0.655720933810556
"Snd1",10995.8391558208,-0.0914438236954928,0.0783974145025612,-1.16641376856255,0.243447194390918,0.450699210894995
"Col18a1",255.703083422345,0.0674322516787724,0.191277326078967,0.3525365659437,0.724435900695038,0.852098532799546
"Slc19a1",884.770982763827,-0.153179147446582,0.120847307239325,-1.26754290969205,0.204961230708617,0.404580029338108
"Kpnb1",1294.42386086471,-0.275345441457442,0.137727531035485,-1.99920407624602,0.0455862777150553,0.139223494756258
"Npepps",3130.6494769413,0.17774520198014,0.0753628513410744,2.35852543815927,0.0183477022346216,0.0697143207974371
"Mrpl10",1782.55236354108,0.103595531939032,0.0878868222120757,1.17873794195278,0.238502542324648,0.445637755132472
"Cyp51",1052.51507306417,-0.00591128100810146,0.0990652797510538,-0.0596705629152435,0.952418017334464,0.976996928214748
"Tcf25",10216.2229902894,-0.17636385204915,0.0590378709019958,-2.98730034390836,0.00281453066699013,0.0154465650689281
"Tubb6",4644.84865708496,0.627794715072331,0.0941809253674324,6.66583719179958,2.63160861947533e-11,7.52665068577255e-10
"Def8",2349.71970721918,0.238783044370887,0.0790621624327118,3.0201936934638,0.00252613079224816,0.0140950606438647
"Itga3",49.0682854055637,0.307081086937025,0.394111201747909,0.779173709285857,0.43587739490838,0.64429164155313
"Foxm1",684.0203447701,-0.050981921066942,0.129918828935539,-0.392413643847094,0.694752606522941,0.833405157497243
"Itfg2",172.745385778715,-0.796928671078119,0.222618665956319,-3.5797926811514,0.000343866913134794,0.00263390680728757
"Tulp3",154.40031346707,0.371392790321506,0.225395919101778,1.64773520213471,0.0994070210199137,0.24654169724012
"Gtf2h4",1619.75839899168,-0.0425848854281734,0.0867647741380032,-0.490808462895786,0.623561923850376,0.785470145944385
