"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Narf",1167.64283894446,-0.403628783767977,0.115889813502923,-3.48286679879589,0.000496075123644144,0.00127551691237918
"Klf6",1775.60277938152,-0.278281126682996,0.0986490736738656,-2.82091981525336,0.00478861706761997,0.0102108489067179
"Scmh1",866.876662851516,-0.540182385568539,0.105802551356074,-5.10557050510605,3.29797991585456e-07,1.32343409090377e-06
"Wnt9a",93.3767900153757,-1.25938321930442,0.299751465661035,-4.2014247254042,2.65240442250941e-05,8.3110493455246e-05
"Tfe3",3999.70612038506,-0.23257733180443,0.0811219329297597,-2.86700924651055,0.00414370905780192,0.0089517947631882
"Brat1",2269.3623414419,-1.00318556156572,0.0922688774634871,-10.87241537064,1.56014939268373e-27,2.43988915948366e-26
"Gna12",497.351811625219,-0.536549040722422,0.186006479063281,-2.88457178171672,0.00391946393117031,0.00851299927333189
"Gpr107",4503.88003735769,-0.307186368733686,0.0722792412762431,-4.2499943733451,2.13775885488898e-05,6.77876257165342e-05
"Lhx2",49.7232055885779,-1.30808818919781,0.373577871796349,-3.5015141097835,0.000462622474185612,0.00119607472235791
"Gmpr",1689.27463348445,-0.390389161248187,0.0945561375030773,-4.12864962081898,3.64899958697759e-05,0.000112199590535144
"Scpep1",11042.4681548597,-0.897701399166401,0.065676167854218,-13.6686019982018,1.56370537039645e-42,4.16315169400735e-41
"Mnt",674.973281449096,-1.00153646282103,0.129637455643352,-7.72567201238795,1.112647800435e-14,8.40321898689795e-14
"Itgb2",17132.9062665473,-0.465902070477583,0.0622951788946127,-7.47894265246061,7.49229568259036e-14,5.36859608775482e-13
"Cdh4",12.8244139090296,-2.89481036442833,0.993700210521392,-2.91316267600409,0.00357788159770898,0.00783092020135368
"Clec10a",718.614247151072,-0.960669314892013,0.133299246865436,-7.20686228528958,5.72558562420429e-13,3.85732006033741e-12
"Arvcf",133.053136760013,-1.13003349494588,0.229887463468887,-4.91559425596436,8.85135509118964e-07,3.38874881669303e-06
"Comt",4507.29579988831,-0.199846363155612,0.08413992537162,-2.37516686962762,0.0175410181469344,0.0330373943953174
"Rem1",121.443197362577,-1.66993911106816,0.261893557927959,-6.3764039263903,1.81294388542862e-10,9.95850485508352e-10
"Pdgfb",1116.75389319461,-0.984114602608797,0.108771880711078,-9.04750930272889,1.46266430369497e-19,1.51974693279732e-18
"Tom1l2",1614.44809663231,-0.604501739893924,0.0962563502853632,-6.28012321370807,3.38304809180522e-10,1.82050181923902e-09
"Zfp385a",2796.24274135137,-0.379307433834611,0.0955624659427048,-3.96920935529257,7.21115048846279e-05,0.000212749922388765
"Itga5",13075.7984309981,-0.417072715579116,0.098608236194214,-4.22959310171282,2.34114375675324e-05,7.37945494518566e-05
"Gm2a",11101.4164533993,-2.02570026268986,0.0656852549502263,-30.8394976045211,7.74728053193143e-209,2.09469249404466e-206
"Clcn4",965.058437434041,-0.507871853132417,0.11824895146269,-4.29493747597975,1.74742577350589e-05,5.61567073065139e-05
"Hk2",4204.79568044623,-0.795556994546256,0.0844745217144015,-9.41771528740868,4.61009784344816e-21,5.26182555921518e-20
"Myo18a",2962.76874536244,-0.75759599361955,0.0843141821012742,-8.9853921930899,2.57813151265901e-19,2.64041465610456e-18
"Haao",81.971415178142,-2.47076041589476,0.352795674730546,-7.00337502091501,2.49868811600903e-12,1.59504398255414e-11
"Loxl3",29.5566636280921,-1.77513466025238,0.583519214423315,-3.04211860787948,0.0023491930832178,0.00533556696724118
"Rab5b",1864.30094299117,-0.243000557144061,0.0827801124110284,-2.93549440881996,0.00333016612788646,0.00733144897703965
"Rpl13",29091.4085967742,-0.341952590760804,0.065689314068282,-5.2056045280874,1.93366062907279e-07,7.97520300811141e-07
"Chmp1a",7793.97806135305,-0.235662996963123,0.074386400920604,-3.16809247451905,0.00153442704710962,0.00361459320080983
"Serpinf1",184.669492134747,-1.18862644153833,0.229366899843027,-5.18220563800529,2.19277262776612e-07,8.97090267721264e-07
"Zfp512b",489.498955831003,-0.750033138048582,0.138105005230308,-5.43089033447995,5.60735866543941e-08,2.45412708210077e-07
"Pxmp4",803.713008459218,-0.599524437157967,0.123008806683585,-4.87383345405604,1.09453273475367e-06,4.13705491884061e-06
"S100a6",5087.79473654259,-0.983108101764694,0.0889234747325872,-11.0556644881582,2.05807112617257e-28,3.30350282218227e-27
"Mapk7",1621.34045591416,-0.390991795383112,0.0901873892423996,-4.33532668666381,1.45543808611351e-05,4.72978504106385e-05
"Sec24b",2740.69068215743,-0.413763385560481,0.0785236761718584,-5.26928189982994,1.3695849365519e-07,5.74017909852806e-07
"N4bp3",476.418276233067,-0.93626709576099,0.156928856052426,-5.96618824168454,2.42860090469746e-09,1.20312651496148e-08
"Rmnd5b",2026.04197373542,-0.727926885383968,0.0844773572956554,-8.61682832757607,6.88342193477525e-18,6.40784963124793e-17
"Kctd10",936.677442008469,-0.497512217553409,0.104663776841197,-4.75343268290679,1.99991712614285e-06,7.26141201843632e-06
"Lman2l",1652.59386460835,-0.932980438250721,0.0982829381143513,-9.49280166172084,2.24906640543648e-21,2.61110600715131e-20
"Ckb",2723.42874162835,-1.12501023265653,0.113963342507531,-9.87168512175028,5.52288744380723e-23,7.03633209725681e-22
"Srr",276.053120379217,-0.589291654148899,0.19467390452408,-3.02707060604523,0.00246936271878759,0.00558452345715403
"Vps50",2912.08662232585,-0.210815830456496,0.0805516027071557,-2.61715252548002,0.00886667115067642,0.0178433324330599
"Mef2d",6326.18108166338,-1.07787562893085,0.0786211198422405,-13.7097465807368,8.87673311670768e-43,2.38417686161109e-41
"Npepps",2838.52060632454,-0.283155744215316,0.0760008399387567,-3.72569230081522,0.000194779892305356,0.000538365958582296
"Tcf25",9992.78996167367,-0.437678274890566,0.0708092967258504,-6.18108490167764,6.36625647712431e-10,3.33871735160222e-09
"Acap1",1527.38060961819,-1.86533516844754,0.0906391155004633,-20.5798033017876,4.16367420276088e-94,3.20629265980959e-92
"Stk38l",956.024314243065,-0.483224328976026,0.135217656411961,-3.57367774149117,0.000352002108987164,0.000930236676812949
"Gstt3",265.852257514663,-0.689697297828741,0.171354959442052,-4.02496256936165,5.6984378627328e-05,0.000170351089621302
"Ubl3",5389.20674240933,-0.929432038247262,0.215434464199511,-4.31422169011234,1.60166163023025e-05,5.17456639803809e-05
"Il16",856.601083876849,-0.502630444685343,0.107292755662993,-4.68466339203837,2.80420394014191e-06,1.00349262763843e-05
"Naglu",6539.98849968138,-1.73068150316891,0.0790245768990157,-21.9005475395398,2.56677804792318e-106,2.31333248215417e-104
"Coasy",3098.73889405542,-0.719042907937343,0.0736414384227005,-9.7641073197138,1.6051937175048e-22,1.97876311660394e-21
"Smo",750.002239150893,-0.597704822556377,0.12350083784382,-4.83968232921818,1.3004683351468e-06,4.85958176711644e-06
"Rin2",1677.75218069575,-0.603055815959508,0.0978705908179816,-6.16176740039368,7.19374667414426e-10,3.7581071611985e-09
"Fbxo7",801.993021155654,-0.409413798383596,0.123880499234706,-3.30490917386372,0.000950071830088223,0.00232679628757718
"Capns1",3437.86340028834,-0.403642281397679,0.0928786203667416,-4.34591168348381,1.38698370536557e-05,4.53153349709528e-05
"Folr1",138.167457871833,-2.37551039219912,0.24399832281644,-9.73576524944483,2.12214327144909e-22,2.59498665163026e-21
"Clpb",3536.82966561157,-0.250131250580759,0.093355559201891,-2.6793396421077,0.00737675270450525,0.0150972161742162
"Rac1",9060.44141884389,-0.237944324286555,0.0914788101423477,-2.60108678628741,0.00929289415611988,0.0186026066465138
"Ugp2",7154.89420604565,-0.804448368593442,0.0732630839376176,-10.9802689889279,4.75505815703198e-28,7.52338005157453e-27
"Nfix",105.889618726511,-0.891512047777337,0.253718360692,-3.51378609473038,0.000441768401668121,0.00114605461473263
"Vwf",2839.41678602975,-1.65329782842103,0.0885456960974006,-18.6716904523783,8.41467460555152e-78,4.76192306631374e-76
"Siae",1813.77322785673,-0.703078148321493,0.105095244069841,-6.68991403506575,2.23301733233901e-11,1.32596983321468e-10
"Spa17",36.5841188403701,-2.02451656214847,0.478588340156223,-4.2301836302314,2.33500624618759e-05,7.36201632478994e-05
"Fam50a",3227.3988064991,-0.199701459327153,0.0752822485719619,-2.65270316861297,0.00798500567479613,0.0162398239980401
