"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cdc45",1446.72112369376,1.17246781786024,0.10898825270396,10.7577448832486,5.44872159788332e-27,8.33894285301211e-26
"Cox5a",2297.82887367365,0.571276921619733,0.0838202798713156,6.81549766353418,9.3938000780972e-12,5.72043871622666e-11
"Pih1d2",26.4161956627963,1.11637982482585,0.527444902213719,2.11658093601879,0.0342954294890033,0.0604664950700327
"Dlat",3802.57790719679,0.15151859463153,0.0795610856958432,1.90443095775207,0.0568540805572804,0.0940891727612119
"Sdhd",8421.85764432147,0.329230101077017,0.0680099465800115,4.84091103776546,1.292452265119e-06,4.83408137402484e-06
"Trim25",7641.81379440632,0.251737468876754,0.0674692360083589,3.73114450037001,0.000190611847159374,0.000527924958886432
"Dgke",209.351428531766,0.545302315202894,0.209077935378439,2.60812942415887,0.0091038525769857,0.018263243908357
"Hddc2",471.734581372019,0.393932766285123,0.140423962791181,2.80531013692388,0.00502681865209916,0.0106608510615462
"Rtca",1139.29284152144,0.385285337181707,0.106281594707317,3.62513696038079,0.000288808351213945,0.000774847014160984
"Dbt",559.773410592328,0.444171086595986,0.137027476793991,3.24147460778074,0.00118913027215705,0.00285480426624603
"Tbrg4",991.314931382532,0.355004500633707,0.121512387953511,2.92154986510123,0.00348294516192567,0.00764100140374136
"Mx1",44.2121522490088,5.5706693504051,0.759111145942449,7.33841069279654,2.16145059958008e-13,1.5027639682909e-12
"Lck",332.381531584638,0.656031292508283,0.174426189790866,3.76108251458597,0.000169179604899608,0.000472437055959038
"Galnt1",735.856367496568,0.276683868119655,0.142552199973314,1.94093018677684,0.0522667459217495,0.0875453603565426
"Acvr1b",136.606665585708,0.542098120295558,0.251631514880401,2.15433317465506,0.0312140530311751,0.0555886099575976
"Wdr77",2716.39328084974,0.240722579371515,0.0778698249733238,3.0913460952812,0.00199251243799456,0.00460017055656164
"Adora3",27.9384611998161,1.07775838067949,0.572053276459243,1.88401749457732,0.0595626091039328,0.0979984131125829
"Atp5f1",16362.495015947,0.435741121319082,0.0656763296294167,6.63467528983092,3.25217660260526e-11,1.90511471949437e-10
"Hnrnpd",1160.28094280099,0.512273052800953,0.156097170756819,3.28175744837178,0.00103162302410024,0.00250884615915003
"Cd52",6774.29449691473,2.27616362536655,0.0857610709613466,26.5407556115109,3.28362411770397e-155,5.54886870001448e-153
"Dnmt3l",291.651553286385,1.61883831307033,0.188205069709584,8.60145965020142,7.87085744164982e-18,7.28803063109234e-17
"Icosl",535.013354278271,0.738652101414951,0.141341478514759,5.22601085807816,1.732061922823e-07,7.19740348872521e-07
"Rpa1",3303.05037789615,0.436541082040102,0.0865749247947498,5.04235011552185,4.59848919607073e-07,1.81302067558628e-06
"Polr3d",713.866103889555,0.427510584221851,0.131682173766178,3.2465334676276,0.00116819712032129,0.00280898307568164
"Kcnn3",17.9559774687305,3.49455966255425,0.791264676369129,4.41642318546268,1.00347537652995e-05,3.33404830864005e-05
