"","control_cells_1","control_cells_2","control_cells_3","LPS_cells_1","LPS_cells_2","LPS_cells_3"
"Gnai3",5405.11516451627,6013.25842181872,6364.9665994811,6534.65050867465,4949.74215187204,6035.04743698527
"Cdc45",830.169944138863,1013.78724774342,821.005758267823,1830.26638640159,2148.3521737628,2036.74523184805
"Narf",1200.20227813998,1441.65177633424,1349.88116074987,1151.76300924616,928.691952914776,933.666856281745
"Cav2",482.964280092363,473.167831618081,534.305334745726,509.230185349498,387.228446798387,603.409568687693
"Klf6",1994.33011182419,1745.68727665054,2100.29779958991,1684.97356343483,1655.01875707898,1473.30916771064
"Scmh1",1035.60997373039,995.665926532515,1049.06291334222,665.80788776998,753.673445887256,701.439829846734
"Cox5a",1839.34903686917,1916.83308808687,1788.6196876549,2595.52227435755,2717.16232160224,2929.48683347117
"Wnt9a",174.203533864161,112.754887534521,108.598645273522,59.9509220979325,59.0687461217879,45.6840052003301
"Fer",654.76500659288,558.740737336245,647.247925830189,630.542639477079,610.377043258474,645.286573454662
"Xpo6",4375.51220919499,4707.51655456627,4442.77057813977,4641.61198031169,4803.16415223649,4355.2084957648
"Tfe3",4096.78655501234,4671.27391214446,4195.16566691614,3611.86673015897,3512.40266290853,3910.74119516992
"Brat1",2731.99197246277,3160.15707116842,3188.45622523059,1408.49401681849,1601.4193393018,1525.65542366936
"Gna12",576.673767274464,581.895758883513,610.324386437191,556.485618061986,359.881805075337,298.849534018826
"Slc22a18",303.955131500915,256.718717154491,272.582599636539,204.538440098829,320.502640994145,278.862781743681
"Pih1d2",15.6182478636834,21.1415414127228,13.0318374328226,31.7387234636113,50.3178207704119,26.6490030335259
"Dlat",3589.79420128354,3377.61292569928,3844.39204268266,4218.42900079688,3830.71757256483,3954.52170015357
"Sdhd",7434.28598311329,7831.43098331288,7127.32908930122,9167.55394622267,9693.83755798674,9276.70830599202
"Gpr107",4934.16492124213,4936.04654983713,5071.55673427346,3784.66644679419,4164.34660158604,4132.49897041319
"Tspan32",1679.56234718688,1920.86004835596,1819.02730833149,1552.37622985352,1661.58195109251,1767.39995118777
"Lhx2",86.5010650911695,66.4448444399859,59.7292549004369,29.6228085660373,28.4405073919719,27.6007531418661
"Gmpr",2032.77502964248,2010.45991434321,1706.08471724702,1443.75926511139,1455.93520533518,1486.63366922741
