"","Geneid","control.cells_1","control.cells_2","control.cells_3","LPS.cells_1","LPS.cells_2","LPS.cells_3"
"Gnai3","Gnai3",4499,5973,5861,9265,4525,6341
"Cdc45","Cdc45",691,1007,756,2595,1964,2140
"Narf","Narf",999,1432,1243,1633,849,981
"Cav2","Cav2",402,470,492,722,354,634
"Klf6","Klf6",1660,1734,1934,2389,1513,1548
"Scmh1","Scmh1",862,989,966,944,689,737
"Cox5a","Cox5a",1531,1904,1647,3680,2484,3078
"Wnt9a","Wnt9a",145,112,100,85,54,48
"Fer","Fer",545,555,596,894,558,678
"Xpo6","Xpo6",3642,4676,4091,6581,4391,4576
"Tfe3","Tfe3",3410,4640,3863,5121,3211,4109
"Brat1","Brat1",2274,3139,2936,1997,1464,1603
"Gna12","Gna12",480,578,562,789,329,314
"Slc22a18","Slc22a18",253,255,251,290,293,293
"Pih1d2","Pih1d2",13,21,12,45,46,28
"Dlat","Dlat",2988,3355,3540,5981,3502,4155
"Sdhd","Sdhd",6188,7779,6563,12998,8862,9747
"Ccnd2","Ccnd2",0,1,0,14,0,6
"Gpr107","Gpr107",4107,4903,4670,5366,3807,4342
"Tspan32","Tspan32",1398,1908,1675,2201,1519,1857
"Lhx2","Lhx2",72,66,55,42,26,29
"Gmpr","Gmpr",1692,1997,1571,2047,1331,1562
"Trim25","Trim25",5902,6776,6462,11766,7949,8329
"Dgke","Dgke",110,164,196,328,226,281
"Scpep1","Scpep1",12021,13902,13511,10418,7328,8175
"Mnt","Mnt",703,871,901,581,387,543
"Itgb2","Itgb2",16393,19421,18764,19609,13486,15331
"Hddc2","Hddc2",316,431,378,851,443,548
"Pemt","Pemt",91,128,68,198,117,143
"Cdh4","Cdh4",29,14,18,12,0,0
"Ckmt1","Ckmt1",4,0,0,0,0,0
"Clec10a","Clec10a",787,1035,793,677,385,593
"Alox12","Alox12",2,7,4,8,6,5
"Arvcf","Arvcf",162,168,170,127,77,80
"Comt","Comt",4144,5023,4069,5450,3937,4664
"Rtca","Rtca",802,1010,905,1844,1302,1206
"Dbt","Dbt",379,477,450,1064,549,613
"Dazap2","Dazap2",12570,16616,14192,23804,14160,17742
"Mcts1","Mcts1",602,792,769,1373,696,1067
"Rem1","Rem1",193,156,153,88,48,62
"Trappc10","Trappc10",1189,1408,1321,2110,1289,1160
"Ccm2","Ccm2",1788,2208,1981,3038,2289,2527
"Tbrg4","Tbrg4",705,901,786,1321,1049,1325
"Mx1","Mx1",0,0,5,104,80,104
"Ndufa9","Ndufa9",4472,5129,4631,6886,4870,5527
"Lck","Lck",251,226,226,502,359,497
"Cttnbp2","Cttnbp2",0,4,0,0,0,0
"Galnt1","Galnt1",535,635,660,1409,661,735
"Mkrn2","Mkrn2",690,877,726,1212,790,918
"Raf1","Raf1",2485,2856,2766,3896,2514,2697
"Pdgfb","Pdgfb",1218,1382,1467,954,750,798
"Acvrl1","Acvrl1",1722,2134,1972,2576,1945,2046
"Grasp","Grasp",34,78,58,64,39,43
"Acvr1b","Acvr1b",104,112,88,206,190,140
"Tom1l2","Tom1l2",1733,1886,1714,1665,1176,1454
"Zfp385a","Zfp385a",2509,3324,2873,2984,2386,2713
"Itga5","Itga5",13184,13120,14556,13408,11041,12677
"Wdr77","Wdr77",2068,2519,2257,4187,2548,3243
"Adora3","Adora3",6,33,12,52,43,32
"Atp5f1","Atp5f1",11452,14398,12411,27956,16673,19425
"Hnrnpd","Hnrnpd",778,945,907,2518,1219,1031
"Dynlt1c","Dynlt1c",188,150,173,372,158,211
"C1d","C1d",454,532,462,840,454,660
"Gm2a","Gm2a",14111,18048,16898,6073,4020,4680
"Krit1","Krit1",393,507,464,653,337,541
"Clcn4","Clcn4",1010,990,1094,1033,810,817
"Hk2","Hk2",4093,5123,5461,4313,2918,3141
"Myo18a","Myo18a",3077,3637,3506,2837,2181,2337
"Haao","Haao",108,157,120,51,11,27
"Cd52","Cd52",2083,2296,1972,14670,11263,11582
"Abhd15","Abhd15",86,135,100,154,127,119
"Loxl3","Loxl3",35,27,62,10,23,9
"Kat2b","Kat2b",140,138,177,331,129,169
"Rab5b","Rab5b",1684,1955,1907,2346,1545,1869
"Dnmt3l","Dnmt3l",140,152,100,559,427,482
"Icosl","Icosl",342,365,390,829,701,690
"Spg7","Spg7",2005,2458,2297,3007,1954,2543
"Sult5a1","Sult5a1",0,0,2,0,0,0
"Rpl13","Rpl13",26024,33689,29820,34571,23697,28031
"Chmp1a","Chmp1a",6667,8708,7833,9388,6843,7748
"Rpa1","Rpa1",2173,3006,2561,4971,3518,4251
"Serpinf1","Serpinf1",225,303,179,142,95,141
"Tubgcp3","Tubgcp3",1093,1337,1073,1895,1147,1315
"Oprm1","Oprm1",0,0,0,1,0,0
"Polr3d","Polr3d",421,616,644,1109,741,909
"Ddx3x","Ddx3x",4054,5246,5073,8805,4680,5679
"Il12rb1","Il12rb1",371,382,376,476,334,530
"Kcnn3","Kcnn3",2,2,4,42,46,20
"Usp32","Usp32",373,380,405,815,294,575
"Txnrd3","Txnrd3",480,561,591,997,660,798
"Zfp512b","Zfp512b",482,658,554,580,318,354
"Dnajc5","Dnajc5",5922,6829,6515,10024,6545,7133
"Tpd52l2","Tpd52l2",2929,3636,3444,5983,3821,4470
"Fmr1","Fmr1",438,600,555,797,343,584
"Bcl11a","Bcl11a",0,0,0,0,0,0
"Il4","Il4",25,41,36,50,41,33
"Pxmp4","Pxmp4",771,1097,806,982,554,649
"Dlg3","Dlg3",21,25,40,21,9,43
"Gnb1l","Gnb1l",154,171,180,271,179,167
"Smarcb1","Smarcb1",1300,1552,1412,2301,1681,2201
"Hip1r","Hip1r",52,67,56,212,141,163
"Nsun5","Nsun5",685,957,728,1103,912,1139
"Top1mt","Top1mt",356,514,447,697,535,669
"Mmp14","Mmp14",11,14,9,23,32,38
"Slc7a7","Slc7a7",87,82,39,291,208,181
"Oxa1l","Oxa1l",1501,1947,1799,2174,1628,1959
"Heatr6","Heatr6",820,1126,1005,2510,1958,1894
"Ccl3","Ccl3",2663,2216,2668,43426,35112,40641
"Ilf2","Ilf2",2008,2412,2103,4891,3442,3808
"Chtop","Chtop",2340,2950,3045,4217,2556,3409
"Snapin","Snapin",2066,2558,2329,3468,2172,2243
"S100a4","S100a4",37,51,34,40,29,20
"S100a3","S100a3",20,12,7,1,8,5
"S100a6","S100a6",6267,6504,5702,4531,3380,3535
"Icam2","Icam2",105,93,82,145,118,119
"Mapk7","Mapk7",1508,1908,1643,1855,1306,1549
"Epn2","Epn2",225,316,311,545,402,398
"B9d1","B9d1",41,50,70,81,50,95
"Sec24b","Sec24b",2495,3110,3005,3227,2119,2583
"N4bp3","N4bp3",525,546,641,397,285,410
"Rmnd5b","Rmnd5b",2108,2600,2237,2108,1344,1702
"Nhp2","Nhp2",3189,4200,3299,7928,6391,7067
"Vps9d1","Vps9d1",399,429,399,681,418,508
"Zfp276","Zfp276",323,500,539,564,474,510
"Mfsd10","Mfsd10",1519,2199,1819,2191,1666,2047
"Luzp1","Luzp1",462,555,699,791,559,482
