"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3",5883.79671389134,-0.0211022651383653,0.0988440821250838,-0.21349042537176,0.830944456430745,0.873086030976377
"Cdc45",1446.72112369376,1.17246781786024,0.10898825270396,10.7577448832486,5.44872159788332e-27,8.33894285301211e-26
"Narf",1167.64283894446,-0.403628783767977,0.115889813502923,-3.48286679879589,0.000496075123644144,0.00127551691237918
"Cav2",498.384274548625,0.0110197401332067,0.160144598572052,0.0688111883352014,0.945139912195645,0.95941242380147
"Klf6",1775.60277938152,-0.278281126682996,0.0986490736738656,-2.82091981525336,0.00478861706761997,0.0102108489067179
"Scmh1",866.876662851516,-0.540182385568539,0.105802551356074,-5.10557050510605,3.29797991585456e-07,1.32343409090377e-06
"Cox5a",2297.82887367365,0.571276921619733,0.0838202798713156,6.81549766353418,9.3938000780972e-12,5.72043871622666e-11
"Wnt9a",93.3767900153757,-1.25938321930442,0.299751465661035,-4.2014247254042,2.65240442250941e-05,8.3110493455246e-05
"Fer",624.493320991588,0.0209831910799271,0.121149710947493,0.173200504696386,0.86249382694656,0.8979943858
"Xpo6",4554.297328369,0.028659581288168,0.0736935321279761,0.388902261305616,0.69734844931811,0.764269050249438
"Tfe3",3999.70612038506,-0.23257733180443,0.0811219329297597,-2.86700924651055,0.00414370905780192,0.0089517947631882
"Brat1",2269.3623414419,-1.00318556156572,0.0922688774634871,-10.87241537064,1.56014939268373e-27,2.43988915948366e-26
"Gna12",497.351811625219,-0.536549040722422,0.186006479063281,-2.88457178171672,0.00391946393117031,0.00851299927333189
"Slc22a18",272.860051854767,-0.0565607779240825,0.192929966541189,-0.293167406484815,0.769394195940623,0.823840134658965
"Pih1d2",26.4161956627963,1.11637982482585,0.527444902213719,2.11658093601879,0.0342954294890033,0.0604664950700327
"Dlat",3802.57790719679,0.15151859463153,0.0795610856958432,1.90443095775207,0.0568540805572804,0.0940891727612119
"Sdhd",8421.85764432147,0.329230101077017,0.0680099465800115,4.84091103776546,1.292452265119e-06,4.83408137402484e-06
"Gpr107",4503.88003735769,-0.307186368733686,0.0722792412762431,-4.2499943733451,2.13775885488898e-05,6.77876257165342e-05
"Tspan32",1733.46797266802,-0.122930791782744,0.0929931549633206,-1.3219337684718,0.186190206527603,0.262044678174823
"Lhx2",49.7232055885779,-1.30808818919781,0.373577871796349,-3.5015141097835,0.000462622474185612,0.00119607472235791
"Gmpr",1689.27463348445,-0.390389161248187,0.0945561375030773,-4.12864962081898,3.64899958697759e-05,0.000112199590535144
"Trim25",7641.81379440632,0.251737468876754,0.0674692360083589,3.73114450037001,0.000190611847159374,0.000527924958886432
"Dgke",209.351428531766,0.545302315202894,0.209077935378439,2.60812942415887,0.0091038525769857,0.018263243908357
"Scpep1",11042.4681548597,-0.897701399166401,0.065676167854218,-13.6686019982018,1.56370537039645e-42,4.16315169400735e-41
"Mnt",674.973281449096,-1.00153646282103,0.129637455643352,-7.72567201238795,1.112647800435e-14,8.40321898689795e-14
"Itgb2",17132.9062665473,-0.465902070477583,0.0622951788946127,-7.47894265246061,7.49229568259036e-14,5.36859608775482e-13
"Hddc2",471.734581372019,0.393932766285123,0.140423962791181,2.80531013692388,0.00502681865209916,0.0106608510615462
"Pemt",119.295079073179,0.371688049183022,0.262621867268631,1.41529741239266,0.156981313377063,0.22678599380892
"Cdh4",12.8244139090296,-2.89481036442833,0.993700210521392,-2.91316267600409,0.00357788159770898,0.00783092020135368
"Clec10a",718.614247151072,-0.960669314892013,0.133299246865436,-7.20686228528958,5.72558562420429e-13,3.85732006033741e-12
"Alox12",5.12638632126489,0.285061770876889,1.0961520047986,0.260056789230856,0.794819968596117,0.844739217147883
"Arvcf",133.053136760013,-1.13003349494588,0.229887463468887,-4.91559425596436,8.85135509118964e-07,3.38874881669303e-06
"Comt",4507.29579988831,-0.199846363155612,0.08413992537162,-2.37516686962762,0.0175410181469344,0.0330373943953174
"Rtca",1139.29284152144,0.385285337181707,0.106281594707317,3.62513696038079,0.000288808351213945,0.000774847014160984
"Dbt",559.773410592328,0.444171086595986,0.137027476793991,3.24147460778074,0.00118913027215705,0.00285480426624603
"Dazap2",16067.6874461517,0.0575704328094783,0.0696333667331709,0.826765033925234,0.408370252248113,0.501873574109369
"Mcts1",850.156386863621,0.221978926307885,0.127120334852402,1.74621099421759,0.0807742951045991,0.127851144201555
"Rem1",121.443197362577,-1.66993911106816,0.261893557927959,-6.3764039263903,1.81294388542862e-10,9.95850485508352e-10
"Trappc10",1380.4605912241,-0.0961474158900735,0.112892601164549,-0.851671543557862,0.394396418873916,0.487863077311807
"Ccm2",2262.3297567864,0.111243545969568,0.086419619521243,1.28724873571358,0.198007605378908,0.276279648468483
"Tbrg4",991.314931382532,0.355004500633707,0.121512387953511,2.92154986510123,0.00348294516192567,0.00764100140374136
"Mx1",44.2121522490088,5.5706693504051,0.759111145942449,7.33841069279654,2.16145059958008e-13,1.5027639682909e-12
"Ndufa9",5168.27149735157,-0.0116495108157322,0.0720947156952661,-0.1615861953735,0.871631728938449,0.904489829082653
"Lck",332.381531584638,0.656031292508283,0.174426189790866,3.76108251458597,0.000169179604899608,0.000472437055959038
"Galnt1",735.856367496568,0.276683868119655,0.142552199973314,1.94093018677684,0.0522667459217495,0.0875453603565426
"Mkrn2",848.832640110904,0.0517661278153714,0.105046273462849,0.492793567148093,0.622158456523924,0.700842694243735
"Raf1",2821.54879842823,-0.136195916480535,0.0759401786256036,-1.79346320940331,0.0728988883212505,0.116874525524398
"Pdgfb",1116.75389319461,-0.984114602608797,0.108771880711078,-9.04750930272889,1.46266430369497e-19,1.51974693279732e-18
"Acvrl1",2041.74679470303,-0.111565502820472,0.0876701481909833,-1.27255976090555,0.203174305143642,0.282323180754077
"Grasp",51.8476997082234,-0.505736179036528,0.376535059970766,-1.34313171016743,0.179229329294593,0.253901804619947
"Acvr1b",136.606665585708,0.542098120295558,0.251631514880401,2.15433317465506,0.0312140530311751,0.0555886099575976
"Tom1l2",1614.44809663231,-0.604501739893924,0.0962563502853632,-6.28012321370807,3.38304809180522e-10,1.82050181923902e-09
"Zfp385a",2796.24274135137,-0.379307433834611,0.0955624659427048,-3.96920935529257,7.21115048846279e-05,0.000212749922388765
"Itga5",13075.7984309981,-0.417072715579116,0.098608236194214,-4.22959310171282,2.34114375675324e-05,7.37945494518566e-05
"Wdr77",2716.39328084974,0.240722579371515,0.0778698249733238,3.0913460952812,0.00199251243799456,0.00460017055656164
"Adora3",27.9384611998161,1.07775838067949,0.572053276459243,1.88401749457732,0.0595626091039328,0.0979984131125829
"Atp5f1",16362.495015947,0.435741121319082,0.0656763296294167,6.63467528983092,3.25217660260526e-11,1.90511471949437e-10
"Hnrnpd",1160.28094280099,0.512273052800953,0.156097170756819,3.28175744837178,0.00103162302410024,0.00250884615915003
"Dynlt1c",200.129009074202,0.179586824928282,0.224083951612062,0.801426535172788,0.422884758507424,0.516745893015952
"C1d",549.995830835936,0.119649526485791,0.133014473600043,0.899522610190239,0.368374358042334,0.461777335081504
"Gm2a",11101.4164533993,-2.02570026268986,0.0656852549502263,-30.8394976045211,7.74728053193143e-209,2.09469249404466e-206
"Krit1",471.760042812722,-0.143588175778252,0.148324190413597,-0.968069843346933,0.333009489558143,0.424709272479448
"Clcn4",965.058437434041,-0.507871853132417,0.11824895146269,-4.29493747597975,1.74742577350589e-05,5.61567073065139e-05
"Hk2",4204.79568044623,-0.795556994546256,0.0844745217144015,-9.41771528740868,4.61009784344816e-21,5.26182555921518e-20
"Myo18a",2962.76874536244,-0.75759599361955,0.0843141821012742,-8.9853921930899,2.57813151265901e-19,2.64041465610456e-18
"Haao",81.971415178142,-2.47076041589476,0.352795674730546,-7.00337502091501,2.49868811600903e-12,1.59504398255414e-11
"Cd52",6774.29449691473,2.27616362536655,0.0857610709613466,26.5407556115109,3.28362411770397e-155,5.54886870001448e-153
"Abhd15",118.104239763283,0.0462839457505058,0.250234577155171,0.18496223134585,0.853258659404407,0.890971344745402
"Loxl3",29.5566636280921,-1.77513466025238,0.583519214423315,-3.04211860787948,0.0023491930832178,0.00533556696724118
"Kat2b",172.459438362039,0.108599629912393,0.23992147489811,0.452646558456317,0.650803267341079,0.724722986796532
"Rab5b",1864.30094299117,-0.243000557144061,0.0827801124110284,-2.93549440881996,0.00333016612788646,0.00733144897703965
"Dnmt3l",291.651553286385,1.61883831307033,0.188205069709584,8.60145965020142,7.87085744164982e-18,7.28803063109234e-17
"Icosl",535.013354278271,0.738652101414951,0.141341478514759,5.22601085807816,1.732061922823e-07,7.19740348872521e-07
"Spg7",2342.74307070986,-0.144043631084508,0.084401311214425,-1.70665157936421,0.0878868320767166,0.137798851272862
"Rpl13",29091.4085967742,-0.341952590760804,0.065689314068282,-5.2056045280874,1.93366062907279e-07,7.97520300811141e-07
"Chmp1a",7793.97806135305,-0.235662996963123,0.074386400920604,-3.16809247451905,0.00153442704710962,0.00361459320080983
"Rpa1",3303.05037789615,0.436541082040102,0.0865749247947498,5.04235011552185,4.59848919607073e-07,1.81302067558628e-06
"Serpinf1",184.669492134747,-1.18862644153833,0.229366899843027,-5.18220563800529,2.19277262776612e-07,8.97090267721264e-07
"Tubgcp3",1277.86289716356,0.00761279211610316,0.097580718228444,0.0780153318638322,0.937815857100221,0.953728312716348
"Polr3d",713.866103889555,0.427510584221851,0.131682173766178,3.2465334676276,0.00116819712032129,0.00280898307568164
"Ddx3x",5399.25810232365,0.0961337184957188,0.0864355954885878,1.11220056913256,0.266051923273141,0.353892396464886
"Il12rb1",407.355038745185,-0.0399762880393297,0.16952853196422,-0.235808613312164,0.813581184162676,0.859946335479739
"Kcnn3",17.9559774687305,3.49455966255425,0.791264676369129,4.41642318546268,1.00347537652995e-05,3.33404830864005e-05
"Usp32",452.364279728972,0.188715345914317,0.188428978510823,1.00151976307337,0.31657559039367,0.407851410426624
"Txnrd3",661.318319580886,0.292399924463025,0.117196384131339,2.49495687627478,0.0125972438671936,0.0245233065811431
"Zfp512b",489.498955831003,-0.750033138048582,0.138105005230308,-5.43089033447995,5.60735866543941e-08,2.45412708210077e-07
"Dnajc5",7013.85059439478,-0.00315440212512818,0.0649594793034119,-0.0485595352511161,0.961270318089916,0.971264280733991
"Tpd52l2",3928.89648797321,0.212546381177974,0.069826187714494,3.04393506412001,0.0023350553635113,0.00530741987816962
"Fmr1",537.687896628213,-0.211986199434506,0.158555032555851,-1.33698814864065,0.181226505366619,0.256184836853219
"Il4",36.9880735660193,0.0072334503745988,0.42318548058735,0.0170928604747008,0.986362534597524,0.989371224933889
"Pxmp4",803.713008459218,-0.599524437157967,0.123008806683585,-4.87383345405604,1.09453273475367e-06,4.13705491884061e-06
"Dlg3",26.5698145119041,-0.517862745305142,0.590182792829839,-0.877461612904819,0.380235960292442,0.473815129954747
"Gnb1l",183.088024762312,-0.0170176848148903,0.199674068334244,-0.0852273154789617,0.932080674969631,0.949376687078247
"Smarcb1",1702.3658577319,0.253518906841422,0.102203135042898,2.48053943487166,0.0131183752089782,0.0254561307199891
"Hip1r",108.272466175754,1.26501366646754,0.252844178683659,5.0031354214021,5.64052872800817e-07,2.2010363384758e-06
"Nsun5",906.101690802789,0.147432404470109,0.134311911640614,1.09768674028408,0.272341301751383,0.360798847823287
"Top1mt",524.022761039198,0.256845133743025,0.142722402081612,1.79961330524801,0.0719217187031819,0.115444795707337
"Mmp14",20.7459832089397,1.22611724032221,0.599786715080882,2.04425541528852,0.0409283212696464,0.0705946817249486
"Slc7a7",139.077141883593,1.40183014585131,0.287122654950204,4.88233903414703,1.04834807763938e-06,3.97359846125805e-06
"Oxa1l",1815.95737214727,-0.144381649367785,0.0966125838251888,-1.49443937478196,0.135060816555538,0.199718638190476
"Heatr6",1487.47931151515,0.830117204656282,0.104667431068327,7.93099817377176,2.17391416250406e-15,1.73556519784691e-14
"Ccl3",19340.6911362099,3.69339137090743,0.182328420902755,20.2568055633921,3.09396406230122e-91,2.267726550965e-89
"Ilf2",2993.91696307705,0.604821226055942,0.0769860382350692,7.85624562481291,3.95818512304316e-15,3.08713066615809e-14
"Chtop",3017.11739543589,-0.0116635059399592,0.0893404738030894,-0.130551198616499,0.896130350063515,0.922411176776568
"Snapin",2423.87548244143,-0.124768721849328,0.0832409373716719,-1.49888655496795,0.133903064915177,0.198271703884989
"S100a4",35.2814207085276,-0.751145311767536,0.441045893444203,-1.70310011482414,0.0885493344672697,0.138712469739059
"S100a3",9.65430674529795,-1.66567625053481,0.949924844454973,-1.75348214151669,0.0795192822992521,0.126060079183713
"S100a6",5087.79473654259,-0.983108101764694,0.0889234747325872,-11.0556644881582,2.05807112617257e-28,3.30350282218227e-27
"Icam2",108.904788974436,0.157269496413425,0.262365998521859,0.599427888138952,0.548887584423289,0.634820840273589
"Mapk7",1621.34045591416,-0.390991795383112,0.0901873892423996,-4.33532668666381,1.45543808611351e-05,4.72978504106385e-05
"Epn2",354.851537481224,0.374059077525696,0.156008114467707,2.39768988172166,0.0164988271431968,0.0312681043382049
"B9d1",62.9754753304508,0.202056959020497,0.357542229519992,0.565127535541082,0.571987020705344,0.656234425358031
"Sec24b",2740.69068215743,-0.413763385560481,0.0785236761718584,-5.26928189982994,1.3695849365519e-07,5.74017909852806e-07
"N4bp3",476.418276233067,-0.93626709576099,0.156928856052426,-5.96618824168454,2.42860090469746e-09,1.20312651496148e-08
"Rmnd5b",2026.04197373542,-0.727926885383968,0.0844773572956554,-8.61682832757607,6.88342193477525e-18,6.40784963124793e-17
"Nhp2",5158.47086774849,0.729181058447176,0.0943723154832587,7.72664159730753,1.10420962972358e-14,8.35504885873556e-14
"Vps9d1",460.932956490616,0.0814153753343131,0.131504553713758,0.619106890484776,0.535845944339587,0.62341151317458
"Zfp276",479.741167325907,-0.0793263988107862,0.165682129494484,-0.478786692643441,0.632090384558764,0.708815088380321
"Mfsd10",1888.34980242272,-0.179775867921652,0.106635604151365,-1.68588971153075,0.091817043964799,0.143131066485549
"Luzp1",583.500742990152,-0.202802517870907,0.155071862407116,-1.30779700922455,0.190942168905516,0.267834144463155
"Kctd10",936.677442008469,-0.497512217553409,0.104663776841197,-4.75343268290679,1.99991712614285e-06,7.26141201843632e-06
"Poldip2",4870.76291495657,-0.0780193129016714,0.0805411699385554,-0.968688596914995,0.332700583698292,0.424404277821044
"Ift20",398.63762890272,0.331190730625747,0.143264731413565,2.31173944457895,0.0207920462841684,0.0386460169782274
"Lgals9",7020.30807991533,0.992901893479989,0.0862483545933344,11.5121256302404,1.14617932080514e-30,2.03882511640879e-29
"Araf",3104.15484814532,0.0260969959115467,0.0758206025514731,0.344193992573852,0.730700399849726,0.791456580163057
"Cfp",7401.66201363082,0.619426648496094,0.102611992858224,6.0365911551093,1.57403851800131e-09,7.94331258752465e-09
"Uxt",424.060128375418,0.257067137645522,0.138627058788678,1.85437922359295,0.0636849250678341,0.104007313194676
"Cnnm3",62.5272756400391,-0.637948637474652,0.393289174852467,-1.62208542280362,0.104785058938944,0.16096317382584
"Lman2l",1652.59386460835,-0.932980438250721,0.0982829381143513,-9.49280166172084,2.24906640543648e-21,2.61110600715131e-20
"Mcm3ap",2473.83315201596,-0.00276394702367216,0.0745653839252874,-0.0370674283182336,0.970431242608286,0.977582126909672
"Pcnt",680.497934192752,-0.0422456628264633,0.129035538549091,-0.327395563280354,0.743368721720714,0.802392409259752
"Mxd1",1373.48564097338,-0.0394504934791446,0.105247998977389,-0.374833667741463,0.707784173507248,0.773311129323819
"Gmcl1",1093.28015893341,-0.158969590225906,0.104907522500947,-1.51533070685633,0.129688675736892,0.1930179960478
"Snrnp27",785.489674679199,0.213548632307476,0.115665737555498,1.84625660822862,0.0648549549708791,0.10554979094846
"Oas1c",142.26473984169,1.51666359679507,0.288302665531445,5.26066449645656,1.4353572768745e-07,6.01170120059621e-07
"Ocrl",93.0749729339315,2.40302080323344,0.356140594389444,6.74739370094301,1.50524437496578e-11,9.04410286923886e-11
"Calm1",13987.91966209,0.727838749356612,0.0657412770257736,11.0712596755805,1.72952181992454e-28,2.79086100570581e-27
"Agpat3",2751.31404917883,0.12469433081016,0.078888589278739,1.58063836544947,0.113960748369888,0.17288783359307
"Sema6b",490.530456907951,0.105984042410576,0.146967364167549,0.721139982409631,0.470823393639432,0.561398297766658
"Uhrf1",4295.99581052769,1.40007881992881,0.113519946002192,12.3333288046294,5.99192360723946e-35,1.25696094016004e-33
"Dpp9",2588.9678395028,-0.0623445087321755,0.0752401740457041,-0.828606652269368,0.407327022534078,0.50080314098344
"Lsr",20.6287734450484,-1.24784873945626,0.59668705973023,-2.09129512548911,0.0365016165168288,0.0638738915806495
"Gramd1a",1948.9916152421,0.476512409465161,0.093553994126139,5.09344805549059,3.51609416926336e-07,1.40493654375787e-06
"Hpn",37.160477445104,8.52841687859807,1.24694730210767,6.83943648956361,7.95052959748192e-12,4.86345367584527e-11
"Ckb",2723.42874162835,-1.12501023265653,0.113963342507531,-9.87168512175028,5.52288744380723e-23,7.03633209725681e-22
"Sp1",695.262093305855,-0.0560815169983683,0.137881770785483,-0.40673626889823,0.684201699287203,0.7543889510854
"Itgb7",3308.88230859567,1.25936959530257,0.112653563258513,11.1791368055764,5.15893206895237e-29,8.52835957648689e-28
"Myg1",2023.8381830514,-0.113397303122928,0.102114275998195,-1.11049412057656,0.266786160253035,0.354752700743025
"Rarg",300.484946106065,0.505102049606198,0.205302658163558,2.46028012556856,0.0138828609369611,0.0267945382328688
"Pfdn5",2372.88345724522,-0.137428387118873,0.0809452787357847,-1.69779373504237,0.0895466987701895,0.140094468810196
"Rrp15",514.258576204205,0.401306926621877,0.127736736345954,3.14167198960684,0.00167986113996963,0.00393357784642233
"Rnd2",220.144318168127,-0.0936684334904646,0.200126384291434,-0.468046398889912,0.639751409240997,0.715040949177691
"Srr",276.053120379217,-0.589291654148899,0.19467390452408,-3.02707060604523,0.00246936271878759,0.00558452345715403
"Acp5",2454.96482018676,0.775241475479403,0.0941745402828295,8.2319645325707,1.84167789320585e-16,1.57136710565467e-15
"Fbxo9",333.530906707934,0.891242404485043,0.155552925080648,5.72951234457963,1.00719759974639e-08,4.72419938169403e-08
"Vps50",2912.08662232585,-0.210815830456496,0.0805516027071557,-2.61715252548002,0.00886667115067642,0.0178433324330599
"Hars",3233.11546601658,0.592608919874149,0.0796718918905156,7.43811783318145,1.0212994386439e-13,7.26675454384811e-13
"Zmat2",1012.58954315733,0.167187140171446,0.102862704934803,1.62534263781428,0.10408957107439,0.160027111036735
"Ube2c",2365.95796035018,1.12447523863158,0.108367604942325,10.3764887969061,3.17228581123789e-25,4.44668219646675e-24
"Smg5",1621.29361825542,0.666889614283705,0.0992884537467467,6.71668848811694,1.85900795682212e-11,1.10820920189391e-10
"Cct3",35352.5294750565,1.67212889191808,0.0669917805600814,24.960209714361,1.65441957071693e-137,2.05401254254213e-135
"Glmp",29614.4935117518,0.21069582182531,0.0759456006981315,2.77429923377371,0.00553207678736867,0.0116410892895044
"Mef2d",6326.18108166338,-1.07787562893085,0.0786211198422405,-13.7097465807368,8.87673311670768e-43,2.38417686161109e-41
"Tmem79",17.7933251669441,0.392379922388288,0.643636215638666,0.609629963097924,0.542106958535782,0.628891625143484
"Snd1",13008.1583427379,0.216512913801754,0.0823286484795066,2.62986114554824,0.00854197495425568,0.0172412424134753
"Col18a1",638.493643496338,1.93496224291618,0.151171850104162,12.7997523453138,1.64474920528798e-37,3.83365202696146e-36
"Slc19a1",974.688635012961,-0.0403314417782341,0.121348921784502,-0.332359292403577,0.739617973028286,0.799052732892484
"Kpnb1",2146.91929089888,0.890215320020823,0.0989630735296332,8.99542918656684,2.35311002482835e-19,2.41402105160932e-18
"Npepps",2838.52060632454,-0.283155744215316,0.0760008399387567,-3.72569230081522,0.000194779892305356,0.000538365958582296
"Mrpl10",1732.08475070642,-0.151326823972488,0.0889290846531223,-1.7016572762753,0.0888196337682566,0.139082172980486
"Cyp51",1937.77821335057,1.30069746936853,0.0884482996918336,14.7057374070541,5.9222256206279e-49,1.86190488698139e-47
