"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Klf6",1479.18205289553,-0.650830945879097,0.121668918124515,-5.3491964579897,8.83456000823069e-08,9.68829976175335e-07
"Wnt9a",94.1524763842236,-0.89245276780641,0.32224182485444,-2.76951251815167,0.00561402469042095,0.0216641010366436
"Trim25",5606.19850696256,-0.452173693241442,0.0765902863820492,-5.90379948425705,3.5522387558234e-09,4.76118401238864e-08
"Itgb2",14883.4611215884,-0.706354224870776,0.0807303740319649,-8.74954728428605,2.14210358704904e-18,6.30248672452989e-17
"Clec10a",607.423377073519,-1.40147813282586,0.14097764536941,-9.94113732821613,2.75661625696621e-23,1.12341425364133e-21
"Ccm2",1800.05895193393,-0.352306702698197,0.0950819526420002,-3.70529519965469,0.000211144677340312,0.00127117068622135
"Tbrg4",710.691308703975,-0.396411803780312,0.142852673179134,-2.77496944900164,0.00552068936090375,0.0213390158129389
"Lck",192.195996932342,-0.729752630235184,0.220328359779424,-3.31211393288525,0.000925938282902422,0.00463276379371709
"Raf1",2346.7789646865,-0.493313493562457,0.0891711101948804,-5.53221208622767,3.16217224797544e-08,3.71063072250269e-07
"Pdgfb",1236.08744679234,-0.330845612491056,0.129826158169698,-2.54837405000155,0.0108226359132161,0.0372690428264704
"Tom1l2",1386.71204791439,-0.906983734346156,0.125856345484244,-7.20649984596683,5.74083884895861e-13,1.11516487979046e-11
"Gm2a",15221.7826961652,-0.252815955475307,0.0935313512260475,-2.70300762430234,0.00687151701634331,0.0255521300148426
"Cd52",1844.69023155516,-0.486591153579155,0.10902591621846,-4.46307786677206,8.07906766367495e-06,6.48853483534693e-05
"Kat2b",118.174020301714,-0.909676930898885,0.321050718055098,-2.83343683642772,0.00460504077485297,0.0183274849445897
"Il12rb1",261.971284841188,-1.44071156259172,0.255781746984069,-5.63258160357099,1.7753179493576e-08,2.16101517892036e-07
"Txnrd3",485.009604128084,-0.404555072091803,0.156657539474916,-2.58241686578117,0.00981109966201343,0.0343047232530052
"Ccl3",1635.30533444883,-1.89869086977438,0.145558488612804,-13.0441782397524,6.85925735080997e-39,5.8269874241423e-37
"S100a6",4810.78996704663,-0.905083656629152,0.0953734291152745,-9.48989320217489,2.31271088167777e-21,8.37784725696066e-20
"Icam2",68.9700138684885,-1.16188214365612,0.348604455793982,-3.33295264688977,0.000859295661127393,0.00433892154046871
"Mapk7",1256.43733316014,-1.08602794093385,0.117775228483723,-9.22119154355063,2.93816793721872e-20,9.87273532776308e-19
"Epn2",211.172818392658,-1.08215947499354,0.209451531356505,-5.16663434248951,2.38346904897589e-07,2.45322415851503e-06
"Sec24b",2616.72065474818,-0.321529194112547,0.0933625634609598,-3.44387709798689,0.000573436304364273,0.00304998330667823
"N4bp3",456.694139110209,-0.809140645840617,0.169529144693755,-4.77287045423538,1.81618620260549e-06,1.6156824603267e-05
"Rmnd5b",2077.8308022951,-0.374932617473789,0.106911490710091,-3.50694406170507,0.000453284425404542,0.00247751337044618
"Nhp2",3220.68824927358,-0.343525465750107,0.0959262775504341,-3.58114037698893,0.000342097777854217,0.00193226103762653
"Araf",2410.24889103742,-0.539505426416274,0.0890901481062391,-6.05572487962326,1.39786738555689e-09,1.98849932452509e-08
"Cfp",2840.43018340683,-4.36578049694965,0.111007514943681,-39.3286931895069,0,0
