"","Geneid","control.cells_1","control.cells_2","control.cells_3","TGFB.cells_1","TGFB.cells_2","TGFB.cells_3"
"Gnai3","Gnai3",4499,5973,5861,5462,4345,7551
"Cdc45","Cdc45",691,1007,756,847,695,1079
"Narf","Narf",999,1432,1243,1288,1017,1331
"Cav2","Cav2",402,470,492,689,516,986
"Klf6","Klf6",1660,1734,1934,1309,844,1471
"Scmh1","Scmh1",862,989,966,973,726,1112
"Cox5a","Cox5a",1531,1904,1647,2091,1790,2419
"Wnt9a","Wnt9a",145,112,100,87,57,59
"Fer","Fer",545,555,596,697,478,890
"Xpo6","Xpo6",3642,4676,4091,3898,3301,4369
"Tfe3","Tfe3",3410,4640,3863,4525,3693,5055
"Brat1","Brat1",2274,3139,2936,3522,2819,3357
"Gna12","Gna12",480,578,562,1383,489,669
"Slc22a18","Slc22a18",253,255,251,283,196,221
"Pih1d2","Pih1d2",13,21,12,21,8,33
"Dlat","Dlat",2988,3355,3540,3539,2731,3825
"Sdhd","Sdhd",6188,7779,6563,7714,6348,9895
"Ccnd2","Ccnd2",0,1,0,0,0,4
"Gpr107","Gpr107",4107,4903,4670,4468,3811,4480
"Tspan32","Tspan32",1398,1908,1675,1580,1394,1547
"Lhx2","Lhx2",72,66,55,39,21,59
"Gmpr","Gmpr",1692,1997,1571,2415,2131,2523
"Trim25","Trim25",5902,6776,6462,5131,3946,5681
"Dgke","Dgke",110,164,196,112,116,211
"Scpep1","Scpep1",12021,13902,13511,15997,13214,16224
"Mnt","Mnt",703,871,901,759,620,761
"Itgb2","Itgb2",16393,19421,18764,12532,10059,12390
"Hddc2","Hddc2",316,431,378,439,360,488
"Pemt","Pemt",91,128,68,64,84,62
"Cdh4","Cdh4",29,14,18,63,61,69
"Ckmt1","Ckmt1",4,0,0,0,0,0
"Clec10a","Clec10a",787,1035,793,324,285,432
"Alox12","Alox12",2,7,4,7,19,11
"Arvcf","Arvcf",162,168,170,164,119,243
"Comt","Comt",4144,5023,4069,5791,5104,6000
"Rtca","Rtca",802,1010,905,851,728,891
"Dbt","Dbt",379,477,450,431,391,615
"Dazap2","Dazap2",12570,16616,14192,17750,13948,21194
"Mcts1","Mcts1",602,792,769,827,668,968
"Rem1","Rem1",193,156,153,149,187,162
"Trappc10","Trappc10",1189,1408,1321,1568,1030,1282
"Ccm2","Ccm2",1788,2208,1981,1587,1394,1933
"Tbrg4","Tbrg4",705,901,786,575,626,679
"Mx1","Mx1",0,0,5,0,0,0
"Ndufa9","Ndufa9",4472,5129,4631,4444,3848,4631
"Lck","Lck",251,226,226,167,133,145
"Cttnbp2","Cttnbp2",0,4,0,2,0,1
"Galnt1","Galnt1",535,635,660,936,439,587
"Mkrn2","Mkrn2",690,877,726,663,636,705
"Raf1","Raf1",2485,2856,2766,2072,1732,2236
"Pdgfb","Pdgfb",1218,1382,1467,1346,947,1090
"Acvrl1","Acvrl1",1722,2134,1972,2093,1611,2274
"Grasp","Grasp",34,78,58,85,33,53
"Acvr1b","Acvr1b",104,112,88,122,95,126
"Tom1l2","Tom1l2",1733,1886,1714,1045,948,960
"Zfp385a","Zfp385a",2509,3324,2873,3362,2767,3740
"Itga5","Itga5",13184,13120,14556,19054,15372,18074
"Wdr77","Wdr77",2068,2519,2257,2221,2048,2459
"Adora3","Adora3",6,33,12,25,20,19
