"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cav2",577.142371536929,0.588613535366014,0.154589672702468,3.80758640002357,0.000140329717656782,0.000889074256351763
"Cox5a",1872.79446951774,0.241869682645026,0.0927835850098789,2.60681544714265,0.00913886022389039,0.0323765259561791
"Gmpr",2035.96445890078,0.365864051749722,0.10746813836269,3.40439554758995,0.000663106553643158,0.00347030557769953
"Cdh4",42.0135572004989,1.57696255315306,0.460183436416075,3.4268129366726,0.000610709621573813,0.00322124624619366
"Comt",4977.41852685155,0.293450634676586,0.0947067459601295,3.0985188193471,0.001944906173187,0.00874120833351521
"Dazap2",15772.9591432322,0.211416200008715,0.0790864854671571,2.67322790689076,0.00751251924895626,0.0274672261273074
"Itga5",15450.8279554422,0.293100461021869,0.0997465797673589,2.93845124018762,0.00329856539763874,0.0137922337579605
"Clcn4",1223.16057654727,0.408373476638847,0.139561639834416,2.92611549365116,0.00343223491963545,0.0142966332305119
"Haao",192.512161892793,0.978111231755736,0.230916390105172,4.23578088723043,2.27758792414835e-05,0.000168245824427444
"Abhd15",143.996941196875,0.742012118664094,0.236553683811745,3.13675993841044,0.0017082593469156,0.00784122241318223
"Icosl",443.281053074736,0.467350046653334,0.147768108239774,3.16272605923191,0.0015629933264279,0.00726286151644827
"Usp32",499.2166444025,0.625044386334835,0.173886083283097,3.59456245453079,0.00032493719460394,0.00184370525799968
"Dnajc5",7185.40552842724,0.26810594495006,0.0741181860757637,3.61727612540331,0.000297719645851728,0.00171426829971809
"Tpd52l2",3648.13143930982,0.212261614854961,0.0841817537893933,2.52146819589907,0.0116866239430752,0.0397450647378958
"Pxmp4",1051.95669019627,0.421185892196311,0.120572866548338,3.49320625986325,0.000477257723220052,0.00258865104100876
"Dlg3",50.7601205021355,1.32026355054631,0.412350724613129,3.20179757604402,0.00136572932525068,0.00647339601198387
"Mmp14",60.5473641877421,3.25422847534719,0.416513237416358,7.81302533271993,5.58313692926679e-15,1.27555645412396e-13
"Slc7a7",168.871151183365,1.91608944618348,0.281012547131477,6.81851919333338,9.19836888516163e-12,1.64141899203705e-10
"Snapin",2656.62112257932,0.336840284847327,0.0864725786599093,3.89534220058472,9.80601865827538e-05,0.000642182427116047
"Mfsd10",2054.54944230504,0.271924005959213,0.100352433949621,2.70969019142798,0.00673460812165456,0.0251360079738611
"Luzp1",1205.69040727011,1.6592305208649,0.149154873430162,11.1242125899546,9.56466508783526e-29,5.36644441649101e-27
"Lgals9",5164.43656581243,0.453722320386596,0.0803123675605304,5.64947011485661,1.60943160879066e-08,1.97905947980039e-07
"Sp1",792.749583210974,0.49538173347834,0.177240604379958,2.79496752570517,0.00519049288233614,0.0202630794950229
"Acp5",2172.54733363513,0.66445389955468,0.097129135639426,6.84093290010675,7.86791057298407e-12,1.40816921723897e-10
"Fbxo9",292.059917785487,0.760369450294185,0.199677381866917,3.80798988440745,0.000140101002691495,0.00088809164238965
"Glmp",29067.457766828,0.356740076336787,0.0884714059418897,4.03226412577984,5.5242049951248e-05,0.000379058503163768
"Col18a1",326.738753827941,0.728121926996048,0.181776217043721,4.00559511490394,6.18615344319116e-05,0.000421602084662231
"Cyp51",1415.22045808391,0.788066606307072,0.12879518463433,6.11875831029333,9.43073128287492e-10,1.3739482061029e-08
"Def8",2359.87404703548,0.290506464664672,0.0967000398970768,3.00420211795025,0.00266278365889989,0.0114513936817502
"Ell2",1312.53834446564,0.965715239629499,0.119455503108838,8.08430934110769,6.25174650952646e-16,1.56138339843515e-14
"Stk38l",1692.6778531811,1.18384810065673,0.126815385736971,9.33520876648324,1.00792420011042e-20,3.48383656903496e-19
"Akr1b3",5560.2044986078,0.272776764581278,0.0836520764485465,3.26084869810804,0.00111079294813246,0.00540520182868976
"Rin2",2643.95186105509,0.860568504736232,0.127233674839808,6.76368505287392,1.34525354217627e-11,2.35869091268493e-10
"Rtcb",5552.78620060897,0.77465588655547,0.0888256156699086,8.72108659999865,2.75544585308579e-18,8.08733414252407e-17
"X45176",2124.15255068996,0.27125840540121,0.105925312758938,2.56084592375509,0.0104417653236062,0.0361847213727842
"Zdhhc4",1459.9439101575,0.305398766572551,0.106554398941259,2.86613006696147,0.00415523484884101,0.0168146923789229
"Nfix",168.911003006965,0.720161199403954,0.21177956162718,3.40052266550508,0.000672571598323299,0.00351222129462076
"Ap4e1",1267.40097371132,0.332975401203341,0.114635258237735,2.90465085805279,0.00367662975142259,0.0151472625312195
"Ssr4",3929.59143656855,0.353777837029363,0.0978157803374077,3.61677671853186,0.000298294401574437,0.0017164976027883
"Rapsn",23.1950510048329,1.81460412250678,0.596096687650024,3.04414394527244,0.0023334346186235,0.0102357170198019
"Slc39a13",1100.30340298215,0.292743547565223,0.112533896312541,2.60138106968396,0.00928492528428748,0.0328265104643493
"Ppm1j",1838.59944662804,0.453278096818275,0.106620120302832,4.25133732292586,2.12497831499517e-05,0.000157939700639475
"Cd320",886.253038797151,0.570081424441503,0.118016254205763,4.83053311832418,1.3616796184196e-06,1.23503317571396e-05
"Tm9sf1",1799.35033046585,0.267876247683172,0.0937324985690667,2.85788015653703,0.00426481431802205,0.0171717139914219
"Mdp1",322.613420961963,0.466016532428364,0.165450684442252,2.81664916648332,0.00485275025373042,0.0190866404664982
"Borcs8",661.232686726295,0.308112827396077,0.126603847250371,2.43367665428647,0.0149463401479131,0.0488876630163439
"Snx9",2498.80330750489,0.20957143005174,0.0864350605550303,2.42461136379159,0.0153247823233262,0.0498912980087723
"Hltf",408.416055213004,0.532634147227758,0.203751398063244,2.61413738649503,0.00894530582868425,0.0317935251064874
"Rgs19",2797.61363860984,0.258025401397596,0.0882587111876317,2.92351200154116,0.00346106882585427,0.0143869308222881
"Fkbp7",77.8004083929626,1.09050334261325,0.335076189399015,3.25449368565745,0.00113594685351867,0.00550982183112012
"Ykt6",3107.57592888987,0.673795100914093,0.111160587373422,6.06145682417645,1.34894100913863e-09,1.92571306428867e-08
"Nudt14",2311.38017032736,0.264933289743938,0.103763137129882,2.5532505769589,0.010672268618769,0.0368459005003463
"Il17ra",2069.42219085638,1.45815207123337,0.0936001295661453,15.5785262049549,1.01876590918317e-54,1.49870404420445e-52
"Apoe",919980.259883984,1.55872443622095,0.084899202531128,18.3597064489439,2.76095546274874e-75,6.66108114942762e-73
"Hmgn2",2226.7517403683,0.678194205920833,0.101590603867411,6.67575720689643,2.45958877775157e-11,4.16129304712724e-10
"Stard3nl",591.047567339162,0.384995288166468,0.140233741102942,2.74538270988472,0.00604403680484241,0.0229852509384659
"Hck",161.67078657203,2.78948730592943,0.301273512609498,9.25898623403074,2.06382339350079e-20,6.97364190358544e-19
"Atp8b3",259.257588147481,0.591850399826217,0.225755883187406,2.62163887589545,0.00875081011906704,0.0312126027398893
"Mob3a",364.078845000635,0.894884742647476,0.177231792070176,5.04923373055518,4.43585744002876e-07,4.37171146234207e-06
"Cacnb3",161.639191517102,1.65852478237061,0.26921999472894,6.1604814458171,7.25241126655731e-10,1.06828195664411e-08
"Fcgrt",2184.82097443267,0.330125521385688,0.089865181904554,3.67356427026782,0.000239190479070693,0.00141231265248643
"Paf1",1818.80462323056,0.511904532457893,0.104005415413437,4.92190267615388,8.57068363208455e-07,8.09106151682224e-06
"Ncstn",9717.44694794694,0.222512357838967,0.078620619672095,2.83020356195366,0.00465183966820435,0.0184893383583358
"Cyp4f18",3683.23306961693,3.97219309108929,0.106516488049867,37.291814289161,2.22749758795091e-304,8.95676780115063e-301
"Klc4",5262.6291843687,0.430619350240448,0.0819480837636627,5.25478242398381,1.48199566012269e-07,1.56133743651179e-06
"Crot",1031.76436728113,0.547459570858552,0.128815499110483,4.24995109003928,2.1381719868323e-05,0.00015882246722388
"Kif20a",1304.20562411738,0.531168408295548,0.167821325548814,3.16508290325145,0.00155038769474891,0.00720984069458601
"Calr",44003.3437705201,0.525804204400676,0.0675996484486408,7.77820915444788,7.35583852497486e-15,1.66167565780471e-13
"Fam162a",740.574594251608,0.618223260491178,0.128891230614947,4.79647263465173,1.61484006538085e-06,1.44939104975366e-05
"Gstm5",987.94773921232,0.501522173903716,0.129520512379363,3.87214476448924,0.000107881842285285,0.000700419086914634
"Angptl2",14586.8960046542,0.836671886471982,0.0898302296600887,9.31392349366009,1.23195445039508e-20,4.23392208977659e-19
"Etv1",774.642025427164,0.405714008298285,0.121013905961652,3.35262303182622,0.000800496541801141,0.0040727076270549
"Ptpn6",10709.5851760767,0.497489048340193,0.0733155337666829,6.78558857558601,1.15614191576723e-11,2.03599123064234e-10
"Lpcat3",3986.79124357168,0.8264922528576,0.086037308102256,9.60620771485909,7.52702711034629e-22,2.84634884113189e-20
"Ralb",3328.83378146376,0.338171664871595,0.0876424585851527,3.85853695036442,0.000114067823934431,0.000736222664591249
