"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3",5511.4757483567,0.0036031644942484,0.10679603783588,0.0337387469354024,0.973085480962746,0.986341677891964
"Cdc45",831.345141726013,0.0235730520499968,0.13007793721096,0.181222523630323,0.856192916001381,0.919865973078434
"Narf",1203.76500278946,-0.0769154834504832,0.111753353497956,-0.688261077121862,0.491288387912079,0.658017396568695
"Cav2",577.142371536929,0.588613535366014,0.154589672702468,3.80758640002357,0.000140329717656782,0.000889074256351763
"Klf6",1479.18205289553,-0.650830945879097,0.121668918124515,-5.3491964579897,8.83456000823069e-08,9.68829976175335e-07
"Scmh1",926.118032463229,-0.0840125024929875,0.111620084967938,-0.752664742345604,0.451651401996979,0.622768555402511
"Cox5a",1872.79446951774,0.241869682645026,0.0927835850098789,2.60681544714265,0.00913886022389039,0.0323765259561791
"Wnt9a",94.1524763842236,-0.89245276780641,0.32224182485444,-2.76951251815167,0.00561402469042095,0.0216641010366436
"Fer",614.796643342703,0.185138643458168,0.148028293249861,1.25069768348722,0.211044795953761,0.369175373200438
"Xpo6",3958.080383724,-0.166639927952943,0.0825577223643022,-2.0184656647577,0.0435427865894949,0.115245255962057
"Tfe3",4141.32562312758,0.0901983466621672,0.0858126588936928,1.05110770164933,0.293209127257652,0.464965838152864
"Brat1",2975.81251085345,0.159469191283919,0.10322712188592,1.54483810427413,0.122385427982459,0.252365028675625
"Gna12",678.433953486213,0.56399921149259,0.404273035073259,1.3950948061386,0.162987252216696,0.308434550920619
"Slc22a18",242.327731410012,-0.186089184317722,0.201069698164526,-0.925495915179888,0.354708007512154,0.530215947288613
"Pih1d2",17.157377350553,0.307293025806074,0.674647514687273,0.455486782528973,0.648759074408112,0.779153363026438
"Dlat",3295.00929246769,-0.0454431028834642,0.0890645938792391,-0.510226352629863,0.60989289197333,0.750039551011752
"Sdhd",7294.69088829402,0.144768025135163,0.0863745656982768,1.67604923931966,0.0937285482646786,0.207534412209401
"Gpr107",4381.61612904473,-0.16081005825603,0.0901641982189115,-1.78352451896257,0.0745009603526583,0.174167652080255
