Geneid,control Evs_1,control Evs_2,control Evs_3,LPS Evs_1,LPS Evs_2,LPS Evs_3,IL-10 Evs_1,IL-10 Evs_2,IL-10 Evs_3,TGFB Evs_1,TGFB Evs_2,TGFB Evs_3
Gnai3,3709,914,1717,388,552,812,884,478,1404,751,2131,868
Cdc45,366,0,417,211,65,130,58,0,0,1,354,93
Narf,1424,0,0,143,126,211,119,0,0,0,290,158
Cav2,387,151,6,5,30,148,74,0,0,246,111,229
Klf6,2203,495,64,114,122,257,251,104,0,0,500,170
Scmh1,0,231,0,59,126,162,25,0,171,0,1,31
Cox5a,1415,389,576,492,201,452,239,205,825,114,327,284
Wnt9a,0,0,16,7,28,67,0,0,0,0,64,0
Fer,0,0,0,53,114,184,91,29,0,322,47,0
Xpo6,0,225,0,251,451,885,71,290,1,505,386,169
Tfe3,1219,78,825,323,182,662,289,0,114,542,654,183
Brat1,1644,455,139,90,200,254,39,0,0,642,71,369
Gna12,4,1092,833,459,213,149,810,761,1439,536,849,1679
Slc22a18,301,0,0,11,19,2,0,0,207,0,36,35
Pih1d2,246,0,1,2,14,12,12,73,0,0,0,0
Dlat,1860,87,94,123,202,213,338,422,863,176,551,451
Sdhd,5748,1010,699,1324,679,1643,963,927,3044,558,1967,842
Ccnd2,0,6,0,34,162,107,0,0,4,0,0,0
Gpr107,4030,833,137,195,399,430,215,275,340,10,538,507
Tspan32,805,456,454,227,146,349,221,657,472,619,629,134
Lhx2,21,0,0,6,102,35,17,0,0,0,24,12
Gmpr,952,48,324,202,128,305,273,117,470,31,485,168
Trim25,3181,19,286,230,218,383,321,306,480,0,749,336
Dgke,0,3,0,11,136,171,4,1,0,0,129,0
Scpep1,10915,612,2008,256,411,1026,150,363,2069,496,1761,335
Mnt,228,97,224,49,13,114,220,282,287,237,270,220
Itgb2,9791,1271,959,380,440,1302,315,572,1869,418,2091,201
Hddc2,404,378,370,84,71,274,250,119,169,0,393,148
Pemt,0,0,0,50,52,166,32,0,0,0,0,1
Cdh4,0,0,0,44,167,201,0,0,0,0,0,0
Ckmt1,0,4,0,29,157,132,0,0,0,0,0,0
Clec10a,0,64,170,24,23,19,95,98,153,19,295,216
Alox12,0,0,0,13,24,46,0,0,0,84,0,0
Arvcf,0,0,0,13,2,22,62,0,0,0,1,0
Comt,2486,264,1018,396,288,727,634,545,1628,505,743,516
Rtca,1398,504,1076,161,151,182,753,495,978,654,1260,982
Dbt,786,0,41,21,55,76,89,0,0,0,92,81
Dazap2,8421,873,2820,826,979,1823,1147,121,3642,182,2887,199
Mcts1,496,85,305,184,120,145,10,138,188,126,134,35
Rem1,0,51,3,15,8,2,0,0,30,55,32,0
Trappc10,243,95,95,59,79,53,64,121,28,13,178,308
Ccm2,1497,328,187,463,221,514,313,77,846,0,957,668
Tbrg4,365,34,510,258,115,187,368,78,5,263,97,287
Mx1,0,0,73,9,14,23,65,176,197,0,0,0
Ndufa9,3068,219,722,828,427,813,486,273,589,140,738,317
Lck,191,42,0,54,93,181,17,168,548,0,0,170
Cttnbp2,0,0,0,6,174,112,2,0,0,0,1,0
Galnt1,0,34,85,29,73,81,76,267,0,0,308,161
Mkrn2,251,597,230,314,79,156,793,596,400,641,1035,764
Raf1,870,84,118,106,163,397,214,120,670,0,351,22
Pdgfb,304,15,3,152,96,285,196,0,247,0,20,280
Acvrl1,560,256,509,147,68,256,30,183,803,0,116,151
Grasp,0,21,66,18,6,29,43,26,83,5,46,77
Acvr1b,0,50,14,44,91,172,93,35,54,0,27,119
Tom1l2,2505,235,479,246,88,95,167,26,11,0,289,98
Zfp385a,582,135,265,85,61,179,232,83,52,154,356,518
Itga5,3761,778,1149,389,367,1064,0,0,0,228,671,0
