"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Itga5",544.518883118209,-12.3449498144839,1.38403040436408,-8.91956547743334,4.68121242929662e-19,4.31326913235391e-15
"Brpf1",131.000912838026,-4.23861971463354,0.887772018270346,-4.77444617244377,1.80202471999729e-06,0.000488348699119267
"Slc39a13",160.242477226461,-10.5796114522787,1.68536884700396,-6.27732704985369,3.44443065941976e-10,7.93424602397342e-07
"Cdkal1",95.6461754600083,-4.03348021742033,1.05410917392662,-3.82643498148808,0.000130012468873363,0.018717732628112
"Anapc1",1341.34299656654,-2.02240093162868,0.541117925452557,-3.73744952163111,0.000185896395863549,0.0244692770212392
"Ints2",107.832021991332,-10.0085698196614,1.85632401692866,-5.39160713775653,6.98303047653316e-08,2.38302380780654e-05
"Cd164",630.07133395547,-2.50668553343179,0.707781814664078,-3.54160771228842,0.00039769644833798,0.0436235127974542
"Slc1a4",149.517435670719,-9.47402456923234,2.60557591565725,-3.63605777605698,0.000276842265045405,0.0328609173066772
"Slc36a2",130.364487562697,-7.30441156093994,1.61497328521208,-4.52293027248481,6.09893365199526e-06,0.00130687382952289
"Ppm1d",47.5138036961945,-8.82545384720838,2.32876578658698,-3.78975588616101,0.000150795403048289,0.0210519521770748
"Vipas39",191.183609777701,-10.8348816669583,2.76908893204225,-3.91279656698038,9.12333891597819e-05,0.0144935249606591
"Coq6",67.8677891166351,-9.3399814252947,2.09140954849242,-4.46587873332956,7.97407704483755e-06,0.00163273657535851
"Mctp1",183.503494895948,-10.7751740277596,1.74710440323295,-6.16744712440797,6.9401308532995e-10,1.27892731364603e-06
"Fgd4",54.479964029912,-6.3669266189362,1.81952681331402,-3.4992211009739,0.000466619476069149,0.0493464203483729
"Poc1a",89.7640311495875,-9.74402425831609,1.91268174677082,-5.09443051608921,3.49791090656884e-07,0.000107432503643751
"Dgka",72.8970540352785,-8.44366487984679,2.24996275019067,-3.75280207600381,0.000174868918588911,0.0236947384687975
"Cdk2",156.45443644053,-10.545071510335,1.78495212860434,-5.90776152555991,3.46787529915728e-09,4.56471471520503e-06
"Chm",120.017417206164,-9.16580415053606,2.16756475828553,-4.22861836791713,2.35130800254072e-05,0.00401202813618707
"Steap3",159.420539931627,-5.73256454853534,1.29599117926616,-4.42330522016464,9.72022663192057e-06,0.00190557804652162
"Lrrc57",63.5138459503954,-9.24543185357245,2.14296272724784,-4.31432228662518,1.60093255252463e-05,0.00301040664060448
"Hsdl2",73.5752763090923,-9.45739670627306,2.01506583278673,-4.69334378678535,2.68775245288883e-06,0.000651709239497833
"Zkscan14",232.071995436048,-3.28877561784097,0.846940106852355,-3.88312655314396,0.000103121861513857,0.0153252392256239
"Syap1",163.38189634706,-7.63085376167074,1.6415983378357,-4.64842926908134,3.34472274103025e-06,0.000790212188098788
"Man2c1",166.504796526071,-10.636018618728,1.7575701297301,-6.05154721215097,1.43461226158801e-09,2.20308622971199e-06
"Snx14",105.576664873759,-9.97819288472668,2.56183073423813,-3.89494620053191,9.82205278063742e-05,0.0150242488632826
"Gtf3c1",163.100428416171,-10.6057993939413,2.93897724445936,-3.60867012969754,0.000307770653048452,0.0345829121608346
"Fam214a",86.8656527789335,-8.69405842541897,2.33894935483731,-3.71707852820255,0.000201539814196619,0.0261547584226429
"Dhx8",403.738423235597,-6.24625565012413,1.70900032601921,-3.65491776392669,0.000257264428240352,0.0311899268658763
"Sh3tc1",161.195197402816,-10.5887082623472,2.82599688204624,-3.74689311570654,0.000179038327698659,0.023908103643702
"Icam1",209.421510295444,-10.9661763570324,1.5943461058583,-6.87816548535986,6.06282185792871e-12,2.79314202994775e-08
"Trappc11",239.896735305449,-11.1621448739422,2.74090101669555,-4.07243632876584,4.65239204756784e-05,0.00765484648683752
"Ptov1",80.1193087925208,-4.05074561368212,1.06869196390896,-3.79037716243855,0.000150418707277994,0.0210519521770748
"Efl1",141.855413299572,-9.42296424983725,1.63716649054413,-5.75565423813763,8.63068783029537e-09,8.83590640759351e-06
"Rsad1",14.8157386976459,-21.3473220901079,3.90922347582343,-5.46075767275274,4.74106821180646e-08,1.89346535863052e-05
"Heatr5b",222.620710132054,-11.0546903293916,1.90817890421438,-5.79331964365415,6.9008587219317e-09,7.94806403298483e-06
"Ddx58",142.861884051883,-10.4145237365333,2.87274261802219,-3.62528953035946,0.000288637891025895,0.0331453270552271
"Rwdd2b",73.4325731139525,-9.4537366672126,2.05981233947982,-4.58961065822142,4.44073531319422e-06,0.000997974028677354
"Elp6",82.7602754240502,-6.63377689221204,1.83010088105946,-3.62481487270345,0.000289168516329059,0.0331453270552271
"Cnot10",103.855776415648,-7.96589871305638,1.56612867686229,-5.08636284536715,3.64995453077441e-07,0.000108486067892114
"Gm35315",59.5708559562984,-9.15275514474638,2.14838690558144,-4.26029181287961,2.04160172780559e-05,0.00368849378823543
