"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","IL.10.Evs_1","IL.10.Evs_2","IL.10.Evs_3"
"Gnai3","Gnai3",3709,914,1717,884,478,1404
"Cdc45","Cdc45",366,0,417,58,0,0
"Narf","Narf",1424,0,0,119,0,0
"Cav2","Cav2",387,151,6,74,0,0
"Klf6","Klf6",2203,495,64,251,104,0
"Scmh1","Scmh1",0,231,0,25,0,171
"Cox5a","Cox5a",1415,389,576,239,205,825
"Wnt9a","Wnt9a",0,0,16,0,0,0
"Fer","Fer",0,0,0,91,29,0
"Xpo6","Xpo6",0,225,0,71,290,1
"Tfe3","Tfe3",1219,78,825,289,0,114
"Brat1","Brat1",1644,455,139,39,0,0
"Gna12","Gna12",4,1092,833,810,761,1439
"Slc22a18","Slc22a18",301,0,0,0,0,207
"Pih1d2","Pih1d2",246,0,1,12,73,0
"Dlat","Dlat",1860,87,94,338,422,863
"Sdhd","Sdhd",5748,1010,699,963,927,3044
"Ccnd2","Ccnd2",0,6,0,0,0,4
"Gpr107","Gpr107",4030,833,137,215,275,340
"Tspan32","Tspan32",805,456,454,221,657,472
"Lhx2","Lhx2",21,0,0,17,0,0
"Gmpr","Gmpr",952,48,324,273,117,470
"Trim25","Trim25",3181,19,286,321,306,480
"Dgke","Dgke",0,3,0,4,1,0
"Scpep1","Scpep1",10915,612,2008,150,363,2069
"Mnt","Mnt",228,97,224,220,282,287
"Itgb2","Itgb2",9791,1271,959,315,572,1869
"Hddc2","Hddc2",404,378,370,250,119,169
"Pemt","Pemt",0,0,0,32,0,0
"Cdh4","Cdh4",0,0,0,0,0,0
"Ckmt1","Ckmt1",0,4,0,0,0,0
"Clec10a","Clec10a",0,64,170,95,98,153
"Alox12","Alox12",0,0,0,0,0,0
"Arvcf","Arvcf",0,0,0,62,0,0
"Comt","Comt",2486,264,1018,634,545,1628
"Rtca","Rtca",1398,504,1076,753,495,978
"Dbt","Dbt",786,0,41,89,0,0
"Dazap2","Dazap2",8421,873,2820,1147,121,3642
"Mcts1","Mcts1",496,85,305,10,138,188
"Rem1","Rem1",0,51,3,0,0,30
"Trappc10","Trappc10",243,95,95,64,121,28
"Ccm2","Ccm2",1497,328,187,313,77,846
"Tbrg4","Tbrg4",365,34,510,368,78,5
"Mx1","Mx1",0,0,73,65,176,197
"Ndufa9","Ndufa9",3068,219,722,486,273,589
"Lck","Lck",191,42,0,17,168,548
"Cttnbp2","Cttnbp2",0,0,0,2,0,0
"Galnt1","Galnt1",0,34,85,76,267,0
"Mkrn2","Mkrn2",251,597,230,793,596,400
"Raf1","Raf1",870,84,118,214,120,670
"Pdgfb","Pdgfb",304,15,3,196,0,247
"Acvrl1","Acvrl1",560,256,509,30,183,803
