"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Top3a",70.8576572517469,10.0617263763109,2.13730501555911,4.70766984733752,2.50564485399497e-06,0.000623973288775937
"Lmbr1",62.2595270910377,9.87383538690976,2.33021688574354,4.23730316577771,2.26220589585089e-05,0.00400845483160963
"Cluap1",48.4148177081697,9.51252049814634,2.29787143454174,4.13970962654985,3.47745708523313e-05,0.00582568901515238
"Ccl6",16.6074672707048,21.4921758433162,3.90995377842407,5.49678514408901,3.86777464777818e-08,1.89346535863052e-05
"Pcsk4",41.8715897461198,9.30290531816069,2.39014540913213,3.89219219994595,9.93424937526289e-05,0.0150242488632826
"Prpsap2",44.8116922211962,9.40149955275705,2.55059784469525,3.68599839144001,0.000227807788945169,0.0291530689908443
"Ppwd1",18.7163520034927,21.6587657151617,3.90959369257554,5.53990194845374,3.02641047808231e-08,1.89346535863052e-05
"C330018D20Rik",14.3246838247262,21.2846334836932,3.9104590286102,5.44300127631252,5.2390271419608e-08,1.93089584344107e-05
"Ribc1",18.9799625950911,21.67362585307,3.90955427936394,5.54375877768761,2.96046612020741e-08,1.89346535863052e-05
"Cenpl",60.2468689589789,9.82841698925288,2.68084683350411,3.66616132873442,0.000246218627841841,0.0306575464450639
"Zbtb46",14.7459980548652,21.3260732621628,3.9103533811966,5.45374578285219,4.93196967735321e-08,1.89346535863052e-05
"Ndufaf4",108.501843166271,7.19716426645822,1.96668720983412,3.65953682439684,0.000252671533396541,0.0310415401162097
"Cds1",84.3945793983871,10.3136189552455,1.98877923322017,5.18590438947115,2.1496908044299e-07,6.83008657655762e-05
"Mad1l1",81.3633381852072,10.261796629396,2.08772011494833,4.91531242905614,8.8640983370737e-07,0.000255230631493116
"Rad52",118.298239347275,10.8005721635405,2.34581788857254,4.60418185748972,4.1409050221538e-06,0.000953857471853127
"Clmp",40.0537728765334,9.23809748565011,2.51765199661728,3.66933058979654,0.000243186431008922,0.0306575464450639
"Glce",160.917163506866,11.245063645588,2.88935730889777,3.89189097899345,9.94659410310654e-05,0.0150242488632826
