"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rtca",434.171723015187,-1.62084644565616,0.510758227982643,-3.17341230518805,0.00150658407136476,0.00893255335828571
"Poldip2",1058.30031548944,-1.26333873645297,0.347584325004822,-3.63462517026751,0.000278385076194933,0.00196706612214897
"Ckb",310.49578415018,-1.44071806835919,0.559468801432636,-2.57515354684646,0.0100195595531162,0.0476918852893009
"Snd1",1154.5060963209,-1.38577456315024,0.485700180334163,-2.85314813388957,0.00432884374769782,0.0228729457912941
"Mrpl10",350.200081224447,-1.61512107185764,0.468718048309483,-3.44582649992435,0.000569315755741208,0.00374994100311559
"Pwp1",871.133641135557,-1.53785007926112,0.552114728669657,-2.78538136985882,0.00534647995549424,0.0275640744372148
"Pld3",1149.22104905286,-1.72257828512241,0.611297756040335,-2.81790382526573,0.00483382864471095,0.0252115758788255
"Fcgrt",250.4891102816,-1.97397976954178,0.500442738632224,-3.94446680340876,7.99777313504513e-05,0.000626617272269202
"Ptpn6",1348.63053842402,-1.20421599206031,0.37497145093566,-3.21148713870204,0.00132049881219852,0.00799961756248697
"Coro1c",1521.05085282613,-1.58372536348689,0.366584042806166,-4.32022450121837,1.55870543663282e-05,0.000140082221736987
"Snx6",819.01250311874,-1.07046573740294,0.311179957221577,-3.4400214813344,0.000581668017452581,0.00380927178392364
"Atp6v1b2",7663.84149962473,-1.36730032737902,0.362981708718528,-3.76685737748644,0.000165315377128354,0.00122331426146723
"Usp19",714.010009586747,-1.2325197147843,0.366587999600256,-3.36213873920667,0.000773412537208349,0.00494605016138142
"Tmem184b",380.66196230061,-2.26478049756917,0.745536456139432,-3.03778638712954,0.00238322827573551,0.013497777503804
"Ap1b1",755.798996046257,-1.36831376427977,0.398935949168709,-3.42990840291786,0.000603785035219557,0.00394380548552169
"Fads1",1626.01237398774,-1.29919432295825,0.389158860372466,-3.33846779619713,0.000842417945580167,0.00533559758454415
"Cars",580.401022324857,-1.24867973006243,0.45267478569115,-2.75844771905273,0.00580765942344982,0.0296972886763181
"Tvp23b",215.202686500036,-1.74991887194417,0.426239528881255,-4.10548237170108,4.03472053479731e-05,0.00033608363603684
"Trabd",1279.74547099966,-1.92070003145872,0.727595076760857,-2.63979250658125,0.00829568003497897,0.040517847749792
"H2.M3",308.384535236374,-2.02626843427175,0.574191733234597,-3.52890561983044,0.000417281921269765,0.00284578547069549
"Pacsin2",857.404594943094,-1.51371932187827,0.474879119145565,-3.18758871647559,0.00143464439691819,0.00857462134943299
"Il13ra1",574.205105808799,-1.42581199917276,0.498688525859733,-2.85912333097033,0.00424813588558739,0.022512963779458
"Serinc3",2036.79137975447,-1.47057929238051,0.51205666199733,-2.87190735229255,0.00408002563775871,0.0217786796718539
"Slc12a7",490.073233383828,-1.34192521535479,0.522404411141769,-2.56874786417264,0.0102066690189798,0.0484536375406511
"Anxa6",696.904733081059,-1.58146862147272,0.408309572985088,-3.87320975580084,0.000107411306540896,0.000824034812213312
"G3bp1",5677.89345508746,-1.52183022138374,0.594502059719906,-2.55984011577813,0.0104720329028209,0.0494883546610865
"Arrb1",944.066972723585,-2.27222063702738,0.682328334285085,-3.33009860921007,0.000868152328671173,0.00548196188185104
"Cd164",673.28809652041,-1.65515646833168,0.509797472495364,-3.24669414351939,0.00116753787048506,0.00717357255587876
"P4ha1",528.801651505624,-1.17479643240312,0.440533883299748,-2.66675612691469,0.00765872240290022,0.0378793818647983
"Arg1",593.912480737938,-1.51334978315775,0.464946438454014,-3.25489058092318,0.00113436060675359,0.00698342490486929
"Cpeb4",190.519634094567,-3.23420694113272,1.09074774119959,-2.96512825007163,0.00302556768638901,0.016712659601006
"Mgat1",276.565405293554,-1.81463659280228,0.684403563918508,-2.65141312592339,0.00801557305539821,0.0393183630532611
"Sypl",762.082593978254,-1.6133744981781,0.472126076717006,-3.41725352134101,0.00063256343783598,0.00411889539979686
"Hs1bp3",306.738282098673,-2.09627757261598,0.457297876892125,-4.58405271168684,4.56049190202929e-06,4.54525398159291e-05
"Lgmn",4021.10755837778,-1.49434470776219,0.527125686358421,-2.8348926004454,0.00458410937153072,0.0240291724713543
"Wars",2071.97477584234,-1.53054523962233,0.441938454933122,-3.46325426660132,0.000533683817334156,0.00354506408460356
"Gpr137b",997.759718586597,-1.23756320847106,0.40462317941557,-3.05855737246337,0.00222405488117703,0.0126938312306997
"Ctsl",5061.39166305902,-0.93575134441884,0.330352939895517,-2.83258064757891,0.00461739169499101,0.0241833959677456
"Slmap",263.353636748929,-1.83233769209569,0.491353609834124,-3.72916298043332,0.000192116868037451,0.00140095466983306
"Ctsb",26368.2873630267,-1.44767933429333,0.506178939249504,-2.860014951313,0.00423621035575983,0.0224592650600758
"Itm2b",3746.02664819814,-1.32752689536522,0.377622191768039,-3.51548961979617,0.000438943918672343,0.00297892167558349
"Cln5",612.092162837405,-1.40712462209817,0.542076791693037,-2.59580311066885,0.0094370124629272,0.0454018446756761
"Dnajc3",449.448305623087,-1.61546869707117,0.498174487919671,-3.24277685077213,0.00118370882310824,0.0072622449245348
"Dab2",1418.86307002758,-1.03580948548823,0.313883983094654,-3.29997560014356,0.000966932349021534,0.00601177591490907
"Oxct1",2398.98555060292,-1.20658342264123,0.314093292293198,-3.8414810256913,0.000122294190983937,0.000927984024619482
"Drosha",355.808085145605,-1.62798834591566,0.596331465022704,-2.73000577934234,0.00633332152521567,0.0321230170315393
"Derl1",1012.9705533796,-1.30936314361687,0.389636245482627,-3.36047572267055,0.000778083686331814,0.00496831418061415
"Tef",579.250149187071,-2.21053018652566,0.861311448938982,-2.56647022311004,0.010273944599148,0.0486439825918844
"Syngr1",1726.64918814603,-1.34757586381905,0.327586898023898,-4.11364395813149,3.89461974757076e-05,0.000326148370304589
"Parvg",767.324166707937,-1.81007236926335,0.635057586703265,-2.85024918552641,0.00436849893785048,0.0230436019761646
"Srebf2",1297.05303645633,-1.39660204426402,0.538050155633392,-2.59567259602396,0.00944059749202875,0.0454018446756761
"Ly6e",1530.20397312429,-1.12497213381893,0.299011284691945,-3.76230661320332,0.000168353475201327,0.00124342517589662
"App",1131.05404626071,-1.46161819036815,0.570431788002743,-2.56230143745271,0.0103981026558695,0.0491760777926511
"Nckap5l",3460.0785044092,-1.07624153408014,0.322317925785139,-3.33906819317761,0.000840599260040563,0.00532946737337458
"Slc38a1",3010.86786092935,-1.71753605442948,0.588846061542909,-2.91678278348191,0.00353661973187794,0.0192470773244861
