"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Scpep1",1315.30218294644,-1.60185834009155,0.706646428384693,-2.26684559030915,0.0233996599859537,0.097945519647186
"Rtca",434.171723015187,-1.62084644565616,0.510758227982643,-3.17341230518805,0.00150658407136476,0.00893255335828571
"Poldip2",1058.30031548944,-1.26333873645297,0.347584325004822,-3.63462517026751,0.000278385076194933,0.00196706612214897
"Gramd1a",428.20532287492,-1.78273216368371,0.746285349047353,-2.38880766714689,0.0169031487161101,0.0744856303606848
"Ckb",310.49578415018,-1.44071806835919,0.559468801432636,-2.57515354684646,0.0100195595531162,0.0476918852893009
"Snd1",1154.5060963209,-1.38577456315024,0.485700180334163,-2.85314813388957,0.00432884374769782,0.0228729457912941
"Mrpl10",350.200081224447,-1.61512107185764,0.468718048309483,-3.44582649992435,0.000569315755741208,0.00374994100311559
"Tcf25",2581.56170479911,-1.40577347061523,0.550127275539367,-2.55536042861527,0.0106077893156649,0.0500239100546509
"Pwp1",871.133641135557,-1.53785007926112,0.552114728669657,-2.78538136985882,0.00534647995549424,0.0275640744372148
"Siae",297.094286601223,-1.2840933582141,0.550680568897148,-2.33182979524003,0.0197096469227673,0.0846204443620385
"Dyrk1b",55.4111762962252,-2.44465850637817,1.05932889118324,-2.30774269136337,0.0210134520907209,0.0892697618828589
"Nudt14",324.810906167981,-0.877959622552036,0.362201725296264,-2.42395207210542,0.0153526315129386,0.0685448313033266
"Ap2a2",1156.48971370238,-1.28598333368407,0.525689939104126,-2.44627724067847,0.0144339961368603,0.065210639597038
"Hbp1",509.218528463789,-1.06841227115871,0.419384373502306,-2.54757291559609,0.0108475181232031,0.0508980176207824
"Pld3",1149.22104905286,-1.72257828512241,0.611297756040335,-2.81790382526573,0.00483382864471095,0.0252115758788255
"Fcgrt",250.4891102816,-1.97397976954178,0.500442738632224,-3.94446680340876,7.99777313504513e-05,0.000626617272269202
"Ptpn6",1348.63053842402,-1.20421599206031,0.37497145093566,-3.21148713870204,0.00132049881219852,0.00799961756248697
"Coro1c",1521.05085282613,-1.58372536348689,0.366584042806166,-4.32022450121837,1.55870543663282e-05,0.000140082221736987
"Pex5",752.691818781732,-1.56345578203939,0.689095560512645,-2.26885191493074,0.0232773326980335,0.0975965274568151
"Ndrg1",446.534269592367,-1.81015506116124,0.711859080510523,-2.54285589763504,0.0109950563975558,0.0514169714627021
"Snx6",819.01250311874,-1.07046573740294,0.311179957221577,-3.4400214813344,0.000581668017452581,0.00380927178392364
"Rsl1d1",864.56032590165,-0.772905031964523,0.323623184618342,-2.38828696057741,0.0169271190323603,0.0745650306741947
"Atp6v1b2",7663.84149962473,-1.36730032737902,0.362981708718528,-3.76685737748644,0.000165315377128354,0.00122331426146723
"Usp19",714.010009586747,-1.2325197147843,0.366587999600256,-3.36213873920667,0.000773412537208349,0.00494605016138142
"Tmem184b",380.66196230061,-2.26478049756917,0.745536456139432,-3.03778638712954,0.00238322827573551,0.013497777503804
"Ap1b1",755.798996046257,-1.36831376427977,0.398935949168709,-3.42990840291786,0.000603785035219557,0.00394380548552169
"Fxyd5",3224.17492658741,-0.966875947597979,0.404018696599498,-2.39314654429579,0.0167045676402489,0.0737142738277698
"Fads1",1626.01237398774,-1.29919432295825,0.389158860372466,-3.33846779619713,0.000842417945580167,0.00533559758454415
"Cars",580.401022324857,-1.24867973006243,0.45267478569115,-2.75844771905273,0.00580765942344982,0.0296972886763181
"Pea15a",788.218464213903,-0.798128204883746,0.353203985730825,-2.25968062968575,0.0238410793476637,0.0995271716319662
"Tvp23b",215.202686500036,-1.74991887194417,0.426239528881255,-4.10548237170108,4.03472053479731e-05,0.00033608363603684
"Anapc1",1575.23226091414,-0.888095313572305,0.358404979940848,-2.47791008294271,0.0132154445042066,0.0604465457278937
"Fbxw5",490.971131492425,-1.83800423223834,0.734124372671254,-2.50366872516493,0.0122913059121184,0.056633129998904
"Golga7",1351.68286121885,-1.32464829776893,0.542780638845069,-2.44048553498061,0.0146675333444301,0.0660751016681124
"Trabd",1279.74547099966,-1.92070003145872,0.727595076760857,-2.63979250658125,0.00829568003497897,0.040517847749792
"Aph1a",454.449124231973,-1.13024012566567,0.46508502323638,-2.43017957835039,0.0150913434364144,0.0676195817494276
"H2.M3",308.384535236374,-2.02626843427175,0.574191733234597,-3.52890561983044,0.000417281921269765,0.00284578547069549
"Pls3",315.993900380683,-1.79355109811989,0.754617251459071,-2.37676927561888,0.0174650086321829,0.076584399070349
"Pacsin2",857.404594943094,-1.51371932187827,0.474879119145565,-3.18758871647559,0.00143464439691819,0.00857462134943299
