"","control_Evs_1","control_Evs_2","control_Evs_3","LPS_Evs_1","LPS_Evs_2","LPS_Evs_3"
"Gnai3",1186.6356104069,1081.17956208057,1470.68861810389,518.971480283315,978.151469325548,700.517310825456
"Cdc45",117.095883906423,0,357.179472189472,282.224181288092,115.180879540146,112.151786215898
"Narf",455.586171264336,0,0,191.270416702356,223.273704954745,182.030976088881
"Cav2",123.814500196136,178.619380606308,5.13927298114348,6.68777680777468,53.1604059416059,127.680495076561
"Klf6",704.814842201778,585.540353643195,54.8189117988637,152.481311217263,216.185650829197,221.715454288353
"Scmh1",0,273.252165033491,0,78.9157663317413,223.273704954745,139.758379745965
"Cox5a",452.706764283031,460.151914277177,493.370206189774,658.077237885029,356.174719808759,389.9431336122
"Wnt9a",0,0,13.7047279497159,9.36288753088456,49.6163788788321,57.8013052035783
"Fer",0,0,0,70.8904341624117,202.009542578102,158.737912797887
"Xpo6",0,266.154706201452,0,335.726395750289,799.178102655475,763.494852315922
"Tfe3",389.999678912378,92.2669648165034,706.650034907228,432.030381782245,322.506462712409,571.111403653266
"Brat1",525.971675251804,538.223961429603,119.059824063157,120.379982539944,354.402706277372,219.127336144909
"Gna12",1.27973643613578,1291.73750743105,713.502398882086,613.937910953716,377.438882185402,128.543201124376
"Slc22a18",96.3001668192171,0,0,14.7131089771043,33.6682570963504,1.7254120956292
"Pih1d2",78.7037908223502,0,0.856545496857246,2.67511072310987,24.8081894394161,10.3524725737752
"Dlat",595.077442803136,102.913153064561,80.5152767045811,164.519309471257,357.946733340146,183.75638818451
"Sdhd",1838.98125872711,1194.73890339318,598.725302303215,1770.92329869874,1203.19718781168,1417.42603655939
"Ccnd2",0,7.09745883203872,0,45.4768822928678,287.066192084672,92.3095471161623
"Gpr107",1289.33445940679,985.363867848043,117.346733069443,260.823295503213,707.033399023358,370.963600560279
"Tspan32",257.546957772325,539.406871234943,388.87165557319,303.625067072971,258.713975582482,301.084410687296
"Lhx2",6.71861628971282,0,0,8.02533216932962,180.74538020146,30.194711673511
"Gmpr",304.577271800315,56.7796706563098,277.520740981748,270.186183034097,226.817732017518,263.125344583453
"Trim25",1017.71040083698,22.475286301456,244.972012101172,307.637733157635,386.298949842336,330.416416312992
"Dgke",0,3.54872941601936,0,14.7131089771043,240.993840268613,147.522734176297
"Scpep1",3492.0808001055,723.94080086795,1719.94335768935,342.414172558064,728.2975614,885.136405057781
"Mnt",72.9449768597392,114.742251117959,191.866191296023,65.5402127161919,23.0361759080292,98.3484894508645
"Itgb2",3132.47486155134,1503.47836258687,821.427131486099,508.271037390876,779.685953810219,1123.24327425461
"Hddc2",129.253380049713,447.13990641844,316.921833837181,112.354650370615,125.812960728467,236.381457101201
"Pemt",0,0,0,66.8777680777468,92.1447036321168,143.209203937224
"Cdh4",0,0,0,58.8524359084172,295.926259741606,173.403915610735
"Ckmt1",0,4.73163922135915,0,38.7891054850932,278.206124427737,113.877198311527
"Clec10a",0,75.7062275417464,145.612734465732,32.1013286773185,40.7563112218978,16.3914149084774
"Alox12",0,0,0,17.3882197002142,42.5283247532847,39.6844781994717
"Arvcf",0,0,0,17.3882197002142,3.54402706277372,18.9795330519212
"Comt",795.356195058385,312.288188609704,871.963315800676,529.671923175755,510.339897039416,627.187296761215
"Rtca",447.267884429454,596.186541891253,921.642954618397,215.346413210345,267.574043239416,157.012500702257
"Dbt",251.46820970068,0,35.1183653711471,28.0886625926537,97.4607442262774,65.5656596339097
