"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","LPS.Evs_1","LPS.Evs_2","LPS.Evs_3"
"Gnai3","Gnai3",3709,914,1717,388,552,812
"Cdc45","Cdc45",366,0,417,211,65,130
"Narf","Narf",1424,0,0,143,126,211
"Cav2","Cav2",387,151,6,5,30,148
"Klf6","Klf6",2203,495,64,114,122,257
"Scmh1","Scmh1",0,231,0,59,126,162
"Cox5a","Cox5a",1415,389,576,492,201,452
"Wnt9a","Wnt9a",0,0,16,7,28,67
"Fer","Fer",0,0,0,53,114,184
"Xpo6","Xpo6",0,225,0,251,451,885
"Tfe3","Tfe3",1219,78,825,323,182,662
"Brat1","Brat1",1644,455,139,90,200,254
"Gna12","Gna12",4,1092,833,459,213,149
"Slc22a18","Slc22a18",301,0,0,11,19,2
"Pih1d2","Pih1d2",246,0,1,2,14,12
"Dlat","Dlat",1860,87,94,123,202,213
"Sdhd","Sdhd",5748,1010,699,1324,679,1643
"Ccnd2","Ccnd2",0,6,0,34,162,107
"Gpr107","Gpr107",4030,833,137,195,399,430
"Tspan32","Tspan32",805,456,454,227,146,349
"Lhx2","Lhx2",21,0,0,6,102,35
"Gmpr","Gmpr",952,48,324,202,128,305
"Trim25","Trim25",3181,19,286,230,218,383
"Dgke","Dgke",0,3,0,11,136,171
"Scpep1","Scpep1",10915,612,2008,256,411,1026
"Mnt","Mnt",228,97,224,49,13,114
"Itgb2","Itgb2",9791,1271,959,380,440,1302
"Hddc2","Hddc2",404,378,370,84,71,274
"Pemt","Pemt",0,0,0,50,52,166
"Cdh4","Cdh4",0,0,0,44,167,201
"Ckmt1","Ckmt1",0,4,0,29,157,132
"Clec10a","Clec10a",0,64,170,24,23,19
"Alox12","Alox12",0,0,0,13,24,46
"Arvcf","Arvcf",0,0,0,13,2,22
"Comt","Comt",2486,264,1018,396,288,727
"Rtca","Rtca",1398,504,1076,161,151,182
"Dbt","Dbt",786,0,41,21,55,76
"Dazap2","Dazap2",8421,873,2820,826,979,1823
"Mcts1","Mcts1",496,85,305,184,120,145
"Rem1","Rem1",0,51,3,15,8,2
"Trappc10","Trappc10",243,95,95,59,79,53
"Ccm2","Ccm2",1497,328,187,463,221,514
"Tbrg4","Tbrg4",365,34,510,258,115,187
"Mx1","Mx1",0,0,73,9,14,23
"Ndufa9","Ndufa9",3068,219,722,828,427,813
"Lck","Lck",191,42,0,54,93,181
"Cttnbp2","Cttnbp2",0,0,0,6,174,112
"Galnt1","Galnt1",0,34,85,29,73,81
"Mkrn2","Mkrn2",251,597,230,314,79,156
"Raf1","Raf1",870,84,118,106,163,397
"Pdgfb","Pdgfb",304,15,3,152,96,285
"Acvrl1","Acvrl1",560,256,509,147,68,256
"Grasp","Grasp",0,21,66,18,6,29
"Acvr1b","Acvr1b",0,50,14,44,91,172
"Tom1l2","Tom1l2",2505,235,479,246,88,95
"Zfp385a","Zfp385a",582,135,265,85,61,179
"Itga5","Itga5",3761,778,1149,389,367,1064
"Wdr77","Wdr77",1071,837,473,414,299,1043
"Adora3","Adora3",0,0,0,30,27,30
"Atp5f1","Atp5f1",10757,2947,3104,2016,1290,3188
"Hnrnpd","Hnrnpd",118,43,1,166,173,332
"Dynlt1c","Dynlt1c",118,15,38,44,34,94
"C1d","C1d",1061,415,362,456,131,180
"Gm2a","Gm2a",7576,971,927,288,351,1439
"Krit1","Krit1",1075,0,0,67,252,152
"Clcn4","Clcn4",903,1,0,59,151,159
"Hk2","Hk2",2397,30,459,276,238,397
"Myo18a","Myo18a",249,435,0,359,233,239
"Haao","Haao",336,0,0,23,42,52
"Cd52","Cd52",3566,366,910,1532,669,1401
"Abhd15","Abhd15",0,0,0,1,35,38
"Loxl3","Loxl3",0,0,0,16,11,10
"Kat2b","Kat2b",223,18,7,32,107,93
"Rab5b","Rab5b",398,75,108,45,36,119
"Dnmt3l","Dnmt3l",0,142,84,172,132,141
"Icosl","Icosl",863,0,7,35,37,136
"Spg7","Spg7",650,193,38,127,189,393
"Sult5a1","Sult5a1",0,0,0,51,121,132
"Rpl13","Rpl13",25924,21084,21262,14451,5529,14663
"Chmp1a","Chmp1a",6734,3003,2230,1186,566,1818
"Rpa1","Rpa1",497,188,1022,506,111,438
"Serpinf1","Serpinf1",0,137,51,70,36,62
"Tubgcp3","Tubgcp3",0,0,1,33,168,223
"Oprm1","Oprm1",0,0,0,113,277,122
"Polr3d","Polr3d",0,96,149,61,53,73
"Ddx3x","Ddx3x",2252,482,226,586,375,653
"Il12rb1","Il12rb1",0,0,70,166,80,104
"Kcnn3","Kcnn3",0,0,0,0,27,63
"Usp32","Usp32",357,0,15,26,111,81
"Txnrd3","Txnrd3",0,0,0,57,30,144
"Zfp512b","Zfp512b",12,98,514,42,280,243
"Dnajc5","Dnajc5",1719,7486,6424,1793,904,1770
"Tpd52l2","Tpd52l2",2124,63,531,724,380,623
"Fmr1","Fmr1",0,0,50,49,77,287
"Bcl11a","Bcl11a",0,0,0,12,128,118
"Il4","Il4",0,30,0,12,52,62
"Pxmp4","Pxmp4",395,127,185,73,191,254
"Dlg3","Dlg3",0,0,0,0,37,83
"Gnb1l","Gnb1l",0,0,0,16,71,79
"Smarcb1","Smarcb1",1420,176,110,141,255,339
"Hip1r","Hip1r",0,0,0,1,19,23
"Nsun5","Nsun5",217,0,0,173,43,102
"Top1mt","Top1mt",485,26,183,21,47,11
"Mmp14","Mmp14",0,0,43,3,55,11
"Slc7a7","Slc7a7",0,0,0,20,40,74
"Oxa1l","Oxa1l",993,189,18,99,104,378
"Heatr6","Heatr6",0,162,0,89,222,302
"Ccl3","Ccl3",7738,408,2866,8387,3448,8312
"Ilf2","Ilf2",2100,142,526,385,461,576
"Chtop","Chtop",2023,731,462,246,298,305
"Snapin","Snapin",2292,350,1526,265,176,534
"S100a4","S100a4",47,4,15,26,43,29
"S100a3","S100a3",0,1,44,14,49,15
"S100a6","S100a6",2918,674,1282,631,382,1096
"Icam2","Icam2",0,49,0,8,37,67
"Mapk7","Mapk7",426,0,284,3,38,19
"Epn2","Epn2",999,107,0,6,32,10
"B9d1","B9d1",108,0,0,34,11,3
"Sec24b","Sec24b",1751,7,425,73,227,408
"N4bp3","N4bp3",0,16,1,0,8,152
"Rmnd5b","Rmnd5b",543,0,578,107,54,179
"Nhp2","Nhp2",4476,2074,2428,2541,1006,2544
"Vps9d1","Vps9d1",219,181,0,75,13,12
"Zfp276","Zfp276",207,157,0,34,73,13
"Mfsd10","Mfsd10",775,86,364,30,45,186
"Luzp1","Luzp1",0,616,184,221,170,438
"Kctd10","Kctd10",607,567,400,193,186,315
"Poldip2","Poldip2",4105,1138,2129,382,362,828
"Ift20","Ift20",379,305,240,199,134,294
"Lgals9","Lgals9",3633,365,713,828,384,1283
"Araf","Araf",737,691,1301,314,270,658
"Cfp","Cfp",4381,156,868,632,315,259
"Uxt","Uxt",191,100,67,77,63,179
"Cnnm3","Cnnm3",0,173,69,84,57,84
"Lman2l","Lman2l",1608,475,0,65,122,281
"Mcm3ap","Mcm3ap",356,34,0,250,306,263
"Pcnt","Pcnt",217,92,30,75,154,236
"Mxd1","Mxd1",384,67,190,104,123,244
"Gmcl1","Gmcl1",776,1056,931,860,294,748
"Snrnp27","Snrnp27",882,161,232,297,88,126
"Oas1c","Oas1c",0,0,0,142,47,126
"Ocrl","Ocrl",751,12,16,106,196,166
"Calm1","Calm1",9115,1532,3811,2268,1186,3363
"Agpat3","Agpat3",851,572,553,294,268,502
"Slc26a3","Slc26a3",0,0,0,99,118,124
"Sema6b","Sema6b",0,45,0,31,70,148
"Uhrf1","Uhrf1",606,542,0,218,323,458
"Dpp9","Dpp9",1318,0,739,150,65,504
"Lsr","Lsr",0,0,0,4,0,10
"Gramd1a","Gramd1a",901,1061,523,204,67,216
"Hpn","Hpn",0,0,0,0,21,5
"Ckb","Ckb",1826,407,345,179,77,146
"Sp1","Sp1",351,217,52,228,373,355
"Itgb7","Itgb7",1112,191,828,289,68,163
"Myg1","Myg1",792,126,152,126,185,365
"Rarg","Rarg",175,0,0,33,50,71
"Pfdn5","Pfdn5",1560,1235,1972,887,370,1225
"Rrp15","Rrp15",492,67,0,107,61,110
"Rnd2","Rnd2",0,80,0,16,37,87
"Srr","Srr",315,28,120,33,20,19
"Acp5","Acp5",1529,36,734,417,139,405
"Fbxo9","Fbxo9",0,88,215,1,57,177
"Vps50","Vps50",479,245,0,19,285,221
"Hars","Hars",1506,0,129,402,362,723
"Zmat2","Zmat2",477,177,393,143,164,288
"Ube2c","Ube2c",1891,261,494,322,255,303
"Smg5","Smg5",943,199,222,161,229,448
"Cct3","Cct3",16166,3166,6788,4340,1941,4466
"Glmp","Glmp",15530,1438,2156,1482,1119,2945
"Mef2d","Mef2d",2528,421,230,322,212,530
"Tmem79","Tmem79",0,1,0,2,40,16
"Snd1","Snd1",4451,1110,2655,353,286,1086
"Col18a1","Col18a1",0,23,0,114,105,135
"Slc19a1","Slc19a1",690,114,0,14,43,18
"Kpnb1","Kpnb1",637,2022,1800,581,345,711
"Npepps","Npepps",2283,197,744,132,222,285
"Mrpl10","Mrpl10",2258,339,538,136,81,222
"Cyp51","Cyp51",694,372,694,159,109,95
"Tcf25","Tcf25",5364,5052,4149,1289,670,1544
"Tubb6","Tubb6",3302,172,604,491,279,1028
"Def8","Def8",2233,402,734,536,265,678
"Itga3","Itga3",0,0,1,8,17,36
"Foxm1","Foxm1",917,33,0,97,112,172
"Itfg2","Itfg2",206,0,6,68,174,203
"Nrip2","Nrip2",4,47,47,52,56,60
