"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fer",71.9396482564001,10.1527277016541,1.70361529922139,5.95951897490838,2.52981488306175e-09,9.66265879725538e-08
"Ccnd2",71.9916800542901,5.99174437697533,1.96034515165166,3.05647419890679,0.00223956754211667,0.0127649236431472
"Dgke",67.7964021396723,7.00884093339091,1.9616915348074,3.57285577728665,0.000353109257894591,0.00244001808213096
"Pemt",50.3719459411812,9.63980704456931,1.78879558024385,5.38899310297671,7.08535246650533e-08,1.26626670043336e-06
"Cdh4",88.0304352101263,10.4436361586002,1.74595850649858,5.9816061605864,2.20947980630704e-09,8.75960854854892e-08
"Ckmt1",72.6006779076195,6.65469962928025,1.88137307054058,3.53715046392586,0.000404469169297021,0.00276895614915469
"Alox12",16.6001704421618,8.03737447462124,2.43195378403111,3.30490428206197,0.000950088412131472,0.00591585866162181
"Cttnbp2",68.8297939976465,10.0883649881203,2.18559047579605,4.61585328991965,3.91483442646937e-06,3.97770038076304e-05
"Adora3",18.9753679380886,8.22925625069032,2.30487533973941,3.57036934223988,0.000356478233733193,0.0024605836430906
"Hnrnpd",150.747471802495,3.18849338916345,1.20157639552125,2.65359189898223,0.00796400810260933,0.0391277850172308
"Abhd15",16.0234764628417,7.98530538320009,2.90591412042593,2.74794954436907,0.00599692367452443,0.0305162052730131
"Sult5a1",66.0843598414399,10.0296246168982,1.75042678105402,5.72981670839085,1.00539211308228e-08,2.78047514187522e-07
"Tubgcp3",89.1795990606365,9.42110814267798,1.66177827859424,5.66929310849317,1.43387881709584e-08,3.68107250421654e-07
"Oprm1",124.540273647208,10.9435901717499,1.6880994301709,6.48278767006159,9.00431775484856e-11,9.09726555102764e-09
"Txnrd3",42.2717887392566,9.38742450735053,1.87774682794558,4.99930255114382,5.75380585408101e-07,7.230058148438e-06
"Bcl11a",57.4446183330501,9.82752774944331,2.07006090754032,4.74745825769954,2.05988884449883e-06,2.22085089878497e-05
"Gnb1l",35.8946040484499,9.1490076995031,2.10151274138435,4.3535342514632,1.33960154154282e-05,0.000122321633472656
"Slc7a7",26.9119826708089,8.73437085969556,2.13078580460821,4.09913133493094,4.14703672562534e-05,0.000344523051051951
"Ccl3",4985.32147888238,2.17783349016968,0.679554937480825,3.20479385852617,0.00135159243073756,0.0081564306224856
"Oas1c",63.6530765567706,9.97682536217717,1.71243839106661,5.82609302280535,5.67399972403344e-09,1.79959160867572e-07
"Slc26a3",74.7485212377665,10.2073034529289,1.63399382522893,6.24684334501621,4.18830745996715e-10,2.589654497906e-08
"Tmem79",14.7569764248263,6.69764541651356,2.53639448842697,2.6406166103394,0.00827553082253176,0.040450975475879
"Itga3",12.1231060240332,6.44551721170058,2.26741153377335,2.84267638039848,0.00447364697838664,0.0235289040072325
"Marveld3",46.4689674671761,9.52274783494935,1.98375144572742,4.80037348200015,1.58370000689327e-06,1.75115566516848e-05
"Ltbp1",69.3570256772374,10.0988548920389,1.97398412155378,5.11597574761129,3.12123166503374e-07,4.23273896930174e-06
"Npas1",20.6863573095604,8.35221046001617,2.52476858132439,3.30810931417522,0.000939281383898351,0.00586313760711437
"Rab34",69.5868169235717,9.09382890752966,1.50015343468214,6.06193253122573,1.34495635474526e-09,5.91214498675389e-08
"Mybpc3",39.0355938878662,9.27060515425113,2.08951369932113,4.43672858295357,9.13363385713996e-06,8.61642808450673e-05
"Ppard",37.4087343085057,4.47871787347124,1.42595122700483,3.14086329788337,0.00168450639125971,0.00987146193522665
"Daxx",279.502805198924,3.21148458614502,0.819186549869236,3.9203336366517,8.84264623087474e-05,0.000687651595160762
"Ndufb2",137.466462357288,2.88502669864208,0.809294854722303,3.56486474837657,0.000364043866846262,0.0025100393857182
"Tiam1",79.7780281979638,10.3010750144583,1.64745598463843,6.25271637634623,4.03374302978895e-10,2.5267366338598e-08
"Axl",23.7317208575422,8.55122761612563,2.25253697808524,3.79626514428836,0.000146892390643675,0.00110129734888328
"Pdxk.ps",52.0108540210506,9.68368359973236,1.85357572674359,5.22432585840175,1.74790734434605e-07,2.61935205860853e-06
"Top3a",93.8805227902341,10.5361227910987,1.69073835302372,6.23166959704667,4.61490011205161e-10,2.740069602075e-08
"Adgre5",14.0911097295916,7.80065363827948,2.76776071330234,2.81839885969483,0.00482638137459704,0.0251834551930871
"Lamb1",68.9281122378414,10.0904477284011,1.66956817616494,6.04374704336974,1.50575527664246e-09,6.48250931469993e-08
"Kcnn1",18.4363893185086,8.1866095167118,2.50082352687432,3.27356545903258,0.00106199789447009,0.00656050770311699
"Cd36",46.1515263699111,9.51201181067604,2.14509952799733,4.4342985891925,9.23725300146236e-06,8.7076226939293e-05
"Lipe",35.0579505418028,9.11376511661522,2.23819675325137,4.07192312444198,4.66265693618275e-05,0.000384554088851201
"Slc2a3",83.2645111133654,4.35357167938908,1.66600727985613,2.61317686424818,0.00897048668990735,0.0434075926037695
"Dlgap1",198.381574335656,11.6157455625775,1.51957961544368,7.64405197629998,2.10490373438588e-14,1.64813962402415e-11
"Hck",35.2453402136212,9.12377529925273,2.12525693466294,4.29302224613126,1.76257338549007e-05,0.00015727577901296
"Atp8b3",48.3732707641256,9.57904047402465,1.84768031537258,5.18436029995431,2.16757545045687e-07,3.1070234832178e-06
"Csnk1g2",269.444138534306,2.03255337514151,0.641859136542995,3.16666579849388,0.00154197417195667,0.0091229247947855
"Cacnb3",58.0109613614291,8.79646759396429,1.67547180550667,5.25014361032725,1.51980676806278e-07,2.36817651620529e-06
"Ccdc65",58.2597720178819,9.84782699133455,1.91820109702263,5.13388664338689,2.83819078804961e-07,3.92027058353754e-06
"Ddx23",63.6258234359381,6.46269659046629,1.8781822270437,3.44093160791896,0.000579715043551979,0.00380045529336431
"Grik5",47.8551354855262,8.52087837163592,1.65505515199359,5.14839542438942,2.62724190740546e-07,3.66526577015318e-06
"Elavl3",66.0102925739708,10.0273294022793,1.86989889931548,5.36249815749396,8.20788059862159e-08,1.41053948065201e-06
"Rab3b",63.2990399422015,9.96767929129209,1.80715962660576,5.5156606779743,3.47472112508224e-08,7.340861088538e-07
"St8sia6",62.0290474357804,9.9376139321244,1.83764559567839,5.40779677838577,6.38047615506598e-08,1.16353137220766e-06
"Bicd1",114.203191561786,10.8187859900281,1.69385856876547,6.38706571465006,1.69098984825438e-10,1.38151049555716e-08
"Ier3",1217.21570879473,2.03934523832381,0.397628911141796,5.12876498961759,2.91649152813148e-07,3.98884343498158e-06
"As3mt",93.1396813272028,10.5247827591648,1.80049232155477,5.84550271787686,5.05040690870601e-09,1.63492242253925e-07
"Crtc1",149.650029080866,1.57743190048294,0.549543385427842,2.87044106491218,0.00409899599321718,0.0218613119638249
"Aven",254.25457780724,2.03543423301528,0.545440108864437,3.73172819515032,0.000190170631530254,0.00138772986389579
"Cp",25.4121641706444,8.64983027955112,2.31404890989502,3.7379634641964,0.000185516897352247,0.00135915537428594
"Ciao1",694.573512023461,1.48745136077777,0.552454962823305,2.69243913237053,0.00709314817308235,0.035403569845568
"Itpkc",34.5838240379267,9.09824632772433,2.08481687447623,4.36405059797402,1.27676025995681e-05,0.000117267247336795
"Nfat5",136.15355083331,8.58647006226607,1.28592787996453,6.67725631899583,2.43456940407154e-11,3.51658941019053e-09
"Ppfia3",60.8741358645924,9.91187258489533,1.86754118458851,5.30744524762879,1.11172384064826e-07,1.80644309671094e-06
"Il7r",29.2193400280863,8.85209547533159,2.47571343718794,3.57557354674551,0.000349460912248737,0.00241747449401004
"Col5a3",50.348292108519,8.58170063465051,1.73673623530937,4.941280351142,7.76112165678926e-07,9.33122189215507e-06
"Cacna1e",232.030518830453,11.8418356755517,1.49628644350523,7.91415021298382,2.48947584300012e-15,2.59901278009213e-12
"Cacna1b",39.1294865676831,9.27309223914463,1.91972776914428,4.83042043157927,1.36245053338846e-06,1.5267245332997e-05
"Pde1c",130.615804089297,11.0125210068498,1.73569748574356,6.34472371902534,2.22824963696181e-10,1.69184917890046e-08
"Spic",25.7541092772627,8.6699014954959,2.11743426343694,4.09453159666134,4.2302272458172e-05,0.000350504543224853
"Col26a1",56.8379839822456,9.81209098188314,1.83058123715603,5.36009589889988,8.31777858354318e-08,1.42172390584408e-06
"Clec11a",19.0679732050148,8.23633521932672,2.31321714784646,3.5605542812937,0.000370072797788745,0.00254740220367989
"Zfp324",85.9990516737054,10.4095164339222,1.94088524096603,5.36328280220275,8.17229045659637e-08,1.40635240165164e-06
"Ctse",43.1866377197011,5.0589075174081,1.83601263894943,2.7553772834063,0.00586244915003621,0.0299385930774002
"Pnpla6",55.6540729315313,6.32462209794067,1.59785882799553,3.95818578408127,7.55212072889289e-05,0.000594676106169516
"Pkn2",259.767160395066,1.35799683874726,0.52400233350839,2.59158547950535,0.00955348048630272,0.04575243461398
"Arid3b",63.2295752326175,9.96678860819791,1.76989182874002,5.63129816543264,1.78858204210626e-08,4.33411137785439e-07
"Cnn2",31.8230761048657,8.97497545121132,2.17689639604532,4.12283077298294,3.74244644442542e-05,0.000314455862211681
"Hdac9",91.4928131792745,10.4990989255655,1.76079021576913,5.96271993763856,2.48073406636641e-09,9.56265734875028e-08
"Cd244a",118.894657410274,10.8771802779884,1.70025513967746,6.39738120718272,1.58064363591285e-10,1.33799347775109e-08
"Rab23",95.2052376333867,10.5568974040264,1.69077524197217,6.24382066992681,4.27009544362631e-10,2.6223409665564e-08
"Ulk2",85.8317965282038,6.43739241838749,1.73838284110144,3.70309247548069,0.000212987199478351,0.00154415719621804
"Pax3",79.037201215069,5.63845395946265,1.89584329317825,2.97411393639512,0.00293835948193506,0.0162739909768711
"Rrnad1",265.894691030839,1.99259542201776,0.739165493990232,2.69573652750096,0.00702331948383087,0.0350969870336789
"Dnah2",78.8053063439725,9.26663878542293,1.53122371575741,6.05178635235494,1.43248372674498e-09,6.20974260507303e-08
"Fgfr4",69.6244200746129,4.13830398630961,1.30250711140028,3.17718341043118,0.00148712955607463,0.00885015440370305
"Slc1a3",202.377931202081,6.88836846462646,1.70709307868821,4.03514521300721,5.45685381356018e-05,0.000445364590073498
"Mlxipl",23.4001424019316,8.53219483568769,2.15306732118706,3.96280912897029,7.40730015057762e-05,0.000585850102818412
"Il27ra",50.5583436019158,9.64323908459792,1.98611754529813,4.85532143222188,1.2019162089145e-06,1.37472143776913e-05
"Igf1r",208.907940659011,3.37794446325765,1.05360045640208,3.20609624144709,0.00134548979234991,0.0081298211534897
"Tmod4",32.4539782653663,9.0052533048679,1.97717834555011,4.55459838771519,5.24857553142538e-06,5.16123659793541e-05
"Kit",55.3556011484506,9.77404606102743,2.24027681239837,4.36287426934694,1.28364722983396e-05,0.000117641057025309
"Prg4",32.3285555983921,8.99676846385383,2.26398792462383,3.97385885587206,7.07174795743976e-05,0.00056286441175861
"X5430419D17Rik",82.0513137438648,10.3422939664645,1.73663329096083,5.95537009470917,2.59483943986006e-09,9.8509540916869e-08
"Mob1b",102.021241374235,2.64873722931244,0.984200123757988,2.69125878505148,0.00711829539962964,0.0355149361873995
"Kmt2b",58.7923721027798,9.861657655528,1.80997200209243,5.44851392404266,5.079241561279e-08,9.62673801508371e-07
"Susd2",36.4295945517044,9.16939870981703,2.37254469512784,3.86479493037453,0.000111182572173974,0.000849844578520772
"Ggt5",62.0688578120701,9.94000034180109,1.92704866459026,5.1581470278617,2.49405744259198e-07,3.50359680507573e-06
"Cbfa2t3",55.9035072947914,6.30688753554173,1.92653282712193,3.2736984528645,0.00106149823160928,0.00656050770311699
"Neurl1a",39.4419771279573,6.29447077539279,1.91497823236434,3.28696727148762,0.00101272603044871,0.00628713166970336
"Actn3",38.4899756146806,9.25053174359054,1.92367249043984,4.80878724916186,1.51848709975588e-06,1.68350498988864e-05
"A530013C23Rik",16.0329682257444,7.98547443246778,2.56281348727428,3.11590151687583,0.00183383505649209,0.0106658707463941
"Bbs1",96.5182150716315,5.98713396825884,1.84444734574823,3.24603138282056,0.00117025938141495,0.00718676937763065
"Nsmf",45.0703280223575,6.79113933604022,1.73551021393971,3.91305063000691,9.1137416746052e-05,0.000706540567447116
"Slc4a3",65.1518357614052,10.0091662606516,1.70972836171864,5.85424356567979,4.79185938046665e-09,1.56334412287724e-07
"Syngr3",13.091435319209,7.69295766728903,2.60942253603783,2.94814563798858,0.00319686418210905,0.0175890709150031
"Pole",126.379698627867,10.9649730474959,1.73407150928048,6.32325310047081,2.56113283750395e-10,1.85380040268487e-08
"Stx1a",33.4122264831989,9.04740322502788,2.18101850026331,4.14824689654654,3.35030974239987e-05,0.000283599192248551
"Zfp775",28.5094134382745,8.81868371417407,2.66238122536468,3.3123294403363,0.000925225231736308,0.00579271449434906
"Gtpbp3",40.1600603590713,9.31139591274848,2.07344833646055,4.490777874236,7.09635279047991e-06,6.83870059685633e-05
"Prrg2",21.3699110371313,8.40359390009302,2.26094959508041,3.71684265689883,0.000201727985411493,0.00146592123041484
"Id3",79.5798156404159,10.2993161325785,1.66526534828241,6.18478979533291,6.21852765696815e-10,3.40199626578589e-08
"Cers4",57.5905649753481,9.83109589554887,1.77962727671084,5.52424433149789,3.30906705895392e-08,7.08440401383954e-07
"Elavl2",88.5245210862996,10.4514274244523,1.79778270811371,5.81350981811272,6.11763820849855e-09,1.89238941916222e-07
"Nfib",103.317731248773,7.9913136610187,1.76416626985803,4.52979619753289,5.90406101642155e-06,5.77408871301555e-05
"Nf2",346.945954256591,1.39467008585534,0.469462514812485,2.97078050291706,0.00297044000745924,0.0164371344582374
"Met",60.9499791088586,9.91255760664513,1.88578172247037,5.25647135536964,1.46845636139507e-07,2.29386799196476e-06
"Nav1",278.365009499974,2.86109416290016,1.10476045430633,2.58978690968496,0.00960353581770479,0.0459210292840479
"Bcr",99.2772593638993,9.71952336600679,1.42649875888566,6.81355192597533,9.52179671054111e-12,1.80741013923726e-09
"Rbm25",1284.48574675558,3.02581643298784,0.537059540146722,5.63404279562969,1.76033307168311e-08,4.29055500428911e-07
"Lmbr1",48.0342706428952,9.56956182167137,1.94489773470112,4.92034190329394,8.63931608389282e-07,1.02493704449819e-05
"Thg1l",102.704471014207,8.3259566422785,1.21701596929809,6.84128791430772,7.84843352561213e-12,1.53783585006031e-09
"Exoc3l2",19.9819343663259,8.30195535489833,2.5892479168184,3.20631921762809,0.00134444753424075,0.00812897621089196
"Evi5",192.311101186978,7.22131313464669,1.64367699550033,4.39338942773761,1.11596961188289e-05,0.000103485324187038
"Crybg2",68.9371073545419,10.0920626884592,1.64635284192342,6.12995126650292,8.79059952548318e-10,4.33577286831706e-08
"Igf2bp1",62.3759154213571,9.94610522223012,1.81520522885465,5.47932821265939,4.26943740856635e-08,8.41405083708248e-07
"St3gal1",41.2396421691659,9.34888978758349,2.05052306605931,4.55927072576179,5.13315635590842e-06,5.05965246473805e-05
"Myl2",24.7311341490013,8.61127832031159,2.23694389651885,3.84957277369027,0.000118324025604887,0.000901132761567189
"Dedd",79.3059333995957,4.95093001849658,1.51196988551556,3.27448983337944,0.00105852947985528,0.00654553668490962
"Mcemp1",43.515249504221,9.4268888609371,1.99107909685154,4.73456271819824,2.19527881262964e-06,2.35153042743013e-05
"Prdm15",124.507758449942,10.9435156286432,1.6194352601974,6.75761229708513,1.4028430626655e-11,2.34330905187645e-09
"Zfp385c",16.7361878775046,8.04941026124495,2.42729548870282,3.31620533993851,0.000912487561027024,0.00572440869531626
"Cluap1",18.6226429832986,8.20362012453116,2.38146748742084,3.4447751933896,0.000571534517279075,0.00376257721096808
"Bicc1",100.374565065449,10.6331210718496,1.53367061761206,6.93311911289365,4.11661297582046e-12,1.06220949930296e-09
"Adam28",94.7220910935437,10.5489621988926,1.57954393606326,6.67848608579008,2.41423142409836e-11,3.51658941019053e-09
"Msh3",130.908135490323,11.0161453640271,1.82998081987643,6.0198146583695,1.74616897018672e-09,7.29200161949973e-08
"Adamts13",20.4995141224773,8.34066616397545,2.47906030384693,3.36444666191971,0.000766973074014796,0.00491993787570782
"Dnajb9",16.8826480029753,8.06240352626796,2.39336548569129,3.36864702631878,0.000755380972303497,0.00485801479518388
"Sash1",79.0505630204868,3.79043812688715,1.13976590013997,3.32562864569091,0.000882193788921179,0.00555205184479372
"Slamf6",117.450250382765,10.8593137736019,1.6574560242784,6.55179601421378,5.68491632115105e-11,6.46133854024371e-09
"Notch4",22.3941654959873,8.46750948142052,2.33717091003405,3.62297401746164,0.000291235086754271,0.00205092364635048
"Itga2",63.5000204876302,9.97148311646484,2.051922699477,4.85958029462144,1.17634866022146e-06,1.34833449361889e-05
"Steap2",73.1716232002989,10.1759940921572,1.84170057823936,5.52532491567404,3.28876403053899e-08,7.05507461893706e-07
"Adamtsl4",47.9521921875134,9.56672870477352,1.82087909674821,5.25390660031089,1.48906414764203e-07,2.32316259547439e-06
"Amdhd1",25.171894814395,8.6372869535708,2.39926753080999,3.59996825808536,0.000318256028412289,0.00222123204676833
"Lbp",111.203755805852,10.7804634418718,1.63214329083368,6.60509619615891,3.97259303218031e-11,4.78544668338029e-09
"Diexf",80.371307874815,10.3127892631859,1.68303333362257,6.12750149219482,8.9269762520396e-10,4.38577092100204e-08
"Kcnq2",69.7952870914442,9.04426579673398,1.78841301982396,5.0571460263828,4.25577363860903e-07,5.55378459838479e-06
"Cd34",65.3000967829394,10.0119216670725,1.77251342508262,5.64843206567295,1.6191781233085e-08,4.03198406313764e-07
"Foxred2",27.1741805382519,8.74905855296157,2.0998652040089,4.16648579930681,3.09331152365492e-05,0.000263805355809046
"Phf21b",17.0325585147106,8.07438498066542,2.44360147703193,3.30429697991213,0.000952149105633342,0.00592479561062113
"Cntnap1",17.0982363523645,8.07981500526925,2.4955683899885,3.2376652299665,0.00120512131766926,0.0073719530604299
"Cd300lg",24.3876405105688,8.59098491972749,2.18217108504407,3.93689797221101,8.25416797699972e-05,0.00064589766655748
"Mpp2",17.2094805771346,8.08821088158773,2.53149594012703,3.19503213628771,0.00139815271268712,0.00839293588142993
"Nlk",56.5972183954989,7.70094544970151,2.02264681202268,3.80736043679342,0.000140457958402934,0.00105875890666183
"Nek8",49.5702990085433,9.61389733654582,2.3296075118786,4.12683136001445,3.67795901989749e-05,0.000309660420707498
"Tns4",38.2176634604793,9.23837084234452,2.17504620711251,4.24743658876514,2.16230337525634e-05,0.000189560142726343
"Rab11fip4",51.2267760423533,9.66193211033932,1.79191121495088,5.39197033297445,6.96892755660109e-08,1.24891237173731e-06
"Dbndd2",40.4423787576307,8.23106605125925,1.93170866733207,4.26102868950076,2.03488106484368e-05,0.000179654615788313
"Slc12a5",57.6714152199891,9.83249620777799,2.02666351338618,4.85156817736837,1.22489088644448e-06,1.39171324138017e-05
"Pltp",16.8465652964659,8.05683391985278,2.5371730170585,3.1755161613667,0.00149570189829006,0.00888485224361207
"Cyb5r3",7000.98090279084,2.0925417211677,0.382450142834271,5.47141048414898,4.46467840945756e-08,8.7033622429263e-07
"Erbb3",63.8617398867424,9.97996012377509,1.77499515638341,5.62252808853264,1.88182957109662e-08,4.52505966731257e-07
"Mrm1",49.005115097177,9.59869726757841,1.97838827367833,4.85177626418698,1.22360614474271e-06,1.39171324138017e-05
"Myo1b",87.7977395977371,10.4390824210747,1.69250084569739,6.16784472965699,6.92270707089008e-10,3.73826181828064e-08
"Ypel2",15.2058233189705,7.90960712594952,2.46753728291736,3.20546610610803,0.00134843926665845,0.00814132391937208
"Slc13a3",46.0046453194129,5.50872074436132,1.8523998467585,2.9738291945991,0.0029410873981551,0.016281901424696
