"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3",989.357341837612,-0.767459653198081,0.409028519531162,-1.87629863579625,0.0606142842733435,0.208738102241442
"Cdc45",163.972033856672,0.103208077383939,1.65298952347489,0.0624372241434271,0.950214652193861,0.992429236922309
"Narf",175.36021150172,0.387780400927579,2.30725883751539,0.168069743464572,NA,NA
"Cav2",82.5169719349215,-0.710690830447199,1.47720970609154,-0.481103547801329,0.630442906702128,0.878551724292719
"Klf6",322.592753996442,-1.18835308852425,0.934453830940326,-1.27170872351011,0.203476629954323,0.494022329470496
"Scmh1",119.200002677657,0.694940891550019,2.43456729520101,0.285447394664291,0.775301401465165,0.9368623965554
"Cox5a",468.403996009328,-0.00182162788124677,0.438307262499121,-0.00415605224257588,0.996683959627962,0.999412366143268
"Wnt9a",21.7475499271685,3.09665277270414,2.4939861475002,1.2416479441187,0.214366484166588,0.509985437455188
"Fer",71.9396482564001,10.1527277016541,1.70361529922139,5.95951897490838,2.52981488306175e-09,9.66265879725538e-08
"Xpo6",360.75900948719,2.83629006869269,2.21268433141442,1.28183221999843,0.199901508937658,0.489046676395043
"Tfe3",419.094154464005,0.157022438575301,0.806374265856616,0.194726500117777,0.845607064920621,0.964246332361933
"Brat1",312.860914284465,-0.771238429149953,0.802473803276247,-0.961076144792802,0.336513883216341,0.660273442276322
"Gna12",521.07327283546,-0.84116518469895,1.49602500451288,-0.562266795114725,0.573934258103672,0.848306793950307
"Slc22a18",24.4011574980502,-0.950598436834122,2.80729850173877,-0.338616800545202,0.734898424566111,0.923045384913738
"Pih1d2",19.5660181759181,-1.08299426712535,2.39371161413885,-0.45243305865605,0.650957035868631,0.889354634262301
"Dlat",247.454717261365,-0.144059207865967,0.963200715879858,-0.149563019930247,0.88110938575883,0.972956656103962
"Sdhd",1337.33199791555,0.273338548746382,0.532344066130208,0.513462187591146,0.607628054401809,0.865401302870724
"Ccnd2",71.9916800542901,5.99174437697533,1.96034515165166,3.05647419890679,0.00223956754211667,0.0127649236431472
"Gpr107",621.810892568521,-0.838150018857091,0.903216898007594,-0.927960958996633,0.353427821490934,0.677017283518562
"Tspan32",341.541489653868,-0.454868707005374,0.48329384709929,-0.941184560356971,0.346610287521199,0.671445284613903
"Lhx2",37.6140067223356,4.9469668278555,2.20242159622354,2.24614889190062,0.0246944725748324,0.102339514527787
"Gmpr",233.167823845574,0.248526560226782,0.773335515214727,0.321369645305603,0.747930283613891,0.926961592345551
"Trim25",384.918466425428,-0.328605587494419,1.13376921944685,-0.289834634648786,0.771942749947798,0.93607608630578
"Dgke",67.7964021396723,7.00884093339091,1.9616915348074,3.57285577728665,0.000353109257894591,0.00244001808213096
"Scpep1",1315.30218294644,-1.60185834009155,0.706646428384693,-2.26684559030915,0.0233996599859537,0.097945519647186
"Mnt",94.4130495581346,-1.0131639852542,0.886157223978171,-1.14332305581832,0.252904485850374,0.563669702674522
"Itgb2",1311.43010351334,-1.17844429999231,0.639662412849603,-1.84229099024673,0.0654325969588183,0.220954063261476
"Hddc2",227.977364750936,-0.907956316717877,0.720324395310593,-1.26048253068866,0.20749534591148,0.499615931881418
"Pemt",50.3719459411812,9.63980704456931,1.78879558024385,5.38899310297671,7.08535246650533e-08,1.26626670043336e-06
"Cdh4",88.0304352101263,10.4436361586002,1.74595850649858,5.9816061605864,2.20947980630704e-09,8.75960854854892e-08
"Ckmt1",72.6006779076195,6.65469962928025,1.88137307054058,3.53715046392586,0.000404469169297021,0.00276895614915469
"Clec10a",51.761336135862,-1.3111164185051,1.92296771718432,-0.681819256136492,0.4953532465892,0.79742966003948
"Alox12",16.6001704421618,8.03737447462124,2.43195378403111,3.30490428206197,0.000950088412131472,0.00591585866162181
"Arvcf",6.65196330248486,6.72081281598518,3.31478771940392,2.02752434994351,0.0426088168053334,0.160301278359524
"Comt",607.801136074192,-0.248367446614273,0.540802760843207,-0.459256987199962,0.646049631762743,0.885943653549531
"Rtca",434.171723015187,-1.62084644565616,0.510758227982643,-3.17341230518805,0.00150658407136476,0.00893255335828571
"Dbt",79.6169402541113,-0.587791297304912,1.80417172479103,-0.325795648622634,0.74457897117153,0.926048381895853
"Dazap2",1759.10646573534,-0.477737955389274,0.505738900991517,-0.944633593446449,0.344845970327281,0.669803149807779
"Mcts1",184.054202550305,0.163274168627583,0.658263681453097,0.24803763784622,0.804105285729362,0.949107878237936
"Rem1",16.4771478888248,-0.804718092698871,2.43306992044302,-0.330741868919387,0.740839473622109,0.924241876671757
"Trappc10",89.353416341574,-0.0413201794630372,0.756080983853264,-0.0546504678010212,0.956416931313651,0.994503840334412
"Ccm2",413.573969450118,0.500987012446936,0.594142075477293,0.843210796078494,0.399110561513652,0.71995062845832
"Tbrg4",217.338326151355,0.257762302336067,0.980618071229542,0.262856977551793,0.79266081743296,0.944857727954341
"Mx1",19.8693746772875,-0.141040895790284,2.75913925503766,-0.051117715618293,0.959231719425208,0.994503840334412
"Ndufa9",737.427762793239,0.463189748576644,0.614539415560854,0.753718535944383,0.451018249257246,0.764181312779926
"Lck",83.9941115411903,1.82557547860898,1.58262359040666,1.15351211094983,0.24870024950083,0.558629657624634
"Cttnbp2",68.8297939976465,10.0883649881203,2.18559047579605,4.61585328991965,3.91483442646937e-06,3.97770038076304e-05
"Galnt1",58.5084306272892,1.07662191120705,1.82792065059195,0.58898722483298,0.555869843500713,0.839736814105503
"Mkrn2",279.678279233238,-0.500251355637601,0.98255048144522,-0.509135525435587,0.610657232084724,0.86705483439178
