"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ift46",69.7851875092407,-9.43167371909251,2.10009577596861,-4.49106837269953,7.08667951449267e-06,0.00181873269898865
"Apoe",52291.7239003326,-1.92485770179565,0.45063732854357,-4.27141201998659,1.94239157593408e-05,0.00422639071380962
"Syn2",15.1850994626168,-21.4463343030323,3.9092148127297,-5.4860976770056,4.10909746278804e-08,2.41929155912032e-05
"Ints2",111.180622793101,-10.1038093090483,1.81182935187265,-5.57657888619884,2.45294705078347e-08,2.04596225260765e-05
"Apaf1",209.828624045483,-10.0776746225077,1.72174792215419,-5.85316496848092,4.82305290669219e-09,4.82739365430822e-06
"Kat2a",128.16556022314,-9.29571700085342,2.61329170525903,-3.55709122795078,0.000374983960531751,0.0407958093582858
"Pitrm1",290.348358123308,-9.95680940291354,2.44761436703314,-4.06796492822626,4.74255171502721e-05,0.00818417243374265
"Hexb",823.034222786921,-2.25488627821358,0.631080073241747,-3.57305890935619,0.000352835345530987,0.0392392108157738
"Fgd4",57.0803214016125,-8.13655481884562,2.13757666283394,-3.80643883343037,0.000140982139341331,0.0195984754537136
"Zfp51",72.7995806303689,-9.4930983756056,2.02292529667659,-4.69275775591,2.69546596748282e-06,0.000813013728197636
"Ms4a6d",54.0351729434764,-9.06306986176481,2.12783688194222,-4.25928788934815,2.05079200316641e-05,0.00435259190018692
"Dhrs9",120.760154019435,-10.222628500563,2.11055148892327,-4.84358166773664,1.27519271889602e-06,0.000490900150901164
"Src",146.687034893106,-6.4256748061536,1.21867688978888,-5.27266485480557,1.34456966555367e-07,6.11718081023939e-05
"Ankle2",124.492536350968,-6.6025126450917,1.63004806813434,-4.05050180676486,5.11079149946995e-05,0.00852565201969912
"Tmem231",52.5451793656531,-8.08429902881601,2.14164081218954,-3.77481554460614,0.000160126103592698,0.0212018206484317
"Bmper",65.465511052479,-9.34026821460636,2.34269189062974,-3.98698106736331,6.69193633440125e-05,0.0101769555768042
"Nt5m",68.1592616650641,-9.39737944732445,2.01206758975422,-4.67050883140181,3.00454565124003e-06,0.000859214212093185
"Eefsec",73.538546979152,-9.50730069056429,1.96166354645712,-4.84655011698362,1.2562686351396e-06,0.000490900150901164
"Vps18",1154.27613136439,-3.52289853265877,0.854351324781195,-4.12347757939161,3.73194801184607e-05,0.00707517650829749
"Ttyh2",558.06836179914,-4.59841222370769,1.03742318353832,-4.43253273753145,9.31325559829557e-06,0.0022194375067462
"Dop1a",43.935189048292,-8.76314967431064,2.44435229572179,-3.58506001350472,0.000337000702454908,0.037928138419618
"Lars2",2208.98871485969,-2.22527374966202,0.594729705326603,-3.74165562898861,0.00018281191190941,0.0237631743675492
"Wdr19",82.2162185611614,-9.66804792699594,2.65200485582577,-3.64556192488024,0.000266808155036605,0.0325668637044071
"Ankrd9",15.3875674554517,-21.2592621860824,3.90918289937709,-5.43828793210723,5.37949893243762e-08,2.99130026748712e-05
"Pcid2",309.442123923011,-2.62841239086726,0.706711435695127,-3.71921587526305,0.000199842202414732,0.025319248151507
"Plekhg5",96.789179528999,-9.9043529894484,2.10824037465783,-4.69792396944106,2.62819224348215e-06,0.000813013728197636
"Trappc9",128.419481149398,-6.9388493956783,1.5654165781721,-4.43258969684647,9.31079476089634e-06,0.0022194375067462
"Ubl7",98.8183283200173,-4.12171725710768,1.06785016450612,-3.85982733730624,0.000113467170038779,0.0164593174625817
"Pgm3",51.5686460353015,-8.99537752640323,2.38384407129101,-3.77347563741099,0.000160988946875892,0.0212018206484317
"Sh2d3c",663.878982677801,-2.38401147906074,0.631594223157964,-3.77459354700983,0.000160268759188424,0.0212018206484317
"Flnc",604.240036183405,-5.00399412779526,1.31738006109596,-3.7984438018838,0.00014560743398578,0.0199641754351188
"Gm11427",43.7822514784958,-8.75899769759291,2.4433293343583,-3.58486167804853,0.000337256900723949,0.037928138419618
"Gm26917",758.452670207335,-3.17440578859866,0.568362634549656,-5.58517677910673,2.33462611642129e-08,2.04596225260765e-05
"X2410022M11Rik",15.5900354482865,-21.4812515343389,3.90915114663713,-5.49511920326188,3.90446587353008e-08,2.41929155912032e-05
"CT010467.1",16337.2690309379,-3.24557792916051,0.733855868775903,-4.42263674279017,9.75035992585392e-06,0.00226956633715981
"Gm35315",62.1062861811455,-9.26403836330597,2.07418631602101,-4.46634822134856,7.95660639914066e-06,0.00199094183622497
