"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ap4e1",55.5917719464701,-8.16732724915808,2.34479695013573,-3.48317036521448,0.000495512925039509,0.0500825640936839
"Ift46",69.7851875092407,-9.43167371909251,2.10009577596861,-4.49106837269953,7.08667951449267e-06,0.00178148220410477
"Apoe",52291.7239003326,-1.92485770179565,0.45063732854357,-4.27141201998659,1.94239157593408e-05,0.00413982761096908
"Supt5",554.251212165347,-2.23397451800793,0.697195819896599,-3.20422821573894,0.00135425083499183,0.0948362513304277
"Syn2",15.1850994626168,-21.4463343030323,3.9092148127297,-5.4860976770056,4.10909746278804e-08,2.36974067795141e-05
"Slc41a1",117.823241707369,-10.1875113717479,3.00945639596565,-3.385166631889,0.00071135057501509,0.0657932173344146
"Fli1",101.194908025762,-8.2379083628061,2.45086472499432,-3.36122523564624,0.00077597519107096,0.0704413034561083
"H2.M3",278.478968634996,-5.74175747180049,1.78701743371824,-3.21303942729514,0.00131338258628961,0.0926359919135491
"Tnfaip1",428.018089095724,-2.26915519882793,0.687286302701569,-3.30161562933582,0.000961297032976487,0.0805517616350554
"Slc12a7",399.373736860573,-4.35033475782616,1.32647375304338,-3.27962369993754,0.00103945629935404,0.084923579657225
"Ints2",111.180622793101,-10.1038093090483,1.81182935187265,-5.57657888619884,2.45294705078347e-08,2.0040577404901e-05
"Apaf1",209.828624045483,-10.0776746225077,1.72174792215419,-5.85316496848092,4.82305290669219e-09,4.72852106972103e-06
"Mink1",57.0058073887853,-6.44571074770605,2.01659690489127,-3.19633077491686,0.00139187446382327,0.0954261345686947
"Kat2a",128.16556022314,-9.29571700085342,2.61329170525903,-3.55709122795078,0.000374983960531751,0.0399602472723183
"Lgmn",4068.36279116168,-2.00071888680353,0.621009814800862,-3.22171862524442,0.00127424205638908,0.0912039765868389
"Pitrm1",290.348358123308,-9.95680940291354,2.44761436703314,-4.06796492822626,4.74255171502721e-05,0.00801654776105634
"Hexb",823.034222786921,-2.25488627821358,0.631080073241747,-3.57305890935619,0.000352835345530987,0.0384355303065088
"Clu",1443.36792381661,-2.22615974420107,0.671136398577651,-3.31700046208045,0.000909894660224899,0.0787087057143351
"Fgd4",57.0803214016125,-8.13655481884562,2.13757666283394,-3.80643883343037,0.000140982139341331,0.0191970679736445
"Zfp51",72.7995806303689,-9.4930983756056,2.02292529667659,-4.69275775591,2.69546596748282e-06,0.000796361933384916
"Lars",795.213972983132,-2.47705939536959,0.756839212312003,-3.27290044579301,0.00106449964023853,0.0854216056381678
"Csf1r",1987.01543805979,-2.03761194138157,0.588660299604549,-3.4614393781106,0.000537295113307844,0.0532084978875768
"Ms4a6d",54.0351729434764,-9.06306986176481,2.12783688194222,-4.25928788934815,2.05079200316641e-05,0.00426344399934385
"Itga7",58.1058110700725,-6.21083637108001,1.86451953104311,-3.33106533220671,0.000865142952194893,0.0757309062796315
"Dgka",77.7399543033413,-6.02517112672527,1.87141415956475,-3.21958188460356,0.00128377690422111,0.0912039765868389
"Dhrs9",120.760154019435,-10.222628500563,2.11055148892327,-4.84358166773664,1.27519271889602e-06,0.000480845746771407
"Src",146.687034893106,-6.4256748061536,1.21867688978888,-5.27266485480557,1.34456966555367e-07,5.99189136413098e-05
"Laptm5",2751.29225813136,-2.40400069112225,0.737995808811391,-3.25747201057159,0.00112409343445496,0.0863290360630898
"Spp1",69998.3059250652,-1.66233555954208,0.487554473091261,-3.40953811581773,0.000650729840576296,0.0613438015097116
"Ankle2",124.492536350968,-6.6025126450917,1.63004806813434,-4.05050180676486,5.11079149946995e-05,0.0083510333101339
"Myo7a",164.971968009926,-5.80858839084004,1.78737446211761,-3.24978817475004,0.00115490998795743,0.0863290360630898
"Brcc3",178.146583352432,-2.49300841886645,0.771537646139447,-3.23122070755815,0.00123262720788578,0.0895161270082388
"Tmem231",52.5451793656531,-8.08429902881601,2.14164081218954,-3.77481554460614,0.000160126103592698,0.0207675741469901
"Bmper",65.465511052479,-9.34026821460636,2.34269189062974,-3.98698106736331,6.69193633440125e-05,0.00996851558347373
"Nt5m",68.1592616650641,-9.39737944732445,2.01206758975422,-4.67050883140181,3.00454565124003e-06,0.000841616158993065
"Eefsec",73.538546979152,-9.50730069056429,1.96166354645712,-4.84655011698362,1.2562686351396e-06,0.000480845746771407
"Tnks1bp1",93.6010814233164,-9.85544997247568,3.10777258901126,-3.17122623686285,0.00151796871727386,0.0993084647133022
"Vps18",1154.27613136439,-3.52289853265877,0.854351324781195,-4.12347757939161,3.73194801184607e-05,0.0069302658095063
"Ttyh2",558.06836179914,-4.59841222370769,1.03742318353832,-4.43253273753145,9.31325559829557e-06,0.00217397994965928
"Dop1a",43.935189048292,-8.76314967431064,2.44435229572179,-3.58506001350472,0.000337000702454908,0.0371513107269393
"Lars2",2208.98871485969,-2.22527374966202,0.594729705326603,-3.74165562898861,0.00018281191190941,0.0232764673293488
"Wdr19",82.2162185611614,-9.66804792699594,2.65200485582577,-3.64556192488024,0.000266808155036605,0.0318998433168156
"Ankrd9",15.3875674554517,-21.2592621860824,3.90918289937709,-5.43828793210723,5.37949893243762e-08,2.93003375186769e-05
"Wdr20",149.825197216592,-3.60122411710141,1.09573750732324,-3.28657556488941,0.00101413560598067,0.0835511384960881
"Pigu",199.356472165806,-4.67630092640493,1.46058058635225,-3.20167265681919,0.00136632166322913,0.0950029616049534
"Pcid2",309.442123923011,-2.62841239086726,0.706711435695127,-3.71921587526305,0.000199842202414732,0.0248006702844815
"Ctss",8019.78255774853,-1.49653977794565,0.459276614970971,-3.2584715379864,0.00112014111903809,0.0863290360630898
"Plekhg5",96.789179528999,-9.9043529894484,2.10824037465783,-4.69792396944106,2.62819224348215e-06,0.000796361933384916
"Zfp335",60.2613929757468,-9.22049523047037,2.71361464002555,-3.39786463946243,0.000679140141360077,0.0634122851989924
"Dhx29",268.175138119246,-1.86129665487754,0.586983720560188,-3.17095106675397,0.00151940735485469,0.0993084647133022
"Trappc9",128.419481149398,-6.9388493956783,1.5654165781721,-4.43258969684647,9.31079476089634e-06,0.00217397994965928
"Zfp689",47.9400511623648,-8.8902647024558,2.58629660357133,-3.4374497844445,0.000587219591403692,0.0570009987536811
"Kdm3a",211.651279392566,-4.0897802901117,1.22463327843547,-3.33959591179542,0.000839003735244923,0.0747781147303748
"Elp6",87.835387141387,-5.16136040579146,1.58842883743494,-3.24934947298378,0.00115669277837614,0.0863290360630898
"Ubl7",98.8183283200173,-4.12171725710768,1.06785016450612,-3.85982733730624,0.000113467170038779,0.0161222048559448
"Pgm3",51.5686460353015,-8.99537752640323,2.38384407129101,-3.77347563741099,0.000160988946875892,0.0207675741469901
"Sh2d3c",663.878982677801,-2.38401147906074,0.631594223157964,-3.77459354700983,0.000160268759188424,0.0207675741469901
"Dok1",316.222099891594,-1.82561023045914,0.574572722830759,-3.17733536229299,0.0014863505342178,0.098808138966145
"Flnc",604.240036183405,-5.00399412779526,1.31738006109596,-3.7984438018838,0.00014560743398578,0.0195552778465286
"Klhl9",250.916408780641,-3.82014115248024,1.15225167392365,-3.31537045155412,0.000915217508306223,0.0787087057143351
"Gm11427",43.7822514784958,-8.75899769759291,2.4433293343583,-3.58486167804853,0.000337256900723949,0.0371513107269393
"Gm26917",758.452670207335,-3.17440578859866,0.568362634549656,-5.58517677910673,2.33462611642129e-08,2.0040577404901e-05
"X2410022M11Rik",15.5900354482865,-21.4812515343389,3.90915114663713,-5.49511920326188,3.90446587353008e-08,2.36974067795141e-05
"CT010467.1",16337.2690309379,-3.24557792916051,0.733855868775903,-4.42263674279017,9.75035992585392e-06,0.00222308206309469
"Gm35315",62.1062861811455,-9.26403836330597,2.07418631602101,-4.46634822134856,7.95660639914066e-06,0.00195016422842937
