"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fer",97.6435382206056,10.4744126604421,3.22778146696631,3.24508110838328,0.00117417174683798,0.0863290360630898
"Hdgfl2",1062.03442113766,1.84821447569885,0.565820459645549,3.26643274238729,0.00108911675895257,0.0854216056381678
"Csnk1g2",629.029001501301,3.33307790424658,0.815536739912887,4.0869745544543,4.37035030921713e-05,0.0076396445838475
"Cacnb3",62.1318356455552,8.76253410495589,1.86922641939785,4.68778635590794,2.76176109089016e-06,0.000796361933384916
"Thg1l",78.6234980919282,7.73223624146533,2.13280465262541,3.62538417756508,0.000288532192956014,0.0332796425851855
"Cxcl16",51.6515879649418,9.55495455528525,2.36446962528075,4.04105616461482,5.32110114132215e-05,0.00855214353926596
"E2f2",1540.13632281256,2.13687011637336,0.670834974874119,3.18538865206654,0.00144559722112816,0.0980090621678709
"Ska2",28.6614695373004,8.70682712638442,2.66302595436986,3.26952394590712,0.00107728618663796,0.0854216056381678
"Ncbp3",120.043115380251,3.6637253127415,1.03777967396723,3.53034984654865,0.000415010506259302,0.0432847128017681
"Lpcat1",882.61370459092,2.55459444156543,0.802171224444876,3.18459995038251,0.00144954243312334,0.0980090621678709
"Zmym2",91.9524656162589,9.31803108297919,1.9390011516759,4.80558305750644,1.54301163264504e-06,0.000521644346429379
"Spata13",148.222536665739,11.0762405975886,1.99365082943415,5.55575752486826,2.76410358520953e-08,2.08455934995341e-05
"Ajuba",372.279625402781,3.56102275760091,0.780306700311074,4.56361935144385,5.02792048170345e-06,0.00133226303790867
"Plec",2564.3606375318,1.62879979247453,0.338361735451741,4.81378247543253,1.48100011011421e-06,0.000518561609984274
"Usp7",331.83074801782,2.83846292576361,0.874066313795647,3.2474228567825,0.00116455228839649,0.0863290360630898
"Jak2",183.298681990745,7.91088534411379,1.10870246126199,7.13526452814864,9.66011989345072e-13,4.1027648620947e-09
"Ighmbp2",198.742669317246,9.1959646066485,1.92993984699004,4.76489701012735,1.88950135517624e-06,0.000617489042871596
"Ablim1",148.231689056936,11.0767051381768,1.83500461500907,6.0363363926047,1.57652434055243e-09,2.20803494782514e-06
"Smad7",40.9495615739822,7.11375033743489,2.15203881760031,3.30558644168291,0.000947778639556123,0.0801192720955804
"Mgat4a",436.681680017429,3.68229112965912,1.12585353217851,3.27066623180897,0.0010729446213868,0.0854216056381678
"Cnot9",682.609700093669,2.09102054983645,0.520527033479506,4.01712190788412,5.89132511388097e-05,0.00931589538975629
"Kif26b",73.7030862914982,10.0696805965007,2.37057305866074,4.2477832774281,2.15896090209945e-05,0.00426344399934385
"Nckap1",86.454578528726,5.84139969367371,1.44017045067597,4.0560474566965,4.99101229471482e-05,0.008293539752099
"Atrn",219.975242432692,3.51773885305857,1.03065021378875,3.41312581707725,0.000642222848536227,0.06112963890339
"Spred1",1029.66633944394,2.03091699618208,0.555731754161604,3.65449154375925,0.000257692156037038,0.0311902950344088
"Ttl",703.322517194092,2.45055119573235,0.657754421536677,3.72563241765408,0.000194826143128901,0.0244881475286634
"Skil",198.383233438842,11.4983726412778,1.69041246404349,6.80211065988802,1.03097353966215e-11,2.52691614571194e-08
"Pik3ca",102.68383666256,6.85479329760833,1.61292945432669,4.24990273394804,2.13863362755479e-05,0.00426344399934385
"Bdh2",36.7783098857157,8.17882263600474,2.05136079174459,3.98702298928559,6.6907544676959e-05,0.00996851558347373
"Cds1",100.808827208534,10.5213470030748,3.0104773792184,3.494909835797,0.000474221926219549,0.0489397027858575
"Dhx37",251.536527140712,4.13139609059701,1.13460560580021,3.64126183536988,0.000271305036542595,0.0319215777457748
"Dusp11",195.332117202868,3.63005726853758,1.08907642946269,3.33315199037824,0.000858680198347069,0.0757309062796315
"Xpc",270.016196768302,5.88429072332097,1.43619506429202,4.09713893998212,4.18287865176352e-05,0.00745617132761628
"Rasgef1a",85.5811148689757,10.2841776472027,3.23777142332621,3.1763136746193,0.00149159573306706,0.098808138966145
"C2cd5",48.946247254129,9.4801543639733,2.62515079432985,3.61127992511889,0.000304689575690731,0.0347346116287433
"Vgll4",651.539084998237,2.48402036057968,0.528627690913962,4.69899780748333,2.6144126048134e-06,0.000796361933384916
"Smg1",197.733753849122,6.94832531711272,1.30960560608886,5.30566247182151,1.12264522302801e-07,5.24114941265074e-05
"Ears2",134.111381764976,10.9321739063337,1.7675099304316,6.18507071338729,6.2074637708585e-10,1.01429958015828e-06
"Adgrg1",37.9877591940319,8.00284688888833,2.29694400594125,3.48412798404675,0.000493743325792097,0.0500825640936839
"Cul5",85.0376560070329,5.32034806018192,1.50573964770458,3.53337847501891,0.000410284663279437,0.0432519445031355
"Car12",97.6835814376956,10.4759830043813,3.02956653842593,3.45791481108194,0.000544373488612897,0.0533703768236084
