Geneid,control Evs_1,control Evs_2,control Evs_3,TGFB Evs_1,TGFB Evs_2,TGFB Evs_3
Gnai3,3709,914,1717,751,2131,868
Cdc45,366,0,417,1,354,93
Narf,1424,0,0,0,290,158
Cav2,387,151,6,246,111,229
Klf6,2203,495,64,0,500,170
Scmh1,0,231,0,0,1,31
Cox5a,1415,389,576,114,327,284
Wnt9a,0,0,16,0,64,0
Fer,0,0,0,322,47,0
Xpo6,0,225,0,505,386,169
Tfe3,1219,78,825,542,654,183
Brat1,1644,455,139,642,71,369
Gna12,4,1092,833,536,849,1679
Slc22a18,301,0,0,0,36,35
Pih1d2,246,0,1,0,0,0
Dlat,1860,87,94,176,551,451
Sdhd,5748,1010,699,558,1967,842
Ccnd2,0,6,0,0,0,0
Gpr107,4030,833,137,10,538,507
Tspan32,805,456,454,619,629,134
Lhx2,21,0,0,0,24,12
Gmpr,952,48,324,31,485,168
Trim25,3181,19,286,0,749,336
Dgke,0,3,0,0,129,0
Scpep1,10915,612,2008,496,1761,335
Mnt,228,97,224,237,270,220
Itgb2,9791,1271,959,418,2091,201
Hddc2,404,378,370,0,393,148
Pemt,0,0,0,0,0,1
Cdh4,0,0,0,0,0,0
Ckmt1,0,4,0,0,0,0
Clec10a,0,64,170,19,295,216
Alox12,0,0,0,84,0,0
Arvcf,0,0,0,0,1,0
Comt,2486,264,1018,505,743,516
Rtca,1398,504,1076,654,1260,982
Dbt,786,0,41,0,92,81
Dazap2,8421,873,2820,182,2887,199
Mcts1,496,85,305,126,134,35
Rem1,0,51,3,55,32,0
Trappc10,243,95,95,13,178,308
Ccm2,1497,328,187,0,957,668
Tbrg4,365,34,510,263,97,287
Mx1,0,0,73,0,0,0
Ndufa9,3068,219,722,140,738,317
Lck,191,42,0,0,0,170
Cttnbp2,0,0,0,0,1,0
Galnt1,0,34,85,0,308,161
Mkrn2,251,597,230,641,1035,764
Raf1,870,84,118,0,351,22
Pdgfb,304,15,3,0,20,280
Acvrl1,560,256,509,0,116,151
Grasp,0,21,66,5,46,77
