"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Csnk1g2",629.029001501301,3.33307790424658,0.815536739912887,4.0869745544543,4.37035030921713e-05,0.00779938827414623
"Cacnb3",62.1318356455552,8.76253410495589,1.86922641939785,4.68778635590794,2.76176109089016e-06,0.000813013728197636
"Thg1l",78.6234980919282,7.73223624146533,2.13280465262541,3.62538417756508,0.000288532192956014,0.0339755143446676
"Cxcl16",51.6515879649418,9.55495455528525,2.36446962528075,4.04105616461482,5.32110114132215e-05,0.00873096743008088
"Ncbp3",120.043115380251,3.6637253127415,1.03777967396723,3.53034984654865,0.000415010506259302,0.0441897889058442
"Zmym2",91.9524656162589,9.31803108297919,1.9390011516759,4.80558305750644,1.54301163264504e-06,0.000532551842453249
"Spata13",148.222536665739,11.0762405975886,1.99365082943415,5.55575752486826,2.76410358520953e-08,2.12814713725863e-05
"Ajuba",372.279625402781,3.56102275760091,0.780306700311074,4.56361935144385,5.02792048170345e-06,0.00136012043517216
"Plec",2564.3606375318,1.62879979247453,0.338361735451741,4.81378247543253,1.48100011011421e-06,0.000529404646504753
"Jak2",183.298681990745,7.91088534411379,1.10870246126199,7.13526452814864,9.66011989345072e-13,4.18855298905608e-09
"Ighmbp2",198.742669317246,9.1959646066485,1.92993984699004,4.76489701012735,1.88950135517624e-06,0.0006304006354653
"Ablim1",148.231689056936,11.0767051381768,1.83500461500907,6.0363363926047,1.57652434055243e-09,2.25420458922704e-06
"Cnot9",682.609700093669,2.09102054983645,0.520527033479506,4.01712190788412,5.89132511388097e-05,0.00951068920400558
"Kif26b",73.7030862914982,10.0696805965007,2.37057305866074,4.2477832774281,2.15896090209945e-05,0.00435259190018692
"Nckap1",86.454578528726,5.84139969367371,1.44017045067597,4.0560474566965,4.99101229471482e-05,0.00846695628098316
"Spred1",1029.66633944394,2.03091699618208,0.555731754161604,3.65449154375925,0.000257692156037038,0.0318424788861075
"Ttl",703.322517194092,2.45055119573235,0.657754421536677,3.72563241765408,0.000194826143128901,0.0250001905971432
"Skil",198.383233438842,11.4983726412778,1.69041246404349,6.80211065988802,1.03097353966215e-11,2.57975353961962e-08
"Pik3ca",102.68383666256,6.85479329760833,1.61292945432669,4.24990273394804,2.13863362755479e-05,0.00435259190018692
"Bdh2",36.7783098857157,8.17882263600474,2.05136079174459,3.98702298928559,6.6907544676959e-05,0.0101769555768042
"Cds1",100.808827208534,10.5213470030748,3.0104773792184,3.494909835797,0.000474221926219549,0.0499630237845417
"Dhx37",251.536527140712,4.13139609059701,1.13460560580021,3.64126183536988,0.000271305036542595,0.0325890525966402
"Xpc",270.016196768302,5.88429072332097,1.43619506429202,4.09713893998212,4.18287865176352e-05,0.00761207862281837
"C2cd5",48.946247254129,9.4801543639733,2.62515079432985,3.61127992511889,0.000304689575690731,0.035460906547541
"Vgll4",651.539084998237,2.48402036057968,0.528627690913962,4.69899780748333,2.6144126048134e-06,0.000813013728197636
"Smg1",197.733753849122,6.94832531711272,1.30960560608886,5.30566247182151,1.12264522302801e-07,5.35074097013681e-05
"Ears2",134.111381764976,10.9321739063337,1.7675099304316,6.18507071338729,6.2074637708585e-10,1.03550841470871e-06
"Cul5",85.0376560070329,5.32034806018192,1.50573964770458,3.53337847501891,0.000410284663279437,0.0441563354275686
"Rpap1",56.3016584109732,9.68158573133129,2.69974770814695,3.58610758409589,0.000335650529579581,0.037928138419618
"Tspoap1",73.5026263128181,8.95927693814923,2.27934570818906,3.93063540381831,8.47216643192713e-05,0.0124702814436998
"Spata6",68.7376872413917,9.96723489338843,2.26507058417237,4.40040807692106,1.08047491870558e-05,0.00245783487757368
"Rnf38",147.878733782985,6.84161575829849,1.59248119761998,4.29619876738485,1.73751800996468e-05,0.00386462616927478
"Cd99l2",1059.24920885142,3.55840517268413,0.605369876045436,5.87806779539366,4.15082928875025e-09,4.61618337234459e-06
"Rif1",83.8978047428643,5.96137254349127,1.67129551073467,3.56691710424733,0.000361205680402976,0.0397286555511361
"Atp11b",167.811390433274,7.81266172469897,1.95068427151287,4.00508777293815,6.19944573386309e-05,0.00984924640479931
"Cramp1l",134.618834884805,10.9374468250748,2.37756869761064,4.60026531980612,4.21953154968715e-06,0.00117314698002274
"Cbfa2t2",843.680732547994,2.19122784797838,0.454290657064183,4.82340504675799,1.41127967045035e-06,0.000523166600797685
"Zfp597",17.4598963512694,21.4918243372251,3.90974571552068,5.49698775854094,3.86333507231896e-08,2.41929155912032e-05
"Rusc1",35.1286896663495,9.00048946881597,2.4732154558635,3.63918535584015,0.000273501890110678,0.0325890525966402
"Sbk1",243.876643319805,6.18417125319813,1.45640390751474,4.24619243417921,2.174339044953e-05,0.00435259190018692
"Ankrd50",342.444020026372,12.2847358445216,1.73045623826215,7.09913118453596,1.25543600431294e-12,4.18855298905608e-09
"S1pr1",43.6249277539139,9.31260046372906,2.34443996802653,3.9722068343546,7.12098471746741e-05,0.0106379009010644
"Zswim3",153.461304992203,11.1264075883731,1.85198261023757,6.00783588726344,1.88016008994182e-09,2.35231529252846e-06
"Khnyn",149.296617320106,6.1028042369245,1.45264638367823,4.20116299843851,2.65547309688372e-05,0.00521149612288415
"Rnf24",42.8959968758939,9.28884599363037,2.54154884884456,3.65479734841739,0.000257385202163625,0.0318424788861075
"Hic2",46.3407576591995,9.3989047586137,2.46037941913507,3.82010379599006,0.00013339552594945,0.0188050115384232
"Prkcb",16.6012129241578,20.8029120139716,3.90989906791985,5.32057519966601,1.03439680411333e-07,5.17663880618515e-05
"Dand5",61.9190233438738,9.81689377285532,2.17319179671346,4.51726984599403,6.26420557152865e-06,0.00164995877803764
"Dedd2",111.133166418073,6.51365637415871,1.59522665553576,4.08321685921872,4.44165382781832e-05,0.00779938827414623
"Tmem119",180.273215969633,11.3591893084453,1.82083080316658,6.23846503952521,4.41885351230375e-10,8.84566096092965e-07
"Agap1",862.157086026881,3.44943943267554,0.836717960012389,4.12258323297431,3.74647172484531e-05,0.00707517650829749
"Snupn",84.746433468891,10.269615407248,2.07249886942732,4.95518504677675,7.22614845359649e-07,0.000314463129878466
"Klhl25",411.127293730461,12.5491256519778,1.41676121506522,8.85761518492733,8.17443318516202e-19,8.18179017502866e-15
"Mdn1",39.3529457015613,8.07360825444145,2.10138149355002,3.84204785243546,0.000122012040432428,0.0174459787526882
"Nr6a1",116.171162967221,4.98402339869666,1.25028349610844,3.98631463520844,6.71075100478647e-05,0.0101769555768042
"Snx29",75.0728745753292,9.03965849228284,1.84065870827827,4.91109973382216,9.05670056181949e-07,0.000377702149680214
"Gm15496",18.0323519693438,21.5363048227275,3.90965083562177,5.50849825935989,3.61907819487398e-08,2.41929155912032e-05
"Kctd12",68.4226257351535,9.96057893676562,2.42247906179549,4.11172963013478,3.92706022201738e-05,0.00727887884484666
"Gm47063",16.6012129241578,20.8029120139716,3.90989906791985,5.32057519966601,1.03439680411333e-07,5.17663880618515e-05
