"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3",1301.35635895122,-0.122585953626472,0.454077958767531,-0.269966756279466,0.78718582895472,0.984236058007937
"Cdc45",145.755313906049,-0.569055361423424,2.1207865421757,-0.268322789732358,0.788450865531785,0.984236058007937
"Narf",149.938685836424,-0.469729087422647,3.11113395056817,-0.150983241122377,NA,NA
"Cav2",180.649862463459,1.18469773906438,1.33401269175641,0.888070815506681,0.374502660114663,0.896102587876563
"Klf6",334.407811522191,-1.44988709479025,1.71788156179344,-0.843997122407316,0.398671013611843,0.903414727665662
"Scmh1",52.5904057224749,-3.00472076733171,3.63681749837265,-0.82619509191105,NA,NA
"Cox5a",377.669486698478,-1.04925797732269,0.536612457293643,-1.95533659918096,0.0505433540385135,0.563350145402541
"Wnt9a",9.94286262826786,1.59417441384952,3.74787115366698,0.42535464760835,0.670578161888767,0.968376399126341
"Fer",97.6435382206056,10.4744126604421,3.22778146696631,3.24508110838328,0.00117417174683798,0.0881341617661634
"Xpo6",266.185977634998,2.27720862531698,2.38238443803995,0.955852711659965,0.339146652887022,0.877550540674974
"Tfe3",483.399518495517,0.278422632013478,0.997722990560433,0.279058049827122,0.780200276117791,0.983423058912996
"Brat1",474.140264102437,0.277890993228085,1.16328242115018,0.238885233865499,0.811194575793323,0.985468165342892
"Gna12",911.918769605902,0.679188195832984,1.48724907614016,0.456674142031189,0.647905279404999,0.963924903292129
"Slc22a18",29.0395557389808,-0.791338685336699,3.65849051543267,-0.216301964430025,0.828752377916722,0.986703744572044
"Pih1d2",15.1961726481258,-7.23473593777172,3.90920610885886,-1.85069186333683,NA,NA
"Dlat",343.507294257484,0.435342531668306,1.02021625274766,0.426715934485298,0.669586243024455,0.9683667867792
"Sdhd",1208.32691889537,-0.28891519354013,0.633065784319235,-0.456374678108395,0.648120571422622,0.963924903292129
"Gpr107",595.175008854648,-1.45700108949122,1.27540568363334,-1.14238246558582,0.253295076479602,0.821620123790119
"Tspan32",487.150194944003,0.375593150523077,0.88215910506631,0.425765769877583,0.670278531835398,0.9683667867792
"Lhx2",6.28925606797322,1.9418448041017,3.76529276438623,0.515722129888149,0.606048496140274,0.957376798905935
"Gmpr",214.524628303286,-0.294514941190262,1.09478043591193,-0.269017358667847,0.787916324635473,0.984236058007937
"Trim25",391.849934352672,-0.702650383892549,1.86194303144458,-0.377374802572451,0.705895089643057,0.974911553132886
"Dgke",15.6432699076704,4.67541860044908,3.79334664099328,1.23253133523933,NA,NA
"Scpep1",1511.78301493647,-1.43170673462764,0.821786697579869,-1.74218777067572,0.0814755931849035,0.637231188869301
"Mnt",208.129302299918,1.03214839805922,0.790577454551646,1.30556265185246,0.19170132820884,0.764466727379452
"Itgb2",1405.16348031403,-1.32740249147526,0.890652112176874,-1.49037146302938,0.136126591637811,0.692607429205965
"Hddc2",231.696235119272,-1.11720143507171,1.63204482066225,-0.684540902876906,0.49363367000484,0.934316887055852
"Clec10a",118.906916006798,1.01800205108707,1.94473796445093,0.523464893315071,0.600650775445287,0.955333483462876
"Alox12",24.043135959125,21.9379775666568,3.90892755960185,5.61227529345449,NA,NA
"Comt",689.531769498179,-0.157732494343149,0.673474220685335,-0.2342071745265,0.814824145437588,0.986396929461991
"Rtca",869.251134257612,0.538114199373308,0.521987559526336,1.03089468235911,0.302590210559762,0.85617205992002
"Dbt",80.0475410998801,-1.08620724257824,2.53810021855896,-0.427960737970761,0.668679705412064,0.9683667867792
"Dazap2",1554.50631649284,-1.40852404143781,0.984110353983427,-1.43126635720929,0.152353892017251,0.706303893098964
"Mcts1",152.995513280458,-0.710592966137589,1.01629350753292,-0.699200536922222,0.484426715102289,0.930112400476644
"Rem1",30.2638258789476,0.853257485465449,3.05928466731165,0.278907515401386,0.780315800862907,0.983423058912996
"Trappc10",129.97361849294,0.734219947998067,1.17293015220579,0.625970733736622,0.531334137583128,0.944947038524836
"Ccm2",421.413407293114,0.326803058086665,1.66225735720553,0.196601962187169,0.84413903497809,0.988373775135521
"Tbrg4",247.742629606903,0.362194594034971,1.18849234547674,0.304751305646554,0.760555570792506,0.981509104606064
"Mx1",11.3296374754536,-6.80834401557682,3.91004474523837,-1.74124452766634,NA,NA
"Ndufa9",528.395815431501,-0.899088592959498,0.775790517698576,-1.15893217621001,0.24648383213524,0.816168715485949
"Lck",51.460395543066,0.631876350720499,3.44261920976766,0.183545234665423,0.854370229443427,0.989925259247493
"Galnt1",85.5982037669745,1.70868744624496,2.5415951553664,0.672289385914666,0.501399485558719,0.936523234230863
"Mkrn2",616.594465457826,1.37262689920337,0.891984420498592,1.53884627092042,0.123841830660727,0.685582346838063
"Raf1",133.474013194349,-0.975021117896722,1.82676429777841,-0.533742157695155,0.593519937536491,0.953124012701937
"Pdgfb",75.9386532174333,1.28283779264291,2.26454033973032,0.566489265011585,0.571061228450878,0.950489504489806
"Acvrl1",206.371847098574,-1.99659434538894,1.57255932522547,-1.2696464377283,0.204210600022534,0.778815563375126
"Grasp",35.455187237325,0.535761471454411,2.24733272318501,0.238398820934316,0.811571781826485,0.985659579605949
"Acvr1b",37.3382592126419,1.02996659422735,2.87239254888887,0.358574455509493,0.719913459203399,0.975562476951529
"Tom1l2",326.798330135482,-2.40872475699315,1.54149109988505,-1.56259400860165,0.118148118427654,0.681199749195176
"Zfp385a",284.927157837244,0.797476903241046,0.700653102268495,1.13819078322649,0.255040826449247,0.824182417323993
"Itga5",709.270918596168,-1.97953990852573,1.56885153070475,-1.26177644587981,0.207029240026978,0.781650570890241
"Wdr77",742.630406634767,0.494943703182016,0.649636919561084,0.761877424571891,0.446133164972431,0.919522985257362
"Atp5f1",2883.55714477375,-0.597086290988331,0.467778411603651,-1.27642977139835,0.201803637707534,0.778620329150635
"Hnrnpd",63.821678578757,1.57122045435518,1.59135205554184,0.987349373058867,0.323471394158953,0.869718667022825
"Dynlt1c",24.7130191846024,-0.905905423354197,2.12737366115768,-0.425832772067517,0.67022970493288,0.9683667867792
"C1d",496.114047980571,0.504333471564982,0.658413196816203,0.765983236672225,0.443686276673679,0.919051265737666
"Gm2a",1131.85434649539,-1.29182392737547,1.29400517775596,-0.998314341845005,0.318126955258822,0.867398411901949
"Krit1",79.7146774127839,-2.23044024639835,3.72944633326801,-0.598062030415082,NA,NA
"Clcn4",275.591098953542,1.98811758135623,2.14535035493546,0.92670997852751,0.354077135217949,0.883466563529055
"Hk2",283.610508687682,-1.90463312049158,1.18320828796288,-1.6097192183895,0.107459167454426,0.663621984600895
"Myo18a",132.742742086788,-1.80806522546688,2.4819123807964,-0.728496799265212,0.46630952727222,0.925859910048648
"Haao",21.5927807202482,-4.26302221877233,3.7771635072966,-1.12863057438132,NA,NA
"Cd52",607.205010261634,-1.31635326207116,1.04560405605709,-1.25894047029145,0.208051834628009,0.782539144903201
"Abhd15",58.5011733705964,9.73535667320866,3.39386529710927,2.86851593123061,0.00412402428930345,0.181041048735255
"Kat2b",46.9760846526503,0.639474893397841,2.13357767097066,0.299719528423316,0.764391101503885,0.98270478388325
"Rab5b",77.408110456381,-1.40788650062322,1.79298310576107,-0.785220170842389,0.432324491027307,0.915185648306732
"Dnmt3l",79.4421861750857,-0.150028691638045,2.053147622445,-0.0730725301960422,0.94174840093271,0.996844283819863
"Icosl",69.1608954699162,-1.81450229962563,2.72358247028976,-0.666218966900821,0.505271151368804,0.938691576237109
"Spg7",373.10099899633,1.76610346721533,0.951496436253699,1.85613250867125,0.0634346730977755,0.596165167478819
"Rpl13",24272.9736471321,0.723981804051465,0.543379917701415,1.3323676132788,0.182739419070924,0.755488990285367
"Chmp1a",4374.63894101297,1.13941820406649,0.488917466387259,2.3304919181676,0.0197801666768624,0.400853341307379
"Rpa1",325.67531020375,-1.20134671390806,1.33985496836639,-0.896624442399755,0.369919350905876,0.894079654793507
"Serpinf1",62.7594101410488,-0.39250438316807,2.65715075771251,-0.147716264133229,0.882566695529623,0.991618145700107
"Tubgcp3",28.4785758683024,7.56020609098662,3.88444496041932,1.9462770532268,NA,NA
"Polr3d",58.9504332256157,-1.37452778719397,2.64404405045001,-0.519858126781218,0.603162462250223,0.956614575308479
"Ddx3x",533.168939383193,-0.0412379024210326,1.20102687981884,-0.0343355366261686,0.972609587437107,0.997280567646009
"Il12rb1",17.6243477484797,-0.67874140877443,3.73657481615038,-0.181648017815874,NA,NA
"Usp32",110.89111589982,1.83953982557903,2.10238950484093,0.874975746094305,0.381587102637602,0.897351004842274
