"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-mir-5126",1714.49711289051,0.619389471114269,0.187938513617568,3.29570272315047,0.000981758420839285,0.0254873293930441
"mmu-mir-146a",443.918126204252,0.566391187580858,0.158207337483542,3.5800563778515,0.000343520083490221,0.0114220427760499
"mmu-mir-21a",1173.68406046219,1.81605048209071,0.140498573307916,12.9257574602602,3.22108703842774e-38,8.56809152221779e-36
"mmu-mir-342",38.5935906359489,1.46149458352841,0.311236978813901,4.69576137481492,2.65615480376166e-06,0.00014130743556012
"mmu-let-7f-1",23003.1900195663,0.356137076757641,0.137197353675201,2.59580135634944,0.0094370606432302,0.0974064449912453
"mmu-let-7a-1",42681.4684224441,0.395385804542613,0.140922781033152,2.80569118522859,0.00502087860026052,0.0663208048517632
"mmu-mir-27b",295.346890168111,0.422877418100748,0.163921713374539,2.5797523061178,0.00988712035625422,0.0974064449912453
"mmu-let-7e",8596.42915638495,0.404976052606711,0.146596656066251,2.76251903333792,0.00573572174759607,0.0663348689069806
"mmu-mir-146b",392.93144824411,0.588983690144902,0.156539714027019,3.76251926743166,0.000168210344831803,0.00639199310360852
"mmu-let-7a-2",42321.9879832388,0.393414330778953,0.140899970994299,2.79215338372832,0.00523585301461288,0.0663208048517632
"mmu-mir-362",11.4322321425765,1.40675134426639,0.543467845473982,2.58847207977779,0.00964027617762102,0.0974064449912453
"mmu-mir-222",365.478569195642,0.673405045611507,0.152721951133306,4.40935334190247,1.0367974326526e-05,0.00045964686180932
"mmu-let-7f-2",22315.6607709629,0.356736447543947,0.137454902001455,2.59529811123193,0.00945089073609173,0.0974064449912453
