Geneid,control cells_1,control cells_2,control cells_3,IL-10 cells_1,IL-10 cells_2,IL-10 cells_3
mmu-mir-6341,0,5,0,1,1,1
mmu-mir-206,0,0,0,0,0,0
mmu-mir-133b,0,0,0,0,0,0
mmu-mir-30a,226,301,208,223,231,270
mmu-mir-30c-2,71,89,57,49,36,86
mmu-mir-6342,0,0,0,0,0,0
mmu-mir-6896,0,0,0,0,0,0
mmu-mir-5103,0,0,0,0,0,0
mmu-mir-6897,0,0,0,0,0,0
mmu-mir-6898,0,0,0,0,0,0
mmu-mir-6349,0,0,0,0,0,0
mmu-mir-6350,0,0,0,0,0,0
mmu-mir-7681,0,0,0,0,0,0
mmu-mir-6899,0,0,0,0,0,0
mmu-mir-6351,0,0,0,0,0,0
mmu-mir-1928,0,0,0,0,0,0
mmu-mir-26b,56,53,38,38,30,48
mmu-mir-375,0,0,0,0,0,0
mmu-mir-6343,0,0,0,0,0,0
mmu-mir-6352,0,1,0,0,0,0
mmu-mir-6344,0,0,0,0,0,0
mmu-mir-6353,0,0,0,0,0,0
mmu-mir-5126,1271,1589,1268,1649,2421,1989
mmu-mir-8096,0,0,0,0,0,0
mmu-mir-3535,10564,14184,8994,10450,6413,8371
mmu-mir-6900,0,0,0,0,1,0
mmu-mir-149,0,0,0,0,0,1
mmu-mir-6901,0,1,0,0,0,0
mmu-mir-6902,0,0,0,0,0,0
mmu-mir-6345,0,0,0,0,0,0
mmu-mir-3473f,0,5,4,3,2,2
mmu-mir-6346,0,0,0,0,0,0
mmu-mir-128-1,32,35,43,25,15,31
mmu-mir-135b,0,0,0,0,0,0
mmu-mir-6903,0,0,0,0,0,0
mmu-mir-1231,0,0,0,1,0,0
mmu-mir-181a-1,17,24,38,21,19,35
mmu-mir-181b-1,7,8,2,4,5,5
mmu-mir-7682,4,2,1,2,0,2
mmu-mir-8114,16,34,20,33,22,30
mmu-mir-488,0,0,0,0,0,0
mmu-mir-1843b,989,2064,898,931,979,1052
mmu-mir-1927,0,0,0,0,0,0
mmu-mir-199a-2,50,96,62,105,85,91
mmu-mir-214,3,1,0,0,0,2
mmu-mir-6347,0,0,0,0,0,0
mmu-mir-6348,0,0,0,0,0,0
mmu-mir-6354,0,0,0,0,0,0
mmu-mir-6546,29,35,19,29,24,28
mmu-mir-7683,0,0,0,0,2,0
mmu-mir-350,17,16,17,16,15,30
mmu-mir-6904,0,0,0,0,0,1
mmu-mir-1981,24,45,33,27,33,34
mmu-mir-664,146,252,172,173,151,136
mmu-mir-194-1,9,4,5,1,2,4
mmu-mir-215,0,0,0,0,0,0
mmu-mir-3473c,0,0,0,0,0,0
mmu-mir-205,0,0,0,0,0,0
mmu-mir-3962,1,2,2,2,3,0
mmu-mir-29b-2,49,36,60,58,31,53
mmu-mir-29c,101,92,102,112,100,129
mmu-mir-5104,0,0,0,0,0,0
mmu-mir-6413,0,0,0,0,0,0
mmu-mir-7663,0,0,0,0,0,0
mmu-mir-6905,1,0,0,0,0,0
mmu-mir-3473b,0,0,0,0,0,0
mmu-mir-1929,0,0,0,0,0,0
mmu-mir-6906,0,0,0,0,0,0
mmu-mir-6408,0,0,0,0,0,0
mmu-mir-466j,0,0,0,0,0,0
mmu-mir-5108,0,1,0,0,1,0
mmu-mir-7662,0,0,0,0,0,0
mmu-mir-7215,0,0,0,0,0,0
mmu-mir-6409,0,0,0,0,0,0
mmu-mir-678,1,6,1,4,1,2
mmu-mir-1930,0,0,0,0,0,0
mmu-mir-7659,0,0,0,0,0,0
mmu-mir-6907,0,0,0,1,1,0
mmu-mir-6410,0,0,0,0,0,0
mmu-mir-6908,0,1,0,0,0,0
mmu-mir-6909,1,0,0,0,0,1
mmu-mir-6910,0,0,0,0,0,0
mmu-mir-6911,1,2,1,0,0,3
mmu-mir-6912,2,0,2,0,1,0
mmu-mir-1982,6,23,2,5,6,5
mmu-mir-5615-1,0,0,0,0,0,0
mmu-mir-5615-2,0,0,0,0,0,0
mmu-mir-3057,10,6,11,13,5,3
mmu-mir-6913,1,0,0,0,0,0
mmu-mir-1191b,0,0,0,0,0,0
mmu-mir-135a-2,0,0,0,0,0,0
mmu-mir-1251,0,0,0,0,0,0
mmu-mir-1931,1,9,3,4,1,5
mmu-mir-7688,1,1,2,1,3,0
mmu-mir-331,284,391,310,199,287,363
mmu-mir-7211,0,0,0,0,0,0
mmu-mir-3058,1,0,0,0,0,0
mmu-mir-3966,0,0,0,0,0,0
mmu-mir-3059,0,0,0,0,0,0
mmu-mir-6411,0,0,0,0,0,0
mmu-mir-763,0,0,0,0,0,0
mmu-mir-6412,0,0,0,0,0,0
mmu-mir-8104,1,0,0,0,0,0
mmu-let-7i,654,851,618,879,753,777
mmu-mir-378d,36,23,18,44,26,21
mmu-mir-26a-2,38,52,30,37,35,38
mmu-mir-546,0,0,0,0,0,0
mmu-mir-677,6850,10684,6702,4764,4937,7060
mmu-mir-6914,0,0,0,0,0,0
mmu-mir-6915,1,0,0,2,0,0
mmu-mir-8105,0,0,0,0,0,0
mmu-mir-6916,2,0,1,2,0,0
mmu-mir-6917,0,0,0,0,0,0
mmu-mir-3060,3,3,1,5,4,6
mmu-mir-6918,0,0,0,0,0,0
mmu-mir-7651,0,0,0,0,0,0
mmu-mir-1933,4,1,2,0,1,0
mmu-mir-6372,0,0,0,0,0,0
mmu-mir-216b,0,0,0,0,0,0
mmu-mir-216c,0,0,0,0,0,0
mmu-mir-216a,0,0,0,0,0,0
mmu-mir-217,0,0,0,0,0,0
mmu-mir-218-2,0,0,0,2,0,0
mmu-mir-103-1,124,122,107,103,77,83
mmu-mir-146a,315,434,346,540,416,633
mmu-mir-8100,0,0,0,0,0,0
mmu-mir-7239,0,0,0,0,0,0
mmu-mir-340,86,125,76,101,107,113
mmu-mir-6919,0,2,0,0,0,0
mmu-mir-804,0,0,0,0,0,0
mmu-mir-3061,0,0,0,1,0,0
mmu-mir-6920,0,1,0,0,0,0
mmu-mir-7671,0,2,1,0,0,2
mmu-mir-7652,0,0,0,0,0,0
mmu-mir-6921,2,1,0,0,0,0
mmu-mir-6922,0,0,1,0,0,0
mmu-mir-5100,37,42,40,34,32,31
mmu-mir-744,646,668,562,613,364,430
mmu-mir-6923,0,0,0,0,0,0
mmu-mir-6406,0,0,0,0,0,0
mmu-mir-3062,0,0,0,0,0,0
mmu-mir-467f,0,0,0,0,0,0
mmu-mir-1934,4,7,0,7,5,2
mmu-mir-6924,1,0,0,0,0,0
mmu-mir-324,199,248,209,194,139,176
mmu-mir-497b,0,0,0,0,0,0
mmu-mir-497a,5,3,3,1,2,5
mmu-mir-195a,1,1,1,2,1,3
mmu-mir-7115,1,1,1,0,2,0
mmu-mir-6925,0,0,1,0,0,0
mmu-mir-6338,0,0,0,0,0,0
mmu-mir-6926,0,2,0,0,0,0
mmu-mir-212,6,7,0,6,5,2
mmu-mir-132,1,3,4,5,6,12
mmu-mir-22,28,34,37,56,42,54
mmu-mir-3971,0,0,0,0,0,0
mmu-mir-423,880,1079,764,837,719,889
mmu-mir-144,0,0,0,0,0,0
mmu-mir-451a,0,0,0,0,0,0
mmu-mir-451b,0,0,0,0,0,0
mmu-mir-7653,0,0,0,0,1,0
mmu-mir-193a,22,37,24,21,16,16
mmu-mir-365-2,49,72,59,44,26,58
mmu-mir-7679,4,0,0,1,0,1
mmu-mir-5110,0,0,0,0,0,0
mmu-mir-21a,440,644,506,1927,1577,1949
mmu-mir-301a,30,39,42,36,42,27
mmu-mir-142b,1,1,0,0,0,1
mmu-mir-142a,851,1287,975,1395,1204,957
mmu-mir-378b,46,36,31,46,18,38
mmu-mir-3063,0,0,0,0,0,0
mmu-mir-196a-1,2,7,1,5,3,2
mmu-mir-10a,0,1,0,0,0,0
mmu-mir-152,0,2,1,1,1,2
mmu-mir-8103,0,1,0,0,1,0
mmu-mir-7235,0,0,1,0,1,0
mmu-mir-6927,0,0,0,0,0,0
mmu-mir-8102,4,2,1,2,2,0
mmu-mir-5119,0,0,0,0,0,0
mmu-mir-7116,0,0,0,1,0,0
mmu-mir-6928,0,0,0,0,0,0
mmu-mir-6929,1,0,0,0,0,0
mmu-mir-8101,5,1,3,10,5,1
mmu-mir-6930,0,0,0,1,0,0
mmu-mir-6931,0,0,1,0,0,0
mmu-mir-3064,0,0,0,1,0,1
mmu-mir-6932,0,0,0,0,0,0
mmu-mir-7223,0,0,0,0,0,0
mmu-mir-3968,16,43,21,45,22,31
mmu-mir-5621,1,0,0,0,0,0
mmu-mir-6516,735,1283,857,837,896,1029
mmu-mir-6933,0,0,0,0,0,0
mmu-mir-6934,0,0,0,0,1,0
mmu-mir-1932,0,0,0,1,0,0
mmu-mir-338,7,7,8,8,6,6
mmu-mir-3065,0,0,0,0,0,0
mmu-mir-6935,0,0,1,0,0,0
mmu-mir-6936,2,1,2,1,1,5
mmu-mir-7236,0,0,0,0,0,0
mmu-mir-7675,0,0,0,0,0,0
mmu-mir-6387,0,0,0,0,0,0
mmu-mir-3066,1,0,0,2,1,0
mmu-mir-6538,3,7,1,1,3,2
mmu-mir-6937,2,0,0,1,1,1
mmu-mir-680-3,0,0,0,0,0,0
mmu-mir-5099,35148,59096,33218,38187,34029,28247
mmu-mir-1938,0,0,1,0,0,0
mmu-mir-5627,0,3,0,0,1,1
mmu-mir-1892,4,11,0,0,6,0
mmu-mir-681,0,0,0,0,0,0
mmu-mir-5101,0,0,0,0,0,0
mmu-mir-5135,0,0,0,0,0,1
mmu-mir-1843a,327,664,364,372,347,443
mmu-mir-3067,0,1,0,0,0,0
mmu-mir-6938,0,0,0,0,0,0
mmu-mir-3068,1286,2678,1278,1575,1765,1262
mmu-mir-8099-2,0,0,1,0,0,0
mmu-mir-1190,0,0,0,0,0,0
mmu-mir-1936,0,0,0,0,0,0
mmu-mir-3069,300,434,326,316,346,294
mmu-mir-342,18,26,19,62,49,58
mmu-mir-345,33,38,27,25,21,27
mmu-mir-1906-1,0,0,0,0,0,0
mmu-mir-770,0,0,0,0,0,0
mmu-mir-673,0,1,0,0,0,0
mmu-mir-493,0,0,0,0,0,0
mmu-mir-337,0,0,0,0,0,1
mmu-mir-3544,0,0,0,0,0,0
mmu-mir-540,0,0,0,0,0,0
mmu-mir-665,0,0,0,0,0,0
mmu-mir-3070-1,0,0,0,0,0,0
mmu-mir-3070-2,0,1,0,1,0,0
mmu-mir-431,0,0,0,0,0,0
mmu-mir-433,0,0,0,0,0,0
mmu-mir-127,0,0,0,0,0,0
mmu-mir-434,0,0,0,1,0,0
mmu-mir-432,0,0,0,0,0,0
mmu-mir-3071,0,0,0,0,0,0
mmu-mir-136,0,0,0,0,0,0
mmu-mir-341,0,0,0,0,0,0
mmu-mir-1188,0,0,0,0,0,0
mmu-mir-370,0,0,0,0,0,0
mmu-mir-882,0,0,0,0,0,0
mmu-mir-379,0,0,0,0,0,0
mmu-mir-411,0,0,0,0,0,0
mmu-mir-299a,0,0,0,0,0,0
mmu-mir-299b,0,0,0,0,0,0
mmu-mir-380,0,0,0,0,0,0
