"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-mir-30a",241.760788779823,0.0264392051174039,0.171961324254266,0.153750881089461,0.877806164410492,0.953916525486547
"mmu-mir-30c-2",63.4959021943451,-0.316999385777026,0.277572013643986,-1.14204375871845,0.253435831127285,0.476459362519296
"mmu-mir-26b",43.4338019933968,-0.314049497904805,0.290476759980866,-1.08115188948504,0.27962955477243,0.505484195165546
"mmu-mir-5126",1714.49711289051,0.619389471114269,0.187938513617568,3.29570272315047,0.000981758420839285,0.018013601225159
"mmu-mir-3535",9675.56679856219,-0.383004640083592,0.152317481308564,-2.51451531887994,0.0119196124140219,0.0861879666860045
"mmu-mir-128-1",30.0258899481982,-0.625233553296808,0.348008326163994,-1.79660515651621,0.0723983252092262,NA
"mmu-mir-181a-1",25.7356519921651,-0.0698004255902717,0.392746226102067,-0.177723988039371,0.858939745418679,NA
"mmu-mir-181b-1",5.09020506246722,-0.214914663458477,0.761023315050226,-0.28240220661872,0.777635123191528,NA
"mmu-mir-8114",25.3991172201961,0.325339197677584,0.36265714538545,0.897098545602342,0.369666334735609,NA
"mmu-mir-1843b",1128.71594834586,-0.327949876959314,0.20648764196018,-1.58823004537267,0.112234329407002,0.292347156960999
"mmu-mir-199a-2",80.796758017095,0.484969075504698,0.237994954066831,2.03772839389071,0.0415771029500683,0.207843628111838
"mmu-mir-6546",27.0365705537153,0.00954024696209037,0.346243192852759,0.0275536015119506,0.978018188229707,NA
"mmu-mir-350",18.4372037596762,0.30324128062151,0.422792417750997,0.717234434417185,0.473229455491322,NA
"mmu-mir-1981",32.5050553289381,-0.0642347143036319,0.329707003215848,-0.194823627272423,0.845531024809653,NA
"mmu-mir-664",170.047059586769,-0.253777030172893,0.200902730515283,-1.26318357904841,0.206523212785254,0.436251280939638
"mmu-mir-29b-2",47.92461133359,-0.0409637346937937,0.308076420401653,-0.132966147296789,0.894220153267895,0.965021640480713
"mmu-mir-29c",106.254088932314,0.228669881048392,0.21470680991915,1.06503320101724,0.286860905602354,0.513617621459452
"mmu-mir-1982",7.4091117258777,-0.825828201305817,0.717143884013292,-1.15155161985668,0.249505371749926,NA
"mmu-mir-3057",8.05501501394352,-0.368149638378923,0.646021538829532,-0.569872080497409,0.568764462482471,NA
"mmu-mir-331",304.780038995188,-0.164725976862965,0.208984164547812,-0.788222290523252,0.430566692909629,0.668979655099258
"mmu-let-7i",751.992742946771,0.227585267190941,0.141302138502271,1.61062861187542,0.107260693761489,0.289248974998019
"mmu-mir-378d",27.9853481348387,0.263167164059996,0.37939012343841,0.693658447602469,0.487896430361165,NA
"mmu-mir-26a-2",37.9610881105364,-0.0757130740388189,0.300227050104692,-0.252186050565454,0.80089725973922,0.907040270066104
"mmu-mir-677",6734.7775668372,-0.478919485252032,0.168859359836461,-2.83620336898032,0.00456533651778562,0.0476824036302053
"mmu-mir-103-1",102.301234676944,-0.397035064709637,0.212165365880556,-1.87134720627851,0.0612969713867031,0.235180216748983
"mmu-mir-146a",443.918126204252,0.566391187580858,0.158207337483542,3.5800563778515,0.000343520083490221,0.0080727219620202
"mmu-mir-340",100.746933920021,0.216735576363317,0.216835864452575,0.999537493073341,0.317534385895791,0.533600201979068
"mmu-mir-5100",36.0210165225621,-0.260648487326637,0.305962109501652,-0.851897928639525,0.394270746604891,NA
"mmu-mir-744",542.933409616869,-0.395522915017643,0.170341875291818,-2.32193589708967,0.0202363875505448,0.133488208362167
"mmu-mir-324",192.643164453151,-0.337325699028784,0.173641277584545,-1.94265847223189,0.0520574369460855,0.214234562146702
"mmu-mir-132",5.16229171055661,1.54686821966981,0.817405672930042,1.89241189643933,0.0584361222061493,NA
"mmu-mir-22",41.8037462697361,0.641602791855283,0.292674953020353,2.19220259620462,0.0283648810906671,0.177753254834847
"mmu-mir-423",854.525315670986,-0.115104112461277,0.135286106877286,-0.850819903966076,0.394869403280511,0.634491006980651
"mmu-mir-193a",22.3322988329204,-0.600113178716193,0.380656035285074,-1.57652348337723,0.114905211157502,NA
"mmu-mir-365-2",50.5104129724267,-0.470794815190714,0.284552545445713,-1.65450923819106,0.0980240878458091,0.282158590918862
"mmu-mir-21a",1173.68406046219,1.81605048209071,0.140498573307916,12.9257574602602,3.22108703842774e-38,6.05564363224416e-36
"mmu-mir-301a",36.3518186593359,-0.0353469079209392,0.325870688290346,-0.108469123462389,0.913623571884943,0.975916088149825
"mmu-mir-142a",1109.1899254338,0.246288106341371,0.176338103145359,1.39668115936549,0.162509472295967,0.372582692580998
"mmu-mir-378b",35.3899206544912,-0.144246150680636,0.334720917035925,-0.430944537192321,0.666508698757875,NA
"mmu-mir-3968",28.9128733456699,0.342166201063995,0.368184105789038,0.929334524994541,0.352715748175334,NA
