Geneid,control cells_1,control cells_2,control cells_3,LPS cells_1,LPS cells_2,LPS cells_3
mmu-mir-6341,0,5,0,0,0,1
mmu-mir-206,0,0,0,0,0,0
mmu-mir-133b,0,0,0,0,0,0
mmu-mir-30a,226,301,208,147,105,133
mmu-mir-30c-2,71,89,57,33,33,33
mmu-mir-6342,0,0,0,0,0,0
mmu-mir-6896,0,0,0,1,0,0
mmu-mir-5103,0,0,0,0,0,0
mmu-mir-6897,0,0,0,0,0,0
mmu-mir-6898,0,0,0,0,0,2
mmu-mir-6349,0,0,0,0,0,0
mmu-mir-6350,0,0,0,0,0,0
mmu-mir-7681,0,0,0,0,0,0
mmu-mir-6899,0,0,0,0,2,0
mmu-mir-6351,0,0,0,0,0,0
mmu-mir-1928,0,0,0,0,0,0
mmu-mir-26b,56,53,38,21,20,18
mmu-mir-375,0,0,0,0,0,0
mmu-mir-6343,0,0,0,0,0,0
mmu-mir-6352,0,1,0,0,1,1
mmu-mir-6344,0,0,0,1,0,0
mmu-mir-6353,0,0,0,0,0,0
mmu-mir-5126,1271,1589,1268,638,663,625
mmu-mir-8096,0,0,0,0,0,0
mmu-mir-3535,10564,14184,8994,13412,11036,9836
mmu-mir-6900,0,0,0,0,0,0
mmu-mir-149,0,0,0,0,2,0
mmu-mir-6901,0,1,0,0,0,0
mmu-mir-6902,0,0,0,1,0,0
mmu-mir-6345,0,0,0,0,0,0
mmu-mir-3473f,0,5,4,5,6,6
mmu-mir-6346,0,0,0,0,0,0
mmu-mir-128-1,32,35,43,26,20,18
mmu-mir-135b,0,0,0,0,0,0
mmu-mir-6903,0,0,0,0,0,0
mmu-mir-1231,0,0,0,0,0,0
mmu-mir-181a-1,17,24,38,4,5,6
mmu-mir-181b-1,7,8,2,3,2,5
mmu-mir-7682,4,2,1,0,1,0
mmu-mir-8114,16,34,20,7,16,12
mmu-mir-488,0,0,0,0,0,0
mmu-mir-1843b,989,2064,898,1153,520,941
mmu-mir-1927,0,0,0,0,0,0
mmu-mir-199a-2,50,96,62,38,23,19
mmu-mir-214,3,1,0,0,0,0
mmu-mir-6347,0,0,0,0,0,0
mmu-mir-6348,0,0,0,0,0,0
mmu-mir-6354,0,0,0,0,0,0
mmu-mir-6546,29,35,19,34,44,26
mmu-mir-7683,0,0,0,0,0,0
mmu-mir-350,17,16,17,17,4,10
mmu-mir-6904,0,0,0,0,0,0
mmu-mir-1981,24,45,33,11,7,7
mmu-mir-664,146,252,172,163,164,182
mmu-mir-194-1,9,4,5,1,1,3
mmu-mir-215,0,0,0,0,0,0
mmu-mir-3473c,0,0,0,0,1,0
mmu-mir-205,0,0,0,0,0,0
mmu-mir-3962,1,2,2,0,1,1
mmu-mir-29b-2,49,36,60,60,68,63
mmu-mir-29c,101,92,102,91,53,91
mmu-mir-5104,0,0,0,0,0,0
mmu-mir-6413,0,0,0,0,0,0
mmu-mir-7663,0,0,0,0,0,0
mmu-mir-6905,1,0,0,0,0,0
mmu-mir-3473b,0,0,0,0,0,0
mmu-mir-1929,0,0,0,0,0,0
mmu-mir-6906,0,0,0,0,0,0
mmu-mir-6408,0,0,0,0,0,0
mmu-mir-466j,0,0,0,0,0,1
mmu-mir-5108,0,1,0,0,1,0
mmu-mir-7662,0,0,0,0,0,0
mmu-mir-7215,0,0,0,0,0,0
mmu-mir-6409,0,0,0,0,0,0
mmu-mir-678,1,6,1,5,0,7
mmu-mir-1930,0,0,0,1,0,0
mmu-mir-7659,0,0,0,0,0,0
mmu-mir-6907,0,0,0,0,0,0
mmu-mir-6410,0,0,0,0,0,0
mmu-mir-6908,0,1,0,0,0,0
mmu-mir-6909,1,0,0,0,0,0
mmu-mir-6910,0,0,0,0,1,0
mmu-mir-6911,1,2,1,0,0,0
mmu-mir-6912,2,0,2,0,1,0
mmu-mir-1982,6,23,2,7,2,7
mmu-mir-5615-1,0,0,0,0,0,0
mmu-mir-5615-2,0,0,0,0,0,0
mmu-mir-3057,10,6,11,4,0,3
mmu-mir-6913,1,0,0,0,0,0
mmu-mir-1191b,0,0,0,0,0,0
mmu-mir-135a-2,0,0,0,0,0,0
mmu-mir-1251,0,0,0,0,0,0
mmu-mir-1931,1,9,3,8,10,6
mmu-mir-7688,1,1,2,3,3,1
mmu-mir-331,284,391,310,88,91,106
mmu-mir-7211,0,0,0,0,0,0
mmu-mir-3058,1,0,0,0,0,0
