"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-mir-3535",11894.6707670021,1.01880543196843,0.139519795345542,7.30222854359265,2.83039955625256e-13,4.72322925949646e-12
"mmu-mir-6546",34.3511619550375,1.33833419630924,0.338461944135234,3.95416447698031,7.68025646645461e-05,0.00056961902126205
"mmu-mir-664",185.286803767414,0.835384561642815,0.189074720229782,4.41827739122171,9.94906801697384e-06,8.56903600171618e-05
"mmu-mir-29b-2",62.6534493902574,1.3521450181755,0.286869250653617,4.71345400420123,2.43552720578109e-06,2.24236470325362e-05
"mmu-mir-29c",89.0448906823405,0.614122952569679,0.23298712315483,2.63586649877456,0.00839227422498521,0.0341347801467082
"mmu-mir-1931",7.12528950651798,1.92716032286972,0.71063352085119,2.711890540375,0.00669006806369434,0.0297708028834398
"mmu-mir-146a",6136.17701525793,5.54364794501087,0.132787457910832,41.7482797865856,0,0
"mmu-mir-22",36.1065211672283,1.04055257076396,0.311932965321912,3.33582111044313,0.000850478711120124,0.00493647425802333
"mmu-mir-21a",900.318910052558,1.93322775271377,0.138893493463328,13.9187783711712,4.8715949540064e-44,3.25178963179927e-42
"mmu-mir-8101",6.22728592280931,2.2603485838983,0.785521135874901,2.87751465959062,0.00400821286307498,0.0198183858229818
"mmu-mir-6516",840.080629326765,0.595368096419975,0.154091148824016,3.86373974730977,0.000111664191051926,0.000805792946239574
"mmu-mir-6538",24.2868312367273,4.16932775816056,0.56195584822523,7.4193155411197,1.17727133782119e-13,2.41793420921736e-12
"mmu-mir-5099",45531.8466210004,1.06679821019432,0.149801111817149,7.12143052380332,1.06812573708124e-12,1.58438651000383e-11
"mmu-mir-3069",321.566304087402,0.666853612373618,0.154453702984218,4.31749837970384,1.57807566788446e-05,0.000123925353919162
"mmu-mir-342",30.6088655027475,1.65011431026051,0.335535022809534,4.91786012811307,8.74953923453578e-07,8.65232213192982e-06
"mmu-mir-1247",6.43290534952788,2.50545732690688,0.779374724121501,3.21470179794578,0.00130580096149466,0.00726351784831403
"mmu-mir-1983",42.689387218722,2.00290804231867,0.307172011120827,6.52047702852334,7.00841406299744e-11,9.35623277410158e-10
"mmu-mir-7a-1",218.231562154457,1.25288339683081,0.170007730206877,7.36956722677382,1.71182826294657e-13,3.26470104433381e-12
"mmu-mir-320",232.083158962122,2.9857898352218,0.216375727201159,13.7990978648265,2.58061832349979e-43,1.37805018474889e-41
"mmu-mir-92a-1",659.973014991607,0.354082075317839,0.132600007552348,2.67030207504366,0.00757830352637288,0.0321175720879612
"mmu-mir-155",48.2363102867391,4.00160351369948,0.379718837134081,10.538332898893,5.7509287415404e-26,2.19356853427327e-24
"mmu-mir-7b",113.274247349351,1.59725384902553,0.218278110114052,7.31751730941296,2.52600562908921e-13,4.4962900197788e-12
"mmu-mir-1949",1953.78918558386,0.902986677288714,0.205919653734451,4.38514081056675,1.15910774314439e-05,9.67130523186101e-05
"mmu-mir-3084-1",922.808146551514,0.584374767647626,0.152197189261433,3.83958974855857,0.000123240072730069,0.00086592366891917
"mmu-mir-146b",2503.46761968179,4.40521594191923,0.131460474910479,33.5098130819856,3.46817401190628e-246,4.63001230589489e-244
"mmu-mir-3084-2",923.417170124713,0.585368775499924,0.15277306044321,3.83162302176647,0.000127300692983998,0.000871520128890448
"mmu-mir-466f-3",25.2292191208868,1.0299665847312,0.367486060663239,2.80273647079923,0.00506710545186614,0.0241592349222903
"mmu-mir-7678",5.95331654400177,2.40118400745388,0.781327435621342,3.07321092026464,0.0021176875222478,0.0115392360906156
"mmu-mir-32",15.5283304853718,1.4128128420801,0.474892292486235,2.97501741854665,0.00292971911730464,0.0150429808523142
"mmu-mir-1961",24.0577976191769,3.56310317070536,0.489195725980356,7.283594237388,3.25041681493479e-13,5.10506640933876e-12
"mmu-mir-6240",842.651582718904,2.16449413532893,0.158676888859081,13.6408909381327,2.28748724952601e-42,1.01793182603907e-40
"mmu-mir-7033",30.3705938203902,3.66724600522065,0.46914433322999,7.81688223743895,5.4147716465575e-15,1.31431275420987e-13
"mmu-mir-29a",244.772628765577,0.645444315913224,0.169991577742017,3.79691937969283,0.00014650540987594,0.000977923610921899
"mmu-mir-29b-1",70.1519496903491,1.1888666399228,0.262236843769245,4.53356066536913,5.79975985013437e-06,5.16178626661959e-05
"mmu-mir-6238",201.742316963401,1.35071644490923,0.214938888438948,6.28418828588523,3.29571083597518e-10,3.66647830502239e-09
"mmu-mir-7a-2",125.965914091676,1.57752404137205,0.205477772079418,7.67734643707514,1.62417762352362e-14,3.61379521234006e-13
"mmu-mir-139",33.0051000640616,1.57764222991493,0.327298540355469,4.82019329570336,1.43419191428231e-06,1.36760443254777e-05
"mmu-let-7g",1502.06574171263,0.331211358214302,0.1298270020995,2.55117466211275,0.0107360506963329,0.0409503647988698
"mmu-mir-6236",3035.64717284706,1.19698420585742,0.142952840988688,8.37328029005126,5.60361094055755e-17,1.49616412112887e-15
"mmu-mir-221",360.838826460374,1.57157947198242,0.15942227379986,9.85796673528434,6.3318580806921e-23,2.11325763443099e-21
"mmu-mir-222",566.217104703061,2.19917486701934,0.137102342263566,16.040388739615,6.67353163596669e-58,5.93944315601035e-56
"mmu-mir-92a-2",602.739343777811,0.360901154441004,0.133439800359004,2.70459902870091,0.00683868824605151,0.0299332747818976
"mmu-mir-2137",3728.60782850817,1.04133823034159,0.171517455340723,6.07132509209018,1.26859081840567e-09,1.35485499405726e-08
