"","control_cells_1","control_cells_2","control_cells_3","LPS_cells_1","LPS_cells_2","LPS_cells_3"
"mmu-mir-30a",165.949517780573,180.258303204861,169.526313829028,183.13140584703,168.960532546946,180.098816032527
"mmu-mir-30c-2",52.1345830195605,53.2989667283475,46.4567302319932,41.1111319248435,53.1018816576116,44.6861723990482
"mmu-mir-26b",41.1202344943012,31.7398341191283,30.9711534879955,26.1616294067186,32.1829585803707,24.3742758540263
"mmu-mir-5126",933.282465040301,951.596158779148,1033.45849007311,794.815217213642,1066.86507693929,846.329022709245
"mmu-mir-3535",7757.03852138925,8494.29824803237,7330.38301239556,16708.5606477576,17758.5565446485,13319.187627789
"mmu-mir-128-1",23.4972768538864,20.9602678145187,35.0463052627317,32.3905887892707,32.1829585803707,24.3742758540263
"mmu-mir-181a-1",12.4829283286272,14.3727550728128,30.9711534879955,4.98316750604164,8.04573964509267,8.12475861800876
"mmu-mir-8114",11.7486384269432,20.3614030198182,16.300607098945,8.72054313557287,25.7463668642965,16.2495172360175
"mmu-mir-1843b",726.212712765427,1236.0569362619,731.89725874263,1436.3980336165,836.756923089637,1274.23297659104
"mmu-mir-199a-2",36.7144950841975,57.4910202912513,50.5318820067295,47.3400913073956,37.0104023674263,25.7284022903611
"mmu-mir-6546",21.2944071488346,20.9602678145187,15.4855767439977,42.3569238013539,70.8025088768155,35.2072873447046
"mmu-mir-350",12.4829283286272,9.58183671520854,13.8555160341032,21.178461900677,6.43659171607413,13.5412643633479
"mmu-mir-1981",17.6229576404148,26.948915761524,26.8960017132592,13.7037106416145,11.2640355031297,9.47888505434355
"mmu-mir-664",107.206325645857,150.913928264535,140.185221050927,203.064075871197,263.900260359039,246.451011412932
"mmu-mir-29b-2",35.9802051825136,21.5591326092192,48.901821296835,74.7475125906246,109.42205917326,85.3099654890919
"mmu-mir-29c",74.163280070079,55.0955611124491,83.1330962046194,113.367060762447,85.2848402379823,123.225505706466
"mmu-mir-1982",4.4057394101037,13.7738902781123,1.6300607098945,8.72054313557287,3.21829585803707,9.47888505434355
"mmu-mir-3057",7.3428990168395,3.5931887682032,8.96533390441975,4.98316750604164,0,4.06237930900438
"mmu-mir-1931",0.73428990168395,5.3897831523048,2.44509106484175,9.96633501208328,16.0914792901853,8.12475861800876
"mmu-mir-331",208.538332078242,234.156134727909,252.659410033647,109.629685132916,146.432461540687,143.537402251488
"mmu-let-7i",480.225595701303,509.633940290154,503.6887593574,515.75783687531,527.800520718079,545.712953842921
"mmu-mir-378d",26.4344364606222,13.7738902781123,14.6705463890505,17.4410862711457,28.9646627223336,20.3118965450219
"mmu-mir-26a-2",27.9030162639901,31.1409693244278,24.4509106484175,14.9495025181249,28.9646627223336,29.7907815993654
"mmu-mir-677",5029.88582653506,6398.2714665805,5462.33343885647,2806.76909777795,4615.03626042515,4719.13063062675
"mmu-mir-103-1",91.0519478088098,73.0615049534651,87.2082479793557,63.5353857020309,59.5384733736857,39.269666653709
"mmu-mir-146a",231.301319030444,259.907320900032,282.000502811748,12878.9964193646,11379.8941540191,11784.9623754217
"mmu-mir-340",63.1489315448197,74.8580993375667,61.942306975991,69.764345084583,57.9293254446672,74.4769539984136
"mmu-mir-5100",27.1687263623062,25.1523213774224,32.60121419789,59.7980100724997,30.5738106513521,13.5412643633479
"mmu-mir-744",474.351276487832,400.041682859957,458.047059480354,255.387334684634,239.763041423761,264.054655085285
"mmu-mir-1934",2.9371596067358,4.19205356290374,0,11.2121268885937,11.2640355031297,4.06237930900438
"mmu-mir-324",146.123690435106,148.518469085732,170.341344183975,113.367060762447,127.122686392464,108.330114906783
"mmu-mir-22",20.5601172471506,20.3614030198182,30.1561231330482,42.3569238013539,53.1018816576116,50.1026781443873
"mmu-mir-423",646.175113481876,646.175113481876,622.683191179699,630.370689514267,696.761053265025,620.189907841335
"mmu-mir-193a",16.1543778370469,22.1579974039198,19.560728518734,29.8990050362498,17.7006272192039,8.12475861800876
"mmu-mir-365-2",35.9802051825136,43.1182652184384,48.0867909418877,18.6868781476561,30.5738106513521,27.0825287266958
"mmu-mir-21a",323.087556740938,385.668927787144,412.405359603308,1394.04110981515,1408.00443789122,1478.70606847759
"mmu-mir-301a",22.0286970505185,23.3557269933208,34.2312749077845,24.9158375302082,19.3097751482224,31.1449080357002
"mmu-mir-142a",624.880706333042,770.738990779587,794.654596073568,806.027344102235,748.253786993618,849.037275581915
"mmu-mir-378b",33.7773354774617,21.5591326092192,25.2659410033647,32.3905887892707,28.9646627223336,21.6660229813567
"mmu-mir-8101",3.67144950841975,0.598864794700534,2.44509106484175,17.4410862711457,6.43659171607413,6.77063218167396
"mmu-mir-3968",11.7486384269432,25.751186172123,17.1156374538922,23.6700456536978,16.0914792901853,25.7284022903611
"mmu-mir-6516",539.703077737703,768.343531600785,698.481014189793,939.327074888849,1041.11871007499,1053.51036746847
"mmu-mir-6538",2.20286970505185,4.19205356290374,0.81503035494725,26.1616294067186,59.5384733736857,52.8109310170569
"mmu-mir-5099",25808.8214643875,35390.5139076227,27073.6783306377,63564.0389151906,67209.2815513171,54144.7455568467
"mmu-mir-1843a",240.112797850652,397.646223681154,296.671049200799,424.81502989005,442.515680480097,384.571907919081
