"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-mir-1981",22.7487139270227,-1.17452191994591,0.440456459062914,-2.66660164876399,0.00766224314987181,0.0998275675607
"mmu-mir-331",259.688148180709,-0.49970142444417,0.189549138082845,-2.63626323758733,0.00838246750509695,0.0998275675607
"mmu-mir-677",6244.12329289947,-0.53919477572519,0.159203010607672,-3.386837809581,0.000707031729142681,0.0132315937882416
"mmu-mir-21a",361.788423140987,-1.07125527855892,0.173870046173725,-6.16124112308889,7.21769900427047e-10,9.45518569559432e-08
"mmu-mir-365-1",38.4634057061158,-0.834798592364263,0.31483489552391,-2.65154404493534,0.00801246617787563,0.0998275675607
"mmu-mir-5121",8156.67592616361,-0.504806053990537,0.161912439812664,-3.1177718930961,0.00182223779175506,0.0280839000846956
"mmu-mir-326",252.698161044419,-0.825840045117257,0.179600638147739,-4.59820217586267,4.26152351305003e-06,0.000139564895052388
"mmu-mir-210",571.258461181733,-1.91415872007875,0.240018744709067,-7.97503845959596,1.52333377457069e-15,3.99113448937521e-13
"mmu-mir-221",203.966963451646,-0.491062581907349,0.181189740587971,-2.7102118492682,0.00672402454584656,0.0978719128339888
"mmu-mir-222",195.456744483446,-1.08512721262267,0.188336705464338,-5.76163424940093,8.33033643881905e-09,6.74875288293265e-07
"mmu-mir-351",115.555686536521,-1.10217548750494,0.207122182507999,-5.32137830028113,1.02983994784206e-07,5.39636132669238e-06
"mmu-mir-503",22.2196118637988,-1.45053950037134,0.40793957888564,-3.55577045094215,0.00037687303086603,0.00822839450724165
"mmu-mir-322",174.451609083114,-0.734580017526042,0.192975710876424,-3.80659314164385,0.00014089424513007,0.00369142922240784
"mmu-mir-223",54.090124547979,-1.74175948818768,0.30420257132187,-5.72565669191786,1.03034395159277e-08,6.74875288293265e-07
