Geneid,control cells_1,control cells_2,control cells_3,TGFB cells_1,TGFB cells_2,TGFB cells_3
mmu-mir-6341,0,5,0,0,0,1
mmu-mir-206,0,0,0,0,0,0
mmu-mir-133b,0,0,0,0,0,0
mmu-mir-30a,226,301,208,214,236,229
mmu-mir-30c-2,71,89,57,50,54,44
mmu-mir-6342,0,0,0,0,0,0
mmu-mir-6896,0,0,0,0,1,0
mmu-mir-5103,0,0,0,0,0,0
mmu-mir-6897,0,0,0,0,0,0
mmu-mir-6898,0,0,0,0,0,0
mmu-mir-6349,0,0,0,0,0,0
mmu-mir-6350,0,0,0,0,0,0
mmu-mir-7681,0,0,0,0,0,1
mmu-mir-6899,0,0,0,0,0,0
mmu-mir-6351,0,0,0,0,0,0
mmu-mir-1928,0,0,0,0,0,0
mmu-mir-26b,56,53,38,48,62,41
mmu-mir-375,0,0,0,0,0,0
mmu-mir-6343,0,0,0,0,0,0
mmu-mir-6352,0,1,0,0,0,0
mmu-mir-6344,0,0,0,0,0,0
mmu-mir-6353,0,0,0,0,0,0
mmu-mir-5126,1271,1589,1268,1325,1798,1565
mmu-mir-8096,0,0,0,0,0,0
mmu-mir-3535,10564,14184,8994,8758,9909,11152
mmu-mir-6900,0,0,0,3,0,1
mmu-mir-149,0,0,0,0,0,0
mmu-mir-6901,0,1,0,0,0,0
mmu-mir-6902,0,0,0,0,0,0
mmu-mir-6345,0,0,0,0,0,0
mmu-mir-3473f,0,5,4,0,1,0
mmu-mir-6346,0,0,0,0,0,0
mmu-mir-128-1,32,35,43,17,28,22
mmu-mir-135b,0,0,0,0,0,0
mmu-mir-6903,0,0,0,0,0,0
mmu-mir-1231,0,0,0,2,0,0
mmu-mir-181a-1,17,24,38,34,22,44
mmu-mir-181b-1,7,8,2,8,4,6
mmu-mir-7682,4,2,1,0,0,3
mmu-mir-8114,16,34,20,22,23,24
mmu-mir-488,0,0,0,0,0,0
mmu-mir-1843b,989,2064,898,1291,648,596
mmu-mir-1927,0,0,0,0,0,0
mmu-mir-199a-2,50,96,62,44,93,73
mmu-mir-214,3,1,0,2,0,1
mmu-mir-6347,0,0,0,0,0,0
mmu-mir-6348,0,0,0,0,0,0
mmu-mir-6354,0,0,0,0,0,0
mmu-mir-6546,29,35,19,6,17,18
mmu-mir-7683,0,0,0,0,0,0
mmu-mir-350,17,16,17,17,25,24
mmu-mir-6904,0,0,0,1,0,1
mmu-mir-1981,24,45,33,23,7,8
mmu-mir-664,146,252,172,134,111,146
mmu-mir-194-1,9,4,5,5,1,5
mmu-mir-215,0,0,0,0,0,0
mmu-mir-3473c,0,0,0,0,0,1
mmu-mir-205,0,0,0,0,0,0
mmu-mir-3962,1,2,2,0,2,3
mmu-mir-29b-2,49,36,60,22,35,27
mmu-mir-29c,101,92,102,104,118,89
mmu-mir-5104,0,0,0,0,0,0
mmu-mir-6413,0,0,0,0,0,0
mmu-mir-7663,0,0,0,0,0,0
mmu-mir-6905,1,0,0,0,0,0
mmu-mir-3473b,0,0,0,0,0,0
mmu-mir-1929,0,0,0,0,0,0
mmu-mir-6906,0,0,0,0,0,0
mmu-mir-6408,0,0,0,0,0,0
mmu-mir-466j,0,0,0,0,0,1
mmu-mir-5108,0,1,0,1,0,0
mmu-mir-7662,0,0,0,0,0,0
mmu-mir-7215,0,0,0,0,0,0
mmu-mir-6409,0,0,0,0,0,0
mmu-mir-678,1,6,1,0,1,5
mmu-mir-1930,0,0,0,0,1,0
mmu-mir-7659,0,0,0,0,0,0
mmu-mir-6907,0,0,0,0,0,0
mmu-mir-6410,0,0,0,0,0,0
mmu-mir-6908,0,1,0,0,0,0
mmu-mir-6909,1,0,0,0,1,0
mmu-mir-6910,0,0,0,0,0,1
mmu-mir-6911,1,2,1,0,0,0
mmu-mir-6912,2,0,2,0,0,0
mmu-mir-1982,6,23,2,5,13,11
mmu-mir-5615-1,0,0,0,0,0,0
mmu-mir-5615-2,0,0,0,0,0,0
mmu-mir-3057,10,6,11,1,6,3
mmu-mir-6913,1,0,0,0,0,1
mmu-mir-1191b,0,0,0,0,0,0
mmu-mir-135a-2,0,0,0,0,0,0
mmu-mir-1251,0,0,0,0,0,0
mmu-mir-1931,1,9,3,4,4,3
mmu-mir-7688,1,1,2,2,0,1
mmu-mir-331,284,391,310,195,236,170
mmu-mir-7211,0,0,0,0,0,0
mmu-mir-3058,1,0,0,0,0,0
