Geneid,control Evs_1,control Evs_2,control Evs_3,IL-10 Evs_1,IL-10 Evs_2,IL-10 Evs_3
mmu-mir-6341,0,0,0,0,0,0
mmu-mir-206,0,0,0,0,0,0
mmu-mir-133b,1,0,0,0,0,0
mmu-mir-30a,9,1,1,3,3,0
mmu-mir-30c-2,0,0,1,1,0,0
mmu-mir-6342,0,0,0,0,0,0
mmu-mir-6896,0,0,0,0,0,0
mmu-mir-5103,0,1,0,0,0,0
mmu-mir-6897,0,0,0,0,0,0
mmu-mir-6898,0,0,0,0,0,0
mmu-mir-6349,0,0,0,0,0,0
mmu-mir-6350,0,0,0,0,0,0
mmu-mir-7681,0,0,0,0,0,0
mmu-mir-6899,0,0,3,0,0,0
mmu-mir-6351,1,0,0,0,0,2
mmu-mir-1928,0,0,0,0,0,0
mmu-mir-26b,5,0,0,0,0,0
mmu-mir-375,0,0,0,0,0,0
mmu-mir-6343,0,0,0,0,0,0
mmu-mir-6352,0,8,0,1,0,0
mmu-mir-6344,0,0,3,0,0,0
mmu-mir-6353,0,0,0,0,0,0
mmu-mir-5126,20,9,11,15,0,4
mmu-mir-8096,0,1,0,0,0,0
mmu-mir-3535,43,36,36,25,37,30
mmu-mir-6900,0,0,0,0,0,0
mmu-mir-149,0,0,0,0,0,0
mmu-mir-6901,0,0,0,0,0,0
mmu-mir-6902,0,0,0,0,0,0
mmu-mir-6345,17,14,10,10,4,16
mmu-mir-3473f,1,0,3,10,7,1
mmu-mir-6346,0,0,0,0,0,0
mmu-mir-128-1,0,7,1,1,0,1
mmu-mir-135b,0,0,0,0,0,0
mmu-mir-6903,0,0,0,0,0,0
mmu-mir-1231,0,0,0,0,0,0
mmu-mir-181a-1,0,0,0,1,2,0
mmu-mir-181b-1,0,0,0,0,0,0
mmu-mir-7682,0,0,0,2,0,0
mmu-mir-8114,2,10,0,2,0,0
mmu-mir-488,0,0,0,0,0,0
mmu-mir-1843b,17,3,4,11,1,3
mmu-mir-1927,0,5,0,0,0,0
mmu-mir-199a-2,0,0,1,0,0,0
mmu-mir-214,0,0,0,0,0,0
mmu-mir-6347,0,0,0,0,0,0
mmu-mir-6348,2,0,0,0,0,0
mmu-mir-6354,0,0,0,0,0,0
mmu-mir-6546,0,0,1,11,0,0
mmu-mir-7683,0,0,0,0,0,0
mmu-mir-350,0,0,0,0,0,0
mmu-mir-6904,0,0,0,0,0,0
mmu-mir-1981,0,0,0,4,0,0
mmu-mir-664,10,16,76,29,4,7
mmu-mir-194-1,0,0,0,4,0,0
mmu-mir-215,0,0,0,0,0,0
mmu-mir-3473c,0,0,0,0,0,0
mmu-mir-205,0,0,0,0,0,0
mmu-mir-3962,0,0,0,0,0,0
mmu-mir-29b-2,2,0,0,0,1,0
mmu-mir-29c,3,1,4,1,2,1
mmu-mir-5104,0,0,0,0,0,0
mmu-mir-6413,0,0,0,0,0,0
mmu-mir-7663,0,0,0,0,0,0
mmu-mir-6905,0,0,0,0,0,0
mmu-mir-3473b,0,0,0,0,0,0
mmu-mir-1929,0,0,0,0,0,0
mmu-mir-6906,0,1,0,0,0,0
mmu-mir-6408,0,0,0,0,0,0
mmu-mir-466j,0,0,0,0,0,0
mmu-mir-5108,40,24,20,16,26,12
mmu-mir-7662,0,0,0,0,0,0
mmu-mir-7215,0,2,0,0,0,0
mmu-mir-6409,0,0,0,0,0,0
mmu-mir-678,1,0,0,0,0,5
mmu-mir-1930,0,0,0,0,0,0
mmu-mir-7659,0,0,0,0,0,0
mmu-mir-6907,0,0,0,0,0,0
mmu-mir-6410,0,0,0,0,0,0
mmu-mir-6908,0,0,0,0,0,0
mmu-mir-6909,0,0,0,0,0,0
mmu-mir-6910,0,0,0,3,0,0
mmu-mir-6911,0,0,0,0,0,0
mmu-mir-6912,0,0,0,0,0,0
mmu-mir-1982,0,0,0,0,0,0
mmu-mir-5615-1,0,0,0,0,0,0
mmu-mir-5615-2,0,0,0,0,0,0
mmu-mir-3057,0,2,0,0,0,0
mmu-mir-6913,0,0,0,0,0,0
mmu-mir-1191b,0,0,0,0,0,0
mmu-mir-135a-2,0,0,0,0,0,0
mmu-mir-1251,0,0,0,0,0,0
mmu-mir-1931,1,6,1,21,13,3
mmu-mir-7688,0,13,8,37,7,13
mmu-mir-331,5,2,1,2,7,6
mmu-mir-7211,0,0,0,1,0,0
mmu-mir-3058,0,0,0,0,0,0
mmu-mir-3966,0,0,0,0,0,0
mmu-mir-3059,1,0,0,0,0,0
mmu-mir-6411,0,0,0,0,0,0
mmu-mir-763,0,0,1,0,0,2
mmu-mir-6412,0,0,0,0,0,0
mmu-mir-8104,0,0,0,0,0,0
mmu-let-7i,12,2,8,8,2,1
