"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-mir-6345",12.8711111018815,-3.67111083515227,0.855341752445377,-4.29198133337553,1.77085838895819e-05,0.000227998017578367
"mmu-mir-5108",26.1941471005708,-3.49189586985668,0.732952137306823,-4.7641526535244,1.896488948651e-06,4.88345904277632e-05
"mmu-mir-5100",25.9953091463575,-5.1212141633556,1.1372952916798,-4.50297666825958,6.7008242744408e-06,0.000138036980053481
"mmu-mir-5119",18.6875161204481,-2.94050377052299,0.743138857334669,-3.95686989248465,7.59382636720155e-05,0.00066556788757634
"mmu-mir-3968",7.32989278810455,-3.25113127654493,1.13882641321352,-2.85480845792024,0.00430627916651081,0.0211212740071721
"mmu-mir-5099",249.454773668462,-1.36214652444687,0.446103886621181,-3.05342895522352,0.0022624228527293,0.0116514776915559
"mmu-mir-3544",14.8300772518427,-2.56094399795545,0.680608009117814,-3.76272974112496,0.000168068794827302,0.00115407239114747
"mmu-mir-203",19.1935878936651,-2.66558898283769,0.722180936365461,-3.69102651234866,0.000223350853150543,0.00143782111715662
"mmu-mir-1896",218.040875491657,-2.63863893180284,0.682600867071114,-3.86556633472302,0.000110831719538362,0.000854943001057561
"mmu-mir-125b-2",8.1156445072008,-4.94146043093155,1.25040972306414,-3.95187300593156,7.75418898147192e-05,0.00066556788757634
"mmu-mir-3960",10.1472875067579,-3.88016437007231,0.883179558795208,-4.39340373249291,1.11589615053582e-05,0.000164196147864556
"mmu-mir-7000",21.279469057395,-2.33300350010649,0.891262730521304,-2.61763834637392,0.0088540588914454,0.0396507854703859
"mmu-mir-1a-1",12.1631635855778,-3.00259801437411,0.779087105817562,-3.85399526183049,0.00011620584480394,0.000854943001057561
"mmu-mir-3963",31.3680362470537,-5.45448199844837,1.2377910591495,-4.40662578561215,1.04993347668674e-05,0.000164196147864556
"mmu-mir-8117",7.70886561103751,-3.4458312518366,0.954043927269974,-3.61181613691201,0.000304060121109776,0.0018422466161357
"mmu-mir-6240",1451.54629240049,-1.96004537352802,0.394715587747535,-4.96571565544985,6.84481825830683e-07,2.35005426868535e-05
"mmu-mir-125b-1",8.1156445072008,-4.94146043093155,1.25040972306414,-3.95187300593156,7.75418898147192e-05,0.00066556788757634
"mmu-mir-6236",14988.6678614003,-1.28868097300668,0.417657351797614,-3.0854981181587,0.00203211510041358,0.0110162029127683
