"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-mir-5126",88.1879894203073,2.77219255029344,0.55825305082006,4.96583502091239,6.84060904158161e-07,2.3044221469633e-05
"mmu-mir-1843b",35.3171328477754,2.09848029420189,0.744536870284491,2.81850419764981,0.00482479801654487,0.022150209075956
"mmu-mir-664",160.277243844442,2.32618513825804,0.693000351981905,3.35668680629874,0.00078882412659276,0.00442617982143715
"mmu-mir-423",12.460577580633,2.29830646090158,0.954312363757845,2.40833771853423,0.0160253490838705,0.0622523175950352
"mmu-mir-320",21.0237490434727,5.23505161762724,1.25129420568501,4.18370962947227,2.86790385018431e-05,0.00032184254318735
"mmu-mir-19a",7.14741144459721,2.4176422416255,1.10829196307986,2.18141277042835,0.0291528999187915,0.0998580527208388
"mmu-mir-466d",4.81228173003666,3.87482012248123,1.57689378351863,2.45724865110134,0.014000574450801,0.0565623207812361
"mmu-mir-466h",3.28214222944959,4.3906203145478,1.76116118635304,2.49302582215076,0.0126659634594657,0.0533025962252515
"mmu-mir-6238",966.884174809446,1.62993470801011,0.749536345706467,2.17459062171806,0.029660807738863,0.0998580527208388
"mmu-mir-1903",11.781962007675,1.98117649194111,0.903017768348534,2.1939507298559,0.0282389518055336,0.0998580527208388
"mmu-mir-2137",197.756811640415,2.7192831516554,0.537559938384015,5.05856734754076,4.2241806231456e-07,2.3044221469633e-05
