"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-mir-5126",88.1879894203073,2.77219255029344,0.55825305082006,4.96583502091239,6.84060904158161e-07,2.35005426868535e-05
"mmu-mir-3535",87.1761975908549,0.725855440022961,0.456959807737622,1.58844482103716,0.112185789086078,0.26261673354241
"mmu-mir-6345",12.8711111018815,-3.67111083515227,0.855341752445377,-4.29198133337553,1.77085838895819e-05,0.000227998017578367
"mmu-mir-1843b",35.3171328477754,2.09848029420189,0.744536870284491,2.81850419764981,0.00482479801654487,0.0225888270774601
"mmu-mir-664",160.277243844442,2.32618513825804,0.693000351981905,3.35668680629874,0.00078882412659276,0.00451382694661413
"mmu-mir-29c",4.25712955726676,-0.0199042977917518,1.20294006384083,-0.0165463753266309,0.986798504982179,0.996473000129063
"mmu-mir-5108",26.1941471005708,-3.49189586985668,0.732952137306823,-4.7641526535244,1.896488948651e-06,4.88345904277632e-05
"mmu-mir-7688",7.73545068589241,-2.27812226866724,1.24052930447832,-1.8364114901947,0.0662968214818625,0.189682572573107
"mmu-let-7i",9.85396566601563,-0.600161634458393,0.80367646787611,-0.74677019727161,0.455202288283839,0.608906957055005
"mmu-mir-677",38.0481769200598,0.218224184985024,0.503032759360918,0.433817044564391,0.66442130331168,0.814707074298846
"mmu-mir-146a",28.6862650671792,0.888937549697374,0.873408851854015,1.01777941431484,0.308782797099572,0.489301970788553
"mmu-mir-5100",25.9953091463575,-5.1212141633556,1.1372952916798,-4.50297666825958,6.7008242744408e-06,0.000138036980053481
"mmu-mir-423",12.460577580633,2.29830646090158,0.954312363757845,2.40833771853423,0.0160253490838705,0.063485036755333
"mmu-mir-21a",13.2057670653341,0.863098653402716,0.816934397861762,1.05650913422398,0.290735669927278,0.47657533739193
"mmu-mir-142a",23.381557930986,0.499537987304103,0.618566169789805,0.807574050604563,0.419335829973238,0.568310401147942
"mmu-mir-378b",3.6963186849455,1.61148091986748,1.36133294704571,1.18375223589837,0.236511154680284,0.445210917069445
"mmu-mir-5119",18.6875161204481,-2.94050377052299,0.743138857334669,-3.95686989248465,7.59382636720155e-05,0.00066556788757634
"mmu-mir-3968",7.32989278810455,-3.25113127654493,1.13882641321352,-2.85480845792024,0.00430627916651081,0.0211212740071721
"mmu-mir-6516",12.8364902495042,1.48648545180083,0.900496270998139,1.65074026364725,0.0987916224976922,0.24227469326815
"mmu-mir-6538",5.83725822106539,2.36744076582644,1.342543384525,1.76339982239311,0.0778330797483049,0.210968610896721
"mmu-mir-5099",249.454773668462,-1.36214652444687,0.446103886621181,-3.05342895522352,0.0022624228527293,0.0116514776915559
"mmu-mir-1843a",12.1492445650067,1.43199995292313,1.06328362540036,1.34677137756535,0.178053875748915,0.375453589278198
"mmu-mir-3068",17.8789865056782,0.330162251939481,0.622201457006456,0.530635613629004,0.595671311583604,0.759329561402944
"mmu-mir-3069",9.05491548586196,-0.174241652663581,0.930415176747249,-0.18727301211136,0.851446581846341,0.941786660520166
"mmu-mir-3544",14.8300772518427,-2.56094399795545,0.680608009117814,-3.76272974112496,0.000168068794827302,0.00115407239114747
"mmu-mir-203",19.1935878936651,-2.66558898283769,0.722180936365461,-3.69102651234866,0.000223350853150543,0.00143782111715662
"mmu-mir-1896",218.040875491657,-2.63863893180284,0.682600867071114,-3.86556633472302,0.000110831719538362,0.000854943001057561
"mmu-mir-1983",14.560675142035,-1.33905284987666,0.696732290011156,-1.92190439437682,0.054617788794233,0.165459771935471
"mmu-let-7d",52.1806003525125,0.433454088139302,0.469933550240294,0.922373148113517,0.356333971019277,0.547797000223665
"mmu-let-7f-1",158.701331766669,0.55765189745684,0.45500821630931,1.22558643441672,0.220354345322326,0.445029364082344
"mmu-let-7a-1",294.754738529494,0.440006211183673,0.417129921177486,1.05484212194995,0.291497536463025,0.47657533739193
"mmu-mir-7a-1",10.5241061362508,-1.0528645011819,0.891751986567158,-1.18066964474612,0.237733984842908,0.445210917069445
"mmu-mir-23b",72.3659151076346,-0.0240291180936614,0.407524029533382,-0.0589636839849048,0.952981033743291,0.971851945302564
"mmu-mir-24-1",44.1098577223658,0.420073979496509,0.474540786259625,0.885222075024513,0.376036868558254,0.553311392307146
"mmu-mir-692-3",107.374319031711,-0.75389648589576,0.649212199017828,-1.16124818208331,0.245540985638628,0.451620027156762
"mmu-mir-682",41.0394160829359,-1.02106216178883,0.595936524759909,-1.71337402452417,0.0866437518783127,0.219576115784588
"mmu-mir-378c",5.61195209266842,1.89438258209051,1.15630199940698,1.63831125697444,0.101356780609577,0.242784846576429
"mmu-mir-320",21.0237490434727,5.23505161762724,1.25129420568501,4.18370962947227,2.86790385018431e-05,0.000328215662854427
"mmu-mir-19a",7.14741144459721,2.4176422416255,1.10829196307986,2.18141277042835,0.0291528999187915,0.10183543990343
"mmu-mir-19b-1",16.4412932790939,0.328951217880758,1.01464928371918,0.324201892377033,0.74578518948055,0.882941086396513
"mmu-mir-92a-1",6.29687224734572,-0.227790627732235,1.37730608878492,-0.165388528800592,0.868638182033163,0.941786660520166
"mmu-let-7c-2",135.186781318293,0.0369123249434661,0.438129536456725,0.0842497979980677,0.932857825816232,0.961718300987242
"mmu-let-7b",62.7362530469894,-0.126486755312845,0.516620361743347,-0.244835017508819,0.806584178865088,0.912946927726418
"mmu-mir-688",4.0865115634382,0.561691989041961,1.23080061724836,0.456363103146396,0.648128893539726,0.804304530537251
