BV2 CONTROL (1),BV2 + TGFB (1),BV2 + IL10 (1),BV2 + LPS (1),BV2 CONTROL (2),BV2 + TGFB (2),BV2 + IL10 (2),BV2 + LPS (2),BV2 CONTROL (3),BV2 + TGFB (3),BV2 + IL10 (3),BV2 + LPS (3),BV2 CONTROL (4),BV2 + TGFB (4),BV2 + IL10 (4),BV2 + LPS (4),Student's T-test Significant BV2 + TGFB_BV2 CONTROL,Student's T-test significant,Student's T-test Significant BV2 + IL10_BV2 CONTROL,Student's T-test significant_,Student's T-test Significant BV2 + LPS_BV2 CONTROL,Student's T-test significant__,Peptides,Razor + unique peptides,Unique peptides,Score,MS/MS count,-Log Student's T-test p-value BV2 + TGFB_BV2 CONTROL,Student's T-test Difference BV2 + TGFB_BV2 CONTROL,Student's T-test Test statistic BV2 + TGFB_BV2 CONTROL,-Log Student's T-test p-value BV2 + IL10_BV2 CONTROL,Student's T-test Difference BV2 + IL10_BV2 CONTROL,Student's T-test Test statistic BV2 + IL10_BV2 CONTROL,-Log Student's T-test p-value BV2 + LPS_BV2 CONTROL,Student's T-test Difference BV2 + LPS_BV2 CONTROL,Student's T-test Test statistic BV2 + LPS_BV2 CONTROL,Majority protein IDs,Protein names,Gene names
16.88738632,16.18914986,16.60000038,16.30951118,16.9524231,15.51892948,13.90767956,17.43835258,16.78749466,15.53296471,12.76190472,13.43775368,16.41073227,17.41030312,16.22607422,17.1022625,,,,,,,2,2,2,4.6455,6,0.615026242,-0.596672297,-1.295834169,1.050815343,-1.885594368,-2.027608688,0.317006298,-0.687539101,-0.749422725,Q9CQL1;P61327;G3UZW7;A0A023T778,Protein mago nashi homolog 2;Protein mago nashi homolog,Magohb;Magoh
14.69243622,15.86582947,16.38773155,16.07969284,14.56366444,15.96052265,16.08306313,16.64329338,13.69915295,15.72184658,16.71986961,16.69859695,15.59959316,15.23567772,15.64258766,15.92174816,+,BV2 + TGFB_BV2 CONTROL,+,BV2 + IL10_BV2 CONTROL,+,BV2 + LPS_BV2 CONTROL,2,2,2,5.6668,3,1.339242795,1.057257414,2.511849979,1.880188167,1.569601297,3.477858803,2.095451439,1.697121143,3.895354803,P21958;F6QHF1;Q5D0F3;Q3TBA3;Q78E61;Q62429;Q62428;Q3U6V4;Q3U543;A0A068BER1,Antigen peptide transporter 1,Tap1
18.23041534,18.20371056,18.67221069,18.23990631,18.01933098,18.47203255,18.44697762,19.16425323,18.38173676,18.48813057,18.57861519,17.63651085,16.75629616,17.84045792,18.48679543,18.82059097,,,,,,,8,8,8,15.057,32,0.453124523,0.404138088,1.008207433,0.954289881,0.699204922,1.867266647,0.580488327,0.618370533,1.235764247,P46638;A0A068BFR3;P62492;G3UY29;E9Q3P9;F8WGS1;Q3UZ37;G3UZD3,Ras-related protein Rab-11B;Ras-related protein Rab-11A,Rab11b;Rab11a
16.37853241,15.60652065,19.1331768,18.91619492,16.53301048,19.51610756,17.94569588,19.45324326,16.78123093,18.0364418,18.86154175,17.74753761,14.83313751,14.74814034,18.21238327,18.77181816,,,+,BV2 + IL10_BV2 CONTROL,+,BV2 + LPS_BV2 CONTROL,5,5,5,31.137,32,0.300048568,0.845324755,0.715588383,2.445273467,2.406721592,4.627529251,2.419523168,2.590720654,4.571097998,Q9R233;A0A068BIS1;Q3TCU5;Q9D679;Q9R233-2;Q3U7C1;Q5XW48;Q5XW49;Q3TED6;Q91WI5;Q5XW51;Q5XW52,Tapasin,Tapbp
17.24859428,17.60161209,18.32294083,17.82476044,17.88952827,18.119133,18.06513214,18.28906441,17.73423386,18.2056694,19.06052208,17.49856949,17.8895874,17.88970566,18.7698822,18.26842308,,,+,BV2 + IL10_BV2 CONTROL,,,4,4,4,18.237,27,0.615775656,0.263544083,1.2971314,1.733578532,0.864133358,3.205647155,0.531473621,0.279718399,1.14944068,P28063;A0A068BIT8;G3UZW8;A0A494BAB6,Proteasome subunit beta type-8;Proteasome subunit beta type,Psmb8
20.52840805,20.25188065,21.23139954,19.96282196,20.14307976,20.62667084,19.74802971,20.29905128,20.72982597,20.6145916,20.63732529,19.63751984,19.46195984,20.73636627,20.40613365,19.99369049,,,,,,,5,5,5,34.123,77,0.528635649,0.341558933,1.144399256,0.291868412,0.289903641,0.699112484,0.333447795,-0.242547512,-0.781836116,P00405;A0A075DC90,Cytochrome c oxidase subunit 2,Mtco2;COX2
13.81908131,14.63333607,14.47617722,15.41316509,16.14646912,15.7639389,15.39904404,16.74215126,14.80397987,16.27399635,15.94033623,15.53089428,15.55970573,14.67090893,15.02904987,14.94077206,,,,,,,1,1,1,3.8293,2,0.149184188,0.253236055,0.391038643,0.078673026,0.128842831,0.218463522,0.399327283,0.574436665,0.908316224,Q3TNL9;G3EB90;A0A141CM15;A0A075DCA9;P03888,NADH-ubiquinone oxidoreductase chain 1,mt-Nd1;ND1;Mtnd1
18.18954468,19.04222488,17.62663651,18.51729965,18.51941299,18.80901527,17.30438614,17.97157669,18.61590195,19.11184311,17.56257057,19.53859901,18.47151566,18.9018631,18.064291,18.63541412,+,BV2 + TGFB_BV2 CONTROL,+,BV2 + IL10_BV2 CONTROL,,,2,2,2,33.165,33,2.40006319,0.517142773,4.528735279,2.357737404,-0.809622765,-4.437424336,0.263798785,0.216628551,0.641753697,Q4VAA2;F8WGL9;A0A087WS49;A0A087WNP6;Q4VAA2-2;A0A087WRM0,Protein CDV3,Cdv3
17.03284264,17.44701958,16.91017342,16.79322243,16.51743889,17.10635757,17.60110283,16.60870171,16.90970612,13.4294138,16.55848122,17.78711128,16.72813225,15.84254646,16.14396095,17.80454636,,,,,,,2,2,2,14.147,8,0.40374778,-0.84069562,-0.916629043,0.006527548,0.006399632,0.01949003,0.639024087,0.451365471,1.337254079,P83940;A0A087WQE6;A0A087WNT1;A0A087WPE4,Transcription elongation factor B polypeptide 1,Tceb1
15.21913052,15.04118824,15.09807301,15.36355305,15.95324135,15.168437,15.55892849,16.63693619,15.46696854,15.52227497,15.69065285,15.26169109,13.23238564,15.80334949,14.12732792,14.90797043,,,,,,,3,3,3,2.5415,2,0.276463405,0.415880919,0.667796075,0.078084051,0.150814056,0.216943086,0.349009991,0.57460618,0.812183626,Q61595;A0A087WQD0;A0A087WNW3;A0A087WS23;A0A087WQQ5;A0A087WPW5;A0A087WQI3;A0A087WP85;A0A087WPX0;Q61595-8;A0A087WQ25;A0A087WQG4;A0A087WP14;A0A087WS29;A0A087WS04;A0A087WP48;A0A087WRS1;F8VQC7;Q61595-10;Q61595-4;Q61595-11;Q61595-15;Q61595-7;Q61595-9;Q61595-5;Q61595-13;A0A087WQF8;Q61595-2;Q61595-6;Q61595-14;Q61595-3;Q61595-16;Q61595-12,Kinectin,Ktn1
16.99125671,17.17484856,16.652565,16.81440735,17.14130974,17.22354889,16.40788269,17.48274422,17.08845711,16.90536308,18.74149323,16.96285057,16.19972992,17.09259224,16.92381477,16.78787613,,,,,,,8,8,8,32.296,35,0.477960561,0.243899822,1.053468901,0.228553874,0.326250553,0.56773891,0.231122017,0.156781197,0.573213623,Q8VDJ3;A0A087WP83;Q3V1M8;A0A087WQY9;A0A087WPC5;A0A087WS92;Q8BX68,Vigilin,Hdlbp
